ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,2201,1739356367730,0.59895,0.687,6.47205,2.42648,0.19695,5.54623
HS,2202,1739356367747,0.093,-1.089,7.233,0.04727,-16.38659,4.21482
HS,2203,1739356367765,-1.27695,0.282,15.05505,-8.63447,-0.92175,4.42753
HS,2204,1739356367782,-2.54595,-2.74995,7.51995,-7.72061,3.70274,4.21482
HS,2205,1739356367798,-0.15195,-3.49695,7.13295,-1.35505,-9.04414,4.91598
HS,2206,1739356367815,-0.576,0.63705,12.795,-1.84349,-11.49425,2.81251
HS,2207,1739356367832,-0.576,0.63705,12.795,-0.7957,8.24844,5.12869
HS,2208,1739356367846,-0.90195,-2.63295,8.919,0.323,3.20641,6.10558
HS,2209,1739356367865,0.48405,-0.91905,11.121,-0.72479,8.60296,5.61713
HS,2210,1739356367880,-0.73605,0.76605,7.93005,3.82879,9.22534,7.01945
HS,2211,1739356367897,-1.27695,0.91695,11.859,-5.83772,-7.78363,4.63236
HS,2212,1739356367914,-1.416,-2.36505,8.57895,-6.04256,24.13871,4.63236
HS,2213,1739356367931,-1.55295,-2.72595,7.40595,-3.31671,-14.00739,5.40442
HS,2214,1739356367947,-1.55295,-2.72595,7.40595,3.40337,-1.75683,4.35663
HS,2215,1739356367964,-1.66995,-1.503,10.44105,1.16597,2.08771,4.84507
HS,2216,1739356367981,-0.483,-1.146,10.29105,2.84402,7.20065,4.00211
HS,2217,1739356367996,0.64905,-2.178,9.252,4.03362,1.88288,4.00211
HS,2218,1739356368013,-0.24105,-0.28905,8.907,5.85348,4.46692,3.79728
HS,2219,1739356368031,-1.32105,1.51005,11.01405,0.11817,8.10664,3.72637
HS,2220,1739356368047,-1.08405,-0.93105,7.54695,2.77312,15.81149,5.26262
HS,2221,1739356368064,-1.08405,-0.93105,7.54695,-1.84349,-5.46745,3.79728
HS,2222,1739356368079,-0.81495,0.72,11.22,-4.85295,15.25214,3.44276
HS,2223,1739356368097,-1.04805,-1.91205,9.07005,-5.55411,5.45169,3.86818
HS,2224,1739356368114,-0.14505,-4.16805,8.05395,-0.9375,-2.32406,2.88341
HS,2225,1739356368130,-0.36795,-1.06995,10.14,3.82879,3.20641,3.30883
HS,2226,1739356368146,-0.31305,-0.72705,9.036,5.78258,4.12028,3.16702
HS,2227,1739356368163,-0.79095,0.64395,12.936,2.00893,1.18173,2.67858
HS,2228,1739356368179,-1.335,-1.93605,8.20005,0.95326,12.80203,3.02522
HS,2229,1739356368196,-1.335,-1.93605,8.20005,5.36503,3.83667,3.30883
HS,2230,1739356368211,0.61305,-1.92195,10.887,4.52995,8.60296,2.88341
HS,2231,1739356368228,-0.50895,1.12005,11.064,-2.47375,7.27155,2.39496
HS,2232,1739356368242,-0.669,-2.49195,9.903,-6.95642,-0.5042,2.11923
HS,2233,1739356368262,-1.05195,-3.483,7.81695,3.61608,-0.49632,3.37973
HS,2234,1739356368278,-0.92295,1.431,12.58395,0.46481,-4.07301,1.34717
HS,2235,1739356368295,-1.55505,0.198,7.731,0.04727,7.41336,1.06355
HS,2236,1739356368311,-1.55505,0.198,7.731,-2.26103,-6.23951,-0.19695
HS,2237,1739356368329,-0.34095,-1.96995,9.783,2.98583,-0.00788,-0.6145
HS,2238,1739356368345,-1.63905,-0.26295,10.434,1.02416,4.33299,-0.25998
HS,2239,1739356368362,-1.5,-3.12405,10.779,-1.70168,7.8309,-0.6854
HS,2240,1739356368379,-0.444,-3.09,9.62505,-0.8666,8.10664,-0.25998
HS,2241,1739356368394,-1.64595,-4.02195,10.01805,6.13709,4.04938,-0.96114
HS,2242,1739356368413,-1.03605,0.90495,10.96095,5.43594,17.83618,-0.82721
HS,2243,1739356368428,-1.04295,1.62495,9.843,0.46481,10.55675,-1.31565
HS,2244,1739356368444,-1.04295,1.62495,9.843,-4.1518,8.10664,-1.31565
HS,2245,1739356368459,-1.31805,-0.94995,7.24305,4.59297,12.93596,4.35663
HS,2246,1739356368478,-1.32105,-4.017,6.486,1.37868,-32.48957,-1.8041
HS,2247,1739356368495,-1.40895,1.61595,17.79,-4.2936,7.20065,-2.29255
HS,2248,1739356368509,-2.27595,-4.72995,4.91805,-0.51208,2.64706,1.13446
HS,2249,1739356368528,-0.15,0.603,8.586,5.36503,-23.46119,-1.24475
HS,2250,1739356368551,-0.222,0.531,12.594,2.77312,20.01055,-2.9937
HS,2251,1739356368567,-1.17195,0.81105,8.10705,0.39391,3.07249,-2.9228
HS,2252,1739356368585,1.16805,-2.54205,7.70205,5.64865,2.44223,-1.52049
HS,2253,1739356368600,-2.14905,1.83105,15.19905,-2.82038,1.81198,-3.62396
HS,2254,1739356368617,-2.14905,1.83105,15.19905,-4.57722,12.31358,-3.83667
HS,2255,1739356368633,-1.467,-4.30695,8.17905,-1.49685,-10.50948,-4.32512
HS,2256,1739356368651,-0.34605,-1.98705,11.37495,-0.37027,5.30989,-4.52995
HS,2257,1739356368670,-1.33305,0.32505,9.012,-0.8666,-13.1014,-3.83667
HS,2258,1739356368684,-1.81605,-4.04295,11.217,3.54518,3.56093,-5.09718
HS,2259,1739356368700,-0.31995,1.60605,10.521,3.19854,-6.94067,-3.9706
HS,2260,1739356368716,-0.13095,-0.306,9.036,3.40337,-1.96954,-4.74266
HS,2261,1739356368729,-0.13095,-0.306,9.036,-0.7957,-3.7185,-4.32512
HS,2262,1739356368744,-0.31005,0.59595,7.76205,-3.38761,-10.58038,-4.32512
HS,2263,1739356368760,-0.83205,-2.619,10.17105,-5.4123,-3.37186,-4.67175
HS,2264,1739356368776,-1.24905,-0.67005,8.62695,-7.02733,-4.14392,-4.81356
HS,2265,1739356368792,-0.85605,-2.214,7.65195,-6.18436,-6.23951,-4.46692
HS,2266,1739356368810,-0.85605,-2.214,7.65195,-2.61555,-7.98846,-4.81356
HS,2267,1739356368827,-0.31995,-2.379,10.08495,-2.12711,4.12028,-4.74266
HS,2268,1739356368843,-1.94595,-2.427,9.19605,1.79622,3.27732,-3.76576
HS,2269,1739356368859,-0.83205,-0.63105,8.916,1.51261,-5.40442,-3.13551
HS,2270,1739356368876,-0.54705,-2.23605,11.70795,-1.42595,5.5226,-2.9937
HS,2271,1739356368893,-0.339,-2.23095,8.38005,-1.49685,2.22952,-2.64706
HS,2272,1739356368909,0.25905,1.065,11.29605,4.52207,-14.57461,-2.57616
HS,2273,1739356368926,0.25905,1.065,11.29605,-2.19013,8.9496,-2.08771
HS,2274,1739356368942,-1.25595,-0.768,9.05295,-0.7957,1.94591,-1.45746
HS,2275,1739356368957,-1.45695,-1.716,6.53595,2.35557,-20.72746,-0.82721
HS,2276,1739356368976,-0.83505,-1.299,11.00895,-1.9853,-1.69381,-0.33088
HS,2277,1739356368991,0.354,-1.18905,8.76105,-3.104,-4.63236,-0.40179
HS,2278,1739356369010,-0.30105,-2.82495,7.98495,2.49738,-8.76052,0.85872
HS,2279,1739356369027,-1.10295,-0.04695,9.393,5.50684,-11.35244,0.64601
HS,2280,1739356369043,-1.395,0.711,11.811,-2.40284,6.14497,1.27626
HS,2281,1739356369059,-1.395,0.711,11.811,-2.89129,5.16808,0.99265
HS,2282,1739356369074,-0.693,-1.22505,7.779,-0.72479,-5.19171,1.20536
HS,2283,1739356369091,-1.02405,-0.71295,9.21105,-1.9144,-3.7894,1.48897
HS,2284,1739356369107,-0.894,-2.037,10.72905,-2.12711,0.7563,1.552
HS,2285,1739356369124,-1.60305,-3.471,9.53895,0.74843,1.52837,2.11923
HS,2286,1739356369139,-0.91095,-1.21095,10.77,3.96272,-0.70904,1.48897
HS,2287,1739356369158,-0.741,1.49805,9.414,1.37868,-4.49056,1.69381
HS,2288,1739356369173,-0.741,1.49805,9.414,-0.8666,-8.34298,0.99265
HS,2289,1739356369192,-0.46605,-0.58395,9.49305,-2.47375,-6.23951,1.69381
HS,2290,1739356369208,-1.07895,-2.48895,8.49495,0.323,-7.22428,2.39496
HS,2291,1739356369224,-1.29195,-1.56,10.91595,3.54518,1.81198,3.51366
HS,2292,1739356369241,-1.62705,-1.52205,10.50105,1.02416,1.25263,3.23793
HS,2293,1739356369257,0.096,-0.24405,8.81295,0.95326,-3.8603,2.46587
HS,2294,1739356369274,-0.327,-0.32505,10.64295,-2.68646,-7.15338,2.32406
HS,2295,1739356369289,-1.31295,-1.05,7.863,-3.31671,-2.11135,2.7416
HS,2296,1739356369306,-1.31295,-1.05,7.863,-3.45064,-6.86976,2.95431
HS,2297,1739356369324,-0.83895,-1.63005,9.59895,-0.02363,-1.20536,3.30095
HS,2298,1739356369339,-2.05095,-1.04805,10.09695,-1.49685,-1.26839,3.02522
HS,2299,1739356369357,-1.29195,-1.52895,9.98205,-2.19013,2.01681,2.81251
