ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,401,1739355174110,-0.83505,-5.41305,10.33905,7.81514,-6.54676,-12.31358
HS,402,1739355174125,-0.19305,1.07505,9.618,11.03732,-1.92227,-11.89604
HS,403,1739355174141,2.72205,0.55005,11.91405,-8.21693,-6.05043,-13.43228
HS,404,1739355174159,0.141,0.21,8.37495,-7.79151,-6.54676,-8.74477
HS,405,1739355174174,0.141,0.21,8.37495,7.18489,-11.58091,-8.25632
HS,406,1739355174192,-2.69505,-7.53705,8.37,21.32621,-6.9643,-10.63553
HS,407,1739355174208,-3.35595,3.438,10.26,6.90915,-9.1308,-14.40917
HS,408,1739355174225,-2.274,-2.499,11.61705,-6.74371,-8.0121,-13.29047
HS,409,1739355174243,-0.74805,0.34395,9.47205,-14.09405,-5.14444,-13.43228
HS,410,1739355174258,-0.21405,-1.20795,7.968,-12.90444,-3.95484,-7.06672
HS,411,1739355174274,-1.48095,-5.28405,9.61305,-2.47375,-5.7747,-7.8309
HS,412,1739355174290,-0.909,-0.66495,11.16705,0.39391,-3.32459,-8.31935
HS,413,1739355174307,-0.909,-0.66495,11.16705,-4.43541,-7.59456,-9.37502
HS,414,1739355174322,-0.957,0.57195,9.489,-10.38343,-7.31094,-8.81567
HS,415,1739355174339,-0.50205,-1.12005,10.12095,-11.2973,-3.81303,-7.62607
HS,416,1739355174356,-1.797,-4.94595,8.16495,4.87659,-3.67123,-6.22375
HS,417,1739355174373,-1.275,-1.24395,9.12,17.12714,-0.59874,-7.27155
HS,418,1739355174391,-2.412,-0.22395,11.18895,-0.51208,2.97795,-6.43646
HS,419,1739355174408,-0.76005,-4.161,11.325,-6.4601,2.48162,-8.32722
HS,420,1739355174423,-0.76005,-4.161,11.325,-0.8666,-10.32828,-7.9018
HS,421,1739355174438,-0.77205,-3.13395,10.458,7.11399,-6.47586,-9.0205
HS,422,1739355174457,-1.218,-0.92805,9.72105,13.55833,-8.29571,-8.88658
HS,423,1739355174473,0.405,-1.81395,10.21905,9.00475,-1.92227,-7.27155
HS,424,1739355174491,-0.67905,0.816,9.951,2.00893,-5.70379,-7.41336
HS,425,1739355174506,0.96495,0.28905,9.66795,-14.7952,-5.00264,-8.11452
HS,426,1739355174522,0.37605,-0.75795,7.506,-8.91021,-17.25319,-6.85401
HS,427,1739355174539,-1.56495,-4.99395,9.16095,-8.77628,-7.80727,-6.7831
HS,428,1739355174556,-1.56495,-4.99395,9.16095,5.57774,-12.98322,-9.86347
HS,429,1739355174572,-0.99705,-2.30295,10.26705,5.50684,-3.11188,-6.15285
HS,430,1739355174590,0.54405,1.14405,9.37095,6.06619,-4.02574,-12.17177
HS,431,1739355174606,0.687,-0.20295,8.991,0.25998,-6.40495,-4.61661
HS,432,1739355174622,-2.082,-0.08595,7.97805,2.35557,-1.08719,-2.79675
HS,433,1739355174639,-0.69795,-4.089,7.57605,4.24633,0.31513,-1.81198
HS,434,1739355174654,-0.69795,-4.089,7.57605,2.70221,4.09665,-1.32353
HS,435,1739355174669,0.108,-0.351,10.044,-2.40284,2.20589,-1.74108
HS,436,1739355174687,-2.59395,-1.311,9.78795,3.96272,-5.49896,-0.34664
HS,437,1739355174703,1.008,-1.872,10.317,5.01839,4.37238,0.21271
HS,438,1739355174720,-0.84705,-1.92705,9.48405,9.07565,-4.44329,-0.62238
HS,439,1739355174736,-0.483,0.25305,9.83295,6.97218,-1.71744,-1.39444
HS,440,1739355174754,-0.60495,0.55995,9.903,-3.59245,-7.31882,-0.55147
HS,441,1739355174770,-1.26795,-2.17605,9.90795,-13.25108,-7.38184,-0.48057
HS,442,1739355174786,-1.26795,-2.17605,9.90795,-10.17072,-10.74582,-0.69328
HS,443,1739355174802,-1.96695,-4.146,9.91695,-1.21324,-9.34351,0.35452
HS,444,1739355174816,0.807,-3.294,10.48905,9.14655,-6.26314,-1.81198
HS,445,1739355174834,-1.749,-3.91905,9.417,18.10403,-8.15391,2.17437
HS,446,1739355174852,-3.399,2.739,10.19505,9.42229,9.48532,3.36398
HS,447,1739355174869,-0.41805,-0.43005,10.26705,-3.52154,10.39131,0.84296
HS,448,1739355174885,0.771,-0.79395,8.562,-10.87187,-1.36292,3.29307
HS,449,1739355174900,0.771,-0.79395,8.562,-12.4869,-1.08719,2.87553
HS,450,1739355174919,-2.997,-5.50095,10.55595,-9.68227,-0.31513,5.39655
HS,451,1739355174936,-0.72705,-2.57595,9.78105,-0.7957,3.88394,6.0268
HS,452,1739355174953,-0.82995,-3.435,10.40595,6.3498,0.10242,4.20694
HS,453,1739355174968,-1.06005,1.66095,9.70605,6.48373,-1.29202,5.32564
HS,454,1739355174984,-3.54495,1.08195,10.57095,-6.88552,9.1308,5.39655
HS,455,1739355175003,-0.84705,-1.053,7.21905,-5.69592,-1.43383,4.979
HS,456,1739355175018,0.05295,-3.00195,10.638,-6.39707,10.32828,5.74319
HS,457,1739355175034,0.05295,-3.00195,10.638,-11.43122,18.93124,4.62449
HS,458,1739355175050,-1.677,-2.78205,10.66695,-6.39707,5.07354,3.7894
HS,459,1739355175067,-2.28795,-2.23095,9.05505,4.94749,2.97795,3.50579
HS,460,1739355175087,-0.59805,-1.60395,8.82105,6.208,1.64654,2.52889
HS,461,1739355175102,0.09795,-0.57405,9.40995,3.47427,8.22481,2.45799
HS,462,1739355175119,-0.92595,-0.94005,7.719,-0.30725,6.05831,3.7894
HS,463,1739355175136,0.02595,-1.07205,9.92205,-10.38343,9.48532,1.12658
HS,464,1739355175153,3.414,-4.28505,10.26405,-11.50213,9.62712,1.61502
HS,465,1739355175172,3.414,-4.28505,10.26405,-12.06148,13.54257,3.08824
HS,466,1739355175188,-0.363,-3.75405,9.687,2.98583,2.41072,-0.55147
HS,467,1739355175204,-3.93795,-0.74205,11.41095,5.43594,16.83565,2.59192
HS,468,1739355175221,-1.21005,-2.166,9.03105,14.53522,13.68438,1.61502
HS,469,1739355175238,-0.741,-0.378,8.868,8.86294,12.21116,2.31618
HS,470,1739355175253,-0.60495,0.63195,9.201,0.67752,7.52365,1.47322
HS,471,1739355175268,-0.58605,-0.97905,10.872,-8.07512,2.97795,0.07878
HS,472,1739355175284,-0.58605,-0.97905,10.872,-9.33563,7.17701,2.45799
HS,473,1739355175302,1.75695,-3.663,9.79995,-3.66335,9.1308,0.49632
HS,474,1739355175312,-1.33695,-5.17305,8.85195,6.48373,5.07354,1.33929
HS,475,1739355175332,-1.641,-3.28905,10.125,8.5872,7.31094,0.21271
HS,476,1739355175343,-1.06905,-0.564,9.378,8.79992,17.88345,1.12658
HS,477,1739355175368,-1.83795,-0.95205,10.968,2.91492,18.09616,0.91387
HS,478,1739355175386,-2.52495,0.94305,8.74395,0.74843,12.98322,-0.90599
HS,479,1739355175402,-0.90195,-1.94805,7.93695,-2.89129,2.06408,-1.67017
HS,480,1739355175418,-0.90195,-1.94805,7.93695,-5.3414,-3.67123,-2.93068
HS,481,1739355175435,-1.79205,-2.427,9.12705,0.11817,-5.7747,-3.07249
HS,482,1739355175453,-1.704,-5.32395,9.23205,8.23269,3.04885,-1.88288
HS,483,1739355175471,0.378,-0.27195,9.97005,10.19435,7.80727,-3.70274
HS,484,1739355175483,-1.34205,-1.98705,8.32005,13.06988,6.61766,-3.3561
HS,485,1739355175503,-3.44205,2.02995,11.35605,1.44958,20.12085,-3.427
HS,486,1739355175516,-0.48495,-2.07,9.213,-2.75736,9.13868,-5.73531
HS,487,1739355175534,-0.48495,-2.07,9.213,-5.82985,8.36662,-3.14339
HS,488,1739355175553,1.54005,0.486,9.639,-18.71065,6.75159,-4.5457
HS,489,1739355175570,-1.56495,-4.41,10.57305,-15.843,0.45693,-2.93068
HS,490,1739355175578,-2.86995,-4.89795,9.57,-0.7957,4.58509,-1.11082
HS,491,1739355175594,-1.49505,-3.14295,10.116,16.35508,2.90704,-4.26209
HS,492,1739355175618,0.49095,-0.45705,11.823,11.03732,26.63609,-3.91545
HS,493,1739355175629,-1.13895,0.26295,9.45705,5.15232,10.60402,-4.96325
HS,494,1739355175643,-1.13895,0.26295,9.45705,4.03362,15.64604,-2.79675
HS,495,1739355175660,-0.339,-3.36795,7.89405,-1.00053,9.69803,-4.89234
HS,496,1739355175676,-2.28495,0.273,11.37795,-0.37027,18.30099,-4.82144
HS,497,1739355175693,-2.90295,-2.121,9.57705,-4.43541,8.15391,-7.55517
HS,498,1739355175709,0.52005,-0.03495,10.269,-8.21693,12.28207,-8.04361
HS,499,1739355175725,-0.729,-5.47305,8.694,-3.45064,6.8934,-7.12974
HS,500,1739355175744,-3.756,-1.45005,8.51205,8.23269,13.61348,-7.9018
HS,501,1739355175759,-3.756,-1.45005,8.51205,12.08511,3.74213,-9.16231
HS,502,1739355175776,-2.32605,-2.36295,7.899,5.64865,7.17701,-10.07618
HS,503,1739355175792,-1.10295,-0.78495,10.40595,-1.07143,17.4659,-10.14708
HS,504,1739355175810,-0.11895,-4.422,9.18705,-3.1749,12.56568,-10.98217
HS,505,1739355175825,0.45,-2.97795,8.15295,4.80568,13.89709,-11.39971
HS,506,1739355175842,-2.15595,-1.68,11.109,5.78258,18.5846,-12.66022
HS,507,1739355175858,-1.488,-1.47405,9.651,4.10453,12.91232,-15.25214
HS,508,1739355175875,-1.488,-1.47405,9.651,5.50684,14.73218,-13.15654
HS,509,1739355175892,-0.66195,-2.88405,8.313,14.60613,19.77421,-12.52629
HS,510,1739355175909,-1.34505,-3.72,5.028,18.10403,3.39549,-12.10087
HS,511,1739355175925,-2.74995,-0.40395,12.276,6.90915,13.12503,-15.60665
HS,512,1739355175942,-3.90195,-0.14505,10.08,1.44958,20.19175,-16.44174
HS,513,1739355175957,-0.53295,0.531,11.196,-8.21693,11.51788,-17.77315
HS,514,1739355175974,-2.175,-4.43595,8.622,-7.51577,8.92597,-18.68702
HS,515,1739355175991,-0.55695,-2.679,11.32305,1.23687,-4.58509,-20.15236
HS,516,1739355176009,-0.55695,-2.679,11.32305,0.95326,4.656,-20.6408
HS,517,1739355176024,-2.499,-1.11495,10.75005,5.50684,-1.29202,-21.55467
HS,518,1739355176041,1.00095,-2.38395,9.462,7.67334,2.06408,-22.95699
HS,519,1739355176058,-1.64595,-1.68495,9.501,6.41283,-1.85925,-24.91077
HS,520,1739355176074,-3.65505,-2.59995,10.674,7.3267,8.083,-24.84775
HS,521,1739355176091,-1.074,-1.42395,10.008,5.57774,10.04467,-26.17128
