ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,1201,1739358751746,-2.433,-1.44,8.64105,-5.97165,7.12974,4.20694
HS,1202,1739358751765,-2.433,-1.44,8.64105,-5.19959,1.94591,3.57669
HS,1203,1739358751780,-0.72795,-4.239,9.12705,0.25998,1.03992,2.87553
HS,1204,1739358751797,-1.48005,0.606,11.691,-1.77259,0.33876,3.29307
HS,1205,1739358751813,-1.128,-1.653,10.248,-1.84349,3.90757,3.01734
HS,1206,1739358751830,-1.647,-1.122,9.62505,-0.71691,-1.13446,3.29307
HS,1207,1739358751847,-0.52395,-3.066,10.21395,2.71009,-0.07878,2.52889
HS,1208,1739358751863,0.114,-2.22105,8.56905,3.9706,-1.82774,2.94644
HS,1209,1739358751880,-0.57705,-1.443,9.11295,7.68122,-6.23951,3.7185
HS,1210,1739358751897,-0.57705,-1.443,9.11295,11.10822,3.90757,3.36398
HS,1211,1739358751913,-0.55095,-1.27005,8.73,8.02785,6.49949,3.01734
HS,1212,1739358751930,-1.39305,1.992,11.28705,0.40179,-2.45799,2.80463
HS,1213,1739358751945,0.28905,-3.03195,8.87805,6.208,13.29047,3.08824
HS,1214,1739358751963,-1.278,-0.12105,7.72395,6.42071,-4.41965,3.36398
HS,1215,1739358751980,-0.627,0.69495,10.11795,2.49738,-5.33352,3.99423
HS,1216,1739358751997,0.0,0.42405,9.25905,-1.84349,3.83667,2.52889
HS,1217,1739358752014,0.0,0.42405,9.25905,-7.30306,3.90757,2.38709
HS,1218,1739358752028,-0.53595,-1.53405,9.153,-8.27996,3.00158,1.61502
HS,1219,1739358752043,-1.053,-2.78805,8.643,-4.42753,-4.9081,0.77206
HS,1220,1739358752061,-0.13905,-1.17405,12.01905,-1.84349,1.81198,1.47322
HS,1221,1739358752079,0.36105,-2.154,8.89005,2.00893,-0.4333,0.98477
HS,1222,1739358752095,-0.97695,0.31095,12.05505,-1.28414,6.57039,1.61502
HS,1223,1739358752113,-0.50505,-1.419,9.984,-1.48897,1.18173,1.47322
HS,1224,1739358752129,-0.50505,-1.419,9.984,-0.92962,-0.70904,1.47322
HS,1225,1739358752145,-2.088,-2.58705,10.94895,-0.92962,-5.12081,0.77206
HS,1226,1739358752163,-1.41705,-1.72995,11.478,2.15074,3.49003,0.70904
HS,1227,1739358752178,-0.77595,0.20895,11.268,-0.78782,11.95906,0.42542
HS,1228,1739358752195,0.06105,-0.657,9.10095,-7.86241,-2.81251,-1.11082
HS,1229,1739358752212,-0.65805,-2.958,7.66695,0.40179,5.72743,0.35452
HS,1230,1739358752227,-1.44795,-3.57795,9.333,4.81356,2.85978,-0.13393
HS,1231,1739358752244,-1.65,-0.162,9.50505,7.4685,5.79833,0.00788
HS,1232,1739358752263,-1.65,-0.162,9.50505,2.56828,-4.49056,-0.48057
HS,1233,1739358752278,1.40505,2.313,12.30705,-3.30883,8.39025,-0.13393
HS,1234,1739358752293,-1.056,-1.263,7.43895,-2.11923,8.9496,-1.18173
HS,1235,1739358752312,-1.48395,-2.84805,10.69995,-6.04256,-2.25316,-1.0478
HS,1236,1739358752329,-1.803,-5.63295,9.237,7.88605,5.45169,-2.02469
HS,1237,1739358752346,0.53295,-2.142,9.64905,9.21746,-13.87346,-1.60715
HS,1238,1739358752362,-0.33,1.81005,12.774,-0.29937,-5.89287,-1.25263
HS,1239,1739358752378,0.17895,-1.35405,8.421,0.04727,10.76946,-1.60715
HS,1240,1739358752394,0.17895,-1.35405,8.421,2.9228,-6.31041,-0.62238
HS,1241,1739358752410,-0.73695,-1.842,8.44695,-0.78782,-8.83143,-1.0478
HS,1242,1739358752427,-0.94605,0.06195,10.30695,-2.53677,10.42282,-0.13393
HS,1243,1739358752444,-0.62205,-0.906,7.449,-5.2705,-1.19748,-0.13393
HS,1244,1739358752461,-0.64395,-3.03705,11.38005,-7.5788,-1.96954,0.07878
HS,1245,1739358752478,-1.51605,-0.86295,10.52505,-3.79728,12.24267,-0.20483
HS,1246,1739358752494,-1.18305,-1.27305,8.59995,0.11817,-4.41965,-0.20483
HS,1247,1739358752510,-1.18305,-1.27305,8.59995,3.9706,-4.63236,-0.69328
HS,1248,1739358752526,-1.54395,-0.97095,8.916,6.69644,1.81198,1.05567
HS,1249,1739358752543,1.39995,-1.41405,8.622,-10.65916,-8.41389,-1.11082
HS,1250,1739358752560,2.02005,3.051,13.00305,-24.65867,10.48584,-3.2852
HS,1251,1739358752577,-1.84395,-2.06505,8.82105,-8.42176,9.0205,-0.34664
HS,1252,1739358752594,-0.63,-5.58195,9.41205,22.31098,-17.08775,0.77206
HS,1253,1739358752610,-0.318,3.32295,13.707,-2.04832,-12.95959,-0.90599
HS,1254,1739358752627,-0.318,3.32295,13.707,6.06619,-2.81251,-1.74108
HS,1255,1739358752643,-4.71705,-1.99095,7.413,6.06619,-22.20068,0.21271
HS,1256,1739358752662,0.13605,-3.34095,6.82605,2.49738,-13.1723,2.45799
HS,1257,1739358752675,1.58595,-0.78195,12.61995,8.87082,9.36714,-1.25263
HS,1258,1739358752685,1.69905,0.22305,6.153,7.53941,17.00109,1.19748
HS,1259,1739358752705,-1.65705,1.15905,12.01695,-2.47375,-20.52263,-0.06303
HS,1260,1739358752724,0.24105,-0.98505,7.81305,6.2789,8.59508,0.21271
HS,1261,1739358752742,0.672,-1.79895,9.18705,-4.78205,-8.90233,0.00788
HS,1262,1739358752760,0.672,-1.79895,9.18705,1.59139,-6.59403,0.35452
HS,1263,1739358752775,-1.30695,-5.98005,8.45205,19.93177,8.24844,1.96166
HS,1264,1739358752792,-1.38105,-1.03305,6.07395,18.31674,1.52837,1.96166
HS,1265,1739358752810,-0.888,3.64695,20.11395,-29.97644,-45.08677,-0.34664
HS,1266,1739358752824,0.969,-0.55905,4.49895,-29.7007,66.13724,-3.49791
HS,1267,1739358752842,-1.389,-7.452,3.714,-4.78205,-4.21482,7.77575
HS,1268,1739358752857,-4.647,-6.63795,13.59495,42.95966,-57.33732,-4.19119
HS,1269,1739358752886,1.455,1.224,1.923,3.34034,15.25214,6.23163
HS,1270,1739358752900,4.30605,4.71,7.45095,-19.82935,-27.24271,0.56723
HS,1271,1739358752910,4.30605,4.71,7.45095,-15.63029,-18.90761,0.42542
HS,1272,1739358752924,-1.85505,-0.95595,9.25905,6.42071,18.53733,1.12658
HS,1273,1739358752943,-2.607,-2.448,11.30295,-14.22797,-3.93121,0.21271
HS,1274,1739358752959,-1.62105,-2.60595,7.93695,3.55305,10.0683,1.75683
HS,1275,1739358752976,0.26505,2.46405,13.46295,1.30778,-6.38132,0.28361
HS,1276,1739358752992,0.624,-3.51405,7.81995,-17.0326,-3.08824,-2.93856
HS,1277,1739358753008,0.624,-3.51405,7.81995,-0.22847,4.60873,-0.55147
HS,1278,1739358753026,-0.603,-3.93495,8.43495,9.21746,1.52837,2.59192
HS,1279,1739358753042,-0.22695,2.43795,12.996,-3.52154,1.59927,0.56723
HS,1280,1739358753056,2.22795,-2.37195,3.59895,5.30201,0.6854,-2.37133
