ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1201,1739351966516,1.19043,-6.08794,7.20928,1.51058,-13.91561,-1.51058
Abj,1202,1739351966532,-1.4997,-0.96879,14.47747,-6.78996,38.93165,2.76176
Abj,1203,1739351966547,-1.4997,-0.96879,14.47747,4.19604,-15.25834,2.02936
Abj,1204,1739351966562,-0.17258,-2.43978,9.27907,-14.05293,25.13811,5.93549
Abj,1205,1739351966580,0.15793,-0.31735,12.77169,-2.45659,43.93639,6.42376
Abj,1206,1739351966598,-1.75603,-4.54307,7.334,1.44954,-28.86115,6.11859
Abj,1207,1739351966612,-2.18704,-0.45374,13.34657,-19.3018,55.03683,6.05756
Abj,1208,1739351966629,-2.16072,-2.11406,11.67937,-0.74766,42.53262,5.38619
Abj,1209,1739351966646,-2.16072,-2.11406,11.67937,19.69089,17.08171,15.21256
Abj,1210,1739351966665,-1.37976,-6.16002,0.58594,-0.56456,-50.65005,2.51763
Abj,1211,1739351966682,-1.63849,0.17617,15.09542,5.96601,67.0604,1.17489
Abj,1212,1739351966698,-4.04357,-1.38335,11.60519,3.09744,-3.35683,6.42376
Abj,1213,1739351966716,-0.15105,1.48176,3.31675,-16.006,-10.4367,-3.03641
Abj,1214,1739351966733,-2.06022,1.34267,10.32114,-16.86047,-0.30517,-2.91434
Abj,1215,1739351966751,-0.6326,-3.18245,7.71954,-16.7384,-16.23487,-6.88151
Abj,1216,1739351966763,-0.6326,-3.18245,7.71954,-3.31106,1.40377,-4.37914
Abj,1217,1739351966781,-0.57727,-10.27059,9.91137,-0.86973,-6.7747,-5.90498
Abj,1218,1739351966804,-1.49492,-1.43121,11.53341,-4.71483,10.86394,-5.41671
Abj,1219,1739351966815,-1.37976,2.02792,9.87069,-7.40029,11.1691,-9.25418
Abj,1220,1739351966832,-0.97986,-5.95873,9.42533,2.36504,15.73898,-8.70488
Abj,1221,1739351966847,-0.97986,-5.95873,9.42533,14.38098,-1.2817,-7.78938
