ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,201,1739352579190,-2.628,0.01905,6.10305,-16.89079,-5.63289,19.46696
HS,202,1739352579210,3.33795,-3.54495,11.15505,-11.71484,10.81673,17.30046
HS,203,1739352579226,0.76905,-1.434,12.79995,-7.16126,-2.33982,18.56097
HS,204,1739352579242,-2.06505,-2.238,3.81195,-0.8666,-6.47586,15.26789
HS,205,1739352579259,-0.921,-3.08595,22.59195,-0.30725,10.11557,21.0741
HS,206,1739352579271,-0.123,-4.22505,1.39305,6.41283,9.91074,22.89396
HS,207,1739352579292,7.884,-2.13705,25.638,-2.0562,21.17652,20.51475
HS,208,1739352579308,-3.918,-3.83295,1.305,23.84722,23.83934,23.94963
HS,209,1739352579326,5.69595,-3.61005,21.98205,5.43594,2.97795,34.09672
HS,210,1739352579341,5.69595,-3.61005,21.98205,30.21278,5.14444,23.46119
HS,211,1739352579357,4.137,-1.12905,3.28695,14.74793,3.25368,17.22956
HS,212,1739352579376,-2.31405,2.17395,18.33795,11.73847,1.2999,22.27159
HS,213,1739352579391,1.599,-0.9,3.50295,18.947,-2.76524,19.32515
HS,214,1739352579409,-4.87395,-1.97505,15.21105,27.90448,10.18647,25.28105
HS,215,1739352579425,-0.82305,0.01905,8.92395,7.81514,14.18071,17.01685
HS,216,1739352579441,1.848,-0.88005,13.93005,4.17543,12.36085,13.58984
HS,217,1739352579457,1.848,-0.88005,13.93005,12.22692,0.03939,13.37713
HS,218,1739352579473,3.33795,-1.24695,2.598,0.53572,21.80677,9.31987
HS,219,1739352579487,-3.00105,-1.82595,6.414,16.77262,-4.37238,6.23951
HS,220,1739352579508,-2.03595,-0.897,9.108,7.60243,7.73636,7.57092
HS,221,1739352579524,-0.59295,-1.00995,7.48005,7.18489,4.93961,4.8372
HS,222,1739352579542,-2.69505,-3.97395,6.29505,4.31724,8.29571,6.16861
HS,223,1739352579559,4.188,-1.49295,10.63305,13.62923,7.46063,3.43488
HS,224,1739352579574,4.188,-1.49295,10.63305,7.04308,7.80727,-0.27574
HS,225,1739352579589,-0.17595,0.01605,10.22805,2.21377,16.20539,-2.71797
HS,226,1739352579607,-3.684,0.85695,6.44295,-4.00999,6.61766,1.33929
HS,227,1739352579624,3.04305,-3.861,15.29505,12.29782,6.33405,-2.51314
HS,228,1739352579639,0.345,-4.54095,6.702,-4.78205,9.28048,-1.03992
HS,229,1739352579656,-0.183,-2.08695,19.97595,-2.0562,45.67763,-0.76418
HS,230,1739352579671,-4.24605,1.74,10.10895,-21.79102,14.52734,-4.96325
HS,231,1739352579691,-1.08405,-3.033,8.35095,-24.24113,2.34769,-5.38079
HS,232,1739352579707,-1.08405,-3.033,8.35095,-6.39707,20.68807,-2.58404
HS,233,1739352579723,-1.71105,-4.86,8.73405,9.635,-27.61298,6.79886
HS,234,1739352579739,-0.10395,-2.94,12.084,9.49319,-31.95386,-2.65494
HS,235,1739352579755,0.891,4.95105,31.947,4.17543,1.78834,-9.93437
HS,236,1739352579772,2.229,-4.56495,-1.55295,-20.60141,4.79781,-14.83459
HS,237,1739352579788,-0.279,-2.50905,20.16195,3.05673,-14.17283,-12.17177
HS,238,1739352579806,-2.04795,-1.41705,1.24695,8.93384,7.38972,-18.75004
HS,239,1739352579822,-2.04795,-1.41705,1.24695,-26.48641,-30.83516,-22.60247
HS,240,1739352579839,0.64695,-3.234,25.13505,2.63919,-27.54208,-22.53156
HS,241,1739352579855,1.47705,1.326,2.73195,-13.11715,8.78416,-16.78838
HS,242,1739352579872,1.518,-3.13395,6.52395,-4.00999,-15.57514,-18.60824
HS,243,1739352579888,1.55205,-0.13095,11.21505,2.35557,-7.59456,-17.00109
HS,244,1739352579907,0.88395,-1.31895,6.69,3.89969,-5.90863,-17.41863
HS,245,1739352579922,3.12705,3.28005,9.62295,-3.0331,-4.51419,-14.76369
HS,246,1739352579938,0.28995,-3.33705,9.45,-13.5347,-4.01787,-13.14866
HS,247,1739352579956,0.28995,-3.33705,9.45,-11.22639,23.83934,-9.09141
HS,248,1739352579968,-0.30795,-5.48505,3.93105,7.67334,4.86871,-11.61242
HS,249,1739352579990,0.453,-0.46095,10.896,-18.63975,-18.5137,-11.32881
HS,250,1739352580008,-0.198,-3.74205,9.01005,-7.86241,26.8488,-4.67963
HS,251,1739352580018,0.83295,-2.619,9.534,7.88605,-12.35297,-8.9496
HS,252,1739352580039,-4.03305,-0.78705,7.27395,1.93803,5.21535,4.41965
HS,253,1739352580055,-3.46605,-3.414,8.01105,7.60243,-10.04467,-4.04938
HS,254,1739352580072,-3.46605,-3.414,8.01105,-4.85295,-36.64137,-3.90757
HS,255,1739352580089,1.59195,-6.09795,13.09905,9.98952,0.31513,3.37186
HS,256,1739352580105,4.30005,2.214,4.317,-7.44487,-8.22481,-4.19119
HS,257,1739352580119,1.03005,2.33595,17.39205,-19.55362,-3.04097,1.68593
HS,258,1739352580139,-1.75395,-1.93605,4.281,-1.70168,12.84929,0.56723
HS,259,1739352580154,-1.30905,-1.78605,15.57495,-6.67281,-16.26842,-2.37133
HS,260,1739352580171,1.03695,-0.37305,4.836,-3.87606,12.43175,2.24528
HS,261,1739352580188,1.03695,-0.37305,4.836,5.22323,-13.40077,0.3624
HS,262,1739352580205,-1.215,0.165,8.60505,-11.50213,-8.35874,0.07878
HS,263,1739352580221,0.25905,-7.563,8.811,9.5641,18.72641,1.552
HS,264,1739352580237,0.168,-2.52105,5.92095,12.50266,-27.88872,6.58615
HS,265,1739352580256,-0.07605,0.816,14.718,-0.44118,-10.53311,4.06514
HS,266,1739352580269,0.77805,-2.69295,5.98095,2.56828,22.57883,9.73742
HS,267,1739352580286,-0.111,-4.66305,11.10705,4.31724,-25.43861,2.52889
HS,268,1739352580304,0.82605,-3.55305,10.89195,2.28467,0.03939,5.9559
HS,269,1739352580316,0.82605,-3.55305,10.89195,1.30778,-0.38603,4.13604
HS,270,1739352580337,-2.97495,-0.21195,8.79705,2.21377,-16.20539,2.45799
HS,271,1739352580354,0.23505,-3.399,12.40695,-1.84349,-3.25368,2.87553
HS,272,1739352580371,3.02595,-1.38795,10.96305,-1.42595,3.88394,3.64759
HS,273,1739352580381,-0.681,-1.90005,10.50405,-0.16544,-2.89917,0.56723
HS,274,1739352580399,0.52905,-2.205,8.24595,-0.44118,-6.53888,8.20117
HS,275,1739352580420,-0.363,0.37605,15.55605,-13.6056,7.38972,9.31987
HS,276,1739352580438,0.11505,-7.38105,7.47,-5.82985,9.13868,12.47114
HS,277,1739352580454,0.11505,-7.38105,7.47,13.76316,1.2999,12.25843
HS,278,1739352580471,-3.27705,-1.13895,7.944,11.31305,-17.04048,11.76999
HS,279,1739352580487,-0.34905,-6.72,12.16095,23.21696,-1.15021,13.16442
HS,280,1739352580505,0.65595,1.14195,9.51495,10.54887,-1.43383,15.05518
HS,281,1739352580519,-0.09705,-1.46895,8.691,11.45486,-3.18278,19.39605
HS,282,1739352580537,-0.09705,-4.81695,11.655,9.14655,8.50842,16.31569
HS,283,1739352580551,-1.88295,-2.106,5.358,16.56779,-0.17332,17.50529
HS,284,1739352580570,-1.88295,-2.106,5.358,12.15602,-1.63866,16.11086
HS,285,1739352580586,0.60105,4.05105,10.57095,-4.43541,3.19066,14.70854
HS,286,1739352580600,-2.89395,-2.73105,6.98895,-4.92386,1.64654,16.38659
HS,287,1739352580619,-0.756,-6.19095,8.93805,13.06988,5.98741,15.05518
HS,288,1739352580634,0.51195,0.471,10.68795,6.76735,-2.20589,11.76999
HS,289,1739352580653,2.538,-0.435,10.32705,-4.2936,18.45067,13.16442
HS,290,1739352580670,-1.464,-2.877,7.461,-2.68646,17.19016,15.05518
HS,291,1739352580686,-1.464,-2.877,7.461,-0.9375,-1.57563,11.13973
HS,292,1739352580702,-0.34095,-3.59295,11.73,0.53572,10.39918,14.98428
HS,293,1739352580719,-0.34095,0.30105,11.256,-2.96219,7.10611,14.56674
HS,294,1739352580734,1.99695,-2.93205,9.47895,0.04727,11.10034,12.60507
HS,295,1739352580752,-5.262,0.60105,6.89295,2.71009,-2.55253,12.88869
HS,296,1739352580768,-0.29595,-5.17605,12.31095,-2.0562,0.24422,10.36767
HS,297,1739352580782,-1.323,-3.36795,8.12895,2.42648,-1.00841,9.03626
HS,298,1739352580802,-3.73605,-1.587,12.16995,1.51261,-1.00841,5.60926
HS,299,1739352580815,-3.73605,-1.587,12.16995,-4.71115,-2.48162,5.82197
HS,300,1739352580835,1.87695,-4.527,16.875,-13.5347,27.62086,-0.83509
HS,301,1739352580851,-2.00505,0.27705,8.847,-10.09981,8.85506,-0.40966
HS,302,1739352580864,-3.59295,-5.181,7.248,-0.72479,-21.23955,0.92175
HS,303,1739352580881,-2.54895,-2.12595,15.10095,-4.00999,8.99687,-2.93068
HS,304,1739352580902,-1.66095,-1.40505,5.34195,-0.30725,-9.2017,-4.33299
HS,305,1739352580919,1.86,-5.45805,13.01295,-12.4869,-20.26265,-3.84455
HS,306,1739352580935,1.176,-1.953,5.71005,0.88235,26.707,-0.06303
HS,307,1739352580953,1.176,-1.953,5.71005,6.83825,4.93961,-3.14339
HS,308,1739352580966,-1.97895,-5.11605,6.44805,8.30359,1.71744,-3.49003
HS,309,1739352580985,-1.39995,2.39595,12.59205,-1.9144,-45.1104,-4.4748
HS,310,1739352581001,-2.13195,-0.81105,6.89805,1.23687,-16.83565,-0.76418
HS,311,1739352581017,2.71995,0.72705,13.011,-12.20328,3.82091,-3.49003
HS,312,1739352581031,2.61495,-2.99895,6.165,1.79622,-5.7747,-0.96901
HS,313,1739352581051,-1.85205,-5.667,3.47205,12.71537,27.62086,-9.30412
HS,314,1739352581067,-1.85205,-5.667,3.47205,1.30778,-25.09197,3.57669
HS,315,1739352581085,4.494,6.828,18.58905,-8.00422,28.38505,7.1455
HS,316,1739352581100,0.43305,-3.27,1.36005,-4.08089,24.25688,2.6707
HS,317,1739352581117,0.96705,-4.25895,5.74605,11.24215,-13.68438,7.28731
HS,318,1739352581133,-0.696,0.75405,13.60695,0.18908,12.28994,6.72796
HS,319,1739352581152,-2.90295,-0.49995,7.79805,-7.23216,1.64654,6.72796
HS,320,1739352581166,0.891,-3.51195,11.646,-3.31671,1.22899,9.39078
HS,321,1739352581183,0.891,-3.51195,11.646,0.60662,8.65023,9.03626
HS,322,1739352581199,-1.05495,-2.38905,9.738,0.46481,3.67911,9.46168
HS,323,1739352581216,0.38295,2.22405,11.169,-4.08089,5.14444,11.41547
HS,324,1739352581230,2.67705,-1.407,11.65305,-5.82985,8.22481,9.80832
HS,325,1739352581252,-1.79505,-1.35195,8.358,3.40337,-3.88394,11.48637
HS,326,1739352581268,-1.52895,-0.33,9.795,8.5872,-2.76524,8.20117
HS,327,1739352581285,-3.20295,-1.06695,13.56105,-1.9853,5.14444,7.0746
HS,328,1739352581300,2.42505,-3.57405,10.95105,4.24633,-2.76524,9.17807
HS,329,1739352581316,2.42505,-3.57405,10.95105,2.21377,10.54099,7.28731
HS,330,1739352581332,-1.77795,1.57005,8.59995,7.81514,-3.88394,5.82197
HS,331,1739352581349,2.75295,-0.423,9.852,2.14286,1.3708,7.91756
HS,332,1739352581366,5.22,1.15095,7.2,9.14655,0.38603,6.51525
HS,333,1739352581382,-4.90995,-6.48795,13.01295,12.29782,-18.08828,4.979
HS,334,1739352581399,1.827,-0.567,14.17395,12.36873,13.12503,2.5998
HS,335,1739352581412,1.827,-0.567,14.17395,13.27472,14.81096,3.37186
HS,336,1739352581435,-2.53395,1.34505,3.51195,5.43594,12.07723,2.31618
HS,337,1739352581449,-0.34605,-0.87105,6.90495,-0.65389,-36.01111,-3.2852
HS,338,1739352581467,0.41895,-2.178,16.08495,11.94331,9.83983,1.05567
HS,339,1739352581483,0.41205,-1.35195,1.755,-8.49267,9.69803,0.56723
HS,340,1739352581499,-1.218,-2.62605,10.69005,9.84771,0.94538,1.75683
HS,341,1739352581516,-1.82295,-1.14405,11.658,4.66388,13.05413,2.45799
HS,342,1739352581533,-0.633,1.017,8.988,-4.64024,19.08093,2.52889
HS,343,1739352581549,-0.633,1.017,8.988,-1.28414,-1.57563,2.7416
HS,344,1739352581567,0.28695,3.14805,7.71705,-9.40654,-1.63866,3.8603
HS,345,1739352581583,-0.672,-0.77295,10.185,-8.00422,7.17701,3.08824
HS,346,1739352581597,-0.231,-6.67005,12.996,-3.59245,7.87817,1.41019
HS,347,1739352581617,-2.69505,-0.52605,7.93905,5.22323,13.12503,4.06514
HS,348,1739352581633,-0.49905,-0.29595,10.161,-2.68646,2.76524,-2.30043
HS,349,1739352581649,0.68505,2.18595,10.56405,-10.31252,3.04885,-3.07249
HS,350,1739352581666,2.145,-4.43595,8.29395,-11.08459,12.07723,0.56723
HS,351,1739352581683,2.145,-4.43595,8.29395,8.72901,10.67492,-0.48057
HS,352,1739352581699,0.58905,-2.20005,7.908,-0.58298,-3.32459,1.41019
HS,353,1739352581716,-0.909,1.326,13.32405,-4.57722,0.94538,-0.69328
HS,354,1739352581733,-1.194,0.36105,9.987,-10.94278,1.50473,-0.83509
HS,355,1739352581749,-1.536,-5.57295,12.09105,-11.78574,6.68857,-3.49003
HS,356,1739352581765,-1.467,-3.50505,7.83405,-3.1749,-6.33405,-3.84455
HS,357,1739352581782,-3.06405,-5.571,8.823,-3.0331,6.54676,-3.14339
HS,358,1739352581799,-0.51105,-4.00995,11.34405,-4.78205,-10.3204,-7.48426
HS,359,1739352581815,-0.51105,-4.00995,11.34405,9.98952,-3.04097,0.00788
HS,360,1739352581833,5.184,-0.816,3.405,-9.26473,-11.86452,-6.6413
HS,361,1739352581850,-0.57795,1.11795,11.76795,-1.42595,-2.33982,-6.85401
HS,362,1739352581866,3.05805,-0.37005,14.86095,-3.52154,5.98741,-10.76946
HS,363,1739352581883,-0.114,2.36805,3.94605,-1.55988,-10.46221,-12.17177
HS,364,1739352581898,0.64695,-0.318,7.23105,-1.55988,-3.95484,-13.64499
HS,365,1739352581914,-2.202,-0.43005,10.21905,-0.65389,-13.12503,-10.0683
HS,366,1739352581932,-2.202,-0.43005,10.21905,-6.81462,-11.30517,-12.02997
HS,367,1739352581948,-0.84195,-2.74095,9.354,-9.26473,2.56041,-14.33827
HS,368,1739352581966,-2.96505,-4.07205,13.32705,2.77312,-7.24004,-12.02997
HS,369,1739352581983,1.15605,-1.56795,5.78205,5.99529,-3.88394,-9.65076
HS,370,1739352582000,1.971,-2.76195,4.20405,13.20381,-8.64235,-8.74477
