ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,501,1739354373073,0.85035,-0.8348,10.80509,0.65611,3.90613,1.35799
Abj,502,1739354373092,0.44058,-2.64826,10.1677,-1.05283,-1.76997,2.39556
Abj,503,1739354373111,0.90299,-2.81815,8.17478,0.04578,10.68084,2.88383
Abj,504,1739354373123,0.90299,-2.81815,8.17478,3.34158,0.7324,3.18899
Abj,505,1739354373138,0.65623,-2.16431,9.29342,4.01294,7.26297,2.27349
Abj,506,1739354373155,0.92213,-0.29103,10.89123,1.51058,-0.79343,2.33453
Abj,507,1739354373173,0.62991,-0.52582,10.90559,-4.77586,0.30517,1.72419
Abj,508,1739354373194,0.29462,-0.95204,7.65015,-4.83689,-6.83574,3.92139
Abj,509,1739354373206,0.29462,-0.95204,7.65015,-1.84626,20.68268,0.68663
Abj,510,1739354373224,0.74028,-2.31506,7.1016,1.93781,-2.68547,1.29696
Abj,511,1739354373251,0.58445,-2.95005,10.27568,2.48711,4.08923,0.56456
Abj,512,1739354373269,1.05404,-3.46989,11.64108,4.31811,-4.45543,0.74766
Abj,513,1739354373286,0.97478,-0.86112,9.24796,0.65611,4.27234,-0.22888
Abj,514,1739354373299,0.54138,0.47557,9.6673,-4.53173,-6.71367,-0.28991
Abj,515,1739354373309,0.47438,-1.81675,10.21346,-5.38619,1.70893,0.86973
Abj,516,1739354373325,0.47438,-1.81675,10.21346,-0.80869,7.38504,-0.65611
Abj,517,1739354373341,0.82642,-4.31306,10.65165,4.68431,-1.03757,-0.77818
Abj,518,1739354373358,0.94367,-3.65175,9.1017,7.85042,9.76534,-0.90024
Abj,519,1739354373375,1.25743,0.19053,10.9032,2.97538,-10.86394,-0.96128
Abj,520,1739354373396,0.96042,0.19053,10.95584,-6.30169,5.55404,-1.44954
Abj,521,1739354373405,0.96042,0.19053,10.95584,-5.32516,-3.60097,1.23593
Abj,522,1739354373422,0.61555,-0.70289,9.40619,-6.60686,7.5071,-0.47301
Abj,523,1739354373442,0.71845,-3.10798,8.38325,3.82984,2.44133,-1.14438
Abj,524,1739354373458,0.31137,-3.65653,8.58934,1.69368,7.62917,-1.08334
Abj,525,1739354373475,1.10668,-1.95583,10.44318,2.97538,-5.8592,-0.83921
Abj,526,1739354373492,0.92213,0.66491,10.07677,-2.02936,-1.58687,0.50353
Abj,527,1739354373509,0.97478,-1.38096,10.13899,-3.73829,-2.31927,0.50353
Abj,528,1739354373532,-0.03829,-2.87797,7.41296,-4.34863,-6.10334,-2.24298
Abj,529,1739354373548,-0.03829,-2.87797,7.41296,-2.21246,23.67331,-0.22888
Abj,530,1739354373562,1.03011,-1.81675,9.69841,0.90024,-12.69494,-0.16784
Abj,531,1739354373575,1.20957,-1.52692,10.57987,0.77818,9.27707,0.44249
Abj,532,1739354373595,0.82642,-3.84347,10.4025,2.36504,-0.67137,0.86973
Abj,533,1739354373611,0.76421,-0.99272,10.12942,4.01294,-2.0141,0.74766
Abj,534,1739354373628,0.76421,-0.99272,10.12942,3.15848,3.60097,-0.90024
Abj,535,1739354373641,0.34008,-1.61575,9.14028,1.14438,1.2817,-2.12091
Abj,536,1739354373657,0.91256,-0.45852,10.57747,-3.18899,1.70893,-0.71714
Abj,537,1739354373674,0.6323,-2.86361,9.3676,1.99884,-1.4648,0.01526
Abj,538,1739354373694,1.47069,-2.66022,10.35225,4.98948,7.324,-1.99884
Abj,539,1739354373714,0.45733,-0.13998,10.72852,1.44954,-6.4085,-0.22888
