ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,501,1739352582848,0.88923,-1.80628,9.47468,-16.89861,2.88764,-7.44226
Ak,502,1739352582862,3.56441,-0.58355,12.14268,-13.0001,2.27731,-6.58016
Ak,503,1739352582878,2.1335,-3.32812,8.43859,-13.00773,4.85978,-4.10831
Ak,504,1739352582897,3.49741,-2.68445,12.65474,-12.65298,4.11975,-4.69575
Ak,505,1739352582915,2.23161,-2.95962,5.73709,-15.06761,6.63356,-3.28054
Ak,506,1739352582931,2.23161,-2.95962,5.73709,-56.85257,0.33568,-20.46906
Ak,507,1739352582946,-1.76201,1.26132,10.03221,-59.22143,12.49277,-9.63183
Ak,508,1739352582964,1.97797,0.29462,11.04916,10.71898,8.62478,9.44491
Ak,509,1739352582980,-1.21167,-0.63858,6.63201,18.19938,2.407,9.15119
Ak,510,1739352582999,1.79851,0.48843,8.79512,5.78291,17.11986,19.96554
Ak,511,1739352583012,0.47527,-2.89741,10.41506,9.33047,-8.56756,-2.15905
Ak,512,1739352583029,0.47527,-2.89741,10.41506,15.96785,-10.36041,-1.68605
Ak,513,1739352583047,1.23858,-3.09362,7.85235,18.9089,-9.05582,0.06485
Ak,514,1739352583063,0.95384,-2.23699,9.8025,19.37046,-7.324,1.71656
Ak,515,1739352583079,1.74826,-2.24895,10.28345,11.91295,-7.11039,-0.68281
Ak,516,1739352583095,2.09282,-1.60528,6.58415,6.62212,-5.66847,-2.91816
Ak,517,1739352583112,2.09282,-1.60528,6.58415,0.74003,-6.49624,-8.89943
Ak,518,1739352583136,2.05932,-1.30857,11.14248,-8.94902,-7.2439,-15.07905
Ak,519,1739352583150,2.05932,-1.30857,11.14248,-11.14622,-10.91353,-19.90069
Ak,520,1739352583164,0.87248,-1.64357,8.90997,-6.28262,-22.45646,-29.97501
Ak,521,1739352583179,-2.71675,-1.8326,6.86172,-4.24563,-24.24932,-31.70683
Ak,522,1739352583201,3.26052,-3.99093,13.78176,-2.44515,-16.57056,-23.79156
Ak,523,1739352583210,3.26052,-3.99093,13.78176,-2.58247,-23.70383,-31.79075
Ak,524,1739352583226,-2.47747,-4.6346,8.94587,-1.01086,-19.8244,-27.99905
Ak,525,1739352583243,2.4326,1.30678,13.57837,-0.14114,4.11594,-4.97803
Ak,526,1739352583263,1.13091,-1.99531,9.80968,6.86625,4.58132,-3.70778
Ak,527,1739352583279,5.83759,-1.21525,13.17638,-9.8073,33.93073,19.2484
Ak,528,1739352583296,-3.24078,0.49801,6.70618,-6.54583,19.65274,6.14911
Ak,529,1739352583314,-3.37478,-2.81605,10.56581,7.82371,17.94762,7.82371
Ak,530,1739352583332,-3.37478,-2.81605,10.56581,7.29349,18.09639,7.61773
Ak,531,1739352583348,-1.45573,0.0338,12.9682,17.45173,33.88114,25.737
Ak,532,1739352583364,2.97099,0.28265,12.26471,42.40292,20.0609,22.01397
Ak,533,1739352583380,-0.0679,-0.7343,6.84736,39.37415,18.37867,20.03039
Ak,534,1739352583394,-0.61107,-3.91675,9.34547,32.95801,19.43913,20.44617
Ak,535,1739352583414,-0.92931,-2.09821,9.48664,7.83897,20.63309,14.07582
Ak,536,1739352583431,-0.92931,-2.09821,9.48664,2.21246,15.07905,8.87654
Ak,537,1739352583446,2.07607,-2.62702,8.70898,-3.3225,13.85457,6.54583
Ak,538,1739352583460,2.47567,-1.299,9.27608,-12.5805,-1.19778,-9.03294
Ak,539,1739352583479,-1.38873,0.18215,8.18734,-25.57679,-3.72303,-13.51507
Ak,540,1739352583499,-0.16122,1.25175,6.01466,-62.42568,4.06635,-15.33844
Ak,541,1739352583516,-1.75723,0.20608,11.04676,-43.50916,0.08392,-13.92323
Ak,542,1739352583531,-1.75723,0.20608,11.04676,23.78775,-13.57992,-8.49508
Ak,543,1739352583548,3.23898,0.36401,8.87169,30.74937,-25.87433,-19.3552
Ak,544,1739352583563,0.67149,-6.15643,8.40748,23.51691,-25.5539,-22.42213
Ak,545,1739352583581,0.77916,-3.7014,12.7672,10.0438,-21.11754,-24.58118
