ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
RV,251,1739351948677,-1.55743,-2.87797,11.72902,13.30909,-3.18518,12.00068
RV,252,1739351948696,-2.32792,-3.94277,11.33899,8.65148,-1.81193,8.70488
RV,253,1739351948710,-0.73908,-3.95952,7.867,-15.37659,-13.53033,13.88127
RV,254,1739351948733,1.91216,0.06999,11.4012,-39.50384,8.5523,-18.52744
RV,255,1739351948749,1.45274,0.99601,7.52961,-17.90948,-4.14264,0.59889
RV,256,1739351948762,1.45274,0.99601,7.52961,-10.13917,-0.58745,-3.36828
RV,257,1739351948776,0.68943,0.40738,9.32184,23.28041,9.96751,-6.29025
RV,258,1739351948801,0.12473,-3.05264,12.13341,29.07477,-7.32782,12.34781
RV,259,1739351948818,0.11037,-5.87617,6.29253,6.00034,-8.04877,7.75505
RV,260,1739351948831,3.28325,2.01296,13.27957,-16.33024,-16.67736,12.6072
RV,261,1739351948845,-0.31316,-2.12901,7.16591,22.10171,-16.64303,21.36549
RV,262,1739351948861,-0.31316,-2.12901,7.16591,23.36052,10.67321,-7.30874
RV,263,1739351948876,-0.05952,-1.28913,8.72603,7.38504,-1.51439,2.51763
RV,264,1739351948895,-2.55763,-5.02433,10.85564,1.55635,-5.90116,7.38504
RV,265,1739351948911,0.48126,0.86919,7.30947,-20.49576,4.44018,-8.96046
RV,266,1739351948926,3.40529,-3.09571,10.81975,-25.1343,1.18252,-6.45809
RV,267,1739351948942,-0.43998,1.99143,11.35334,30.51668,-8.82313,17.03594
RV,268,1739351948959,-0.43998,1.99143,11.35334,30.13522,-7.85042,15.78857
RV,269,1739351948976,-0.69601,-3.08854,8.83849,-1.86533,-6.64882,7.66732
RV,270,1739351948996,-1.30857,-3.57906,13.7031,28.52547,2.83424,4.82545
RV,271,1739351949012,-4.2996,-2.17687,8.41735,15.64361,9.5975,-3.17373
RV,272,1739351949027,-0.79412,-3.24407,11.87977,21.98727,22.54801,-14.072
RV,273,1739351949051,-2.33031,-3.24168,8.94617,-0.69044,13.38538,-9.4678
RV,274,1739351949070,1.39292,-1.6672,7.7665,-12.31348,1.81956,-0.27846
RV,275,1739351949090,-0.3658,-1.1001,15.0359,-38.56927,-6.89295,1.8577
RV,276,1739351949105,-0.3658,-1.1001,15.0359,13.92705,-8.579,14.8044
RV,277,1739351949116,-0.07866,-0.88235,8.57528,3.79551,-1.80811,4.8903
RV,278,1739351949126,1.87388,-2.23669,10.12583,0.94602,-0.70951,2.75794
RV,279,1739351949142,1.87388,-2.23669,10.12583,-4.26471,-8.86128,8.84221
RV,280,1739351949169,-0.65055,-0.39182,9.98704,-8.24332,-6.5649,2.65114
RV,281,1739351949186,2.22562,-1.84188,7.13241,24.34086,8.51797,-8.31961
RV,282,1739351949195,2.22562,-1.84188,7.13241,21.93768,7.57577,-8.07548
RV,283,1739351949209,0.73011,-4.46202,10.64268,20.12575,5.68755,-6.17963
RV,284,1739351949228,-0.63141,-3.17228,10.65225,-28.36144,12.63391,-25.32884
RV,285,1739351949254,-2.87109,0.11545,11.03271,-34.31219,5.35949,-17.55091
RV,286,1739351949272,2.14666,-3.66521,8.56092,-18.91653,10.60073,-17.8103
RV,287,1739351949290,-0.92094,-4.34237,8.14936,4.08542,17.63864,-17.46698
RV,288,1739351949304,-1.48325,3.45105,12.62633,-53.76276,-6.77089,-7.26297
RV,289,1739351949317,-1.48325,3.45105,12.62633,-48.05995,-6.10334,-5.64177
RV,290,1739351949326,-0.16481,-0.24586,9.91047,-9.4945,29.1892,-31.48177
RV,291,1739351949341,-0.16481,-0.24586,9.91047,39.25589,3.94428,8.99479
RV,292,1739351949359,-0.02841,-7.18744,8.4006,35.41079,2.90671,8.79262
RV,293,1739351949375,-0.55005,-1.65524,11.12842,-11.56964,-7.77412,6.09189
RV,294,1739351949398,-0.70319,0.1322,9.9344,-14.9341,-18.43207,15.84197
RV,295,1739351949408,-0.44237,0.08913,11.34617,4.61565,-7.73979,8.86891
RV,296,1739351949426,1.94806,-5.8666,9.3362,52.82437,-8.24713,18.4397
RV,297,1739351949441,1.94806,-5.8666,9.3362,-10.47866,-26.33208,20.05709
RV,298,1739351949459,-1.96899,-0.05444,8.4341,-20.68649,-16.30735,5.18402
RV,299,1739351949476,-2.22024,-1.57866,10.55175,-19.54593,-12.41647,-0.67137
RV,300,1739351949494,2.17298,-3.50489,11.10928,22.56708,8.31579,-13.04207
RV,301,1739351949510,-0.55962,3.47498,10.29332,19.72522,6.94254,-12.0579
RV,302,1739351949532,2.08445,-0.47318,9.55155,13.53033,4.82164,-9.94462
RV,303,1739351949546,-4.12253,-1.62891,9.82672,5.63033,6.11859,-11.46283
RV,304,1739351949561,-4.12253,-1.62891,9.82672,3.67345,3.58952,-8.40353
RV,305,1739351949579,0.37597,-0.91585,11.07099,2.44896,8.99098,-12.95051
RV,306,1739351949594,1.74945,-5.11286,7.49851,17.26863,6.16055,-4.85215
RV,307,1739351949612,1.40249,-3.03111,8.27139,-18.0735,6.97688,-14.88451
RV,308,1739351949626,-1.45693,-1.3657,13.97588,-16.3455,10.71135,-18.32908
RV,309,1739351949643,-1.45693,-1.3657,13.97588,-4.58132,9.41821,-14.60605
RV,310,1739351949658,2.07966,-0.97328,8.98445,0.16021,8.44549,-13.15269
RV,311,1739351949675,-0.64098,0.48873,10.47518,2.25823,7.17905,-12.87041
RV,312,1739351949693,-1.21765,-1.82991,10.09472,13.1298,5.79435,-9.58224
RV,313,1739351949710,-0.16481,-2.72243,9.75973,3.02497,11.38272,-19.21025
RV,314,1739351949726,0.65354,-0.34158,10.39143,6.38561,11.78707,-18.78683
RV,315,1739351949742,0.65354,-0.34158,10.39143,34.88819,2.15905,-0.4196
RV,316,1739351949758,1.24457,-1.65284,8.6686,16.16621,9.13593,-12.8933
RV,317,1739351949785,-0.08824,-1.77488,10.7025,-7.74361,-29.54777,21.01455
RV,318,1739351949802,1.12493,-0.29611,9.45823,-14.6213,8.17847,-22.06737
RV,319,1739351949817,3.41725,0.20877,10.1019,-11.43613,6.79759,-19.07292
RV,320,1739351949828,0.40947,-3.32543,8.78824,-3.18899,-3.44838,-4.50884
RV,321,1739351949842,0.40947,-3.32543,8.78824,-2.79228,-7.93815,2.05225
RV,322,1739351949860,1.6011,-4.69891,9.3362,-37.96275,-22.31914,7.48803
RV,323,1739351949883,1.31635,2.99163,13.77249,-39.13001,-27.23232,13.59518
RV,324,1739351949915,2.7329,0.87398,10.36989,-4.99711,-2.41463,-4.54699
RV,325,1739351949931,1.20389,-1.38245,9.56112,1.7013,-11.65737,4.93226
RV,326,1739351949939,1.20389,-1.38245,9.56112,0.14495,-10.13917,1.97977
RV,327,1739351949959,1.8667,-3.33739,8.01297,1.92637,-7.36978,-0.99179
RV,328,1739351949974,0.56261,-1.08335,11.2026,17.47461,1.00324,-6.08045
RV,329,1739351949992,2.48644,-0.49711,11.56152,33.65608,20.25926,-20.20204
RV,330,1739351950008,1.09382,-1.41117,7.5679,14.84255,18.58466,-24.2455
RV,331,1739351950026,-1.57418,1.9005,13.66242,-3.20807,15.1439,-25.89721
RV,332,1739351950043,-1.57418,1.9005,13.66242,-27.31624,2.34597,-19.68707
RV,333,1739351950063,-1.50718,1.07498,8.67817,20.4271,29.57066,-28.6132
RV,334,1739351950077,0.07687,-2.84686,3.52164,5.52733,18.27949,-22.31532
RV,335,1739351950094,-1.94985,-5.88335,14.47598,0.01907,14.48779,-19.32087
RV,336,1739351950108,-2.5672,-3.55753,10.03011,-0.09536,12.98485,-17.02068
RV,337,1739351950127,-2.32552,1.11565,8.44607,-0.49971,-8.62478,6.61068
RV,338,1739351950143,-2.32552,1.11565,8.44607,18.63425,-11.93202,17.28007
RV,339,1739351950158,0.38554,-1.85623,8.7356,52.9617,6.99213,9.19696
RV,340,1739351950175,8.8681,0.65862,10.47279,-13.36631,17.33729,-23.87167
RV,341,1739351950193,4.6663,-5.98864,8.18046,13.0001,3.4789,-0.61415
RV,342,1739351950209,-2.22024,3.18066,13.6672,2.81516,-11.77562,9.84544
RV,343,1739351950225,-1.64357,-3.63649,5.89532,43.35276,-8.2128,16.09373
RV,344,1739351950242,-1.64357,-3.63649,5.89532,4.7072,-1.07953,-3.74211
RV,345,1739351950261,-0.54287,-3.57189,11.30549,-25.98877,12.65298,-29.00992
RV,346,1739351950279,-1.38993,-3.58385,12.87518,-52.43528,11.18818,-38.33658
RV,347,1739351950295,-2.30399,2.202,10.37468,-17.02068,-17.58142,4.1846
RV,348,1739351950309,-1.19611,-1.66959,8.03929,-8.20136,44.34836,-54.59052
RV,349,1739351950325,1.76381,-5.24925,9.7334,2.72361,16.36838,-23.73435
RV,350,1739351950343,1.76381,-5.24925,9.7334,-32.45067,-1.08334,-20.91155
RV,351,1739351950363,-3.72054,-0.57846,10.51107,10.57021,10.08958,-13.73632
RV,352,1739351950394,-0.48305,-3.04307,6.83809,25.27925,-8.80025,12.5271
RV,353,1739351950410,-0.78933,0.88355,10.85803,8.45312,-11.57726,10.77239
RV,354,1739351950424,-2.35424,-0.56411,11.45384,6.53438,-11.78325,11.28736
RV,355,1739351950442,-2.35424,-0.56411,11.45384,23.42537,-1.9607,9.89122
RV,356,1739351950460,-1.92353,-1.34178,6.40738,19.44294,5.09247,3.77644
RV,357,1739351950476,-2.42363,-0.35833,9.81715,15.73135,5.42815,2.67402
RV,358,1739351950493,-1.299,-0.1669,8.90549,8.06403,15.87249,-9.83018
RV,359,1739351950509,-1.15304,-5.96949,10.69771,21.43034,22.9371,-11.74511
RV,360,1739351950535,0.06491,0.33081,11.89173,12.96577,8.85365,-0.9155
RV,361,1739351950551,-1.18893,-2.68415,8.43171,8.80788,5.78673,0.57219
RV,362,1739351950564,-1.18893,-2.68415,8.43171,-46.2671,0.69044,-16.7918
RV,363,1739351950574,-1.13151,1.84546,11.4012,-43.01707,0.41579,-16.33024
RV,364,1739351950599,-0.28205,-1.20778,11.36292,9.14356,-0.43105,3.53612
RV,365,1739351950614,2.31655,-7.87179,5.5005,2.14761,-8.49889,7.92671
RV,366,1739351950628,-2.77777,-3.7011,15.24168,-44.40176,-14.62512,-3.97861
RV,367,1739351950641,-2.77777,-3.7011,15.24168,-21.80417,-10.15824,-1.05283
RV,368,1739351950661,-1.06211,-1.27478,7.2353,-18.5427,-12.5805,0.99942
RV,369,1739351950676,2.12034,-2.92104,6.89791,-14.4115,-6.86244,-4.0015
RV,370,1739351950694,1.84517,1.51286,14.96411,20.80856,12.17234,-9.51739
RV,371,1739351950710,3.43879,-1.4016,5.91207,-25.40132,5.74858,-19.54593
RV,372,1739351950736,2.05573,1.80239,11.99701,-27.99142,-17.3411,5.11154
RV,373,1739351950756,-1.8685,-0.10469,11.50649,5.24505,5.91261,-3.87562
RV,374,1739351950772,0.73968,-1.52602,9.15673,8.83458,3.1394,2.16287
RV,375,1739351950788,0.73968,-1.52602,9.15673,34.10239,18.64569,0.38146
RV,376,1739351950796,-3.94307,-3.88774,9.30509,30.72267,16.28828,3.03641
RV,377,1739351950808,-0.52134,2.25942,12.16451,24.49345,34.20538,-14.95699
RV,378,1739351950824,-0.52134,2.25942,12.16451,4.28378,17.06645,-4.65379
RV,379,1739351950843,-1.33729,-3.95713,6.07239,19.43913,14.0186,4.18841
RV,380,1739351950860,-2.78255,0.91226,11.32702,11.71078,14.33521,-0.73621
RV,381,1739351950874,2.26391,-2.52144,13.00918,-4.0015,46.01534,-40.8542
RV,382,1739351950892,-0.48784,-1.52602,12.09991,-45.84368,-0.09918,-14.6213
RV,383,1739351950910,2.79033,3.01795,10.99681,-39.35889,4.22275,-17.31821
RV,384,1739351950922,2.79033,3.01795,10.99681,13.3396,-27.75873,41.2471
RV,385,1739351950942,5.6689,-2.15773,7.41715,-2.89146,-19.97698,26.6525
RV,386,1739351950959,0.84736,-1.17428,12.22912,-19.54975,-33.31277,35.22769
RV,387,1739351950976,-1.34207,-7.05584,9.62812,28.50258,-18.90127,37.68047
RV,388,1739351950993,-1.17458,-1.51884,10.11626,6.5382,-53.20583,68.84563
RV,389,1739351951010,1.27807,-4.81376,7.76411,29.9216,-20.04946,38.41287
RV,390,1739351951033,0.53868,-1.25803,11.36531,24.50489,-19.95791,36.21948
RV,391,1739351951049,1.77338,1.73779,8.54656,-40.35449,-17.04738,13.30146
RV,392,1739351951062,1.77338,1.73779,8.54656,-45.29819,-21.9453,16.7651
RV,393,1739351951074,-0.8324,2.135,9.07777,-26.91571,23.97085,-28.16308
RV,394,1739351951099,-2.11974,-2.47597,13.17907,-8.80788,32.47356,-29.06332
RV,395,1739351951114,1.05553,-0.96132,8.66142,2.63206,32.57655,-23.08587
RV,396,1739351951128,0.46929,4.25982,11.97309,2.12472,27.89606,-17.80648
RV,397,1739351951140,0.46929,4.25982,11.97309,52.29795,21.96819,6.65645
RV,398,1739351951159,0.61765,-3.01914,7.99621,76.97832,17.66534,18.33671
RV,399,1739351951174,3.21386,-10.02772,4.05524,53.75132,-1.29696,29.02899
RV,400,1739351951193,-2.41167,-0.81296,10.81975,-26.88901,-36.19278,42.18549
RV,401,1739351951208,0.9,2.135,10.3005,-28.80393,-29.14343,33.04575
RV,402,1739351951237,-0.26291,-0.68375,6.42413,-29.15869,-16.89861,17.58524
RV,403,1739351951255,-1.73689,0.77587,12.3009,-48.78091,-21.28157,16.30354
RV,404,1739351951269,2.30937,-2.4018,12.89672,-62.39516,-1.65934,-11.74892
RV,405,1739351951277,2.30937,-2.4018,12.89672,-55.10549,-2.47185,-8.41116
RV,406,1739351951296,1.61545,3.08495,9.37687,0.22125,8.682,-3.21951
RV,407,1739351951311,0.1678,-5.25404,8.68295,57.07763,15.30793,6.2254
RV,408,1739351951326,-1.6675,-0.64068,10.49911,43.82958,9.04819,9.11686
RV,409,1739351951348,-1.6675,-0.64068,10.49911,0.29372,5.67229,1.37325
RV,410,1739351951358,-2.72034,0.38106,8.38864,3.78407,-17.35636,26.85468
RV,411,1739351951375,1.06032,-1.88255,6.66341,24.50108,-1.06045,14.7243
RV,412,1739351951394,-0.16959,-1.71027,7.12523,8.33105,-4.37533,13.54559
RV,413,1739351951409,-0.18156,-7.96272,18.39782,4.88267,12.22193,-5.37094
RV,414,1739351951424,-0.18156,-7.96272,18.39782,-73.89232,0.18691,-15.70083
RV,415,1739351951439,1.168,5.31984,8.95334,18.43207,0.0534,10.34897
RV,416,1739351951458,-0.2653,0.85244,7.57269,20.63309,12.09223,-2.53288
RV,417,1739351951476,3.47707,-0.45404,11.82234,24.44004,26.0498,-17.37925
RV,418,1739351951491,2.46012,2.20439,9.51805,-17.76071,8.41497,-12.0579
RV,419,1739351951509,3.99153,-0.84168,9.38884,4.26089,-1.04901,3.66963
RV,420,1739351951525,3.99153,-0.84168,9.38884,-0.9422,0.46919,-3.54756
RV,421,1739351951551,0.61525,1.33819,9.74298,46.33958,13.30146,-7.15235
RV,422,1739351951569,1.82602,2.36231,12.08555,8.32342,-1.70893,-3.39498
RV,423,1739351951584,3.96521,-4.15334,8.70449,-9.30377,-14.94554,6.49242
RV,424,1739351951598,-1.60768,-1.97587,10.02294,-24.91687,-30.57771,20.15627
RV,425,1739351951609,-1.92353,-1.52363,7.52244,-26.12991,-16.86428,5.16113
RV,426,1739351951628,-2.69641,2.51067,14.44966,-9.73101,-6.29025,-0.90787
RV,427,1739351951653,1.2326,-3.35653,10.36272,39.96922,14.44583,-9.53646
RV,428,1739351951670,-1.34686,-8.16611,6.10828,5.23742,-14.30469,11.83284
RV,429,1739351951685,-1.34686,-8.16611,6.10828,-35.78462,14.72811,-31.15372
RV,430,1739351951694,-2.6007,-0.38704,9.22852,-50.61573,-23.5131,7.93815
RV,431,1739351951708,2.32852,2.43649,10.30768,-31.02402,12.72927,-28.91837
RV,432,1739351951725,2.32852,2.43649,10.30768,28.04864,-7.27441,7.6101
RV,433,1739351951744,-0.35384,2.12782,6.75195,35.86473,12.95814,-9.70812
RV,434,1739351951760,1.87866,-11.48016,10.37707,31.46651,15.20875,-11.95872
RV,435,1739351951775,-4.15364,-3.24168,9.70708,-44.82137,-0.40435,-15.46814
RV,436,1739351951799,1.37378,-6.88595,7.64208,-34.6288,11.84047,-24.62314
RV,437,1739351951810,1.37378,-6.88595,7.64208,-28.38814,7.69783,-17.39832
RV,438,1739351951824,1.02921,1.83829,13.52842,42.30375,-8.88035,21.23198
RV,439,1739351951840,0.14626,-1.80598,6.24228,-22.97524,11.83666,-16.55911
RV,440,1739351951860,0.12951,-3.73938,11.05424,-54.93002,-17.68442,4.45162
RV,441,1739351951878,2.38355,-2.98564,9.21655,-67.36175,-4.44781,-15.44907
RV,442,1739351951895,-1.12433,0.71366,10.74796,-14.41532,6.62212,-12.36307
RV,443,1739351951911,-1.14586,0.5653,12.78186,41.94136,-4.0015,9.36862
RV,444,1739351951925,-1.14586,0.5653,12.78186,72.95393,8.95665,3.93284
RV,445,1739351951950,-2.97398,0.31884,8.45085,51.3939,14.79677,-7.20575
RV,446,1739351951968,-0.37537,-9.47498,-0.23749,-27.93802,-0.73621,-14.11396
RV,447,1739351951987,-1.49043,3.69751,12.38944,27.61759,16.13951,-12.24482
RV,448,1739351952001,-1.17458,-3.71306,17.50051,44.43228,0.16403,8.9719
RV,449,1739351952014,-1.1339,-5.77089,9.98704,30.40224,5.18021,1.52202
RV,450,1739351952029,-0.19831,7.28196,12.20758,-5.21072,4.0282,-7.57958
RV,451,1739351952043,-0.19831,7.28196,12.20758,-24.52778,-15.99837,6.57253
RV,452,1739351952061,4.21406,0.35234,5.87139,-21.79272,-2.33834,-12.09605
RV,453,1739351952076,-2.51934,-11.15474,13.61217,21.72406,-8.72777,5.22598
RV,454,1739351952092,0.10558,1.18026,13.73181,21.60962,17.95144,-25.08852
RV,455,1739351952110,-0.18156,-1.09531,10.44886,9.04057,7.6101,-20.86578
RV,456,1739351952128,1.1991,-7.07498,1.4327,5.21835,-6.52294,-8.31961
RV,457,1739351952151,3.02243,1.64686,8.21396,-3.662,-12.38596,-4.71483
RV,458,1739351952168,3.02243,1.64686,8.21396,-41.49124,-25.70649,-1.8577
RV,459,1739351952183,-0.5668,1.6325,25.49253,-1.52583,-3.04404,-9.25418
RV,460,1739351952199,2.29741,-3.38525,4.5338,-15.89156,21.20909,-37.40582
RV,461,1739351952212,-6.92453,0.13938,13.81795,50.51655,-30.68452,37.25323
RV,462,1739351952224,-6.92453,0.13938,13.81795,40.09892,0.53023,5.79435
RV,463,1739351952252,-6.01526,-7.48654,6.78784,30.23821,24.82913,-17.06264
RV,464,1739351952265,-3.62961,-6.68973,7.1013,19.23314,16.77273,-8.53704
RV,465,1739351952273,2.71137,-7.78086,4.7683,23.34526,36.62001,-24.11962
RV,466,1739351952289,0.05055,0.12981,16.87837,-46.41968,15.04091,-27.45738
RV,467,1739351952309,2.28784,-9.97508,9.0347,-58.00457,11.91676,-28.77723
RV,468,1739351952323,2.28784,-9.97508,9.0347,-60.82737,2.65877,-20.69031
RV,469,1739351952341,-3.72293,-2.19123,11.26003,-119.09897,31.00876,-86.71313
RV,470,1739351952362,-0.33709,9.34218,13.61456,-33.94217,-17.2877,9.57079
RV,471,1739351952378,3.40768,0.12024,1.4016,16.1891,20.4805,-4.63091
RV,472,1739351952392,-0.66012,-7.26162,12.47319,42.1092,-26.1032,47.35044
RV,473,1739351952416,-0.53569,-9.82672,11.96591,-6.67171,2.61299,-3.00971
RV,474,1739351952433,-1.73689,-0.42293,5.76132,-42.28086,18.98137,-39.04991
RV,475,1739351952447,-1.73689,-0.42293,5.76132,11.92821,40.52615,-31.88611
RV,476,1739351952458,2.94347,6.801,11.1021,98.03864,-41.12885,77.45895
RV,477,1739351952481,-4.4336,-5.61775,6.59402,118.50008,-20.27833,63.89048
RV,478,1739351952496,1.81167,4.96571,9.62333,-40.6177,-30.97443,18.30238
RV,479,1739351952508,4.15663,-8.48196,9.14956,3.99387,-1.25881,5.35186
RV,480,1739351952523,4.15663,-8.48196,9.14956,-0.01526,-13.68673,15.88775
RV,481,1739351952542,-1.67468,0.71127,17.30669,33.77815,-6.41995,20.09523
RV,482,1739351952558,1.48385,7.46142,12.18844,42.95222,2.9029,13.97664
RV,483,1739351952582,4.18774,-5.15833,3.24407,30.40987,-10.11628,19.05004
RV,484,1739351952595,4.18774,-5.15833,3.24407,30.40987,-10.11628,19.05004
RV,485,1739351952611,-0.00209,-0.04008,16.26581,-51.47782,-49.15092,31.62672
RV,486,1739351952628,-0.00209,-0.04008,16.26581,4.19986,36.6429,-38.80577
RV,487,1739351952641,-4.57717,-7.3693,18.08914,16.64303,39.19867,-35.07892
RV,488,1739351952667,-1.54786,-7.75454,15.68675,46.12596,15.60547,-1.10242
RV,489,1739351952677,-2.32313,-5.90967,4.93819,20.25545,-24.64603,29.36849
RV,490,1739351952704,2.58215,-0.11665,11.17628,-75.65848,0.99561,-31.28723
RV,491,1739351952726,-2.79691,-2.35155,8.45324,21.86139,13.82024,-0.95746
RV,492,1739351952742,1.82363,-5.72303,13.069,-38.79814,-17.28388,7.94578
RV,493,1739351952758,0.74686,5.08774,9.37927,-77.29874,8.35013,-37.52407
RV,494,1739351952778,-0.75823,-4.9023,3.80638,-77.43226,-7.35071,-18.48548
RV,495,1739351952794,7.52573,2.49392,13.4686,-84.34428,3.52086,-34.73943
RV,496,1739351952811,-0.86112,-0.16451,16.96212,37.23416,-39.76323,58.49666
RV,497,1739351952827,-0.86112,-0.16451,16.96212,35.38791,-14.9608,33.41576
RV,498,1739351952842,-0.26052,-3.03111,3.44028,-34.60973,-10.7495,6.34747
RV,499,1739351952865,-4.0005,-1.88016,10.75514,-19.87017,-34.26641,36.70393
RV,500,1739351952879,-1.02861,-2.47597,8.68535,6.26355,-23.47877,33.10678
