ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,5101,1739356184594,0.01675,-1.59183,9.59522,0.59508,3.662,0.13733
Abj,5102,1739356184612,0.38554,-3.03619,10.06242,6.08808,-0.48827,1.23593
Abj,5103,1739356184630,0.38794,-1.04806,10.77877,6.39324,2.13617,0.38146
Abj,5104,1739356184648,0.38794,-1.04806,10.77877,0.35094,-2.44133,0.56456
Abj,5105,1739356184662,0.1651,-0.08495,9.99063,-0.93076,0.48827,1.29696
Abj,5106,1739356184686,0.09332,-0.42263,9.16421,-2.57866,2.44133,1.29696
Abj,5107,1739356184696,0.21805,-2.15713,9.51386,-1.72419,1.58687,0.50353
Abj,5108,1739356184710,0.5007,-2.20499,10.38096,0.16784,1.22067,1.54109
Abj,5109,1739356184726,0.5007,-2.20499,10.38096,2.60918,-0.1831,1.35799
Abj,5110,1739356184746,0.29462,-2.07069,9.78934,3.34158,-0.97653,1.96833
Abj,5111,1739356184761,-0.04307,-0.80847,9.37986,0.47301,-0.85447,1.48006
Abj,5112,1739356184779,0.24915,-1.13181,9.67448,0.90024,-1.22067,1.17489
Abj,5113,1739356184795,0.12203,-1.70429,9.6697,1.44954,1.70893,1.84626
Abj,5114,1739356184820,0.3664,-1.88883,9.57847,1.38851,1.52583,0.86973
Abj,5115,1739356184836,-0.00718,-1.22034,9.50908,4.62328,-0.7324,1.17489
Abj,5116,1739356184846,-0.00718,-1.22034,9.50908,1.44954,1.6479,0.44249
Abj,5117,1739356184860,0.09811,-0.95444,9.82044,3.64674,-0.79343,1.17489
Abj,5118,1739356184878,0.39033,-1.59183,9.81566,1.69368,1.2817,0.19836
Abj,5119,1739356184896,0.35444,-1.43121,10.90798,2.73124,0.9155,0.25939
Abj,5120,1739356184913,0.24676,-2.01087,10.26132,1.81574,2.07513,0.86973
Abj,5121,1739356184930,0.16271,-1.04088,9.49711,2.42608,2.5634,0.80869
Abj,5122,1739356184946,0.16271,-1.04088,9.49711,0.96128,2.1972,0.19836
Abj,5123,1739356184970,0.12921,-1.12941,9.94278,-0.93076,3.4789,-0.04578
Abj,5124,1739356184979,0.3329,-0.75314,10.1007,-1.05283,-0.30517,1.11386
Abj,5125,1739356184995,0.1005,-1.87448,9.75584,-1.29696,4.0282,0.68663
Abj,5126,1739356185012,0.09332,-2.14038,10.41446,1.20541,-1.40377,1.48006
Abj,5127,1739356185028,0.09332,-2.14038,10.41446,4.62328,5.493,0.74766
Abj,5128,1739356185045,0.37597,-3.00509,9.38944,4.98948,-1.40377,1.23593
Abj,5129,1739356185063,0.03111,-0.14716,9.9332,-0.68663,-1.831,1.23593
Abj,5130,1739356185087,-0.1654,0.37986,10.81466,-3.00589,-0.24413,1.72419
Abj,5131,1739356185101,0.41186,-2.04676,9.17378,-1.29696,2.44133,1.23593
Abj,5132,1739356185110,0.26112,-1.83829,9.38944,-3.18899,5.06577,1.66316
Abj,5133,1739356185127,0.26112,-1.83829,9.38944,2.05988,3.8451,1.84626
Abj,5134,1739356185146,-0.03111,-2.38235,9.58086,4.25708,2.99063,0.32043
Abj,5135,1739356185163,0.5342,-2.29113,11.18585,3.52468,-5.493,0.74766
Abj,5136,1739356185180,0.09332,-1.00229,10.54637,2.85331,3.72303,1.29696
Abj,5137,1739356185197,0.39033,-0.42981,9.69123,-0.80869,4.69957,0.01526
Abj,5138,1739356185216,0.25155,-0.55214,9.24078,-2.82279,5.55404,-0.22888
Abj,5139,1739356185233,0.00239,-0.64068,9.07299,-6.05756,4.63854,0.93076
Abj,5140,1739356185245,0.00239,-0.64068,9.07299,-4.22656,2.7465,0.38146
Abj,5141,1739356185261,0.44536,-2.19781,9.9356,-3.31106,2.07513,1.60213
Abj,5142,1739356185279,0.39272,-2.55703,9.48993,0.10681,6.5916,1.48006
Abj,5143,1739356185297,-0.17737,-3.06969,11.03271,2.24298,-1.22067,0.99179
Abj,5144,1739356185314,0.11964,-0.94487,10.81466,2.73124,-1.6479,1.72419
Abj,5145,1739356185330,0.11964,-0.94487,10.81466,6.08808,5.00474,0.44249
Abj,5146,1739356185349,0.09093,-2.03001,8.80708,3.28054,5.1268,1.17489
Abj,5147,1739356185364,0.09571,-0.4346,9.19293,2.97538,2.25823,-0.04578
Abj,5148,1739356185378,0.07657,-0.20937,10.60858,-2.09039,1.40377,1.66316
Abj,5149,1739356185396,0.46451,-0.81326,8.71855,-3.43313,5.06577,0.86973
Abj,5150,1739356185414,-0.30179,-1.13181,10.17009,-2.45659,-0.3662,0.25939
Abj,5151,1739356185431,-0.30179,-1.13181,10.17009,-6.42376,9.3381,-0.83921
Abj,5152,1739356185447,0.28744,-3.03619,10.59901,-2.94486,4.9437,-0.47301
Abj,5153,1739356185467,0.34726,-1.97976,9.85634,0.22888,2.3803,0.07629
Abj,5154,1739356185477,0.2324,-0.82044,9.64547,-1.05283,2.80753,-1.63264
Abj,5155,1739356185496,0.05503,-0.08973,9.02034,-6.78996,5.493,-1.20541
Abj,5156,1739356185513,0.27547,-2.05155,8.16999,-2.51763,4.33337,-0.71714
Abj,5157,1739356185531,0.27547,-2.05155,8.16999,0.77818,2.86857,-1.32748
Abj,5158,1739356185547,0.24437,-0.94008,10.96541,1.44954,3.4789,-0.77818
Abj,5159,1739356185567,-0.2683,-3.13191,10.32593,1.87678,3.78407,-1.51058
Abj,5160,1739356185579,0.09093,-1.15334,10.07199,-1.05283,2.50237,-1.81574
Abj,5161,1739356185595,0.38315,-1.68754,10.38336,-0.80869,3.35683,-2.30401
Abj,5162,1739356185613,0.1005,-1.67557,10.1007,0.22888,4.2113,-0.71714
Abj,5163,1739356185629,0.1005,-1.67557,10.1007,5.90498,8.36157,-2.48711
Abj,5164,1739356185647,0.2659,-2.31984,10.15574,1.32748,4.9437,-2.05988
Abj,5165,1739356185667,-0.18694,-0.98794,9.21925,0.65611,2.3803,-2.12091
Abj,5166,1739356185689,0.31376,-0.85155,9.75823,-1.11386,2.86857,-1.20541
Abj,5167,1739356185697,0.38076,-0.91615,10.23739,-1.29696,0.30517,-2.05988
Abj,5168,1739356185713,0.17468,-1.48624,9.3006,-1.48006,5.73714,-1.57161
Abj,5169,1739356185731,0.17468,-1.48624,9.3006,-2.09039,6.89677,-1.99884
Abj,5170,1739356185747,0.00479,-1.17966,9.27189,-2.76176,4.51647,-2.48711
Abj,5171,1739356185765,0.06461,-1.35942,8.71376,-0.32043,6.65264,-2.42608
Abj,5172,1739356185788,0.44536,-2.08505,9.22882,-0.56456,3.662,-2.48711
Abj,5173,1739356185802,0.07896,-0.67896,10.74527,-1.78523,3.53993,-2.67021
Abj,5174,1739356185813,0.09811,-2.03719,9.83001,-1.78523,3.4789,-2.67021
Abj,5175,1739356185830,0.09811,-2.03719,9.83001,1.20541,4.3944,-2.54814
Abj,5176,1739356185848,0.2659,-1.67797,9.89701,3.46364,6.16437,-3.34158
Abj,5177,1739356185865,0.05503,-2.58574,9.77259,3.82984,6.53057,-3.82984
Abj,5178,1739356185882,0.17468,-1.00229,10.41685,2.91434,6.10334,-2.85331
Abj,5179,1739356185908,0.31615,-0.98554,10.29482,0.04578,5.3099,-2.97538
Abj,5180,1739356185918,0.17946,-0.56172,9.75584,-1.72419,9.46017,-3.46364
Abj,5181,1739356185931,0.17946,-0.56172,9.75584,-2.45659,8.48364,-3.89088
Abj,5182,1739356185948,-0.14865,-1.28973,9.37717,-5.50826,5.61507,-3.34158
Abj,5183,1739356185964,0.08853,-1.41924,10.02413,-2.51763,6.28644,-4.44018
Abj,5184,1739356185982,0.17468,-3.23031,10.59661,2.79228,4.15027,-3.64674
Abj,5185,1739356186008,0.10289,-3.00509,9.38465,6.51531,4.9437,-4.86741
Abj,5186,1739356186021,0.05982,0.51386,9.83241,1.26644,3.2958,-5.66084
Abj,5187,1739356186029,0.05982,0.51386,9.83241,-0.50353,3.8451,-5.53878
Abj,5188,1739356186045,0.10528,-0.46331,9.59522,-2.09039,8.11744,-6.02704
Abj,5189,1739356186064,0.27069,-2.3007,8.90549,-0.50353,6.28644,-6.21014
Abj,5190,1739356186081,0.17468,-0.97597,9.99781,-1.29696,6.4085,-6.14911
Abj,5191,1739356186099,-0.04068,-0.71007,10.32832,-3.18899,4.69957,-6.82048
Abj,5192,1739356186115,0.24197,-1.91516,8.97009,-2.88383,9.21604,-6.88151
Abj,5193,1739356186133,0.24197,-1.91516,8.97009,-3.86036,3.72303,-7.78938
Abj,5194,1739356186154,-0.11276,-1.55563,10.35464,-3.37209,6.34747,-7.60628
Abj,5195,1739356186164,0.24915,-2.17388,9.33171,0.10681,6.71367,-7.97248
Abj,5196,1739356186183,0.23719,-1.48385,9.42533,-0.13733,4.69957,-8.03352
Abj,5197,1739356186198,0.05503,-1.30678,8.73051,0.41198,4.45543,-7.97248
Abj,5198,1739356186216,0.23958,-2.24327,10.41685,3.40261,2.25823,-9.55935
Abj,5199,1739356186233,0.23958,-2.24327,10.41685,6.87388,-2.68547,-9.31522
Abj,5200,1739356186249,-0.32333,-2.95244,11.54537,8.52178,3.96717,-10.59692
Abj,5201,1739356186269,0.47438,-1.97019,10.41685,8.94902,-2.50237,-10.23072
Abj,5202,1739356186287,0.05264,-0.45852,8.5675,3.76881,8.11744,-11.14622
Abj,5203,1739356186302,0.30419,0.74148,10.44078,-2.76176,-2.13617,-11.51242
Abj,5204,1739356186320,0.25155,-1.6995,11.04706,-1.72419,2.25823,-10.96312
Abj,5205,1739356186330,0.25155,-1.6995,11.04706,0.10681,6.16437,-11.45138
Abj,5206,1739356186347,0.067,-2.45414,9.01077,-2.39556,9.27707,-11.32932
Abj,5207,1739356186364,0.13639,-1.24427,9.28625,-1.35799,0.06103,-11.14622
