ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
RV,5401,1739352261223,0.20608,-1.22213,9.66162,2.54051,-2.26205,-30.9668
RV,5402,1739352261241,0.31854,-1.53799,8.91506,-0.61033,-0.30135,-32.98471
RV,5403,1739352261258,0.2324,-1.66959,9.77408,-0.09918,-0.14114,-28.49876
RV,5404,1739352261275,0.14148,-1.70309,9.55394,2.66639,-0.47301,-15.70465
RV,5405,1739352261298,0.61047,-2.77268,10.18565,-2.93723,7.47659,-3.13177
RV,5406,1739352261310,0.61047,-2.77268,10.18565,-4.76442,6.31314,-3.2958
RV,5407,1739352261327,0.45494,0.37627,9.06102,-5.78673,5.66847,-1.19015
RV,5408,1739352261338,-0.04516,-3.00239,10.16411,-3.53231,1.49532,6.48479
RV,5409,1739352261357,0.65115,-2.93779,9.7334,-3.23858,-0.03052,10.40237
RV,5410,1739352261374,0.65115,-2.93779,9.7334,-3.29962,-0.61415,9.63564
RV,5411,1739352261391,0.15823,-1.21974,10.44168,-4.51265,-2.07895,5.00474
RV,5412,1739352261408,0.31615,-1.40877,10.71207,-2.84187,-4.62328,5.77528
RV,5413,1739352261424,-0.66012,-2.16012,9.33141,-0.24032,-6.30169,5.14206
RV,5414,1739352261446,-1.04776,-2.72243,10.6666,4.36007,-5.4396,8.36157
RV,5415,1739352261456,0.29701,-2.13141,10.42972,3.6086,-3.8451,5.21835
RV,5416,1739352261476,0.2659,-2.55015,9.91526,2.03699,-1.99121,-0.58745
RV,5417,1739352261494,0.2659,-2.55015,9.91526,2.39556,-0.99179,-0.89261
RV,5418,1739352261510,0.34008,0.16331,9.98226,2.80372,0.74003,0.22888
RV,5419,1739352261524,-0.25573,-2.81097,9.27159,1.99884,2.03317,-1.04901
RV,5420,1739352261541,0.15583,-0.95892,10.35075,-0.01907,4.47832,-3.35683
RV,5421,1739352261565,-0.12891,-3.3661,8.84327,-1.09097,3.7917,-4.80638
RV,5422,1739352261577,-0.12891,-3.3661,8.84327,-3.37591,3.76118,-8.87272
RV,5423,1739352261592,0.8665,-1.6337,9.03949,-6.47716,4.34863,-14.04912
RV,5424,1739352261603,-1.07647,-1.74616,10.803,-8.64766,5.19546,-18.47785
RV,5425,1739352261621,-1.20568,-1.4997,10.14497,-3.55519,4.26089,-12.72546
RV,5426,1739352261640,-0.07627,0.23509,9.3003,-2.62062,5.16495,-12.74071
RV,5427,1739352261657,-0.39452,-3.3661,10.1354,-1.70893,5.1268,-12.95051
RV,5428,1739352261674,0.01944,-3.51924,8.7356,4.29522,2.55577,-7.20194
RV,5429,1739352261687,0.01944,-3.51924,8.7356,5.48537,2.07513,-6.09571
RV,5430,1739352261707,0.36879,-0.97089,11.22892,3.63148,2.60918,-9.16263
RV,5431,1739352261722,0.19412,-1.39442,10.19043,5.57311,1.88822,-6.28262
RV,5432,1739352261738,-0.3347,-2.50947,9.72383,5.06958,1.43047,-5.55022
RV,5433,1739352261753,-0.3347,-2.50947,9.72383,3.07837,1.68223,-7.1142
RV,5434,1739352261770,-0.47348,-2.29651,10.15693,-4.41729,4.06253,-14.9875
RV,5435,1739352261787,-1.32293,-3.02632,10.07558,-12.01594,6.13385,-22.87225
RV,5436,1739352261803,-0.20788,-2.88515,10.05404,-12.61865,6.76326,-20.70557
RV,5437,1739352261822,-0.83719,-0.73161,10.13061,-5.97364,6.65264,-3.90232
RV,5438,1739352261838,0.20608,-2.11466,9.45584,-4.66142,10.39093,7.74742
RV,5439,1739352261855,0.37119,-2.89472,9.68555,-5.5197,10.9593,8.64003
RV,5440,1739352261870,0.37119,-2.89472,9.68555,-4.58513,7.43081,5.21835
RV,5441,1739352261887,0.69422,-1.68395,9.16631,-4.62328,6.90821,3.48653
RV,5442,1739352261904,0.64875,-1.58824,8.01775,-6.55727,6.66026,-0.68281
RV,5443,1739352261920,0.50997,-1.54277,11.34617,-6.83574,4.98948,-2.1438
RV,5444,1739352261937,-0.81565,-3.01197,8.42932,-0.16021,-0.25558,-2.81135
RV,5445,1739352261954,-0.81565,-3.01197,8.42932,-0.10299,-0.94602,-8.74684
RV,5446,1739352261969,0.3664,-3.7992,9.15913,-0.45012,-5.82869,-28.69331
RV,5447,1739352261987,0.49801,-1.37288,10.95374,1.81574,-5.74858,-29.60118
RV,5448,1739352262003,0.58415,-0.65504,9.22373,2.0675,-3.72303,-26.32063
RV,5449,1739352262020,0.63918,-1.84666,10.49911,4.1579,-2.67402,-20.32029
RV,5450,1739352262037,-0.87069,-3.23689,8.71167,6.06138,-2.15143,-18.12309
RV,5451,1739352262053,-0.87069,-3.23689,8.71167,4.85597,-0.57219,-19.16829
RV,5452,1739352262078,-0.61705,-4.98604,10.52064,2.29257,1.50676,-22.72348
RV,5453,1739352262088,0.09362,-1.37767,10.7695,-3.34921,4.07779,-28.65898
