ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,1801,1739354311334,1.47547,4.24517,10.74048,7.59102,-2.70836,-7.18286
Ak,1802,1739354311354,-1.56341,-1.88764,7.59631,13.49219,4.39822,-15.15153
Ak,1803,1739354311366,-0.57757,-0.51894,10.89362,14.34665,4.50502,-15.81145
Ak,1804,1739354311384,-0.8001,-3.3688,9.10619,12.0312,3.72303,-14.84636
Ak,1805,1739354311400,2.92074,0.24197,10.75723,7.43081,3.6086,-13.78972
Ak,1806,1739354311414,2.92074,0.24197,10.75723,11.39417,5.44723,-14.11396
Ak,1807,1739354311433,-2.41047,-2.55524,8.09402,7.40029,3.95954,-10.51681
Ak,1808,1739354311449,-1.04895,-1.40907,11.52772,-14.44202,10.65414,-11.95491
Ak,1809,1739354311464,-2.06351,-0.9018,8.87169,-12.53854,7.26297,-8.87654
Ak,1810,1739354311479,-0.38136,-2.09581,9.64457,-9.84926,2.54433,-4.21512
Ak,1811,1739354311493,-0.38136,-2.09581,9.64457,-11.26065,1.15963,-2.54051
Ak,1812,1739354311513,-2.02283,-2.52413,11.21665,-7.46133,-6.11859,3.39879
Ak,1813,1739354311530,1.20269,-1.47607,8.60848,-9.68904,-2.84187,1.36181
Ak,1814,1739354311549,-1.1662,-1.24636,11.69283,-2.79228,-4.36007,0.576
Ak,1815,1739354311566,0.25274,-2.05035,10.13988,0.22888,-4.31811,-0.74766
Ak,1816,1739354311583,0.72891,-0.81087,7.69681,1.31985,-4.3944,-1.91874
Ak,1817,1739354311600,-0.47707,-1.81346,10.21167,0.87354,-3.45601,-3.29199
Ak,1818,1739354311619,-0.47707,-1.81346,10.21167,0.9689,-2.91053,-3.76118
Ak,1819,1739354311632,-0.81685,-4.24457,9.09901,-1.9607,0.08774,-5.59218
Ak,1820,1739354311650,-0.19711,-3.17019,10.37677,-14.99513,6.54201,-9.4144
Ak,1821,1739354311667,-0.21147,-0.02124,10.62084,-34.30075,11.45901,-11.30262
Ak,1822,1739354311683,-0.35264,-1.76321,9.15404,-30.61586,9.02531,-9.65853
Ak,1823,1739354311702,0.23121,2.82144,11.43919,-20.36225,7.30493,-9.13974
Ak,1824,1739354311717,0.23121,2.82144,11.43919,-1.80048,4.37914,-8.32724
Ak,1825,1739354311729,-1.6998,-2.45234,5.85673,12.79793,7.25534,-10.79146
Ak,1826,1739354311749,0.54945,-3.05773,10.87687,12.15327,6.29406,-9.01768
Ak,1827,1739354311764,0.71934,-2.27767,9.62064,19.95409,1.60594,-5.65703
Ak,1828,1739354311783,-1.1997,-1.51436,9.82403,35.43368,-4.15408,-0.47301
Ak,1829,1739354311800,-1.52752,-3.81386,9.97957,22.70059,-6.25973,5.03144
Ak,1830,1739354311816,-1.52752,-3.81386,9.97957,15.68939,-5.76765,6.11859
Ak,1831,1739354311834,0.96341,-4.09621,9.89821,-48.86483,-7.93815,16.47138
Ak,1832,1739354311849,0.12114,1.74945,8.49123,-35.86091,-6.04993,12.72164
Ak,1833,1739354311864,1.52572,0.58654,11.41047,-12.28296,-8.89943,11.6383
Ak,1834,1739354311881,-0.28325,1.11296,6.64636,26.08795,-2.01792,0.81632
Ak,1835,1739354311901,0.09003,-7.77159,10.34806,29.41045,4.6042,-5.00474
Ak,1836,1739354311917,0.09003,-7.77159,10.34806,-17.24574,-0.08392,3.75737
Ak,1837,1739354311928,-1.51077,-4.48624,13.34387,-22.39543,1.13675,3.38735
Ak,1838,1739354311944,-0.79531,0.20847,8.41945,-12.56906,-0.78199,3.76881
Ak,1839,1739354311964,-0.45793,0.59611,10.3337,21.25868,3.46364,-3.30343
Ak,1840,1739354311981,0.44895,-3.57219,10.02503,18.2032,3.15848,-2.28875
Ak,1841,1739354311997,0.44895,-3.57219,10.02503,2.23535,8.20517,-4.1312
Ak,1842,1739354312015,0.73131,-3.3664,10.31217,-45.06932,-2.84949,11.73748
Ak,1843,1739354312030,0.85813,-0.25334,10.01067,3.70778,-1.76615,5.87446
Ak,1844,1739354312049,0.31256,-0.2988,9.0009,44.51239,2.86857,-0.6027
Ak,1845,1739354312065,-0.84796,1.06271,10.41985,36.18134,4.00531,0.16403
Ak,1846,1739354312084,-1.24756,-0.77258,9.45075,28.57887,2.60918,3.79551
Ak,1847,1739354312098,-1.24756,-0.77258,9.45075,25.18389,1.90729,5.37094
