ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,301,1739358551707,0.25633,-1.38814,8.30908,0.22888,-0.9155,-5.41671
Abj,302,1739358551726,0.55334,-0.08734,8.96531,1.20541,-7.26297,-6.75944
Abj,303,1739358551742,-0.14865,-3.51775,7.56401,9.01005,3.662,-5.96601
Abj,304,1739358551758,0.40947,-2.16909,9.42294,11.81758,-8.84984,-6.57634
Abj,305,1739358551775,0.40947,-2.16909,9.42294,5.41671,5.8592,-6.57634
Abj,306,1739358551790,0.59402,0.83001,10.51287,5.05051,-11.29117,-5.96601
Abj,307,1739358551815,0.12443,-1.12941,11.20499,0.90024,7.81227,-7.30112
Abj,308,1739358551832,0.88146,-1.66122,11.27468,-1.35799,-9.21604,-3.64674
Abj,309,1739358551846,0.31376,-1.11266,9.47318,2.42608,3.4789,-6.02704
Abj,310,1739358551865,0.72323,-2.82054,9.33889,5.66084,10.37567,-6.51531
Abj,311,1739358551881,-0.42413,-2.4661,8.0022,7.97248,-22.26955,-2.97538
Abj,312,1739358551892,-0.42413,-2.4661,8.0022,10.71898,13.12217,-5.35568
Abj,313,1739358551911,0.52223,-0.32931,7.57598,2.12091,0.67137,-5.84394
Abj,314,1739358551927,0.47198,1.13928,14.53251,-8.74303,-23.49021,-4.56224
Abj,315,1739358551942,0.14836,-1.26341,10.94148,-6.05756,7.20194,-0.35094
Abj,316,1739358551959,0.67298,-2.98355,11.86631,-4.53173,1.58687,-6.33221
Abj,317,1739358551976,0.67298,-2.98355,11.86631,-3.86036,-1.0986,-2.18194
Abj,318,1739358551996,0.30897,-2.77986,9.64816,-2.76176,2.62443,-2.24298
Abj,319,1739358552008,0.5653,-2.28634,10.60619,-5.20309,-0.97653,-1.44954
Abj,320,1739358552024,0.94846,1.01216,11.60998,-11.18436,-2.5634,-1.57161
Abj,321,1739358552041,-0.55813,-2.68893,9.16182,-9.04819,-6.46954,0.86973
Abj,322,1739358552058,-0.55813,-2.68893,9.16182,-2.82279,-2.0141,-0.41198
Abj,323,1739358552075,0.71845,-3.82911,6.25603,3.03641,5.1268,0.74766
Abj,324,1739358552092,0.29222,-0.51147,9.26471,-3.00589,-4.27234,0.62559
Abj,325,1739358552117,0.21805,0.51147,12.07,-9.35336,-14.70904,-0.35094
Abj,326,1739358552136,-0.1319,-1.39053,10.11506,-9.5975,2.25823,1.05283
Abj,327,1739358552152,0.44536,-1.17488,7.73151,-7.52236,-9.8874,3.61623
Abj,328,1739358552166,0.2659,-2.10658,10.11745,-8.01063,-0.48827,0.07629
Abj,329,1739358552183,0.04068,-4.69861,9.91137,-3.31106,-10.37567,3.37209
Abj,330,1739358552197,0.04068,-4.69861,9.91137,6.69841,-2.07513,0.13733
Abj,331,1739358552209,0.17228,-3.04816,8.69701,-2.82279,-0.61033,1.60213
Abj,332,1739358552230,0.48634,3.34068,10.44557,-6.30169,-7.1409,1.48006
Abj,333,1739358552242,0.12203,-3.00269,7.9352,-5.08103,-0.85447,2.94486
Abj,334,1739358552258,0.12203,-3.00269,7.9352,2.12091,13.06114,2.09039
Abj,335,1739358552275,-0.07926,-3.5656,9.42533,4.01294,8.36157,0.74766
Abj,336,1739358552293,0.52941,-2.26002,10.19432,0.47301,-9.7043,2.88383
Abj,337,1739358552318,0.08614,-1.49581,9.87548,1.44954,3.05167,0.93076
Abj,338,1739358552340,0.21326,-0.21416,10.46262,-3.55519,-10.00947,2.21246
Abj,339,1739358552355,0.39511,-0.68375,10.44557,-1.66316,4.27234,1.23593
Abj,340,1739358552361,0.04307,-1.84816,8.87677,-3.92139,-1.70893,1.60213
Abj,341,1739358552373,0.04307,-1.84816,8.87677,-0.62559,5.73714,1.29696
Abj,342,1739358552392,0.46959,-1.82632,8.89352,2.91434,2.62443,1.60213
Abj,343,1739358552408,0.36879,-4.11895,10.16052,6.02704,-3.05167,1.60213
Abj,344,1739358552426,0.32812,-3.12233,11.00878,16.70025,7.38504,1.60213
Abj,345,1739358552441,0.66102,1.3331,10.08874,5.23361,-2.7465,1.84626
Abj,346,1739358552459,0.66102,1.3331,10.08874,5.66084,-2.50237,2.45659
Abj,347,1739358552479,-0.11276,-1.15813,8.39043,4.01294,8.4226,2.02936
Abj,348,1739358552502,0.47916,-0.67178,9.17857,6.33221,0.06103,1.84626
Abj,349,1739358552521,-0.11037,-2.27199,7.69083,3.58571,12.38977,3.12796
Abj,350,1739358552535,0.3999,-1.03849,11.54298,1.02231,-11.65737,3.73829
Abj,351,1739358552548,0.78096,-1.80239,12.01466,3.76881,5.73714,1.29696
Abj,352,1739358552564,-0.57966,-1.46949,8.09821,-0.01526,-12.20667,5.14206
Abj,353,1739358552583,-0.57966,-1.46949,8.09821,5.53878,17.44791,2.76176
Abj,354,1739358552592,0.99153,-0.44656,9.25514,-1.96833,-7.8733,1.72419
Abj,355,1739358552607,-0.12473,-0.82762,9.81566,0.41198,9.39914,1.84626
Abj,356,1739358552626,0.43579,-1.13659,11.3345,-3.31106,-12.2677,2.15143
Abj,357,1739358552643,0.23958,-2.09222,9.98824,-3.92139,14.03767,1.78523
Abj,358,1739358552660,0.23958,-2.09222,9.98824,-4.28759,-6.28644,2.70073
Abj,359,1739358552673,0.17946,-1.72582,10.8027,-1.78523,6.2254,1.96833
Abj,360,1739358552691,0.46451,-2.40628,10.57269,1.26644,1.831,2.27349
Abj,361,1739358552710,0.38554,-1.94865,9.87548,8.27765,3.8451,1.96833
Abj,362,1739358552728,-0.15583,-0.88265,7.92084,0.96128,21.41508,0.99179
Abj,363,1739358552742,0.46211,0.63858,12.98017,-5.20309,-9.21604,2.33453
Abj,364,1739358552759,0.46211,0.63858,12.98017,-10.39093,-1.34273,1.17489
Abj,365,1739358552776,0.21805,-0.84197,10.5679,-15.33463,7.5071,2.21246
Abj,366,1739358552795,0.12682,-2.38235,9.51386,-8.43786,10.0705,2.21246
Abj,367,1739358552822,0.44058,-3.14387,9.94038,2.73124,4.82164,1.84626
Abj,368,1739358552840,0.20608,-2.67458,8.41197,-1.17489,5.6761,-0.35094
Abj,369,1739358552855,-0.14626,-1.24187,8.85763,1.32748,1.0986,0.99179
Abj,370,1739358552870,0.60598,-1.88883,10.38814,1.38851,-7.93434,1.23593
Abj,371,1739358552882,0.60598,-1.88883,10.38814,-1.54109,-12.2677,0.56456
Abj,372,1739358552894,0.36162,-2.40868,9.93081,0.41198,1.89203,-0.53404
Abj,373,1739358552917,0.08614,0.67448,10.76441,-1.23593,-7.324,-1.87678
Abj,374,1739358552932,-0.30658,-0.99033,8.25374,-4.40966,8.91087,-1.20541
Abj,375,1739358552943,0.68255,-2.91894,8.85763,6.99595,2.80753,-0.16784
Abj,376,1739358552959,0.68255,-2.91894,8.85763,5.59981,17.56998,-2.73124
Abj,377,1739358552982,0.4669,-1.97019,10.18954,1.26644,-0.3662,-0.77818
Abj,378,1739358552994,0.17707,-1.00708,9.30539,1.26644,-2.99063,-1.26644
Abj,379,1739358553009,0.01914,-0.4011,9.06341,-2.63969,7.26297,-1.93781
Abj,380,1739358553027,0.09093,-0.74596,10.4336,-1.54109,-3.72303,-1.75471
Abj,381,1739358553044,0.53659,-1.43599,10.24696,-2.57866,15.43381,-4.98948
Abj,382,1739358553061,0.53659,-1.43599,10.24696,-7.33926,1.76997,-0.96128
Abj,383,1739358553077,0.31615,-0.77976,9.15703,-8.43786,5.3099,-2.60918
Abj,384,1739358553094,-0.00718,-1.04088,9.80369,-3.12796,14.82348,-3.34158
Abj,385,1739358553122,0.17707,-4.1333,7.9017,3.15848,0.85447,-1.87678
Abj,386,1739358553143,0.11486,-3.23988,8.79273,1.32748,-10.13154,-5.35568
Abj,387,1739358553159,0.15075,-0.20459,10.68036,1.26644,-7.6902,-5.23361
Abj,388,1739358553173,-0.0984,0.11396,11.00399,1.99884,-11.23014,-3.46364
Abj,389,1739358553183,0.79292,-2.05633,10.44318,4.31811,8.4226,-5.11154
Abj,390,1739358553194,0.79292,-2.05633,10.44318,7.24008,8.7888,-5.23361
Abj,391,1739358553217,0.3664,-2.77029,11.19542,10.23072,2.68547,-7.00358
Abj,392,1739358553229,0.46451,-2.24806,10.18714,3.52468,9.8874,-5.53878
Abj,393,1739358553248,0.23001,-0.69571,10.11985,6.81285,-5.18784,-6.88151
Abj,394,1739358553262,0.23001,-0.69571,10.11985,-4.95896,16.22724,-8.76592
Abj,395,1739358553277,0.53898,-0.70289,9.84437,-0.07629,-16.17384,-5.23361
Abj,396,1739358553300,0.04786,-1.20838,9.75344,-0.44249,13.24424,-6.33221
Abj,397,1739358553310,0.61555,-2.07308,11.29861,-0.93076,-12.63391,-3.70778
Abj,398,1739358553329,0.40708,-2.49482,9.26232,3.15848,18.79064,-6.39324
Abj,399,1739358553346,0.5677,-0.21655,10.34986,-2.76176,-6.7747,-4.37914
Abj,400,1739358553361,0.5677,-0.21655,10.34986,2.05988,7.07987,-5.66084
Abj,401,1739358553378,-0.27308,-1.43839,9.52343,-1.96833,2.80753,-7.00358
Abj,402,1739358553394,0.58923,-1.85294,8.81905,2.97538,0.9155,-5.29464
Abj,403,1739358553412,0.10289,-2.56182,7.23081,5.53878,9.27707,-5.11154
Abj,404,1739358553429,0.17946,0.28624,10.68036,0.28991,-7.1409,-6.94254
Abj,405,1739358553457,-0.28026,-1.06241,10.17967,-0.07629,-1.70893,-5.90498
Abj,406,1739358553477,0.50309,-1.57508,9.54497,0.28991,-1.40377,-7.48422
Abj,407,1739358553495,0.19382,-1.75693,10.57747,-0.93076,-3.17373,-6.21014
Abj,408,1739358553507,0.4334,-2.44457,9.26232,6.02704,8.66674,-7.78938
Abj,409,1739358553517,0.4334,-2.44457,9.26232,0.53404,0.3662,-6.21014
Abj,410,1739358553533,0.50309,0.399,10.36182,-2.51763,-0.48827,-7.60628
Abj,411,1739358553554,0.07896,0.31525,10.16292,-8.37683,11.96254,-6.69841
Abj,412,1739358553564,0.08614,-1.17727,9.19532,-11.36746,6.46954,-7.00358
Abj,413,1739358553578,0.08614,-1.17727,9.19532,-14.84636,-0.79343,-7.00358
Abj,414,1739358553596,0.21326,-4.05912,8.74248,-3.98243,2.25823,-7.06461
Abj,415,1739358553611,0.82881,-2.96441,10.62772,1.51058,-0.7324,-7.24008
Abj,416,1739358553633,-0.09601,-1.70429,10.67797,-3.86036,-2.3803,-9.25418
Abj,417,1739358553645,0.17707,-0.71964,10.21107,1.63264,-11.47427,-6.14911
Abj,418,1739358553662,0.17707,-0.71964,10.21107,-8.37683,7.20194,-10.29175
Abj,419,1739358553680,0.07657,-0.03709,10.01935,-6.17963,-18.98137,-5.90498
Abj,420,1739358553697,0.81685,-2.59053,8.59891,-0.13733,10.2536,-8.15558
Abj,421,1739358553713,0.32094,-3.43131,9.4014,-2.09039,-9.09397,-9.07108
Abj,422,1739358553730,-0.15105,-2.22891,10.34507,1.93781,-8.6057,-7.48422
Abj,423,1739358553747,0.38554,-1.81675,10.73091,5.78291,-5.43197,-9.19315
Abj,424,1739358553769,0.71605,-0.41306,10.25175,-0.32043,-3.53993,-10.16968
