ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Gar,1801,1742632304383,0.48574,-2.97428,6.75434,1.99494,7.76977,-9.48472
Gar,1802,1742632304392,0.17707,-0.91406,7.32084,5.56484,18.26946,-4.65486
Gar,1803,1742632304399,0.17707,-0.91406,7.32084,10.39469,-17.42949,-7.73477
Gar,1804,1742632304407,-0.57428,-0.36012,8.97249,21.52437,-52.84845,-6.7548
Gar,1805,1742632304417,-0.57428,-0.36012,8.97249,28.59416,-6.7198,-10.0447
Gar,1806,1742632304423,-0.57428,-0.36012,8.97249,31.46407,32.2778,-9.48472
Gar,1807,1742632304433,0.15314,-1.47996,12.90748,27.33419,55.16713,-9.62472
Gar,1808,1742632304440,0.15314,-1.47996,12.90748,13.96459,-18.54945,-6.8948
Gar,1809,1742632304450,-0.25125,-1.36211,7.7019,12.21464,-42.34875,-5.91483
Gar,1810,1742632304459,-0.25125,-1.36211,7.7019,8.99473,-13.99959,-6.26482
Gar,1811,1742632304467,0.28056,-2.71526,6.92244,5.91483,9.44972,-3.2549
Gar,1812,1742632304475,0.28056,-2.71526,6.92244,4.09488,-42.62874,-4.30487
Gar,1813,1742632304483,0.28056,-2.71526,6.92244,8.78474,-48.43858,-5.28484
Gar,1814,1742632304492,0.08435,-0.27398,13.14497,22.57434,21.70811,-4.79486
Gar,1815,1742632304499,0.08435,-0.27398,13.14497,25.58425,57.33706,-3.81489
Gar,1816,1742632304509,-0.00957,-2.46162,10.44766,16.20452,41.44753,-2.13494
Gar,1817,1742632304516,-0.00957,-2.46162,10.44766,5.00485,-33.949,0.87497
Gar,1818,1742632304523,-0.00957,-2.46162,10.44766,3.18491,-45.07867,-0.38499
Gar,1819,1742632304533,-0.01496,-1.8006,8.07159,2.20494,4.19988,3.11491
Gar,1820,1742632304542,-0.01496,-1.8006,8.07159,1.01497,-39.26884,0.45499
Gar,1821,1742632304550,-1.36331,0.67238,13.24547,17.88447,-26.52922,0.52498
Gar,1822,1742632304559,-1.36331,0.67238,13.24547,11.58466,73.85658,-0.38499
Gar,1823,1742632304567,-0.07537,-3.98046,12.87398,8.36475,67.34676,0.80498
Gar,1824,1742632304576,-0.07537,-3.98046,12.87398,-8.71474,-21.55937,4.58487
Gar,1825,1742632304583,-0.07537,-3.98046,12.87398,-9.62472,-79.30766,2.20494
Gar,1826,1742632304594,-0.6676,-1.59541,9.92722,-4.30487,-27.85918,1.99494
Gar,1827,1742632304599,-0.6676,-1.59541,9.92722,-3.88489,43.47747,5.14485
Gar,1828,1742632304608,-0.35892,-1.31486,7.69173,-1.08497,-56.41834,3.4649
Gar,1829,1742632304617,-0.35892,-1.31486,7.69173,3.04491,-56.41834,2.41493
Gar,1830,1742632304626,-0.26501,-2.67159,16.73421,1.36496,16.65951,2.69492
Gar,1831,1742632304633,-0.26501,-2.67159,16.73421,10.81468,77.98646,3.67489
Gar,1832,1742632304641,-0.92602,-1.94237,9.52822,-5.98482,-18.47946,5.28484
Gar,1833,1742632304650,-0.92602,-1.94237,9.52822,-10.39469,-61.2482,4.23488
Gar,1834,1742632304660,-0.92602,-1.94237,9.52822,-23.34431,-21.90936,9.06473
Gar,1835,1742632304667,0.17527,-1.74497,11.65245,-7.24479,-2.16994,5.98482
Gar,1836,1742632304680,0.17527,-1.74497,11.65245,-0.52498,22.68808,8.36475
Gar,1837,1742632304685,-0.17109,-2.36172,8.24866,-10.1147,-2.37993,4.65486
Gar,1838,1742632304691,-0.17109,-2.36172,8.24866,-10.74468,-27.78918,5.14485
Gar,1839,1742632304700,-0.17109,-2.36172,8.24866,-10.88468,-39.19884,9.76471
Gar,1840,1742632304710,-1.26221,-2.69312,11.19542,-5.42484,-8.88974,4.58487
