ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1001,1739356116096,0.2348,-2.77747,10.05763,1.87678,1.22067,4.16553
Abj,1002,1739356116108,0.37837,-1.4671,9.97867,1.02231,-0.06103,3.37209
Abj,1003,1739356116128,0.41665,-1.81436,9.72234,-0.25939,4.33337,3.18899
Abj,1004,1739356116138,0.41665,-1.81436,9.72234,-2.21246,2.86857,3.67726
Abj,1005,1739356116156,0.68016,-2.17388,9.85394,-0.50353,3.8451,3.06693
Abj,1006,1739356116174,0.37358,-2.0659,9.90658,-1.84626,3.53993,3.12796
Abj,1007,1739356116191,0.31376,-1.77847,10.09113,-3.25003,2.80753,2.15143
Abj,1008,1739356116208,0.08853,-2.52114,9.95953,-3.37209,-1.34273,2.70073
Abj,1009,1739356116224,0.08853,-2.52114,9.95953,0.71714,6.4085,2.51763
Abj,1010,1739356116244,0.72084,-2.74397,9.59043,-0.32043,1.76997,2.02936
Abj,1011,1739356116260,0.27308,-1.34985,9.20728,-2.76176,0.9155,2.88383
Abj,1012,1739356116276,0.6323,-1.599,9.76541,-2.09039,-0.12207,2.94486
Abj,1013,1739356116290,0.28265,-2.30548,9.21925,-1.29696,1.52583,3.37209
Abj,1014,1739356116303,0.41665,-2.49482,9.64307,0.35094,-1.40377,2.57866
Abj,1015,1739356116322,0.41665,-2.49482,9.64307,-0.99179,-1.52583,3.12796
Abj,1016,1739356116338,0.32812,-1.27777,10.49133,-0.86973,-2.50237,3.06693
Abj,1017,1739356116356,0.25394,-2.22413,9.67927,-0.80869,1.34273,3.43313
Abj,1018,1739356116375,0.60359,-2.37518,8.86002,0.83921,1.03757,3.06693
Abj,1019,1739356116391,0.28265,-2.02523,9.85634,1.51058,-0.79343,2.63969
Abj,1020,1739356116407,0.31854,-1.70907,10.35464,0.71714,-1.52583,3.43313
Abj,1021,1739356116426,0.31854,-1.70907,10.35464,0.90024,3.23477,2.94486
Abj,1022,1739356116442,0.40947,-1.89601,9.53061,0.65611,1.0986,3.25003
Abj,1023,1739356116470,0.29462,-1.94148,9.40379,1.57161,-1.34273,3.12796
Abj,1024,1739356116485,0.39272,-2.23131,9.93799,2.91434,0.3662,3.43313
Abj,1025,1739356116501,0.39272,-1.96301,9.38226,1.38851,-0.85447,2.82279
Abj,1026,1739356116514,0.1986,-1.40249,8.92224,1.20541,2.99063,3.31106
Abj,1027,1739356116526,0.27069,-2.14756,9.69602,1.26644,-1.2817,2.88383
Abj,1028,1739356116548,0.27069,-2.14756,9.69602,2.24298,0.30517,3.00589
Abj,1029,1739356116566,0.34487,-2.31745,9.97628,1.81574,-2.07513,3.12796
Abj,1030,1739356116580,0.67059,-2.38475,9.97149,2.54814,-1.6479,3.61623
Abj,1031,1739356116592,0.34487,-1.52692,9.58086,2.05988,-0.3662,2.88383
Abj,1032,1739356116606,0.19143,-1.58465,10.11506,0.65611,-2.62443,2.39556
Abj,1033,1739356116624,0.19143,-1.58465,10.11506,-0.62559,-0.42723,2.45659
Abj,1034,1739356116641,0.35922,-1.67557,10.11267,-0.44249,2.1972,2.51763
Abj,1035,1739356116660,0.52463,-2.53549,10.09831,0.47301,2.31927,2.70073
Abj,1036,1739356116676,0.5988,-2.42782,10.12702,0.41198,2.07513,3.00589
Abj,1037,1739356116693,0.49113,-2.19302,10.20389,-0.25939,1.95307,2.63969
Abj,1038,1739356116714,0.35444,-1.91037,10.0026,-0.93076,0.0,3.25003
Abj,1039,1739356116733,0.32094,-2.27916,9.73669,-2.15143,-1.831,2.94486
Abj,1040,1739356116749,0.32094,-2.27916,9.73669,-3.25003,0.79343,2.82279
Abj,1041,1739356116765,0.52702,-2.33898,9.28385,-1.35799,-0.61033,3.31106
Abj,1042,1739356116781,0.47677,-2.22652,9.32453,-1.35799,0.24413,3.18899
Abj,1043,1739356116799,0.30897,-2.34616,9.51147,-2.02936,-0.42723,2.82279
Abj,1044,1739356116814,0.30419,-1.99173,9.73191,-2.76176,-0.97653,3.55519
Abj,1045,1739356116823,0.30419,-1.99173,9.73191,-2.33453,-0.06103,3.49416
Abj,1046,1739356116840,0.28026,-2.68176,9.11875,-1.72419,-2.9296,3.06693
Abj,1047,1739356116858,0.50309,-2.72722,9.31017,0.90024,0.1831,3.31106
Abj,1048,1739356116877,0.26112,-2.52353,9.67687,1.14438,-3.78407,3.61623
Abj,1049,1739356116893,0.32812,-2.11645,10.18714,1.08334,-0.85447,2.82279
Abj,1050,1739356116910,0.32333,-2.40628,10.02653,1.51058,-3.41787,2.51763
Abj,1051,1739356116928,0.32333,-2.40628,10.02653,1.26644,-2.13617,2.51763
Abj,1052,1739356116952,0.38554,-2.05872,9.99303,1.14438,-0.67137,2.21246
Abj,1053,1739356116965,0.38554,-2.05872,9.99303,0.96128,3.662,1.84626
Abj,1054,1739356116974,0.3664,-2.15952,9.69841,-0.44249,-1.52583,1.84626
Abj,1055,1739356116991,0.37597,-1.92233,9.60718,-0.74766,1.89203,1.96833
Abj,1056,1739356117014,0.37119,-2.42303,9.5354,0.04578,-0.30517,2.45659
Abj,1057,1739356117025,0.37119,-2.42303,9.5354,0.96128,0.9155,2.39556
Abj,1058,1739356117043,0.39511,-2.2337,9.50668,1.44954,0.0,1.78523
Abj,1059,1739356117054,0.37119,-2.13559,9.25514,0.41198,-1.76997,2.57866
Abj,1060,1739356117076,0.36401,-2.35334,9.20967,2.24298,-0.79343,2.33453
Abj,1061,1739356117093,0.55095,-2.13559,9.46122,2.85331,-0.85447,2.33453
Abj,1062,1739356117108,0.55095,-2.13559,9.46122,2.05988,-2.62443,2.51763
Abj,1063,1739356117127,0.33051,-2.18824,9.60718,2.48711,0.79343,2.45659
Abj,1064,1739356117144,0.55095,-1.97019,9.59522,2.54814,-2.0141,2.45659
Abj,1065,1739356117159,0.33769,-2.10658,10.14138,1.38851,-1.2817,2.39556
Abj,1066,1739356117184,0.38554,-2.09222,10.15813,1.14438,-0.61033,2.51763
Abj,1067,1739356117204,0.35204,-2.24806,9.8683,-0.19836,-0.1831,2.33453
Abj,1068,1739356117220,0.43819,-2.32941,10.35225,1.02231,-0.42723,2.70073
Abj,1069,1739356117233,0.51745,-2.79183,10.22304,1.32748,0.30517,2.39556
Abj,1070,1739356117241,0.51745,-2.79183,10.22304,1.26644,-0.48827,2.70073
Abj,1071,1739356117259,0.52223,-1.69711,10.16052,-0.44249,-0.24413,2.51763
Abj,1072,1739356117276,0.27787,-1.75214,9.89701,-1.54109,-1.4648,2.63969
Abj,1073,1739356117294,0.27787,-2.11406,9.78455,-3.31106,-1.6479,2.39556
Abj,1074,1739356117312,0.6993,-3.07926,9.45644,0.22888,0.61033,2.70073
Abj,1075,1739356117329,0.6993,-3.07926,9.45644,0.83921,-1.03757,2.57866
Abj,1076,1739356117344,0.34965,-2.502,9.45883,1.14438,-1.22067,2.33453
Abj,1077,1739356117365,0.3999,-1.97258,9.81566,-0.44249,-4.51647,1.96833
Abj,1078,1739356117384,0.43579,-2.1018,9.45404,1.63264,-0.3662,2.39556
Abj,1079,1739356117401,0.48156,-2.31745,9.01556,0.83921,-4.0282,2.33453
Abj,1080,1739356117416,0.3664,-1.98694,9.66491,-0.07629,-2.7465,1.78523
Abj,1081,1739356117435,0.55573,-1.91755,9.81566,-0.19836,-3.35683,2.39556
Abj,1082,1739356117447,0.55573,-1.91755,9.81566,-0.62559,-3.2958,2.88383
Abj,1083,1739356117460,0.20369,-2.52114,9.31735,-0.80869,-0.67137,1.96833
Abj,1084,1739356117477,0.25633,-2.08026,9.47079,-0.07629,-0.48827,2.27349
Abj,1085,1739356117498,0.51266,-2.19541,10.22304,-1.90729,-3.96717,2.39556
Abj,1086,1739356117509,0.51266,-2.19541,10.22304,-1.23593,-2.3803,2.70073
Abj,1087,1739356117527,0.49113,-2.10927,10.18954,-0.93076,-2.0141,2.63969
Abj,1088,1739356117543,0.26351,-2.15713,9.57608,-1.72419,-3.05167,2.51763
