ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,2751,1739356377592,-0.05982,-1.93191,10.57747,3.03641,4.33337,5.93549
Abj,2752,1739356377609,-0.00957,-2.0324,11.01356,2.12091,-4.69957,5.75239
Abj,2753,1739356377627,-0.13669,-0.47288,9.34607,0.16784,1.89203,5.69136
Abj,2754,1739356377645,0.32094,0.94277,8.79512,-3.67726,5.61507,5.08103
Abj,2755,1739356377661,0.134,-0.37956,10.02892,-5.81343,4.45543,5.63033
Abj,2756,1739356377686,-0.07448,-4.19791,9.70798,-2.51763,23.00195,4.04346
Abj,2757,1739356377706,-0.13669,-3.34277,9.42533,3.52468,7.93434,3.37209
Abj,2758,1739356377717,-0.13669,-3.34277,9.42533,2.91434,12.14564,2.57866
Abj,2759,1739356377725,-0.08644,-1.81675,9.25992,1.44954,-4.63854,2.63969
Abj,2760,1739356377742,0.18425,-1.47667,10.52004,0.35094,-3.17373,1.96833
Abj,2761,1739356377762,0.34726,-1.15095,10.32114,0.16784,-2.9296,1.78523
Abj,2762,1739356377778,0.34726,-1.15095,10.32114,1.69368,6.2254,2.39556
Abj,2763,1739356377793,0.32333,-1.19163,9.50668,0.59508,8.7888,2.63969
Abj,2764,1739356377811,0.47916,0.42772,10.79791,-2.27349,8.4226,2.15143
Abj,2765,1739356377836,-0.11994,-3.1008,10.48894,2.42608,10.86394,3.18899
Abj,2766,1739356377851,-0.27547,-3.65892,8.9031,9.25418,11.84047,2.82279
Abj,2767,1739356377866,0.13878,-1.33071,8.06232,4.74534,17.44791,2.39556
Abj,2768,1739356377876,0.13878,-1.33071,8.06232,0.41198,-3.60097,2.27349
Abj,2769,1739356377894,0.49831,0.70558,10.05524,1.26644,7.62917,2.76176
Abj,2770,1739356377910,-0.15344,-1.69232,8.64916,-4.53173,6.4085,2.27349
Abj,2771,1739356377927,-0.15823,-1.15095,10.15095,-6.36273,-0.79343,2.21246
Abj,2772,1739356377945,-0.00957,-1.45753,9.79173,-3.12796,9.39914,1.66316
Abj,2773,1739356377962,0.21326,-2.44457,10.94627,-4.10449,12.02357,0.86973
Abj,2774,1739356377989,-0.07687,-2.55942,9.75584,0.83921,1.70893,-1.87678
Abj,2775,1739356378001,-0.07687,-2.55942,9.75584,1.20541,15.06761,-0.47301
Abj,2776,1739356378009,0.27547,-3.87458,9.18096,9.80348,7.93434,-1.38851
Abj,2777,1739356378027,-0.00957,0.37747,9.81805,1.57161,-1.15963,-1.57161
Abj,2778,1739356378044,0.26351,-0.60239,10.08156,-3.49416,11.5353,-0.65611
Abj,2779,1739356378063,0.31376,-2.7655,11.09731,-0.86973,-2.99063,-1.99884
Abj,2780,1739356378079,0.31376,-2.7655,11.09731,6.27118,24.83295,-2.30401
Abj,2781,1739356378096,0.1675,-2.7009,9.22882,4.62328,-0.42723,-2.60918
Abj,2782,1739356378112,-0.30179,1.21585,9.7008,-1.90729,14.88451,-2.97538
Abj,2783,1739356378134,0.13639,-1.41924,9.98824,-1.11386,-1.58687,-3.64674
Abj,2784,1739356378145,-0.00479,-3.64457,8.42872,0.16784,12.817,-4.50121
Abj,2785,1739356378162,-0.00479,-3.64457,8.42872,0.41198,-1.70893,-4.37914
Abj,2786,1739356378179,0.04307,-1.2993,9.24317,0.10681,8.0564,-4.25708
Abj,2787,1739356378196,0.13878,-0.34367,10.12224,-2.21246,-1.03757,-5.47774
Abj,2788,1739356378213,-0.28744,-2.42782,10.21586,-1.05283,4.7606,-5.72188
Abj,2789,1739356378230,0.25155,-1.29212,10.63011,-1.48006,-2.86857,-6.94254
Abj,2790,1739356378247,0.15075,-0.18305,8.74008,-3.79933,7.07987,-4.98948
Abj,2791,1739356378274,0.52941,-1.4336,8.2681,-9.5975,22.45264,-2.85331
Abj,2792,1739356378294,0.07178,-3.34756,12.47229,-0.93076,-7.324,-5.53878
Abj,2793,1739356378305,-0.9655,-5.34317,7.35075,8.27765,17.81411,-4.98948
Abj,2794,1739356378311,-0.9655,-5.34317,7.35075,5.35568,-0.42723,-7.36215
Abj,2795,1739356378326,0.36879,-0.50429,10.39771,4.31811,-8.2395,-6.39324
Abj,2796,1739356378345,0.39511,-0.40349,10.70429,1.69368,3.53993,-6.33221
Abj,2797,1739356378364,0.72084,-1.87448,10.27328,-0.13733,-13.54941,-6.45428
Abj,2798,1739356378381,0.72084,-1.87448,10.27328,-1.05283,16.89861,-4.98948
Abj,2799,1739356378395,-0.08166,-0.27667,9.2025,-5.99653,-2.62443,-4.80638
Abj,2800,1739356378413,0.13639,-1.58225,10.24936,0.90024,6.71367,-5.23361
Abj,2801,1739356378433,-0.45523,-4.8329,9.31735,2.36504,-5.06577,-7.12564
Abj,2802,1739356378445,-0.18215,-1.21795,10.71656,1.93781,-12.75597,-6.69841
Abj,2803,1739356378462,-0.18215,-1.21795,10.71656,4.01294,-5.6761,-6.21014
Abj,2804,1739356378479,0.24437,-0.43938,7.58076,4.74534,17.93618,-6.51531
Abj,2805,1739356378497,0.8336,-1.32832,9.16182,-6.36273,-14.34284,-6.63738
Abj,2806,1739356378514,-0.2683,-0.44895,11.06381,-6.78996,4.69957,-5.17258
Abj,2807,1739356378531,0.31854,-1.36182,10.20868,-6.91203,-6.89677,-5.41671
Abj,2808,1739356378552,0.05743,-3.46989,9.26471,1.14438,3.8451,-3.64674
Abj,2809,1739356378571,-0.05743,-3.97029,10.68276,1.08334,-5.493,-7.06461
Abj,2810,1739356378587,0.15553,-1.19402,9.54736,7.54525,-6.34747,-7.85042
Abj,2811,1739356378596,0.15553,-1.19402,9.54736,4.31811,-0.85447,-4.62328
Abj,2812,1739356378613,0.62034,-0.02273,7.85145,-3.92139,5.00474,-4.19604
Abj,2813,1739356378628,0.83121,-0.667,12.01466,-4.16553,-14.89214,-4.86741
Abj,2814,1739356378646,-0.24437,-3.74297,10.35225,0.59508,0.06103,-4.74534
Abj,2815,1739356378664,0.22522,-1.77607,9.5019,3.64674,3.90613,-4.44018
Abj,2816,1739356378680,0.22522,-1.77607,9.5019,2.73124,5.73714,-3.21951
Abj,2817,1739356378700,-0.08883,-1.21316,10.56551,2.85331,3.17373,-4.37914
Abj,2818,1739356378714,0.12921,-1.07198,10.21825,-1.84626,-2.50237,-3.15848
Abj,2819,1739356378745,0.17468,-0.71007,9.2001,-3.18899,6.28644,-2.73124
Abj,2820,1739356378761,0.81924,-1.07677,8.2346,-1.90729,14.03767,-2.79228
Abj,2821,1739356378767,-0.22283,-3.37149,10.5009,-0.56456,8.66674,-4.25708
