ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,5501,1739352265102,1.64536,-0.11216,11.1353,17.77978,3.81077,-17.52802
Ak,5502,1739352265109,0.43938,-2.90459,9.71875,17.35255,4.23037,-17.78359
Ak,5503,1739352265126,2.07129,-3.86411,9.41486,13.73632,4.11212,-16.582
Ak,5504,1739352265147,0.87009,-2.39013,8.2687,-11.48571,2.17431,-6.50005
Ak,5505,1739352265163,0.87009,-2.39013,8.2687,-24.06622,4.11212,-2.10947
Ak,5506,1739352265180,0.57577,-1.59332,8.32852,-22.31532,9.82256,-2.72743
Ak,5507,1739352265193,1.0328,-0.52612,9.74986,-11.44757,8.93376,-9.38769
Ak,5508,1739352265212,1.45633,-1.44497,8.93869,-5.90116,6.19107,-14.51831
Ak,5509,1739352265226,1.0998,-3.48126,8.24477,-8.04877,4.8636,-14.2551
Ak,5510,1739352265243,1.20269,-2.66052,9.94367,-12.62628,2.69691,-12.74453
Ak,5511,1739352265260,1.20269,-2.66052,9.94367,-11.02034,1.00324,-13.58755
Ak,5512,1739352265279,0.78156,-4.04118,10.18535,-5.8592,-0.10299,-15.80764
Ak,5513,1739352265294,0.81745,-3.67508,8.51516,-5.26031,-2.44515,-16.66973
Ak,5514,1739352265314,0.48724,-1.10279,9.92453,-6.42758,-8.36157,-17.13511
Ak,5515,1739352265328,1.0328,-1.64357,8.75923,-5.00474,-8.72777,-17.25718
Ak,5516,1739352265344,1.0328,-1.64357,8.75923,-6.26736,-7.5071,-14.72048
Ak,5517,1739352265359,1.44197,-2.9333,10.1016,-4.96659,-5.90498,-13.58755
Ak,5518,1739352265379,1.06869,-2.16521,10.44856,1.11386,-2.91816,-14.28943
Ak,5519,1739352265395,0.28146,-3.91436,9.60868,1.19015,-2.49092,-13.79735
Ak,5520,1739352265412,1.25294,-1.45693,9.38136,0.89643,-1.25118,-13.75539
Ak,5521,1739352265430,0.52074,-2.15085,10.11356,8.14795,2.23535,-19.97317
Ak,5522,1739352265449,1.48505,-1.00947,9.26172,7.01502,4.3677,-21.23961
Ak,5523,1739352265463,1.48505,-1.00947,9.26172,7.81227,9.68523,-25.51194
Ak,5524,1739352265476,1.31994,-2.78016,9.78096,8.30054,9.33047,-27.99905
Ak,5525,1739352265493,0.53988,-1.84696,8.80948,6.56109,10.55114,-29.81098
Ak,5526,1739352265511,1.58794,-2.40688,9.7666,4.69957,11.22632,-29.1892
Ak,5527,1739352265530,1.22423,-1.03819,9.42922,9.07108,9.0749,-31.47795
Ak,5528,1739352265548,1.13569,-2.60788,9.25454,11.57726,8.50271,-32.01963
Ak,5529,1739352265566,0.91077,-2.19631,10.31695,7.12183,5.33279,-27.81977
Ak,5530,1739352265576,0.91077,-2.19631,10.31695,6.25973,2.51763,-26.38548
Ak,5531,1739352265592,0.36281,-2.55524,9.88385,4.05109,-1.17489,-22.84936
Ak,5532,1739352265614,1.4994,-0.31795,10.02982,3.44838,-0.01526,-19.20262
Ak,5533,1739352265630,0.57577,-2.57438,9.64218,3.83747,-0.7858,-18.11546
Ak,5534,1739352265645,0.95862,-4.53649,10.02742,6.19107,0.85065,-16.12807
Ak,5535,1739352265664,0.41785,-4.2996,10.52513,5.95457,1.76234,-13.50363
Ak,5536,1739352265681,0.41785,-4.2996,10.52513,1.10242,3.66582,-9.65471
Ak,5537,1739352265694,1.55922,0.32333,10.77877,-7.45751,8.20899,-2.81898
Ak,5538,1739352265709,-0.15404,-0.83001,9.61586,-4.55461,10.16205,-2.7732
Ak,5539,1739352265727,1.32233,-2.58156,9.44118,-2.9563,11.50479,-3.03641
Ak,5540,1739352265748,0.88684,-1.77278,9.11336,-1.62501,10.01329,-4.43255
Ak,5541,1739352265761,0.88684,-1.77278,9.11336,-2.50237,9.58605,-5.97364
Ak,5542,1739352265778,1.04477,-2.55045,10.21885,-2.23535,10.21546,-7.0875
Ak,5543,1739352265794,0.74806,-1.05015,9.48664,7.31637,10.2536,-14.80822
Ak,5544,1739352265810,1.76022,-1.1674,9.11576,19.12633,8.75829,-23.36815
Ak,5545,1739352265826,0.1331,-0.92812,9.434,16.67736,7.61773,-22.96761
Ak,5546,1739352265843,0.1331,-0.92812,9.434,9.73482,5.61507,-20.23637
Ak,5547,1739352265860,0.3676,-4.168,10.49881,5.36331,5.13443,-17.60049
Ak,5548,1739352265880,0.68345,-1.3014,8.91715,-0.05722,4.61946,-13.56466
Ak,5549,1739352265895,0.74088,-2.9668,10.2691,-1.68986,4.11975,-11.87862
Ak,5550,1739352265914,-0.35504,-2.37099,8.66591,-5.37094,2.94104,-8.35013
Ak,5551,1739352265931,1.35583,-3.02662,9.568,-17.63864,1.44954,-0.87354
Ak,5552,1739352265951,0.81745,1.30678,10.83141,-18.29856,1.04138,0.4959
Ak,5553,1739352265965,1.88943,-1.05254,10.62084,-11.67263,1.40377,-1.94925
Ak,5554,1739352265975,1.88943,-1.05254,10.62084,-7.34308,1.55635,-2.7732
Ak,5555,1739352265991,0.14267,-1.13151,9.52732,24.72995,-3.04785,-16.36457
Ak,5556,1739352266012,0.97537,-2.46431,11.13291,24.38664,-2.51,-12.58432
Ak,5557,1739352266031,0.15703,-2.11496,9.96999,21.32734,-1.45336,-9.43347
Ak,5558,1739352266045,0.15703,-2.11496,9.96999,19.85491,-0.56837,-8.43405
Ak,5559,1739352266063,1.18594,-2.95723,10.84098,17.81411,2.51,-7.53762
Ak,5560,1739352266082,0.64516,-0.24616,10.67827,15.903,4.77586,-6.50768
Ak,5561,1739352266094,2.05693,-1.84457,10.38156,7.9763,7.83897,-3.55138
Ak,5562,1739352266110,0.75763,-2.40688,8.26391,-9.1283,8.32342,-0.4196
Ak,5563,1739352266132,0.51835,-3.2659,10.0011,-17.98577,7.17142,0.44249
Ak,5564,1739352266147,0.5327,-1.39711,10.47488,-26.97293,5.69136,0.14495
Ak,5565,1739352266162,0.5327,-1.39711,10.47488,-16.30354,5.63033,-8.41116
Ak,5566,1739352266180,1.3319,-1.86371,9.71157,-13.98808,5.4396,-10.89445
Ak,5567,1739352266203,0.63081,-1.11476,9.24258,-11.85954,3.56664,-13.90416
Ak,5568,1739352266211,0.55663,-3.04098,10.67588,-12.01213,2.15143,-14.02241
Ak,5569,1739352266225,0.92752,-2.19392,10.21406,-12.74071,2.2506,-13.52652
Ak,5570,1739352266244,0.92752,-2.19392,10.21406,-8.77355,2.97919,-14.39243
Ak,5571,1739352266264,1.28883,-1.7345,9.68764,-6.09571,3.31869,-14.12541
Ak,5572,1739352266279,1.28883,-1.7345,9.68764,-4.52791,3.55901,-13.56848
Ak,5573,1739352266293,1.03519,-1.84457,8.92672,-5.78673,3.40642,-12.43555
Ak,5574,1739352266309,1.67408,-0.34187,9.9676,-7.13709,3.08218,-11.50097
Ak,5575,1739352266326,0.59492,-0.61226,9.11097,-7.91145,1.93018,-11.19581
