ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,251,1739356102518,1.01505,-0.97095,10.09905,2.56828,-5.40442,-6.56252
HS,252,1739356102534,-0.27705,-0.39,10.329,2.14286,-2.81251,-6.49161
HS,253,1739356102551,0.603,-0.165,8.208,3.19854,-6.66493,-6.21588
HS,254,1739356102568,0.603,-0.165,8.208,1.37868,-4.63236,-5.79833
HS,255,1739356102584,0.28005,0.88305,10.221,-1.00053,-4.77417,-5.72743
HS,256,1739356102600,-0.61395,-1.44105,9.35205,-1.28414,-9.53259,-5.51472
HS,257,1739356102617,-0.07605,-1.37595,9.61995,-0.16544,-5.96377,-5.1602
HS,258,1739356102634,-0.04905,-0.89205,10.28595,0.39391,-6.72796,-5.09718
HS,259,1739356102652,-0.68595,-1.23495,9.711,0.88235,-5.96377,-4.60085
HS,260,1739356102668,-0.768,-1.86705,10.45095,-0.30725,-6.0268,-4.81356
HS,261,1739356102684,-0.768,-1.86705,10.45095,0.95326,-9.10716,-3.83667
HS,262,1739356102700,0.10305,-0.84195,9.96,0.95326,-5.04991,-3.20641
HS,263,1739356102716,-0.08805,-0.33495,9.972,-1.49685,-6.86976,-2.71797
HS,264,1739356102734,-0.89205,0.732,9.89595,-4.85295,-7.84666,-2.43435
HS,265,1739356102750,1.43895,-1.089,8.67495,-5.76682,-11.21064,-2.50526
HS,266,1739356102768,0.62505,-1.12005,9.366,-1.63078,-9.66651,-1.875
HS,267,1739356102784,-0.74595,-1.00695,9.61305,-0.51208,-8.34298,-1.10294
HS,268,1739356102801,0.975,0.01905,9.71805,0.18908,-3.30095,-0.96114
HS,269,1739356102818,0.975,0.01905,9.71805,-0.09454,-7.42911,-0.12605
HS,270,1739356102833,0.14805,-0.936,8.46405,-0.51208,-4.27785,0.78782
HS,271,1739356102849,-0.47295,-1.01895,9.402,-1.56776,-4.9081,0.78782
HS,272,1739356102866,0.41895,-1.55595,9.70905,-2.54465,-3.64759,1.34717
HS,273,1739356102885,-0.68595,-2.00595,9.156,0.11817,-6.16861,1.83561
HS,274,1739356102899,-0.87495,0.14295,10.377,-0.16544,-1.69381,2.04832
HS,275,1739356102916,-1.80195,-1.848,9.996,-0.30725,0.06303,1.76471
HS,276,1739356102932,-1.80195,-1.848,9.996,-2.68646,-4.9081,2.11923
HS,277,1739356102949,0.702,-0.84,11.15295,-2.12711,-2.52889,2.60767
HS,278,1739356102966,0.546,-0.53295,9.73005,0.323,-7.91756,2.95431
HS,279,1739356102982,-0.43905,-2.26905,8.313,1.02416,-7.28731,3.30883
HS,280,1739356102999,-0.46605,-0.84705,10.971,-1.00053,-1.26839,3.93909
HS,281,1739356103015,-0.10005,-1.00005,9.40005,-1.49685,-4.63236,3.86818
HS,282,1739356103032,-0.741,-1.989,9.261,-1.77259,-2.7416,4.28572
HS,283,1739356103048,-0.60495,-0.96405,9.711,-0.72479,-3.15915,4.63236
HS,284,1739356103065,-0.60495,-0.96405,9.711,-1.42595,-1.33929,4.91598
HS,285,1739356103082,0.25605,-2.181,10.20405,1.09507,-6.16861,4.63236
HS,286,1739356103098,-1.146,-1.57005,9.105,0.25998,-1.552,5.12869
HS,287,1739356103115,0.26595,-1.25595,10.24995,-0.09454,-1.33929,4.98688
HS,288,1739356103132,-0.89895,-2.841,9.36405,1.09507,1.31565,5.47533
HS,289,1739356103148,0.474,-0.19095,10.365,1.30778,2.64706,4.98688
HS,290,1739356103165,-0.49005,0.60795,9.82095,-1.49685,-1.06355,4.28572
HS,291,1739356103181,-0.49005,0.60795,9.82095,-3.24581,-1.06355,4.28572
HS,292,1739356103198,-0.91605,-1.00305,9.378,-4.00999,-4.00211,4.28572
HS,293,1739356103214,-0.63795,-3.08295,10.08495,-0.72479,-0.63813,4.63236
HS,294,1739356103231,1.161,-2.094,9.984,1.86713,0.89811,5.19171
HS,295,1739356103247,0.14805,0.399,10.18995,1.58351,1.81198,5.82197
HS,296,1739356103265,-0.56205,-0.53595,9.52005,-0.9375,1.38656,5.47533
HS,297,1739356103281,-0.23595,-1.27995,9.15795,0.46481,2.30043,6.03468
HS,298,1739356103298,0.33495,-1.48605,9.45705,-0.44118,1.74108,5.75106
HS,299,1739356103314,0.33495,-1.48605,9.45705,0.11817,-3.02522,5.61713
HS,300,1739356103332,-0.384,-0.50895,9.42405,0.81933,0.82721,6.03468
HS,301,1739356103355,-1.94295,-0.34695,9.15105,0.46481,1.67017,5.40442
HS,302,1739356103373,-0.06795,-1.884,10.47,0.95326,5.51472,5.33352
HS,303,1739356103390,0.30195,-1.137,10.93005,-0.72479,9.0205,4.49843
HS,304,1739356103403,1.02195,-1.96305,7.50405,1.23687,-1.89864,4.42753
HS,305,1739356103421,-0.612,1.12005,10.52295,2.07984,4.26209,4.35663
HS,306,1739356103437,-0.88695,-0.62895,9.28305,2.70221,3.69486,4.00211
HS,307,1739356103453,-0.88695,-0.62895,9.28305,1.23687,5.45169,3.86818
HS,308,1739356103470,-0.303,-1.647,10.25505,0.11817,6.84613,3.65547
HS,309,1739356103487,-0.19005,-1.13205,9.843,-0.9375,3.20641,3.23793
HS,310,1739356103503,-0.147,-1.46205,9.64695,-0.23635,1.94591,3.02522
HS,311,1739356103520,-0.31005,-0.909,9.888,0.81933,2.01681,2.81251
HS,312,1739356103536,-1.13595,-0.93795,10.305,0.67752,4.46692,2.81251
HS,313,1739356103553,-0.018,-2.19495,9.96495,0.74843,-0.07878,2.67858
HS,314,1739356103570,-0.08295,-1.02705,8.86395,0.95326,3.90757,2.88341
HS,315,1739356103586,-0.08295,-1.02705,8.86395,0.88235,1.52837,2.7416
HS,316,1739356103603,0.80895,-0.25995,10.18995,0.18908,3.69486,2.18225
HS,317,1739356103619,-0.435,-0.981,9.726,-0.16544,-0.01576,2.11135
HS,318,1739356103637,-0.09495,-1.46505,9.83595,0.2521,3.49003,2.39496
HS,319,1739356103653,-0.07095,-0.68895,9.34695,0.18908,3.83667,1.97742
HS,320,1739356103670,-0.38895,-1.02195,10.19205,0.74843,7.20065,1.69381
HS,321,1739356103687,0.04305,-0.84,9.61305,-0.37027,4.82144,1.90652
HS,322,1739356103703,0.04305,-0.84,9.61305,-1.42595,3.97848,1.4811
HS,323,1739356103719,0.06,-0.22005,10.33395,-3.80516,3.34822,0.92175
HS,324,1739356103738,-1.33995,-1.76895,9.687,-2.61555,0.89811,1.06355
HS,325,1739356103753,-0.09705,-1.35195,9.18,-0.7957,2.37133,1.20536
HS,326,1739356103770,-0.258,-1.51005,9.594,-1.35505,1.38656,1.20536
HS,327,1739356103786,-0.01305,-0.246,9.912,-3.24581,3.56093,1.06355
HS,328,1739356103803,0.402,-1.85505,9.75195,-2.75736,2.15862,0.3624
HS,329,1739356103817,-0.24105,-1.551,8.45895,0.81933,1.74108,0.15756
HS,330,1739356103835,-0.24105,-1.551,8.45895,0.74843,4.53783,-0.6854
HS,331,1739356103852,-0.33405,-0.414,10.08495,-0.72479,2.85978,-1.38656
HS,332,1739356103869,-0.94905,-0.26805,9.486,-2.61555,1.18173,-1.52837
HS,333,1739356103885,-0.28605,-1.81395,9.261,-2.61555,2.43435,-1.7332
HS,334,1739356103902,0.405,-1.623,9.723,-2.68646,2.64706,-1.875
HS,335,1739356103919,0.53895,-2.25,8.928,0.2521,-0.85084,-1.94591
HS,336,1739356103934,0.18705,-0.27705,10.10205,2.14286,2.71797,-1.31565
HS,337,1739356103950,0.18705,-0.27705,10.10205,1.86713,2.08771,-1.66229
HS,338,1739356103969,-0.777,-0.93795,10.137,0.53572,4.60873,-1.59139
HS,339,1739356103983,-0.82305,-1.09095,10.02,-0.02363,4.19119,-1.52837
HS,340,1739356103999,-0.17895,-1.596,9.26805,1.30778,1.8041,-1.03204
HS,341,1739356104016,-0.20205,-1.78305,9.67305,2.91492,0.33876,-1.10294
HS,342,1739356104034,0.72795,-0.30795,10.911,1.93803,1.67017,-1.17385
HS,343,1739356104052,0.618,-1.38795,9.999,-0.02363,1.31565,-1.03204
HS,344,1739356104066,0.618,-1.38795,9.999,-0.16544,2.15862,-1.17385
HS,345,1739356104082,-0.411,0.45,8.457,-1.00053,-5.33352,-0.96114
HS,346,1739356104100,-0.47295,-1.78095,8.98605,-0.30725,0.55147,-1.24475
HS,347,1739356104117,-0.91395,-1.527,9.144,1.09507,-1.41019,-1.17385
HS,348,1739356104132,-0.138,-1.79295,9.96495,2.00893,3.63184,-0.54359
HS,349,1739356104152,-0.56895,-0.84705,9.45705,2.14286,5.16808,-0.26786
HS,350,1739356104167,0.38595,-2.274,10.92495,1.58351,7.27155,-1.10294
HS,351,1739356104183,0.417,0.26505,9.77805,3.12763,3.90757,-1.10294
HS,352,1739356104200,0.417,0.26505,9.77805,1.65442,2.93068,-1.03204
HS,353,1739356104219,0.228,-0.09495,10.662,-2.82038,4.39602,-1.7332
HS,354,1739356104233,-0.59505,0.51405,9.73995,-5.90075,-1.26839,-1.45746
HS,355,1739356104251,-0.15705,-1.69695,8.63595,-5.06566,-3.8603,-2.01681
HS,356,1739356104267,-0.65295,-2.48895,10.37205,-1.56776,0.26786,-1.31565
HS,357,1739356104282,-0.68895,-3.00405,9.56805,2.07984,-2.45799,-1.31565
