ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1751,1739354098693,1.05404,-1.79522,11.15235,-4.59276,2.99063,-1.44954
Abj,1752,1739354098713,0.66102,-3.7669,9.89223,11.69552,0.48827,-0.53404
Abj,1753,1739354098730,0.99153,-3.66132,7.64058,9.74245,-3.60097,-0.16784
Abj,1754,1739354098740,0.78335,-1.30439,10.70669,-2.27349,-5.18784,-1.08334
Abj,1755,1739354098752,0.31854,-0.75793,12.19921,3.64674,-4.08923,0.32043
Abj,1756,1739354098770,0.31854,-0.75793,12.19921,-3.98243,-2.31927,0.01526
Abj,1757,1739354098787,0.3999,-0.33888,9.19532,-1.60213,6.34747,-0.59508
Abj,1758,1739354098804,0.97956,-0.44895,8.64198,-10.513,-1.15963,0.80869
Abj,1759,1739354098821,0.74028,-3.62782,9.99542,1.14438,6.4085,0.74766
Abj,1760,1739354098839,0.40229,-1.60618,9.45883,-12.5271,2.99063,1.05283
Abj,1761,1739354098855,0.28026,0.30568,10.41207,-13.38156,7.1409,2.57866
Abj,1762,1739354098878,0.46211,-6.1023,8.37847,7.85042,2.44133,3.12796
Abj,1763,1739354098889,0.46211,-6.1023,8.37847,15.17442,-7.56814,0.19836
Abj,1764,1739354098907,1.00379,-5.39821,9.40379,4.31811,-7.38504,1.78523
Abj,1765,1739354098920,0.68734,2.11406,12.00988,1.75471,-9.46017,2.94486
Abj,1766,1739354098936,0.16032,-1.64925,9.46361,5.96601,-2.1972,0.44249
Abj,1767,1739354098955,0.62752,-0.01795,8.8023,-4.95896,-3.72303,1.17489
Abj,1768,1739354098971,0.62752,-0.01795,8.8023,-13.56466,5.493,0.74766
Abj,1769,1739354098989,1.10907,-1.50538,10.66361,0.35094,5.00474,2.15143
Abj,1770,1739354099004,0.68255,-5.72632,9.83001,5.29464,7.1409,1.11386
Abj,1771,1739354099021,0.067,-2.39432,8.68266,11.02415,1.831,1.05283
Abj,1772,1739354099047,0.54616,0.12592,9.90419,3.82984,-3.8451,1.72419
Abj,1773,1739354099066,0.98913,-1.32592,9.86112,0.41198,-0.06103,-0.28991
Abj,1774,1739354099076,-0.45763,-0.55214,6.83091,6.27118,-4.82164,3.06693
Abj,1775,1739354099085,-0.45763,-0.55214,6.83091,6.02704,4.88267,-0.22888
Abj,1776,1739354099104,0.9006,-0.04666,7.92802,-10.02473,-3.41787,2.45659
Abj,1777,1739354099120,0.86949,-3.89133,12.37658,-6.05756,2.5634,-0.22888
Abj,1778,1739354099139,0.65384,-4.51914,9.78934,7.05698,3.2958,2.63969
Abj,1779,1739354099155,0.63948,-0.72682,11.49482,-0.62559,2.9296,0.25939
Abj,1780,1739354099173,0.63948,-0.72682,11.49482,3.03641,4.2113,-0.90024
Abj,1781,1739354099188,0.32333,0.47557,10.07438,12.18378,4.51647,0.93076
Abj,1782,1739354099217,0.27547,-1.77847,6.12413,-13.93086,6.65264,0.38146
Abj,1783,1739354099235,0.09093,-5.03869,10.61576,-3.86036,4.15027,0.32043
Abj,1784,1739354099241,0.09093,-5.03869,10.61576,0.16784,1.76997,1.54109
Abj,1785,1739354099253,0.76181,-5.53938,10.0672,6.99595,-1.0986,-1.14438
Abj,1786,1739354099272,0.76181,-5.53938,10.0672,2.97538,-2.31927,-0.41198
Abj,1787,1739354099288,0.56291,-0.46331,12.69512,1.75471,3.78407,-1.81574
Abj,1788,1739354099305,-0.29701,0.26231,8.85763,4.19604,-2.31927,-1.63264
Abj,1789,1739354099323,1.20479,-2.02044,7.00349,1.20541,1.03757,-1.63264
Abj,1790,1739354099339,0.99392,-4.55264,10.68036,10.47485,-3.60097,-2.79228
Abj,1791,1739354099363,0.1005,-1.51496,10.22304,2.85331,-4.3944,-1.93781
Abj,1792,1739354099385,0.34487,1.07677,11.44218,-7.94959,-3.1127,-2.24298
Abj,1793,1739354099394,0.22044,-2.04676,10.13181,-7.33926,-2.31927,-2.73124
Abj,1794,1739354099403,0.22044,-2.04676,10.13181,3.52468,5.37094,-3.21951
Abj,1795,1739354099421,0.50309,-3.64935,7.86341,4.86741,0.24413,-3.89088
Abj,1796,1739354099437,0.87906,0.24078,9.19293,-3.12796,-1.6479,-2.60918
Abj,1797,1739354099455,0.37358,-1.70907,8.62284,1.81574,-0.48827,-1.93781
Abj,1798,1739354099473,0.37358,-1.70907,8.62284,-3.43313,-6.46954,-2.30401
Abj,1799,1739354099489,0.30419,-2.12842,9.9691,-9.78059,-8.11744,-2.67021
Abj,1800,1739354099513,0.75464,-1.91755,12.0362,-2.82279,-5.61507,-1.32748
Abj,1801,1739354099531,0.48873,-4.29871,9.35324,13.52652,1.70893,-3.09744
Abj,1802,1739354099545,0.72802,-3.74297,7.93281,7.97248,-3.60097,-4.31811
Abj,1803,1739354099558,1.21436,1.42672,11.9692,-0.19836,-4.63854,-1.69368
Abj,1804,1739354099572,1.21436,1.42672,11.9692,-3.49416,-2.9296,-0.77818
Abj,1805,1739354099590,0.71127,0.32722,10.47219,-2.63969,-5.73714,0.25939
Abj,1806,1739354099604,1.08515,-4.42553,8.6348,5.53878,-2.68547,-0.90024
Abj,1807,1739354099621,0.45972,-0.55932,9.38226,-4.04346,-5.1268,0.99179
Abj,1808,1739354099639,0.7328,-0.15194,10.60619,-10.513,1.831,1.60213
Abj,1809,1739354099657,-0.08405,-2.2002,8.91745,-6.05756,1.95307,2.70073
Abj,1810,1739354099674,-0.08405,-2.2002,8.91745,-2.88383,0.42723,1.41903
Abj,1811,1739354099697,1.40369,-4.87119,9.32932,9.86452,-5.43197,2.27349
