ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,251,1739354953565,-0.17079,0.72772,12.09004,13.14887,-1.42665,9.1016
Ak,252,1739354953581,-1.2332,-2.09103,7.96959,11.84047,-1.60975,8.82695
Ak,253,1739354953594,-0.77378,-2.5672,10.89602,5.33279,-2.03699,8.27383
Ak,254,1739354953612,-0.85513,-3.04337,9.69721,-2.15905,-3.65056,6.91584
Ak,255,1739354953631,0.57817,-0.2988,11.27648,-3.07074,-5.87065,6.45809
Ak,256,1739354953648,0.57817,-0.2988,11.27648,0.38146,-5.6227,7.76268
Ak,257,1739354953667,-0.03918,0.08166,10.29063,1.4114,-5.53878,8.28528
Ak,258,1739354953681,-0.43639,0.71336,9.03201,6.28644,-5.38619,9.15119
Ak,259,1739354953702,1.05912,-0.82283,11.16401,15.47196,-0.2365,14.68997
Ak,260,1739354953716,-0.6015,-4.45753,9.16601,17.24192,-1.40377,14.072
Ak,261,1739354953730,-1.5347,-3.11516,9.68046,11.82903,-1.67842,13.04588
Ak,262,1739354953749,-1.5347,-3.11516,9.68046,8.4226,-1.40377,11.26828
Ak,263,1739354953766,0.67627,1.99831,12.7337,6.34365,-1.27789,10.12772
Ak,264,1739354953788,0.07089,0.0984,9.81925,8.47219,-0.83539,7.65969
Ak,265,1739354953800,-0.22104,-1.18654,8.04856,8.17466,0.18691,7.7932
Ak,266,1739354953816,-0.41246,-1.66032,11.31955,5.78673,1.08716,7.03028
Ak,267,1739354953831,-0.81206,-2.61266,7.92892,2.23535,2.5901,7.61391
Ak,268,1739354953850,-0.81206,-2.61266,7.92892,1.60594,1.06808,5.93931
Ak,269,1739354953866,-2.499,-2.29681,10.0681,1.19778,1.09097,5.59981
Ak,270,1739354953882,-0.31914,-1.59332,9.82403,2.65495,0.74384,5.84776
Ak,271,1739354953901,0.58774,-2.3662,11.8029,-10.15824,3.60097,8.45693
Ak,272,1739354953916,0.60688,-2.59352,8.53669,-17.59668,2.24679,6.76326
Ak,273,1739354953931,-0.4675,1.06511,10.69263,-25.03512,-1.08334,2.6931
Ak,274,1739354953949,-0.4675,1.06511,10.69263,-21.29683,-0.20217,2.58629
Ak,275,1739354953966,-0.83599,-1.52871,9.18993,-10.25742,1.44573,4.10068
Ak,276,1739354953983,-1.87208,-2.3997,10.48206,-8.579,1.95307,4.0282
Ak,277,1739354953999,0.94905,-3.23001,10.51077,-4.11212,1.89585,2.43752
Ak,278,1739354954015,1.93011,-1.29661,10.4007,-4.46306,0.37383,-0.77818
Ak,279,1739354954028,1.93011,-1.29661,10.4007,-3.662,0.19836,-1.25881
Ak,280,1739354954049,0.57577,-2.40209,9.27368,-1.46862,0.1831,-1.31222
Ak,281,1739354954066,0.21924,-0.50459,7.62981,-1.69749,-2.23153,-3.57808
Ak,282,1739354954082,-2.32672,-1.34447,10.63999,-2.23535,-4.44399,-5.80198
Ak,283,1739354954095,-0.57278,-1.80628,10.6687,-2.37267,-4.20367,-5.95075
Ak,284,1739354954113,1.34148,-3.06251,11.4368,-4.76823,-5.49682,-7.85804
Ak,285,1739354954129,1.34148,-3.06251,11.4368,-6.06138,-6.13004,-8.82695
Ak,286,1739354954150,1.24337,-0.01645,9.13969,1.00705,-4.32192,-7.22864
Ak,287,1739354954166,0.2336,-1.15783,9.16601,5.14969,-4.44399,-7.38122
Ak,288,1739354954183,-0.10618,-1.89003,7.52692,10.0438,-5.19546,-7.76649
Ak,289,1739354954199,-0.35982,-4.08425,10.2667,11.43994,-4.12738,-6.85099
Ak,290,1739354954221,-1.07288,-2.37099,10.28585,-1.91492,-3.66963,-8.31198
Ak,291,1739354954233,-1.88405,-1.44018,9.14447,-3.76118,-3.44076,-8.49889
Ak,292,1739354954248,-1.88405,-1.44018,9.14447,-5.32135,-0.69044,-7.42318
Ak,293,1739354954267,0.73848,1.36182,11.54926,-6.75944,-0.22888,-9.12449
Ak,294,1739354954283,-0.05354,-0.33709,8.41466,-2.63206,-0.38527,-9.54409
Ak,295,1739354954297,1.51376,-2.51456,11.17358,-0.56456,-0.14495,-9.67379
Ak,296,1739354954314,1.58794,-5.00549,8.54627,1.41521,0.68663,-8.31961
Ak,297,1739354954331,-0.98195,0.05055,10.75005,-0.01526,-0.25176,-8.55611
Ak,298,1739354954350,-0.98195,0.05055,10.75005,7.52999,-0.1297,-6.24829
Ak,299,1739354954365,-0.02004,-1.2009,8.59412,10.4367,0.14114,-4.32192
Ak,300,1739354954386,0.74566,1.4336,11.15683,17.92092,-0.45012,-1.3351
Ak,301,1739354954400,-0.26889,-2.6342,9.90778,10.94786,-0.56837,-0.15258
Ak,302,1739354954415,-0.58475,-3.99093,7.54846,1.55254,-1.11386,0.80869
Ak,303,1739354954433,0.37717,-0.91137,14.48046,-2.22009,0.16403,1.93399
Ak,304,1739354954451,0.37717,-0.91137,14.48046,-2.22009,0.29754,1.52965
Ak,305,1739354954466,-0.41486,-2.66052,9.44118,2.83805,0.7057,1.30459
Ak,306,1739354954483,0.28385,-1.3325,12.63081,2.21627,0.63322,0.93457
Ak,307,1739354954497,-0.18754,-1.48086,10.01546,0.99179,0.79343,0.43105
Ak,308,1739354954512,-0.28325,-0.55723,9.67807,-3.21951,2.64732,1.12149
Ak,309,1739354954533,-1.3337,-1.29422,5.25374,-1.25881,4.33337,1.08716
Ak,310,1739354954557,1.70519,-2.10778,11.56122,25.05038,10.95549,7.49947
Ak,311,1739354954566,1.70519,-2.10778,11.56122,20.63309,7.28204,3.17755
Ak,312,1739354954578,0.78156,-3.02423,7.96002,17.80648,8.39209,3.65437
Ak,313,1739354954595,0.80788,-1.2009,12.37717,12.0045,8.68962,2.7465
Ak,314,1739354954614,1.49462,-0.24616,6.80429,6.85481,9.32666,2.74269
Ak,315,1739354954633,-2.19272,0.766,10.63041,2.99826,8.16703,1.71275
Ak,316,1739354954650,-2.19272,0.766,10.63041,2.30019,8.98335,3.51323
Ak,317,1739354954664,-1.12792,-3.35922,5.61027,-8.52178,10.05525,4.41347
Ak,318,1739354954683,1.77458,-2.59113,13.59512,-11.52005,9.97514,5.16113
Ak,319,1739354954701,-0.28325,-1.15783,9.26651,-8.72014,8.41116,4.7339
Ak,320,1739354954717,0.21924,-1.44018,9.79053,-3.74974,6.32458,3.97098
Ak,321,1739354954731,-0.85753,-0.70558,9.66132,-1.26644,5.72951,3.60478
Ak,322,1739354954750,-0.85753,-0.70558,9.66132,14.42676,0.9155,0.76292
Ak,323,1739354954766,1.1333,-4.26371,10.27388,-37.44397,-0.79725,-7.23627
Ak,324,1739354954782,0.08764,-2.74666,8.79751,-17.36781,-0.01907,-6.24448
Ak,325,1739354954796,-0.77378,1.2996,11.23101,-5.51589,-3.78407,-12.23337
Ak,326,1739354954813,-1.40548,-2.15324,10.53949,-4.01294,-2.29638,-13.32816
Ak,327,1739354954833,1.34148,-0.95683,10.24038,-3.52849,-1.48769,-13.12217
Ak,328,1739354954850,1.34148,-0.95683,10.24038,-1.65553,-1.18252,-13.58755
Ak,329,1739354954866,-0.61107,-1.84457,10.23799,-2.17431,-0.63322,-14.78533
Ak,330,1739354954886,-1.16859,-0.75344,9.54168,5.56166,-10.79146,-25.34029
Ak,331,1739354954900,0.93948,0.15823,10.77398,4.34481,-9.4144,-24.63077
Ak,332,1739354954915,1.15723,-3.76361,7.29721,11.95491,-7.17905,-22.52131
Ak,333,1739354954934,0.75523,-0.93769,10.44138,9.9637,-7.05698,-22.39924
Ak,334,1739354954951,0.75523,-0.93769,10.44138,-16.86047,-9.10923,-24.08529
Ak,335,1739354954965,-1.71177,-2.04556,9.00329,-13.79735,-7.86186,-21.06795
Ak,336,1739354954979,-1.04178,-0.77737,12.79353,-12.51565,-6.99976,-19.58408
Ak,337,1739354954995,-1.13031,-2.82562,7.79013,-11.19581,-5.11917,-16.74603
Ak,338,1739354955017,0.32213,0.27308,8.89801,-13.74013,-2.50618,-12.44318
Ak,339,1739354955032,0.67388,-0.77737,7.95285,-13.54559,0.79343,-8.71633
Ak,340,1739354955044,0.67388,-0.77737,7.95285,-10.02092,1.33129,-6.67171
Ak,341,1739354955066,-0.69482,1.31396,11.28126,16.8681,6.21396,-0.40816
Ak,342,1739354955084,-0.20189,-3.34487,6.95743,18.33289,9.2313,2.84187
Ak,343,1739354955101,-1.34088,1.2661,9.3024,15.18968,9.34573,3.41787
Ak,344,1739354955116,-1.78355,-2.94527,8.10359,20.60257,10.30319,5.30609
Ak,345,1739354955132,0.08764,-1.54068,10.41506,18.56558,9.84163,4.6805
Ak,346,1739354955151,0.08764,-1.54068,10.41506,14.14829,7.75887,1.15582
Ak,347,1739354955169,0.14267,-1.89482,11.54686,4.53936,5.7791,-2.82279
Ak,348,1739354955184,0.15703,-1.59093,8.76162,4.27234,5.40908,-4.04727
Ak,349,1739354955200,-1.24517,-2.40449,10.81945,-4.11212,4.73771,-6.05375
Ak,350,1739354955218,-1.03938,-3.60568,10.27628,-7.74742,3.77262,-6.13004
Ak,351,1739354955233,0.03021,-1.45214,9.96999,-24.56974,1.0452,-8.66674
Ak,352,1739354955252,0.03021,-1.45214,9.96999,-23.61991,2.41463,-5.69518
Ak,353,1739354955265,0.39153,0.30419,10.44856,-9.87596,1.30077,-4.79112
Ak,354,1739354955279,0.25992,-0.58834,8.9339,-8.79643,0.97272,-3.97098
Ak,355,1739354955297,-0.19472,-2.41167,9.6685,-5.65321,-0.60652,-2.23916
Ak,356,1739354955316,-1.33609,-1.95703,11.17119,-3.62767,-4.51265,-3.91376
Ak,357,1739354955335,-0.44596,-0.8013,11.75983,-1.73564,-5.9622,-5.46249
Ak,358,1739354955350,-0.44596,-0.8013,11.75983,12.44318,-5.29083,-5.6761
Ak,359,1739354955367,0.31256,0.72772,9.64696,41.85744,-7.32019,-8.11744
Ak,360,1739354955382,0.19053,-0.29402,11.02523,41.19751,-5.6227,-8.58663
Ak,361,1739354955402,-0.96042,-3.60329,7.35703,33.86207,-3.59715,-13.78591
Ak,362,1739354955416,-0.62064,-0.99751,8.26152,7.69402,3.73448,-11.55438
Ak,363,1739354955430,-1.36002,-1.52871,10.05135,6.01941,4.93226,-11.92821
Ak,364,1739354955447,-1.36002,-1.52871,10.05135,4.89411,6.58397,-10.63506
Ak,365,1739354955466,1.4324,-1.19372,6.31615,-8.12888,8.85747,-8.03352
Ak,366,1739354955481,-2.80768,-3.90957,10.57538,-8.09073,6.89295,-9.53265
Ak,367,1739354955500,-2.3339,-0.19352,11.27648,-42.94841,10.94023,-4.44781
Ak,368,1739354955521,-1.20449,-2.73948,10.4342,-36.95951,12.6072,-1.56398
Ak,369,1739354955529,-1.20449,-2.73948,10.4342,-31.87086,11.98161,-1.53728
Ak,370,1739354955545,0.86052,0.45254,11.30998,4.08161,6.11096,-4.87885
Ak,371,1739354955565,-0.05115,-3.56979,6.94068,-3.662,6.172,-3.91758
Ak,372,1739354955583,-1.52991,-0.73908,12.51596,-3.59715,4.43255,-5.44341
Ak,373,1739354955599,-0.38614,-2.37817,9.434,-0.17929,7.36215,-3.02878
Ak,374,1739354955616,0.58534,-1.86371,10.04178,1.62883,6.21777,-4.83689
Ak,375,1739354955631,-0.85992,-3.34487,10.9032,1.73182,4.16934,-7.324
Ak,376,1739354955648,-0.85992,-3.34487,10.9032,-0.32805,3.25384,-9.26563
Ak,377,1739354955669,0.18096,0.81864,10.22603,-3.39498,0.47682,-12.53473
Ak,378,1739354955683,-1.24517,-1.00947,10.01307,-5.61125,-1.93399,-15.12864
Ak,379,1739354955700,0.11874,-0.2988,12.04457,24.12343,-0.14114,-14.34665
Ak,380,1739354955717,1.43719,-3.08166,8.93151,13.45785,-2.24679,-16.75747
Ak,381,1739354955734,-0.62542,-2.72034,9.63261,7.35833,-3.55519,-17.71112
