ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,751,1739354507458,-1.419,-0.588,9.80895,-3.24581,8.79204,-18.96276
HS,752,1739354507472,-1.419,-0.588,9.80895,-6.39707,-3.18278,-19.79784
HS,753,1739354507491,-1.01895,0.56895,10.26405,-0.65389,-2.26891,-19.93965
HS,754,1739354507507,-2.36205,-4.75005,8.31105,5.22323,-2.75736,-13.36138
HS,755,1739354507525,-2.18295,-5.418,8.53095,13.76316,-9.90286,-19.16759
HS,756,1739354507543,-0.92805,4.671,11.205,7.25579,4.86871,-19.30939
HS,757,1739354507559,-1.75605,0.318,9.44295,0.53572,-9.27261,-20.499
HS,758,1739354507576,2.97105,-2.853,9.936,-1.55988,-5.97953,-19.65603
HS,759,1739354507592,-2.07495,-1.125,7.53705,6.3498,-9.1308,-17.83618
HS,760,1739354507608,-2.07495,-1.125,7.53705,5.36503,-12.91232,-17.83618
HS,761,1739354507624,1.21395,-0.59805,9.91695,7.74424,-2.0562,-16.64657
HS,762,1739354507640,0.23205,-0.67905,7.30005,4.03362,-18.15918,-17.56044
HS,763,1739354507656,0.213,-2.46105,12.129,7.53941,-0.37815,-16.57567
HS,764,1739354507673,-2.58,-0.27495,9.31905,10.12345,-4.15967,-15.25214
HS,765,1739354507690,-0.68595,1.83105,9.83295,6.48373,1.78834,-14.48008
HS,766,1739354507707,0.34695,0.87795,9.426,0.60662,-4.78993,-13.99163
HS,767,1739354507723,0.34695,0.87795,9.426,-4.99476,-10.03679,-14.89762
HS,768,1739354507740,-3.207,-4.41405,11.29095,2.49738,-8.70538,-12.44751
HS,769,1739354507756,0.18195,-1.49805,9.23505,5.50684,-13.25896,-11.47061
HS,770,1739354507773,-2.96505,-0.55695,5.50695,12.85717,-25.15499,-9.57985
HS,771,1739354507790,-3.765,-0.04995,11.74395,1.02416,-16.68596,-11.32881
HS,772,1739354507806,-1.014,-2.40105,11.30595,-4.64024,-7.65758,-11.95906
HS,773,1739354507822,-1.617,-3.045,9.675,0.25998,-8.84718,-8.80779
HS,774,1739354507839,-1.617,-3.045,9.675,2.77312,-1.42595,-7.97271
HS,775,1739354507857,-0.86805,-0.19095,10.27095,8.86294,-4.08877,-7.8309
HS,776,1739354507874,-2.946,-0.045,10.485,3.89969,-2.19801,-8.53206
HS,777,1739354507888,-1.39695,1.21395,10.82205,-0.23635,-5.13657,-7.9018
HS,778,1739354507906,-4.22505,0.96495,8.916,1.02416,3.75001,-4.60873
HS,779,1739354507921,2.42805,0.009,9.97695,-0.51208,-11.4391,-9.16231
HS,780,1739354507939,-1.40205,-1.75395,7.968,-0.51208,-10.87975,-7.61819
HS,781,1739354507955,-1.40205,-1.75395,7.968,-4.2227,-18.86034,-9.57985
HS,782,1739354507973,-2.59395,-3.399,12.67995,-2.26103,-1.49685,-9.09141
HS,783,1739354507997,-1.46895,0.30105,9.28005,9.00475,-7.51577,-6.6413
HS,784,1739354508007,-1.46895,0.30105,9.28005,2.14286,-9.69015,-9.16231
HS,785,1739354508019,-0.10395,1.09905,12.59895,1.44958,-5.69592,-8.31935
HS,786,1739354508039,-4.44,0.189,9.51495,-3.0331,-1.00841,-5.23898
HS,787,1739354508056,1.74795,-1.86495,9.558,-3.94696,-11.3682,-8.17754
HS,788,1739354508072,2.892,1.12005,8.16495,-1.28414,-15.07882,-5.23898
HS,789,1739354508090,2.892,1.12005,8.16495,-0.37027,-16.68596,-6.35768
HS,790,1739354508101,0.72105,-0.198,8.313,-4.50631,-18.50582,-7.20065
HS,791,1739354508121,-0.92805,-0.35895,7.90095,-3.37973,-18.44279,-4.67963
HS,792,1739354508140,-1.392,-4.47195,12.426,-6.32617,-9.1308,-4.75054
