ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1251,1739358468752,0.23958,-1.24666,9.47558,-8.01063,5.3099,4.77586
Abj,1252,1739358468767,0.23958,-1.24666,9.47558,-9.4144,-8.11744,7.21719
Abj,1253,1739358468791,-0.34995,-1.51735,10.05524,-0.86973,7.07987,5.50826
Abj,1254,1739358468808,0.43101,-3.20638,9.92363,0.77818,-7.01884,5.01999
Abj,1255,1739358468825,-0.02393,-0.17109,11.435,-4.47069,11.3522,4.04346
Abj,1256,1739358468841,0.19143,-0.91615,9.48993,0.41198,9.7043,5.14206
Abj,1257,1739358468850,0.19143,-0.91615,9.48993,-8.07166,9.58224,3.49416
Abj,1258,1739358468876,-0.48156,-3.24467,9.05145,-4.28759,6.5916,3.18899
Abj,1259,1739358468883,-0.48156,-3.24467,9.05145,-6.85099,-1.40377,4.22656
Abj,1260,1739358468901,0.21805,-1.83589,10.98216,-3.00589,-5.37094,3.18899
Abj,1261,1739358468915,-0.5342,-2.30548,9.87787,-1.90729,-2.44133,3.55519
Abj,1262,1739358468932,0.2324,-1.57268,9.68645,-0.62559,-6.10334,2.15143
Abj,1263,1739358468952,0.05264,-1.55803,9.10888,-3.67726,1.89203,0.68663
Abj,1264,1739358468968,0.05264,-1.55803,9.10888,1.08334,-5.1268,2.02936
Abj,1265,1739358468985,0.51266,-3.7334,8.14846,4.80638,0.5493,2.33453
Abj,1266,1739358469007,0.25155,-1.25862,9.25992,0.59508,-12.20667,1.72419
Abj,1267,1739358469025,0.2994,-0.9018,8.83819,-4.47069,-1.76997,3.00589
Abj,1268,1739358469042,0.27787,-1.03579,9.48754,-3.49416,-7.01884,2.39556
Abj,1269,1739358469051,0.27787,-1.03579,9.48754,-8.49889,-3.2958,2.70073
Abj,1270,1739358469073,0.28744,-2.20259,9.91376,0.35094,-0.3662,3.31106
Abj,1271,1739358469085,0.09811,-3.84586,9.27907,5.17258,1.15963,2.51763
Abj,1272,1739358469104,0.30897,-2.31984,9.34846,6.99595,3.23477,3.86036
Abj,1273,1739358469116,0.27547,-1.07438,9.36042,4.98948,3.72303,4.28759
Abj,1274,1739358469135,0.08375,-2.67458,10.31636,8.21662,-4.88267,3.67726
Abj,1275,1739358469152,0.08375,-2.67458,10.31636,7.11801,-1.70893,3.49416
Abj,1276,1739358469168,-0.33051,-3.18485,9.17618,5.53878,0.7324,4.71483
Abj,1277,1739358469186,0.6993,0.27906,10.89841,-0.32043,-6.28644,5.26413
Abj,1278,1739358469201,0.12203,-1.81196,10.04088,0.28991,3.2958,5.93549
Abj,1279,1739358469218,0.04068,-4.53589,9.52104,7.72835,14.64038,4.47069
Abj,1280,1739358469240,-0.21805,-2.06112,11.21695,3.82984,-7.75124,4.71483
Abj,1281,1739358469259,-0.22762,-0.65982,10.42643,0.59508,3.05167,3.98243
Abj,1282,1739358469274,-0.22762,-0.65982,10.42643,1.20541,4.08923,4.47069
Abj,1283,1739358469290,0.03589,-2.72961,9.05863,4.07398,3.41787,5.63033
Abj,1284,1739358469302,0.65145,-3.5656,10.14617,7.36215,-0.9155,4.28759
Abj,1285,1739358469322,-0.74028,-2.38953,9.68405,4.25708,2.07513,4.83689
Abj,1286,1739358469334,0.71127,0.46361,10.85295,0.10681,-0.85447,2.82279
Abj,1287,1739358469351,0.71127,0.46361,10.85295,-6.60686,-13.61044,4.16553
Abj,1288,1739358469368,-0.04068,-0.95204,9.91646,-1.41903,18.54651,4.34863
Abj,1289,1739358469385,0.45972,-2.43739,8.8358,-7.52236,2.7465,3.25003
Abj,1290,1739358469401,0.43579,-2.38475,11.08774,-6.54583,1.0986,3.79933
Abj,1291,1739358469419,-0.18933,-3.86022,11.08535,1.38851,-5.6761,3.37209
Abj,1292,1739358469442,-0.28265,-2.49003,10.00499,4.13501,-1.34273,1.17489
Abj,1293,1739358469462,0.33529,-0.01555,9.39422,-0.50353,7.81227,2.70073
Abj,1294,1739358469478,0.13878,-1.02383,10.29961,-5.87446,6.65264,1.72419
Abj,1295,1739358469492,0.13878,-1.02383,10.29961,-5.75239,-1.0986,3.12796
Abj,1296,1739358469505,0.13639,-2.10419,9.67927,-5.26413,6.89677,3.00589
Abj,1297,1739358469523,0.38554,-2.03719,9.78216,1.44954,-1.15963,3.73829
Abj,1298,1739358469537,-0.32812,-2.4685,8.68026,0.22888,16.47138,1.78523
Abj,1299,1739358469550,-0.32812,-2.4685,8.68026,-3.98243,-3.23477,2.02936
Abj,1300,1739358469567,0.65862,-1.54128,10.78116,-1.60213,-6.10334,2.39556
Abj,1301,1739358469586,-0.14387,-1.78325,10.51047,-0.01526,5.98127,1.35799
Abj,1302,1739358469602,0.03111,-2.95005,9.45404,3.64674,8.9719,2.33453
Abj,1303,1739358469619,0.39751,-2.12363,9.85873,10.41382,1.89203,1.54109
Abj,1304,1739358469637,-0.08405,-2.07787,8.12692,13.52652,20.07235,1.05283
Abj,1305,1739358469657,-0.08405,-2.07787,8.12692,2.73124,2.5634,1.35799
Abj,1306,1739358469680,0.57009,0.1666,10.0696,-2.63969,-3.2958,3.49416
Abj,1307,1739358469695,0.57009,0.1666,10.0696,-10.26886,-1.2817,2.39556
Abj,1308,1739358469705,-0.01914,-2.99551,10.22304,-7.58339,-5.37094,3.61623
Abj,1309,1739358469720,0.31376,-2.11406,9.75344,-1.54109,5.98127,0.56456
Abj,1310,1739358469743,-0.38584,-1.93191,10.05763,4.56224,8.0564,0.25939
Abj,1311,1739358469754,0.49591,-1.63011,10.09831,0.59508,9.09397,0.38146
Abj,1312,1739358469769,0.49591,-1.63011,10.09831,4.07398,6.2254,0.62559
Abj,1313,1739358469787,-0.09123,-2.26241,9.4014,2.73124,5.92024,0.25939
Abj,1314,1739358469805,0.15793,-0.12323,8.87199,-0.32043,5.92024,0.44249
Abj,1315,1739358469820,-0.11037,-1.41924,8.87438,-5.38619,7.38504,0.07629
Abj,1316,1739358469837,-0.39541,-3.2686,10.23261,0.22888,-2.99063,0.07629
Abj,1317,1739358469853,-0.39541,-3.2686,10.23261,2.73124,2.25823,-1.51058
Abj,1318,1739358469885,0.07657,-1.81436,10.70908,2.36504,-2.62443,-2.91434
Abj,1319,1739358469910,0.26112,-1.58225,10.83859,-0.25939,-9.27707,-2.36504
Abj,1320,1739358469927,0.30179,-1.54846,9.55454,-1.05283,0.67137,-3.09744
Abj,1321,1739358469942,0.3329,-0.65264,8.55554,-1.96833,3.2958,-3.03641
Abj,1322,1739358469953,0.3329,-0.65264,8.55554,1.08334,6.2254,-3.09744
Abj,1323,1739358469968,-0.02871,-2.42303,10.09113,-4.10449,-3.96717,-4.19604
Abj,1324,1739358469988,0.30179,-2.88036,9.91885,1.69368,-12.20667,-3.03641
Abj,1325,1739358470001,-0.12473,-2.02283,9.3676,-4.22656,11.23014,-4.92844
Abj,1326,1739358470021,0.38315,-0.21894,10.49372,-3.06693,-16.05177,-1.93781
Abj,1327,1739358470035,0.38315,-0.21894,10.49372,-2.02936,8.0564,-4.86741
Abj,1328,1739358470053,-0.05503,-1.82871,9.61675,-4.34863,11.59634,-3.58571
Abj,1329,1739358470072,0.58445,-1.70429,9.13789,-6.91203,2.50237,-3.40261
Abj,1330,1739358470087,0.08614,-1.98694,8.73291,6.69841,11.84047,-1.75471
Abj,1331,1739358470104,-0.30179,-3.48186,6.94816,-8.80406,14.15974,-5.84394
Abj,1332,1739358470121,0.22522,-0.86351,10.83859,-7.76649,-18.73724,-3.28054
Abj,1333,1739358470145,-0.86471,-3.28056,9.5665,-8.74303,-8.72777,-2.42608
Abj,1334,1739358470163,0.59402,-1.67557,11.69372,-1.60213,-20.20204,-5.05051
Abj,1335,1739358470180,0.59402,-1.67557,11.69372,-7.76649,-12.32874,-4.01294
Abj,1336,1739358470195,-0.01436,-2.38235,9.88026,5.11154,15.43381,-3.28054
Abj,1337,1739358470210,0.31376,-3.42652,10.13659,5.96601,-10.4367,-5.17258
