ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,501,1739352585444,-1.69382,-0.3652,10.28764,-7.82753,-8.9719,-4.74534
Abj,502,1739352585468,-0.32094,-2.40868,8.91745,4.92844,-5.92024,-0.77818
Abj,503,1739352585483,-0.47677,-3.57278,9.16182,5.96601,-5.98127,-4.56224
Abj,504,1739352585502,-0.47677,-3.57278,9.16182,1.08334,-6.9578,-0.59508
Abj,505,1739352585513,-0.85274,-0.39153,10.32114,-6.05756,-4.88267,-2.30401
Abj,506,1739352585528,0.21326,-0.82283,9.15703,-7.58339,-3.90613,2.39556
Abj,507,1739352585552,0.2659,-4.31785,10.35225,-5.69136,-7.56814,0.25939
Abj,508,1739352585566,-1.08754,-2.59532,12.65205,-3.61623,-0.85447,0.56456
Abj,509,1739352585585,-0.75464,-1.82871,7.63819,4.37914,-11.65737,4.16553
Abj,510,1739352585596,-0.75464,-1.82871,7.63819,-1.48006,5.37094,1.48006
Abj,511,1739352585612,-0.67807,-1.79522,9.96431,-2.09039,-7.6902,3.25003
Abj,512,1739352585626,-0.35234,-2.46132,10.57747,-10.02473,1.4648,4.59276
Abj,513,1739352585643,-1.2003,0.09721,12.38375,-7.64443,-14.46491,6.72893
Abj,514,1739352585663,-0.43609,-4.24846,8.82144,-2.63969,7.62917,7.09513
Abj,515,1739352585678,-0.43609,-4.24846,8.82144,-2.82279,-10.19257,6.60686
Abj,516,1739352585696,-1.27926,-5.18734,9.95474,5.78291,-4.33337,7.15616
Abj,517,1739352585711,-1.29601,-0.9329,6.27757,-11.12333,9.8874,5.69136
Abj,518,1739352585737,-0.04546,0.22164,16.45365,7.30112,-13.1832,6.48479
Abj,519,1739352585753,-1.4662,-4.30349,2.08535,6.51531,12.63391,8.682
Abj,520,1739352585768,0.02632,-1.89123,12.79562,-20.15627,-12.57287,0.99179
Abj,521,1739352585783,-0.28026,-1.68993,12.16332,8.76592,-7.44607,7.46133
Abj,522,1739352585799,-0.28026,-1.68993,12.16332,-8.07166,-0.5493,4.34863
Abj,523,1739352585813,-0.18215,-2.92134,6.19143,2.36504,3.90613,7.33926
Abj,524,1739352585828,-0.11515,-0.70768,8.54118,2.97538,2.07513,4.16553
Abj,525,1739352585851,-0.80728,-2.17388,11.11406,9.55935,-8.36157,9.9637
Abj,526,1739352585873,-0.8671,-3.28056,9.31735,1.93781,13.85457,10.20783
