ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,1251,1739351965327,0.85813,3.70439,10.51317,9.21985,-7.01502,-1.79285
Ak,1252,1739351965343,-1.45095,4.23799,8.13949,9.1016,4.68431,-2.57484
Ak,1253,1739351965360,-1.45095,4.23799,8.13949,34.87294,9.40677,-3.57808
Ak,1254,1739351965379,1.25055,-8.0013,8.53191,14.27418,11.83284,-4.92844
Ak,1255,1739351965395,0.88445,-10.1357,7.21107,-14.46872,12.60339,-6.3284
Ak,1256,1739351965412,1.7004,7.15484,17.57678,-99.19065,47.85778,-13.16413
Ak,1257,1739351965431,1.32951,-0.6673,8.13949,6.36654,-5.38238,-10.2002
Ak,1258,1739351965452,1.20987,-8.84597,4.50718,29.29219,4.89793,-9.75008
Ak,1259,1739351965464,1.20987,-8.84597,4.50718,-49.93291,12.32111,-15.00276
Ak,1260,1739351965479,-2.73829,0.61047,17.49781,-63.92862,-0.41579,-19.90832
Ak,1261,1739351965498,3.16481,0.04098,8.20409,-46.2404,-13.69436,-20.0075
Ak,1262,1739351965514,0.99691,-3.93589,1.72433,9.34192,-23.55888,-17.89803
Ak,1263,1739351965531,-1.08006,0.89043,20.37399,11.80233,-65.95417,-19.51923
Ak,1264,1739351965551,-0.98674,-2.37338,8.97697,-25.01605,-17.31059,-18.86312
Ak,1265,1739351965560,-0.98674,-2.37338,8.97697,-26.83179,-8.02589,-18.2833
Ak,1266,1739351965579,2.92074,-3.82104,6.13669,22.59379,-12.24482,-15.04854
Ak,1267,1739351965594,0.05414,-2.66052,6.19173,27.88461,-12.11512,-14.02241
Ak,1268,1739351965614,0.65474,4.99891,11.60669,-31.2796,-16.64303,-14.50687
Ak,1269,1739351965625,2.60728,-2.61984,6.02423,1.39232,-1.14438,-11.51623
Ak,1270,1739351965644,-0.09661,-2.41645,6.84258,30.27255,14.96462,-7.88856
Ak,1271,1739351965661,-0.09661,-2.41645,6.84258,-7.24771,38.97361,-5.15732
Ak,1272,1739351965677,-2.92732,6.57338,16.91397,17.65008,14.09108,-4.47069
Ak,1273,1739351965695,0.55424,-9.0015,5.0671,68.64727,5.63796,-2.50237
Ak,1274,1739351965712,-1.59452,-0.48305,10.16621,-12.21049,28.23556,0.28991
Ak,1275,1739351965730,0.02064,2.12991,10.19971,53.36985,26.00402,2.46041
Ak,1276,1739351965752,1.85593,-4.41924,5.22503,34.47622,26.25197,3.13177
Ak,1277,1739351965764,1.85593,-4.41924,5.22503,2.05606,10.78002,2.84949
Ak,1278,1739351965779,-1.68305,-3.89043,18.50041,10.39474,-4.11975,3.765
Ak,1279,1739351965799,1.59512,-4.08186,8.15384,-9.39151,3.84892,5.34423
Ak,1280,1739351965814,-1.28106,0.41904,14.18136,-37.0625,-31.48558,3.22714
Ak,1281,1739351965833,1.58554,-7.47009,7.00768,45.54233,-13.91942,5.16495
