ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Gar,9501,1742632369795,1.63968,-3.11426,8.2002,-7.10479,-2.23993,-3.04491
Gar,9502,1742632369802,-0.88116,-1.8,9.2692,-8.22476,-10.42969,-1.85495
Gar,9503,1742632369809,-0.88116,-1.8,9.2692,7.94477,-2.02994,-1.57495
Gar,9504,1742632369818,-0.88116,-1.8,9.2692,19.42443,-0.20999,-1.08497
Gar,9505,1742632369827,0.24826,-0.17348,10.72523,9.13473,7.20979,-1.92494
Gar,9506,1742632369836,0.24826,-0.17348,10.72523,-8.99473,1.11997,-4.23488
Gar,9507,1742632369845,-0.70528,-3.7328,8.37608,-1.43496,-1.60995,-4.09488
Gar,9508,1742632369851,-0.70528,-3.7328,8.37608,11.30467,-2.44993,-3.60489
Gar,9509,1742632369861,0.57547,-0.61555,13.55414,16.9045,-1.60995,-3.11491
Gar,9510,1742632369869,0.57547,-0.61555,13.55414,8.99473,11.33967,-5.14485
Gar,9511,1742632369876,0.57547,-0.61555,13.55414,5.14485,3.4299,-4.09488
Gar,9512,1742632369886,-1.10548,-1.65583,7.81137,9.76471,-0.69998,-3.18491
Gar,9513,1742632369893,-1.10548,-1.65583,7.81137,-13.19461,-1.53995,-3.95488
Gar,9514,1742632369904,0.98524,-2.48794,6.23211,-6.47481,-1.81995,-1.92494
Gar,9515,1742632369911,0.98524,-2.48794,6.23211,19.49442,1.74995,-1.92494
Gar,9516,1742632369919,0.14357,-1.68096,12.85305,27.68419,13.92959,-3.95488
Gar,9517,1742632369926,0.14357,-1.68096,12.85305,-1.85495,-7.48978,-2.83492
Gar,9518,1742632369936,0.14357,-1.68096,12.85305,-4.58487,-19.17944,-2.34493
Gar,9519,1742632369946,-1.35613,-0.97268,10.77249,1.64495,0.62998,-4.23488
Gar,9520,1742632369951,-1.35613,-0.97268,10.77249,1.08497,-7.48978,-4.79486
Gar,9521,1742632369961,-0.60479,-0.70528,9.22792,-3.04491,3.4299,-4.51487
Gar,9522,1742632369969,-0.60479,-0.70528,9.22792,-6.05482,-11.33967,-3.88489
Gar,9523,1742632369977,0.10588,-2.17687,10.09651,-1.71495,5.66983,-5.77483
Gar,9524,1742632369989,0.10588,-2.17687,10.09651,-5.98482,-5.45984,-2.76492
Gar,9525,1742632369995,0.10588,-2.17687,10.09651,-5.14485,-3.84989,-3.95488
Gar,9526,1742632370002,0.89551,-3.88475,10.01277,-6.8248,4.47987,-4.58487
Gar,9527,1742632370012,0.89551,-3.88475,10.01277,-0.31499,2.30993,-3.81489
