ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,751,1739351956570,-0.303,2.15205,9.16305,-0.09454,4.86871,0.85084
HS,752,1739351956585,2.89005,0.78495,10.98495,-3.94696,0.95326,-0.40966
HS,753,1739351956603,4.566,-2.29605,9.441,-8.14603,-2.12711,1.06355
HS,754,1739351956619,-1.548,-2.30505,7.899,2.91492,4.30936,1.6229
HS,755,1739351956636,2.346,-5.262,10.056,3.89969,-0.44906,0.07878
HS,756,1739351956651,1.52805,-2.96805,10.89195,5.22323,-6.75159,-0.33876
HS,757,1739351956669,3.86205,0.342,11.85705,2.00893,-2.48162,3.15915
HS,758,1739351956684,3.86205,0.342,11.85705,3.12763,-5.69592,4.41965
HS,759,1739351956702,3.735,-4.43595,11.84895,19.50635,10.7537,1.19748
HS,760,1739351956719,-1.66095,-0.87795,8.574,18.38765,-2.26891,-0.12605
HS,761,1739351956735,1.54695,1.27605,9.91995,1.79622,6.75947,-0.55147
HS,762,1739351956751,3.79695,2.68095,10.164,-4.85295,1.15809,-0.62238
HS,763,1739351956769,0.83295,-4.78995,8.19105,8.4454,2.56041,0.22059
HS,764,1739351956785,-0.744,2.916,8.196,13.48743,18.30887,-0.89811
HS,765,1739351956802,-0.744,2.916,8.196,3.19854,-5.13657,0.07878
HS,766,1739351956817,2.502,2.12595,10.71405,-1.9144,7.80727,-0.69328
HS,767,1739351956834,3.04095,-0.15495,8.55195,1.30778,6.41283,-2.57616
HS,768,1739351956851,-0.69795,-1.59405,7.12305,2.91492,16.2763,-3.41913
HS,769,1739351956868,-3.471,-2.89605,12.22005,-11.71484,-8.42964,-3.49003
HS,770,1739351956883,1.125,-3.94305,8.76795,-5.97165,-4.78993,-4.75054
HS,771,1739351956900,2.15505,-0.80595,12.41895,7.04308,12.84929,-1.52837
HS,772,1739351956919,-0.95895,-5.19705,10.968,-29.56677,-14.73218,-1.25263
HS,773,1739351956934,-0.95895,-5.19705,10.968,-18.71065,-14.03102,-0.62238
HS,774,1739351956949,-2.769,-2.44905,8.36805,-3.59245,-0.80357,2.52889
HS,775,1739351956968,4.434,-2.571,9.249,-5.06566,27.8257,-0.82721
HS,776,1739351956984,-4.48605,-6.08595,7.40805,-13.81043,-15.22062,3.08824
HS,777,1739351957001,3.02895,-8.57295,8.48295,-4.71115,-1.29202,-2.01681
HS,778,1739351957017,2.61495,2.784,12.156,2.63919,0.52784,-0.48057
HS,779,1739351957035,-0.14505,-6.471,7.224,-13.11715,-26.77002,0.07878
HS,780,1739351957050,-0.14505,-6.471,7.224,4.24633,-19.97904,-0.48057
HS,781,1739351957066,4.257,-1.35195,12.22305,4.31724,7.67334,-1.94591
HS,782,1739351957082,0.81195,3.045,7.03695,5.92438,-22.28734,0.14969
HS,783,1739351957100,2.80905,0.88095,11.08305,4.03362,2.70221,-2.22952
HS,784,1739351957115,0.68205,1.57005,6.07395,0.39391,-14.10192,-1.74108
HS,785,1739351957133,2.64105,1.482,6.63495,9.00475,4.45117,-2.85978
HS,786,1739351957151,3.81705,-2.11605,11.301,-6.18436,4.30936,0.22059
HS,787,1739351957167,-1.84695,-4.11495,3.10095,-8.35086,2.90704,-1.03992
HS,788,1739351957183,-1.84695,-4.11495,3.10095,10.19435,-6.60978,-3.49003
HS,789,1739351957200,7.07505,-9.04305,7.40295,20.83776,15.2285,-0.69328
HS,790,1739351957217,1.92705,6.12405,14.24805,-5.06566,-3.11188,-4.82144
HS,791,1739351957231,-3.04005,-1.84095,10.09395,-11.08459,-5.07354,0.07878
HS,792,1739351957250,1.84605,-3.91395,8.14095,-9.33563,-6.53888,-2.57616
HS,793,1739351957266,2.54805,1.221,10.46805,-1.07143,-1.43383,-5.79833
HS,794,1739351957282,-1.44,-2.628,9.50805,-7.58668,-1.56776,2.38709
HS,795,1739351957298,-1.44,-2.628,9.50805,-6.88552,6.68857,0.70904
HS,796,1739351957315,2.406,-3.37995,10.473,-9.33563,11.8015,5.68016
HS,797,1739351957332,-0.243,1.32105,8.35605,-7.6497,-1.78047,1.69381
HS,798,1739351957349,2.94,-3.24405,10.63995,1.93803,9.98164,2.31618
HS,799,1739351957366,-0.18105,1.884,10.46295,-5.97165,-0.66177,1.96954
HS,800,1739351957382,-0.31995,-8.28405,6.0,15.30728,-4.37238,3.23005
HS,801,1739351957400,3.19905,6.67005,11.574,19.0888,10.05254,-0.55147
HS,802,1739351957415,-0.21405,-0.04695,11.421,-12.54992,-8.98899,2.38709
HS,803,1739351957432,-0.21405,-0.04695,11.421,-12.62083,-17.18229,2.7416
HS,804,1739351957450,1.55595,-2.238,7.88205,4.24633,-6.75159,3.44276
HS,805,1739351957465,1.113,-8.403,8.32005,19.92389,7.94907,-1.11082
HS,806,1739351957482,1.12305,5.02005,11.382,-8.21693,-2.41072,-1.38656
HS,807,1739351957498,-0.77505,-9.02295,4.56795,-0.44118,-2.82826,0.63813
HS,808,1739351957515,4.86495,-1.53405,10.32405,13.97587,3.75001,-2.44223
HS,809,1739351957532,-2.83605,-3.567,10.092,0.89023,1.85925,-0.19695
HS,810,1739351957549,-2.83605,-3.567,10.092,3.68698,-8.15391,-2.71797
HS,811,1739351957563,2.20005,-2.13495,8.49495,1.23687,13.62136,-1.52837
HS,812,1739351957582,2.27205,1.94895,12.024,-10.24162,-3.88394,-0.19695
HS,813,1739351957598,2.54295,-0.27495,8.466,-5.55411,1.2999,0.22059
HS,814,1739351957614,4.18995,0.50205,8.61195,-0.58298,6.34193,-1.03992
HS,815,1739351957639,3.17205,-2.334,9.80895,-3.94696,-2.62343,-2.15862
HS,816,1739351957646,4.875,1.194,8.54805,16.07934,4.02574,-0.33876
HS,817,1739351957664,4.875,1.194,8.54805,-2.33194,9.35139,-4.60873
HS,818,1739351957682,-1.13895,1.21605,10.03005,-6.39707,-0.66177,-2.71797
HS,819,1739351957698,0.26805,-3.933,10.257,-6.25527,-0.37815,-4.82144
HS,820,1739351957714,4.56795,2.63595,8.346,2.21377,-4.37238,-0.55147
HS,821,1739351957731,1.06605,-1.17495,9.48105,6.06619,1.64654,-1.81198
HS,822,1739351957748,4.30695,-3.76995,11.32005,-6.04256,-11.3682,-3.14339
HS,823,1739351957764,1.236,2.27895,7.32705,-1.28414,-10.73795,-1.52837
HS,824,1739351957780,3.663,5.83395,9.83595,5.0893,2.56041,-1.45746
HS,825,1739351957797,3.663,5.83395,9.83595,-10.38343,2.4186,0.92175
HS,826,1739351957813,-0.135,-5.82495,7.96095,-2.12711,-6.26314,0.3624
HS,827,1739351957831,-0.02295,-8.85105,7.66905,5.43594,-4.93173,-0.48057
HS,828,1739351957847,0.393,4.56105,10.875,-9.40654,0.45693,1.552
HS,829,1739351957863,-2.214,-2.43,10.209,-16.26054,0.66964,3.7185
HS,830,1739351957880,1.24995,-8.72205,5.66505,2.07984,2.4186,1.4811
HS,831,1739351957896,0.369,-1.75395,10.44105,18.947,12.9202,-2.15862
HS,832,1739351957914,0.369,-1.75395,10.44105,6.3498,0.81145,0.4333
HS,833,1739351957927,1.71,-0.20805,13.02,4.52995,-12.21116,-0.6854
HS,834,1739351957947,1.209,-3.294,7.92495,3.96272,-8.35874,-1.25263
HS,835,1739351957962,1.944,-6.03105,8.754,4.80568,-10.66704,0.77994
HS,836,1739351957981,7.33605,5.83695,14.751,-6.531,5.42806,-1.59927
HS,837,1739351957996,-1.644,1.788,4.82895,-3.59245,-7.58668,2.5998
HS,838,1739351958013,3.117,-2.346,7.81305,11.17912,1.3708,-0.40966
HS,839,1739351958029,0.48105,-0.294,13.96305,-2.33194,6.97218,0.92175
HS,840,1739351958046,0.48105,-0.294,13.96305,-7.93332,-8.64235,-0.40966
HS,841,1739351958063,-2.20605,-6.05505,8.643,5.78258,1.15809,2.25316
HS,842,1739351958078,1.90605,-1.09095,8.715,11.10822,2.90704,-1.18173
HS,843,1739351958095,-0.198,-1.716,9.91695,5.01839,11.44698,-1.31565
HS,844,1739351958114,2.121,-0.84,11.73,-17.73376,-9.33563,0.56723
HS,845,1739351958130,2.80395,-3.17895,8.17395,-5.19959,0.46481,-0.12605
HS,846,1739351958146,5.55195,-1.944,12.144,7.04308,3.67911,2.32406
HS,847,1739351958162,5.55195,-1.944,12.144,-15.7721,4.38026,-0.48057
HS,848,1739351958178,-0.79395,-3.09495,11.94705,-0.8666,2.70221,1.69381
HS,849,1739351958196,1.81695,-7.52205,7.39605,2.77312,11.51788,0.77994
HS,850,1739351958212,4.04595,2.238,13.77,-6.39707,3.5373,1.13446
HS,851,1739351958229,1.12095,-0.981,12.027,-0.8666,-8.0121,1.06355
HS,852,1739351958246,-0.56895,0.90705,6.58005,10.7537,-0.37815,2.32406
HS,853,1739351958263,-1.27005,5.35995,12.927,-0.72479,5.71167,-2.15862
HS,854,1739351958279,-2.77395,-0.801,5.979,-15.14184,-12.84142,0.56723
HS,855,1739351958295,-2.77395,-0.801,5.979,-1.07143,-0.73267,-0.26786
HS,856,1739351958312,5.442,-3.33,12.31095,-2.0562,8.65023,-1.52837
HS,857,1739351958327,0.771,7.10595,10.01805,-8.14603,-4.86083,-1.45746
HS,858,1739351958343,0.05505,-1.63905,7.70505,-3.73425,-5.27837,-0.6854
HS,859,1739351958361,4.97295,-1.833,11.63595,-4.36451,4.30936,-2.30043
HS,860,1739351958378,1.197,-1.314,8.148,-2.26103,-4.43541,-0.05515
HS,861,1739351958394,1.599,-9.22005,6.654,0.323,3.5373,-1.67017
HS,862,1739351958411,1.599,-9.22005,6.654,14.46432,3.5373,-1.67017
HS,863,1739351958426,1.66905,2.18295,11.109,1.44958,-9.05989,-5.16808
HS,864,1739351958446,1.06605,2.14695,11.619,-9.05202,-16.33932,-2.22952
HS,865,1739351958462,1.884,-2.142,8.955,-1.77259,-5.97953,0.4333
HS,866,1739351958478,4.48695,0.39705,8.71005,-0.72479,-5.63289,-2.71797
HS,867,1739351958495,0.477,0.81105,7.485,0.25998,-3.04097,-2.15862
HS,868,1739351958510,1.908,-5.61405,8.373,-3.45064,-3.74213,-3.49003
HS,869,1739351958527,0.54105,-3.45405,9.85695,4.10453,8.50842,-1.94591
HS,870,1739351958545,0.54105,-3.45405,9.85695,-3.0331,-4.01787,-1.67017
HS,871,1739351958561,3.453,-5.30505,10.611,2.98583,-1.00841,-0.89811
HS,872,1739351958577,-1.72005,-4.503,7.353,12.43963,1.4417,-2.64706
HS,873,1739351958595,1.96095,-0.708,8.97405,6.69644,-2.82826,-4.67963
HS,874,1739351958611,2.70795,-0.864,11.505,4.80568,3.19066,-3.49003
HS,875,1739351958627,6.25605,0.89505,10.461,-6.04256,-10.46221,-3.20641
HS,876,1739351958642,3.08595,3.24105,10.60005,1.16597,-8.98899,-2.93068
HS,877,1739351958662,3.08595,3.24105,10.60005,-2.19013,-5.97953,-4.12028
HS,878,1739351958676,2.112,1.88895,9.06195,0.323,-2.26891,-2.64706
HS,879,1739351958694,2.643,-4.99095,11.232,1.93803,1.2999,-2.08771
