ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
RV,501,1739352586146,-1.52871,-0.35593,10.74557,6.39706,6.74419,7.56814
RV,502,1739352586164,-1.52871,-0.35593,10.74557,3.39879,-8.40734,-11.51242
RV,503,1739352586175,-1.45932,-4.34477,6.83809,5.51589,-6.13385,-6.55346
RV,504,1739352586190,-1.19611,2.67099,12.12144,-43.57782,15.22019,4.66524
RV,505,1739352586203,-0.04516,-1.93041,11.20738,-16.49426,1.12149,-1.28552
RV,506,1739352586222,0.14387,-2.48315,8.54178,26.16805,-6.56109,10.05525
RV,507,1739352586238,0.14387,-2.48315,8.54178,19.83584,-6.00797,11.06611
RV,508,1739352586257,-0.60269,-3.3685,9.93919,5.70662,-5.78673,11.48571
RV,509,1739352586274,1.84038,-1.7007,9.47737,-20.36225,19.00426,39.17197
RV,510,1739352586294,-5.2998,-1.24606,11.36531,-23.95178,11.45901,31.72972
RV,511,1739352586308,-1.69621,-4.4333,13.3346,-17.1046,9.8073,33.45009
RV,512,1739352586333,-2.65334,-3.45224,12.98764,-68.63583,-8.07166,-14.39243
RV,513,1739352586349,-3.31137,2.36949,11.78166,-63.94388,-4.45162,-9.41821
RV,514,1739352586362,-3.31137,2.36949,11.78166,-29.37612,16.79562,28.21267
RV,515,1739352586376,1.82842,-1.89452,11.46581,-20.46906,8.81932,20.13338
RV,516,1739352586395,-5.5678,-0.03529,10.54218,15.12864,-26.45033,-14.40006
RV,517,1739352586412,1.86192,-2.56929,6.43131,17.63483,-0.46538,19.12633
RV,518,1739352586429,2.7664,1.95314,7.43869,13.84313,-24.16158,-16.75747
RV,519,1739352586445,-0.54048,1.2999,12.07119,50.26478,-23.43681,-2.47567
RV,520,1739352586460,-0.54048,1.2999,12.07119,35.25058,7.93052,34.0528
RV,521,1739352586483,1.14646,0.41934,6.54856,34.93015,-10.81053,5.8859
RV,522,1739352586497,2.15623,-1.78445,6.63948,15.46051,-6.03849,1.14819
RV,523,1739352586513,-0.49741,0.23031,9.66641,13.34342,-4.1846,0.50734
RV,524,1739352586528,-5.36202,-0.89192,12.5354,14.62512,-7.05317,-2.78465
RV,525,1739352586547,-2.62463,-6.83809,10.69771,10.60073,5.84394,11.03178
RV,526,1739352586561,-2.62463,-6.83809,10.69771,-25.71793,12.91618,2.57103
RV,527,1739352586578,-1.77039,1.93878,12.82972,-9.60131,-15.05998,-23.87549
RV,528,1739352586596,-3.57936,0.40499,11.10928,-5.77147,-12.23719,-18.84405
RV,529,1739352586609,-1.18654,-4.56969,13.4351,2.91816,-4.93226,-6.44283
RV,530,1739352586622,-6.27607,-4.21795,13.29153,20.4538,-9.20841,-5.29083
RV,531,1739352586645,-1.81585,2.30249,11.14756,-24.94357,7.70546,-4.43255
RV,532,1739352586660,-1.81585,2.30249,11.14756,-9.01768,9.43347,3.47509
RV,533,1739352586675,-1.05254,-4.51227,9.78605,-7.8466,9.28851,3.10889
RV,534,1739352586692,2.8334,-2.79661,8.89592,-4.08161,9.87596,3.87562
RV,535,1739352586712,0.91196,-4.19641,6.14178,-38.26028,14.6213,-6.63356
RV,536,1739352586728,1.89781,-0.6335,9.05863,-56.48256,1.39232,-29.58211
RV,537,1739352586751,-2.39013,-2.47358,9.9679,-42.36478,15.32319,-8.22806
RV,538,1739352586767,-0.62183,-2.90429,5.41915,-15.3003,3.34921,-9.31522
RV,539,1739352586780,-0.62183,-2.90429,5.41915,-33.79722,6.32458,-9.84544
RV,540,1739352586793,-3.61765,3.01316,11.24806,-26.40455,-4.67668,-18.72198
RV,541,1739352586814,0.15823,-2.44008,5.09133,10.83342,-6.16818,-2.94104
RV,542,1739352586831,-1.44257,-2.12423,8.96052,7.29349,-4.33718,-0.32424
RV,543,1739352586847,-0.84197,-1.22213,9.30987,5.14206,-2.16287,4.1312
RV,544,1739352586860,-0.84197,-1.22213,9.30987,15.38041,-0.90024,9.84163
RV,545,1739352586883,-1.22961,-2.01416,11.98266,9.76534,3.63148,12.04646
RV,546,1739352586898,-1.96182,-2.05484,6.68256,5.42815,-6.95399,-4.88267
RV,547,1739352586910,1.45514,-3.99063,7.01516,6.8777,-4.21512,-8.09073
RV,548,1739352586927,0.59372,-1.1671,8.13739,-26.35878,-11.18436,-36.82981
RV,549,1739352586944,-2.27049,-1.15035,11.28395,5.55022,-11.78707,-35.2811
RV,550,1739352586961,-2.27049,-1.15035,11.28395,28.81919,3.62767,-9.56316
RV,551,1739352586975,-2.14606,-1.27717,9.25963,25.21059,-0.56837,-18.43207
RV,552,1739352587004,-1.02622,-6.20878,8.62313,15.6131,2.31164,-19.75574
RV,553,1739352587028,1.87149,-3.10768,8.22353,-1.21685,12.85515,-10.39474
RV,554,1739352587053,-1.63878,-1.45424,8.33121,0.40435,8.34631,-9.71575
RV,555,1739352587062,-1.63878,-1.45424,8.33121,-3.21951,12.28678,-3.35302
RV,556,1739352587073,-2.04078,-2.72483,9.69751,-2.10565,10.08195,-3.62386
RV,557,1739352587094,-0.7678,-6.22074,8.94138,-8.28146,14.16355,3.52468
RV,558,1739352587109,-2.87109,0.93141,10.77907,-19.02333,10.43289,-0.62559
RV,559,1739352587128,-2.33988,-0.00419,14.50469,20.90392,0.91931,5.34805
RV,560,1739352587145,-1.7321,-4.60798,10.08515,14.01478,-0.28228,2.02936
RV,561,1739352587160,-1.7321,-4.60798,10.08515,12.72546,-0.83158,0.67137
RV,562,1739352587184,-3.11276,-3.15075,8.80499,3.68107,-3.39498,-6.99976
RV,563,1739352587204,-1.00947,1.90289,12.57847,-2.13235,0.0534,-14.80822
RV,564,1739352587220,-4.72792,-0.88235,13.2365,18.50836,-6.08045,-19.38953
RV,565,1739352587234,-3.82104,-6.63948,8.80977,34.51436,4.13501,-0.35476
RV,566,1739352587248,1.67527,2.82413,11.05185,-16.68499,10.82579,-12.70257
RV,567,1739352587260,1.67527,2.82413,11.05185,-0.8888,-6.08808,-31.36352
RV,568,1739352587278,2.39073,-1.50927,5.84028,6.81666,1.86152,-17.48606
RV,569,1739352587292,-1.05494,-1.71266,10.736,43.16966,13.30527,14.36954
RV,570,1739352587309,-4.38096,-4.75873,10.70968,42.12446,9.11304,7.66732
RV,571,1739352587323,-1.768,-2.3013,11.10928,-1.08716,10.20783,-8.15177
RV,572,1739352587342,-1.768,-2.3013,11.10928,-21.44559,10.30319,-13.76684
RV,573,1739352587358,-2.09103,-0.38465,9.98944,-3.86036,7.22101,-9.27326
RV,574,1739352587373,-3.67268,-1.21256,10.32204,39.55725,-1.71656,-0.48445
RV,575,1739352587398,-1.94267,-3.22253,8.74517,-6.33603,-21.14424,-41.94518
RV,576,1739352587411,1.68006,-2.07637,8.6686,-13.43115,-8.73921,-20.10286
RV,577,1739352587428,1.65853,-4.68455,7.43629,-12.5538,-8.35394,-15.31556
RV,578,1739352587445,-3.99571,-3.32064,10.14018,-5.8325,-6.05756,-6.2254
RV,579,1739352587458,-3.99571,-3.32064,10.14018,-0.7591,-23.15834,-28.56742
RV,580,1739352587477,-2.78734,-2.2343,12.05684,-2.32308,-16.65448,-21.37312
RV,581,1739352587492,-3.8689,-3.53599,13.26042,-20.86959,-6.62212,-14.97988
RV,582,1739352587507,-1.74646,2.25703,10.39143,-31.47033,-3.41024,-14.41532
RV,583,1739352587526,-2.02881,-0.66221,7.52961,18.61517,9.0749,16.03651
RV,584,1739352587545,1.44796,-1.07856,7.59422,15.47577,5.73332,7.04554
RV,585,1739352587561,1.44796,-1.07856,7.59422,24.56974,-0.28991,-0.86973
RV,586,1739352587578,-0.00688,-3.16032,7.01276,23.91363,1.87296,1.08334
RV,587,1739352587602,0.41186,-2.01177,9.54437,12.817,6.3284,2.68165
RV,588,1739352587618,-0.59551,-2.49512,7.82154,8.3959,5.74095,1.35036
RV,589,1739352587633,1.36182,2.76909,11.6692,8.65911,1.17489,-2.85331
RV,590,1739352587647,1.36182,2.76909,11.6692,7.42318,0.90787,-2.64732
RV,591,1739352587660,-2.27767,-2.21994,9.08016,-1.94925,2.9563,-1.24737
RV,592,1739352587683,-3.15344,-2.2343,10.07079,-10.39093,3.83366,-2.13998
RV,593,1739352587696,-1.5335,-3.05743,9.55394,-19.20262,15.60165,12.49277
RV,594,1739352587712,-4.77817,-0.57607,11.73859,15.93734,-4.25708,4.06635
RV,595,1739352587728,-3.63918,-3.06221,11.19303,16.10136,4.60802,19.7977
RV,596,1739352587742,-3.63918,-3.06221,11.19303,10.91734,0.17929,18.64569
RV,597,1739352587761,-1.96182,-5.05304,10.54696,-40.39264,7.20575,11.90913
RV,598,1739352587776,-0.5333,-1.15274,9.47019,-31.72209,3.36065,10.65414
RV,599,1739352587794,1.62024,1.6995,10.92264,-24.68799,-0.03052,8.34631
RV,600,1739352587817,-1.72732,-1.55713,10.37229,9.94462,-18.52362,-4.76442
RV,601,1739352587832,-3.59133,-2.90429,11.60938,2.407,-13.59899,-2.78083
RV,602,1739352587846,-3.66551,-2.74636,10.01336,-5.63796,-13.0001,-6.10334
RV,603,1739352587863,-3.66551,-2.74636,10.01336,-6.03086,-2.49092,3.40642
RV,604,1739352587875,-1.64357,-2.55972,9.42712,-5.90498,-2.88001,1.14056
RV,605,1739352587894,-0.43759,0.03888,9.69273,4.07779,-4.238,-0.14114
RV,606,1739352587907,1.87866,-2.26301,8.2666,6.73656,-4.09305,-0.17166
RV,607,1739352587923,1.87866,-2.26301,8.2666,6.38943,-2.91434,-1.57924
RV,608,1739352587944,1.2996,-0.868,9.52523,-15.80382,4.44018,-1.26263
RV,609,1739352587960,-0.77498,-0.85603,8.00339,8.06785,0.32424,2.71217
RV,610,1739352587977,-1.29183,1.08215,11.24567,7.36596,3.51705,7.67494
RV,611,1739352587994,-2.42363,-3.4355,9.96551,26.82797,1.79285,13.35105
RV,612,1739352588014,-4.15125,-6.02692,8.46042,16.68499,-0.17166,12.40884
RV,613,1739352588029,-3.35683,-1.55952,7.61097,-31.21856,11.5086,13.15269
RV,614,1739352588047,-3.35683,-1.55952,7.61097,-19.83584,6.83574,15.80764
RV,615,1739352588060,1.08425,0.68495,9.31227,8.61715,-1.86152,16.10518
RV,616,1739352588078,-0.7678,-0.24586,10.88674,7.2439,-0.99942,15.85723
RV,617,1739352588094,-2.4332,-1.26999,12.2004,4.238,-0.84684,12.33637
RV,618,1739352588114,0.15583,-0.98046,8.37667,-6.74419,0.20217,7.324
RV,619,1739352588124,-5.06531,-3.08375,9.80758,-6.17581,-0.17166,6.13385
RV,620,1739352588143,-5.06531,-3.08375,9.80758,7.36215,-4.63091,4.40966
RV,621,1739352588160,3.14447,-2.96172,9.6999,1.44191,-14.89977,-9.74245
RV,622,1739352588177,-2.67488,-0.20279,7.85265,-4.08542,-2.94486,4.15027
RV,623,1739352588199,-1.58136,1.03908,10.11865,-8.95665,6.85862,17.10078
RV,624,1739352588212,-1.21047,-2.83011,9.28595,5.33279,-0.62941,15.60547
RV,625,1739352588228,-6.00329,-2.4329,13.10968,5.74095,-2.76176,12.96959
RV,626,1739352588246,-6.00329,-2.4329,13.10968,-10.47485,-5.78291,1.38088
RV,627,1739352588263,0.88804,-3.61735,10.51586,-9.3114,0.21362,8.78499
RV,628,1739352588280,-3.92393,-1.14796,9.52284,-6.43902,-7.09894,-1.0719
RV,629,1739352588293,-1.43779,-1.82513,8.6016,9.80348,-11.93965,-1.93781
RV,630,1739352588307,0.2994,-0.6,9.82433,9.01768,-13.67147,-4.25326
RV,631,1739352588324,0.2994,-0.6,9.82433,6.21396,-11.96254,-0.68281
RV,632,1739352588345,1.07946,-2.47119,9.53241,-4.6042,-3.4255,10.05143
RV,633,1739352588360,-1.768,0.81416,11.66441,-4.05872,-2.88383,14.27799
RV,634,1739352588375,-3.39512,-0.32004,7.48654,-3.34921,-3.41405,14.09489
RV,635,1739352588392,-1.66032,-2.58126,9.51087,6.62975,1.22448,22.39924
RV,636,1739352588409,0.16062,-3.35414,9.89372,4.71864,1.21304,18.00865
RV,637,1739352588434,-3.11994,-2.44726,8.95813,3.44838,0.17547,13.96138
RV,638,1739352588450,-4.17757,-0.9326,12.44447,-6.02323,5.20309,15.37659
RV,639,1739352588466,-4.17757,-0.9326,12.44447,-12.56143,-6.36654,-9.35718
RV,640,1739352588478,-2.92373,-1.74616,11.18585,-10.75331,-4.90556,-11.1424
RV,641,1739352588496,-1.24636,1.81436,11.65484,-14.26655,5.95457,-3.79551
RV,642,1739352588512,-3.25394,-2.61236,9.55873,-4.62709,3.10889,-4.34481
RV,643,1739352588528,-0.85633,-2.37787,9.45584,-3.56664,2.84949,-3.49416
RV,644,1739352588546,-0.85633,-2.37787,9.45584,-3.78788,3.67726,-0.77436
RV,645,1739352588558,-0.53569,-1.62413,9.84826,-2.04843,2.83042,0.78962
RV,646,1739352588575,-2.41884,-1.09771,12.14776,8.66292,3.9481,10.00184
RV,647,1739352588591,1.07707,-2.02134,9.25723,9.27326,1.68605,15.50629
RV,648,1739352588609,0.91675,-1.17188,8.35514,5.87827,-1.48387,13.87364
RV,649,1739352588633,-3.22762,-2.85882,8.30968,-2.81135,-5.77147,4.10831
RV,650,1739352588647,-3.22762,-2.85882,8.30968,-3.90995,-2.49474,6.05756
RV,651,1739352588662,-0.46391,-0.08794,11.57588,-2.06369,-1.83863,4.95133
RV,652,1739352588680,0.70379,-2.63151,8.45803,0.58745,-2.00647,4.95133
RV,653,1739352588694,-3.37837,-1.75095,8.88874,0.28991,-1.37325,2.57866
RV,654,1739352588709,-2.2011,-1.94237,9.17109,-1.59831,-0.70188,0.07248
RV,655,1739352588724,-2.2011,-1.94237,9.17109,0.11825,0.35094,-2.91053
