ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,6001,1739356199633,-0.06221,-1.59422,9.26471,-2.57866,-0.30517,0.19836
Abj,6002,1739356199648,0.29701,-0.68614,10.436,-3.18899,2.5634,-1.26644
Abj,6003,1739356199665,0.3329,-3.51536,9.92842,4.44018,5.37094,0.50353
Abj,6004,1739356199683,0.05503,-3.23749,8.12932,4.92844,3.72303,-0.16784
Abj,6005,1739356199701,0.32812,0.18814,11.04946,2.30401,-5.18784,0.32043
Abj,6006,1739356199720,-0.18455,-0.4681,9.35803,-5.69136,-1.0986,-0.16784
Abj,6007,1739356199732,-0.18455,-0.4681,9.35803,-4.65379,-7.07987,-0.10681
Abj,6008,1739356199746,0.65384,-1.48863,10.29003,-5.87446,4.2113,-0.53404
Abj,6009,1739356199764,-0.2324,-2.88993,9.44926,0.22888,-3.90613,-0.77818
Abj,6010,1739356199783,0.5677,-3.68525,10.34746,6.39324,3.60097,-1.14438
Abj,6011,1739356199800,0.45972,-2.37009,10.37857,4.37914,-7.1409,-1.38851
Abj,6012,1739356199817,0.29701,0.04457,10.40968,2.30401,-6.34747,0.50353
Abj,6013,1739356199839,0.18903,-1.28495,8.76162,0.77818,1.89203,-0.47301
Abj,6014,1739356199857,0.29462,-1.28016,9.66491,-2.45659,-0.67137,-0.47301
Abj,6015,1739356199866,0.29462,-1.28016,9.66491,-2.21246,-1.831,-0.28991
Abj,6016,1739356199880,0.21087,-2.26241,10.59661,-1.90729,-1.95307,-0.04578
Abj,6017,1739356199901,0.47438,-2.3342,9.76541,-0.74766,1.89203,0.50353
Abj,6018,1739356199917,0.07418,-1.77607,9.09213,1.51058,1.89203,-0.16784
Abj,6019,1739356199934,0.07418,-1.77607,9.09213,2.18194,-2.3803,0.50353
Abj,6020,1739356199948,0.07418,-1.41924,8.94856,0.77818,-3.23477,-0.28991
Abj,6021,1739356199965,0.58445,-1.82393,9.89462,-0.19836,-5.79817,0.99179
Abj,6022,1739356199982,0.21805,-1.6014,9.6673,-1.48006,-4.0282,0.68663
Abj,6023,1739356200001,0.09093,-1.31157,10.15813,-2.33453,-3.41787,0.80869
Abj,6024,1739356200018,0.03111,-2.33898,10.39053,-0.32043,-4.15027,0.86973
Abj,6025,1739356200036,0.03111,-2.33898,10.39053,0.41198,5.55404,0.25939
Abj,6026,1739356200049,0.4669,-2.50439,9.41815,1.14438,0.06103,1.29696
Abj,6027,1739356200066,0.14357,-1.58704,10.56312,1.75471,2.3803,0.93076
Abj,6028,1739356200090,0.2324,-1.77129,10.22064,0.53404,-2.0141,1.48006
Abj,6029,1739356200100,-0.02154,-2.17388,9.79173,3.52468,-1.831,1.41903
Abj,6030,1739356200113,-0.02154,-2.17388,9.79173,0.77818,-2.68547,1.72419
Abj,6031,1739356200135,0.53898,-1.21555,10.19671,3.46364,-1.34273,1.90729
Abj,6032,1739356200148,0.2348,-2.49721,9.3006,4.50121,5.98127,2.02936
Abj,6033,1739356200166,0.00718,-0.54497,9.62154,-1.35799,-6.2254,1.90729
Abj,6034,1739356200182,-0.00239,-1.15813,10.18954,-0.86973,-2.68547,1.96833
Abj,6035,1739356200197,0.6323,-2.30309,9.23121,1.44954,3.41787,1.48006
Abj,6036,1739356200215,0.6323,-2.30309,9.23121,1.51058,0.61033,1.48006
Abj,6037,1739356200231,-0.03829,-1.69711,9.17378,0.16784,-2.31927,1.66316
Abj,6038,1739356200249,0.16271,-0.79412,10.09831,0.10681,2.68547,1.35799
Abj,6039,1739356200266,0.15075,-1.72104,9.41576,-2.76176,1.70893,1.48006
Abj,6040,1739356200284,0.3329,-2.40628,10.31636,-0.50353,0.30517,-0.10681
Abj,6041,1739356200302,0.02154,-3.16062,10.28286,1.81574,0.3662,0.32043
Abj,6042,1739356200318,0.15075,-1.12223,10.20868,1.32748,0.5493,-0.04578
Abj,6043,1739356200341,0.16032,-0.82762,10.51047,-0.93076,-3.4789,0.01526
Abj,6044,1739356200355,0.16032,-0.82762,10.51047,-2.57866,-0.7324,0.44249
Abj,6045,1739356200368,0.44536,-1.80239,10.06002,-0.13733,2.9296,0.62559
Abj,6046,1739356200381,0.17707,-2.20738,9.21207,-0.13733,2.68547,0.13733
Abj,6047,1739356200399,0.07896,-1.24666,9.7008,-2.51763,-0.61033,0.25939
Abj,6048,1739356200417,0.41186,-2.25763,10.02413,-0.62559,-0.12207,1.11386
Abj,6049,1739356200433,0.41186,-2.25763,10.02413,3.09744,-3.4789,0.99179
Abj,6050,1739356200450,0.06939,-2.59053,9.39901,1.69368,-1.89203,0.99179
Abj,6051,1739356200467,0.17468,-1.67557,9.07538,2.42608,-2.0141,1.29696
Abj,6052,1739356200491,0.38076,-0.99272,9.38704,-1.78523,-5.55404,1.84626
Abj,6053,1739356200502,0.21087,-0.64786,10.39532,-3.06693,-9.94844,1.90729
Abj,6054,1739356200517,0.21087,-0.64786,10.39532,-5.14206,-1.70893,1.54109
Abj,6055,1739356200538,0.16032,-1.35464,10.28046,-2.76176,3.60097,0.80869
Abj,6056,1739356200551,0.32812,-3.31645,8.87199,4.50121,11.41324,2.39556
Abj,6057,1739356200567,0.41426,-2.09462,9.65055,3.46364,-2.5634,0.44249
Abj,6058,1739356200584,0.2324,-1.41924,10.4336,2.48711,2.07513,2.33453
Abj,6059,1739356200608,0.36162,-1.76889,8.87917,1.14438,-1.40377,2.88383
Abj,6060,1739356200623,0.27547,-1.06959,9.7008,-0.25939,-0.5493,2.21246
Abj,6061,1739356200633,0.27547,-1.06959,9.7008,1.38851,-4.9437,2.15143
Abj,6062,1739356200650,-0.07687,-2.09701,10.235,-0.13733,0.1831,1.54109
Abj,6063,1739356200666,0.31615,-1.83111,9.95953,-1.78523,-3.1127,1.96833
Abj,6064,1739356200684,0.27308,-0.8683,10.53919,-3.49416,-1.831,1.29696
Abj,6065,1739356200703,0.30419,-3.84108,9.99781,2.54814,0.1831,2.02936
Abj,6066,1739356200719,0.30419,-3.84108,9.99781,5.96601,6.5916,1.23593
Abj,6067,1739356200746,0.35444,-2.67697,9.28146,0.71714,-8.2395,1.66316
Abj,6068,1739356200754,-0.02154,0.61944,10.87927,-2.27349,3.1127,1.54109
Abj,6069,1739356200770,0.35204,-0.98315,10.17249,-3.61623,-1.831,1.11386
Abj,6070,1739356200785,0.11007,-2.73679,9.64307,0.22888,6.34747,1.29696
Abj,6071,1739356200801,0.1005,-2.55703,9.02513,2.12091,4.0282,1.17489
Abj,6072,1739356200818,0.1005,-2.55703,9.02513,2.60918,0.9155,1.17489
Abj,6073,1739356200836,0.29222,-1.27298,9.78455,-1.48006,-1.0986,1.78523
Abj,6074,1739356200855,0.46451,-0.91376,9.85394,-1.05283,-3.8451,1.41903
Abj,6075,1739356200874,-0.11994,-1.56521,9.46361,-1.66316,1.4648,1.72419
Abj,6076,1739356200887,0.10289,-2.59771,8.76401,1.26644,-2.80753,1.48006
Abj,6077,1739356200900,0.37837,-1.63968,9.97628,-0.19836,-0.7324,1.78523
Abj,6078,1739356200917,0.37837,-1.63968,9.97628,-3.86036,-6.89677,1.54109
Abj,6079,1739356200936,0.32812,-1.90319,10.91516,-2.39556,-5.98127,2.88383
Abj,6080,1739356200950,0.2013,-1.32114,9.82044,0.41198,1.0986,1.29696
Abj,6081,1739356200973,0.06461,-2.49721,9.31017,0.71714,1.95307,1.41903
Abj,6082,1739356200985,0.51745,-1.74257,10.23979,1.87678,0.61033,1.72419
Abj,6083,1739356201002,0.40229,-1.74018,11.03031,-0.38146,-4.5775,1.84626
Abj,6084,1739356201020,0.40229,-1.74018,11.03031,0.71714,-1.03757,2.57866
Abj,6085,1739356201036,0.2348,-1.86012,10.17727,2.73124,3.60097,1.35799
Abj,6086,1739356201053,0.17707,-2.38235,9.10409,4.13501,-0.85447,2.27349
Abj,6087,1739356201077,0.34008,-0.38674,9.58325,-0.50353,-0.12207,2.02936
Abj,6088,1739356201096,0.40708,-0.57846,9.67209,-0.99179,5.1268,3.18899
Abj,6089,1739356201103,0.40708,-2.33898,9.11396,-1.48006,5.8592,2.45659
Abj,6090,1739356201118,0.40708,-2.33898,9.11396,-0.99179,-4.69957,2.82279
Abj,6091,1739356201135,0.01914,-2.10419,9.73191,1.51058,6.65264,2.21246
Abj,6092,1739356201151,0.24915,-2.33181,9.16421,-0.13733,-5.00474,2.02936
Abj,6093,1739356201173,0.38554,-1.11745,10.11985,1.02231,1.34273,2.57866
Abj,6094,1739356201186,0.24676,-2.4326,9.33889,-0.80869,4.27234,1.29696
Abj,6095,1739356201202,0.35683,-1.2658,10.32114,-0.93076,-5.43197,2.45659
Abj,6096,1739356201219,0.35683,-1.2658,10.32114,1.32748,1.6479,1.35799
Abj,6097,1739356201236,0.09811,-1.64447,10.28764,-0.93076,2.0141,1.11386
Abj,6098,1739356201253,0.22522,-2.21934,10.42403,-0.32043,-0.06103,1.41903
Abj,6099,1739356201271,0.26351,-1.86969,10.4001,0.28991,6.2254,1.96833
Abj,6100,1739356201285,0.14118,-2.25763,9.18096,2.97538,7.6902,1.90729
Abj,6101,1739356201302,0.55095,-1.30678,9.95713,2.73124,-1.40377,2.02936
Abj,6102,1739356201319,0.55095,-1.30678,9.95713,0.90024,0.30517,2.15143
Abj,6103,1739356201335,-0.02871,-0.97358,9.65534,-1.90729,-2.9296,1.90729
Abj,6104,1739356201355,0.22283,-1.62772,10.12224,-0.07629,-0.12207,2.15143
Abj,6105,1739356201374,0.21087,-2.22652,9.00359,1.38851,2.07513,1.84626
Abj,6106,1739356201385,0.42861,-2.16909,9.91137,1.63264,-0.97653,1.72419
Abj,6107,1739356201402,0.0,-1.80957,10.09113,3.09744,-4.08923,1.23593
Abj,6108,1739356201421,0.0,-1.80957,10.09113,0.22888,0.97653,2.09039
Abj,6109,1739356201438,-0.01436,-0.88744,9.44686,-0.25939,1.831,1.17489
Abj,6110,1739356201459,0.72323,-1.72582,10.22064,1.38851,9.58224,1.54109
Abj,6111,1739356201475,-0.01196,-2.435,9.87548,2.36504,1.52583,1.17489
Abj,6112,1739356201485,0.11007,-1.11266,10.04806,0.16784,3.35683,1.29696
Abj,6113,1739356201502,0.12921,-1.08156,10.34746,-1.35799,-0.12207,1.23593
Abj,6114,1739356201520,0.12921,-1.08156,10.34746,1.63264,7.1409,0.74766
Abj,6115,1739356201537,0.11246,-3.07687,9.19771,1.38851,6.0423,0.44249
Abj,6116,1739356201557,0.28504,-2.00369,9.9018,4.25708,-2.3803,1.48006
Abj,6117,1739356201571,0.18425,-1.28734,9.63829,2.60918,0.79343,0.32043
Abj,6118,1739356201586,0.05264,-1.37378,10.33789,0.41198,-8.54467,1.23593
Abj,6119,1739356201612,0.31376,-1.45514,9.7343,-1.66316,-3.78407,0.93076
Abj,6120,1739356201633,0.04546,-0.93529,10.59183,-2.76176,-3.60097,-0.22888
Abj,6121,1739356201640,0.04546,-0.93529,10.59183,2.36504,-1.831,0.99179
Abj,6122,1739356201653,0.51984,-2.67936,8.42872,1.69368,23.55125,0.13733
Abj,6123,1739356201669,0.5677,-0.48963,10.49133,-5.63033,-3.05167,0.62559
Abj,6124,1739356201686,-0.28026,0.38943,9.90419,-8.43786,7.93434,0.44249
Abj,6125,1739356201704,0.33769,-1.61815,7.89452,-9.78059,7.26297,0.32043
Abj,6126,1739356201722,0.33769,-1.61815,7.89452,-9.35336,10.986,-0.10681
