ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,7251,1739356452780,-0.11755,-0.03948,10.1677,3.70778,-3.78407,-12.06172
Abj,7252,1739356452798,0.53659,-0.94008,9.75344,1.38851,3.8451,-11.57345
Abj,7253,1739356452814,-0.35474,-1.99651,9.9018,1.51058,-0.24413,-10.65795
Abj,7254,1739356452831,-0.35474,-1.99651,9.9018,4.37914,8.91087,-10.53588
Abj,7255,1739356452848,-0.57727,-2.83011,9.45644,6.21014,2.3803,-11.39035
Abj,7256,1739356452866,-0.58205,-1.81436,9.85634,4.92844,2.68547,-11.87862
Abj,7257,1739356452889,-0.26112,-0.97597,10.05524,0.28991,-1.95307,-12.30585
Abj,7258,1739356452904,-0.05264,-1.29452,10.17727,0.77818,1.6479,-11.57345
Abj,7259,1739356452913,0.01914,-2.60728,9.63829,2.79228,3.78407,-11.63448
Abj,7260,1739356452930,0.01914,-2.60728,9.63829,3.28054,4.69957,-11.75655
Abj,7261,1739356452947,-0.41216,-2.24088,10.23739,4.68431,0.06103,-12.79412
Abj,7262,1739356452965,-0.69003,-1.80239,10.48415,4.92844,1.89203,-12.91618
Abj,7263,1739356452982,-0.20608,-1.45514,10.04088,3.03641,2.44133,-13.28238
Abj,7264,1739356453001,0.19382,-1.24905,10.71386,0.77818,1.4648,-12.79412
Abj,7265,1739356453020,-0.2348,-2.0324,10.11985,2.24298,7.93434,-12.67205
Abj,7266,1739356453030,-0.2348,-2.0324,10.11985,2.73124,2.86857,-12.61102
Abj,7267,1739356453048,-0.50788,-2.38475,9.97867,3.95191,3.72303,-13.16032
Abj,7268,1739356453066,-0.45284,-2.0013,9.71277,4.31811,2.80753,-13.70962
Abj,7269,1739356453083,-0.28744,-1.22273,9.58565,1.81574,-0.9155,-14.31995
Abj,7270,1739356453100,-0.31854,-1.40728,9.64307,0.16784,-0.42723,-14.62512
Abj,7271,1739356453116,0.01436,-1.73539,9.95235,0.71714,-1.15963,-14.38098
Abj,7272,1739356453143,-0.39302,-2.01565,9.65773,2.73124,0.42723,-14.74718
Abj,7273,1739356453162,-0.21565,-1.733,9.6024,2.54814,1.52583,-15.90682
Abj,7274,1739356453169,-0.21565,-1.733,9.6024,1.38851,0.97653,-15.84578
Abj,7275,1739356453181,-0.27787,-1.59183,9.91885,0.41198,-3.1127,-16.27302
Abj,7276,1739356453198,-0.39541,-1.79282,9.94038,1.51058,-0.85447,-16.21198
Abj,7277,1739356453215,0.04068,-2.01805,10.17249,1.32748,0.3662,-16.45612
Abj,7278,1739356453237,-0.15344,-1.68275,10.38575,1.99884,-0.24413,-16.88335
Abj,7279,1739356453248,-0.15344,-1.68275,10.38575,1.99884,2.50237,-16.82232
Abj,7280,1739356453265,-0.18215,-2.08026,9.99542,1.87678,1.34273,-17.00542
Abj,7281,1739356453282,-0.05025,-1.52453,10.19671,3.03641,-1.4648,-17.24955
Abj,7282,1739356453300,-0.11755,-2.26959,9.66252,3.76881,0.9155,-16.94439
Abj,7283,1739356453320,-0.12473,-1.62293,10.11506,2.36504,-4.08923,-17.00542
Abj,7284,1739356453337,0.07178,-1.56281,9.90419,2.12091,-0.42723,-16.70025
Abj,7285,1739356453349,0.07178,-1.56281,9.90419,2.60918,0.42723,-16.08992
Abj,7286,1739356453365,0.06221,-1.72582,9.56411,2.30401,1.70893,-16.39509
Abj,7287,1739356453381,-0.31376,-1.01426,9.47797,-0.74766,-0.3662,-15.41855
Abj,7288,1739356453400,-0.04546,-1.24187,9.76062,-1.41903,2.99063,-14.62512
Abj,7289,1739356453417,-0.21326,-3.12233,9.69841,2.67021,-1.4648,-14.74718
Abj,7290,1739356453435,-0.50548,-2.60489,9.54258,4.44018,-1.0986,-15.05235
Abj,7291,1739356453455,0.01436,-0.63589,9.64816,2.54814,2.62443,-15.17442
Abj,7292,1739356453465,0.01436,-0.63589,9.64816,0.35094,-5.61507,-14.44202
Abj,7293,1739356453482,0.02632,-0.71486,9.98585,-1.60213,-2.86857,-14.44202
Abj,7294,1739356453504,-0.12233,-1.54128,9.44208,-3.37209,0.9155,-13.34342
Abj,7295,1739356453517,-0.35474,-1.74257,10.12942,-2.76176,-0.5493,-13.52652
Abj,7296,1739356453534,-0.35474,-1.74257,10.12942,-1.96833,0.85447,-13.64858
Abj,7297,1739356453555,-0.60389,-2.26002,10.19911,2.18194,2.13617,-14.07582
Abj,7298,1739356453570,-0.56291,-2.74158,9.95474,0.83921,-7.56814,-14.99132
Abj,7299,1739356453581,-0.28504,-1.58704,10.37139,0.16784,-4.82164,-15.05235
Abj,7300,1739356453600,-0.07687,-1.61336,9.90898,-1.78523,-4.9437,-14.13685
Abj,7301,1739356453617,0.11725,-1.87926,10.0672,-0.44249,-1.76997,-14.01478
Abj,7302,1739356453636,-0.27547,-1.96301,9.95953,0.35094,-5.493,-13.70962
Abj,7303,1739356453654,-0.27547,-1.96301,9.95953,1.99884,-1.4648,-14.07582
Abj,7304,1739356453665,-0.32333,-1.89123,9.04906,3.52468,-3.60097,-13.95375
Abj,7305,1739356453683,-0.05503,-0.87308,9.30539,-0.62559,-4.15027,-14.01478
Abj,7306,1739356453703,0.25633,-0.78455,10.56551,-3.55519,-5.61507,-12.42792
Abj,7307,1739356453718,-0.06461,-2.61446,9.22164,-0.86973,-2.9296,-11.75655
Abj,7308,1739356453734,-0.06461,-2.61446,9.22164,1.75471,0.9155,-11.26828
Abj,7309,1739356453750,-0.01914,-2.04676,9.34367,0.83921,-0.24413,-11.32932
Abj,7310,1739356453765,-0.40738,-1.82154,9.89941,2.36504,-0.12207,-11.57345
Abj,7311,1739356453783,-0.3667,-2.32941,8.95095,4.31811,-1.2817,-10.71898
Abj,7312,1739356453798,0.2013,-1.12941,9.3006,2.91434,-2.50237,-10.96312
Abj,7313,1739356453819,-0.02632,-0.54018,10.54158,-1.11386,-5.18784,-10.04762
Abj,7314,1739356453834,-0.02632,-0.54018,10.54158,-2.39556,-1.4648,-9.25418
Abj,7315,1739356453851,-0.31137,-1.6995,10.19671,-0.50353,1.89203,-9.13212
Abj,7316,1739356453870,-0.37866,-2.86361,9.96431,3.34158,2.1972,-8.76592
Abj,7317,1739356453883,-0.44088,-2.44696,10.41207,5.05051,-1.03757,-9.07108
Abj,7318,1739356453900,-0.36431,-1.9654,10.38575,4.98948,-4.15027,-9.01005
Abj,7319,1739356453917,-0.36431,-1.9654,10.38575,3.40261,-1.58687,-7.91145
Abj,7320,1739356453934,0.19143,-1.17248,10.09831,1.38851,-2.1972,-7.24008
Abj,7321,1739356453951,0.12203,-1.1653,10.30918,2.05988,0.7324,-7.12564
Abj,7322,1739356453973,-0.38584,-2.1332,9.61436,3.89088,3.17373,-6.82048
Abj,7323,1739356453992,-0.33559,-1.38096,9.81566,3.40261,1.89203,-6.51531
Abj,7324,1739356454003,-0.1343,-1.55563,9.82762,3.52468,1.70893,-6.69841
Abj,7325,1739356454016,-0.1343,-1.55563,9.82762,4.07398,-0.06103,-6.63738
Abj,7326,1739356454036,-0.44566,-1.51735,9.32692,1.57161,-3.1127,-7.24008
Abj,7327,1739356454053,-0.07926,-1.22513,10.23739,1.69368,-0.06103,-7.66732
Abj,7328,1739356454073,-0.47677,-1.88883,10.03131,4.07398,5.1268,-8.09455
Abj,7329,1739356454086,-0.19412,-2.0324,9.6024,3.28054,1.34273,-8.52178
Abj,7330,1739356454101,-0.34277,-1.42881,9.54018,4.44018,4.0282,-8.94902
Abj,7331,1739356454120,0.02632,-1.47189,10.21107,2.67021,-1.15963,-9.13212
Abj,7332,1739356454136,0.02632,-1.47189,10.21107,2.97538,1.52583,-9.19315
Abj,7333,1739356454158,-0.25155,-1.61815,10.4674,3.76881,3.662,-8.94902
Abj,7334,1739356454175,0.01436,-2.06351,10.15574,4.07398,3.23477,-9.19315
Abj,7335,1739356454185,-0.2659,-1.63729,10.56072,4.86741,2.5634,-9.49832
Abj,7336,1739356454200,-0.27787,-1.70907,10.28286,4.68431,1.40377,-9.19315
Abj,7337,1739356454218,-0.04068,-0.94965,9.76541,1.87678,1.6479,-9.43728
Abj,7338,1739356454236,-0.04068,-0.94965,9.76541,-1.48006,1.52583,-9.49832
Abj,7339,1739356454252,0.05743,-0.56411,9.64816,-1.35799,4.08923,-9.01005
Abj,7340,1739356454270,-0.23719,-1.99651,9.54736,0.41198,6.46954,-9.92555
Abj,7341,1739356454292,-0.30897,-2.19541,9.8013,1.81574,3.78407,-10.47485
Abj,7342,1739356454301,-0.24915,-1.76889,9.65773,1.57161,3.90613,-10.29175
Abj,7343,1739356454317,-0.24915,-1.76889,9.65773,0.16784,2.62443,-10.78002
Abj,7344,1739356454334,0.09811,-1.10309,10.23739,-0.93076,1.34273,-10.59692
Abj,7345,1739356454352,-0.28265,-1.51256,9.6024,-0.68663,3.41787,-10.84105
Abj,7346,1739356454368,0.01196,-1.22513,9.76302,-2.02936,2.50237,-10.53588
Abj,7347,1739356454386,-0.19412,-1.95583,9.91885,1.26644,6.28644,-10.59692
Abj,7348,1739356454410,-0.11515,-1.45514,10.00499,-0.86973,2.31927,-10.84105
Abj,7349,1739356454425,-0.22762,-1.55085,10.40968,-2.39556,5.493,-9.62038
