ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,6001,1739352273462,0.37956,-1.77278,9.2354,-1.65934,-1.58687,1.78523
Ak,6002,1739352273478,0.43938,-1.64118,10.73091,-3.765,-1.37325,2.57484
Ak,6003,1739352273494,-0.05833,-1.10518,10.35763,-1.64409,0.57982,3.68107
Ak,6004,1739352273512,0.26949,-2.31356,10.07767,-0.34331,4.95133,3.84892
Ak,6005,1739352273533,0.45852,-3.14148,9.16361,0.74766,5.53496,3.94047
Ak,6006,1739352273545,0.25274,-1.52632,10.38635,-0.16403,7.15998,3.44457
Ak,6007,1739352273559,0.25274,-1.52632,10.38635,-2.09039,4.79875,3.5819
Ak,6008,1739352273578,0.30299,-1.07169,10.58495,-0.576,4.50121,2.60918
Ak,6009,1739352273595,0.59013,-2.2011,9.55364,1.67079,4.50884,0.45394
Ak,6010,1739352273612,0.9658,-1.54786,9.58714,0.53404,3.72303,-0.11062
Ak,6011,1739352273629,-0.18514,-1.34925,9.75943,-0.35857,2.72743,-0.14114
Ak,6012,1739352273645,0.48006,-1.34447,8.9028,-0.22506,-0.29372,-0.3128
Ak,6013,1739352273660,0.48006,-1.34447,8.9028,2.1972,-1.41521,-1.6479
Ak,6014,1739352273675,0.75045,-1.04297,9.41725,1.70893,-0.92313,-1.99503
Ak,6015,1739352273695,0.31974,-1.19611,9.45554,0.9422,-3.40261,-0.60652
Ak,6016,1739352273712,0.81266,-2.54806,10.70459,0.45394,-6.19489,1.72038
Ak,6017,1739352273728,1.31994,-1.3684,8.87887,0.49208,-6.9044,2.70073
Ak,6018,1739352273745,0.77677,-1.40907,9.52732,-0.27084,-4.93226,3.49416
Ak,6019,1739352273763,0.77677,-1.40907,9.52732,-3.02878,-4.25708,6.24066
Ak,6020,1739352273776,0.95862,-1.42104,10.06571,-6.41613,-4.16553,8.12507
Ak,6021,1739352273792,0.72413,-2.21785,10.18056,-5.84013,-3.90995,9.21604
Ak,6022,1739352273814,1.57119,-1.97139,10.10399,-6.22159,-1.89585,7.75505
Ak,6023,1739352273829,0.94666,-1.39711,10.09921,-7.24008,-0.4959,6.10715
Ak,6024,1739352273849,0.31735,-0.79651,10.3361,-5.94312,-0.1297,5.05433
Ak,6025,1739352273860,0.31735,-0.79651,10.3361,-2.25823,0.7324,1.72419
Ak,6026,1739352273875,-0.33111,-1.49043,8.88605,4.37151,0.56456,-1.50676
Ak,6027,1739352273895,1.53051,-1.67946,9.35743,9.53646,2.5634,-6.0156
Ak,6028,1739352273911,1.96122,-1.91157,9.92932,7.73216,3.7917,-6.79759
Ak,6029,1739352273929,1.16441,-0.88505,9.20668,4.16171,2.10184,-5.13062
Ak,6030,1739352273947,1.15244,-0.65533,10.04896,3.22714,1.29696,-4.25708
Ak,6031,1739352273964,1.15244,-0.65533,10.04896,2.43371,1.7013,-3.662
Ak,6032,1739352273977,0.97777,-2.36381,10.68306,2.02554,3.41024,-3.20425
Ak,6033,1739352273995,1.01845,-1.31575,9.75943,-3.14703,4.11212,-0.41579
Ak,6034,1739352274011,0.77916,0.59372,10.49881,-7.37741,1.29696,3.90995
Ak,6035,1739352274030,0.67866,0.21087,9.79053,-0.08011,-0.45394,4.55843
Ak,6036,1739352274046,0.64995,-2.3662,8.84776,7.9763,0.58745,3.17755
Ak,6037,1739352274063,0.64995,-2.3662,8.84776,17.32584,0.96128,1.75852
Ak,6038,1739352274076,1.37737,-2.51216,10.66631,15.24308,0.0534,2.45659
Ak,6039,1739352274092,0.15703,-1.97139,8.63001,9.12449,-1.4648,3.88325
Ak,6040,1739352274112,0.25753,-0.99751,9.99871,6.81285,-1.80048,3.88706
Ak,6041,1739352274128,0.79352,-1.46889,9.25215,5.75621,-1.56779,3.80696
Ak,6042,1739352274149,1.40369,-0.60748,9.63978,3.31487,-1.10623,3.57045
Ak,6043,1739352274163,1.40369,-0.60748,9.63978,-3.15848,-1.65172,4.47451
Ak,6044,1739352274181,1.22423,-1.72971,9.57757,-5.99653,-1.86533,5.03144
Ak,6045,1739352274192,0.76002,-0.54526,10.3026,-3.52468,-1.50295,4.62328
Ak,6046,1739352274210,0.59731,-1.84935,9.77857,-0.53786,-2.26968,4.13501
Ak,6047,1739352274230,0.94427,-1.80389,11.05155,5.10773,-4.60039,3.23095
Ak,6048,1739352274244,0.94427,-1.80389,11.05155,8.682,-6.43139,3.04022
Ak,6049,1739352274263,1.18116,-1.78475,10.10878,7.14853,-7.41174,4.42873
Ak,6050,1739352274278,0.95384,-2.28724,8.84298,3.16992,-7.01502,5.71806
Ak,6051,1739352274297,0.60927,-0.99512,9.67328,0.39672,-5.37475,7.25915
Ak,6052,1739352274309,-0.08943,-2.06231,9.77378,-5.77147,-4.10831,9.79585
Ak,6053,1739352274327,1.32473,-1.89482,9.74986,-12.73308,-3.19662,11.30262
Ak,6054,1739352274344,1.32473,-1.89482,9.74986,-11.8748,0.18691,9.74245
Ak,6055,1739352274361,1.01127,-0.47827,9.77139,-8.46075,2.97156,7.14853
Ak,6056,1739352274378,0.19531,-2.82802,8.9004,-8.25858,3.19281,6.18344
Ak,6057,1739352274394,0.62124,-1.99292,9.70678,-9.82637,4.12357,4.59657
Ak,6058,1739352274410,1.10459,-2.3351,9.46989,-8.61333,3.98624,2.94486
Ak,6059,1739352274430,1.35105,-0.45673,9.45554,-10.03999,3.10507,2.91816
Ak,6060,1739352274448,1.3989,-1.92832,9.61346,-11.04322,2.12091,2.46422
Ak,6061,1739352274463,1.3989,-1.92832,9.61346,-11.87099,0.77055,1.71275
Ak,6062,1739352274481,0.68824,-0.43041,9.58236,-11.56964,-0.28991,0.74384
Ak,6063,1739352274493,1.16201,-0.99033,9.18036,-9.95988,0.28609,0.19836
Ak,6064,1739352274509,1.28405,-0.75105,9.82643,-6.09952,-2.41463,1.06045
Ak,6065,1739352274525,0.78156,-2.11017,9.12054,-2.93723,-4.14264,1.32366
Ak,6066,1739352274543,0.58534,-3.08884,9.78096,8.59807,-4.8903,-0.50734
Ak,6067,1739352274563,0.58534,-3.08884,9.78096,7.99918,-4.91319,-0.27465
Ak,6068,1739352274579,0.20489,-3.65833,9.84557,-0.55311,-5.5197,2.80753
Ak,6069,1739352274596,1.41087,-2.43799,10.07528,-0.77818,-4.1846,3.19662
Ak,6070,1739352274613,1.54965,-0.69123,10.02982,-13.81643,-3.20044,7.05698
Ak,6071,1739352274625,0.53031,-1.96182,9.46511,-17.80267,-2.89146,7.7169
Ak,6072,1739352274643,1.4994,-2.20828,10.22124,-15.78094,-0.58745,5.1001
Ak,6073,1739352274662,1.4994,-2.20828,10.22124,-16.47901,2.09039,3.21188
Ak,6074,1739352274679,1.32233,-1.54307,9.93171,-14.54883,4.46688,1.73945
Ak,6075,1739352274692,0.37478,-2.2681,9.94367,-9.95225,6.40087,-1.5182
Ak,6076,1739352274709,0.75045,-1.81825,10.92712,-1.49913,4.47832,-5.45486
