ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,1001,1739356114964,-0.28095,-1.41705,9.201,4.03362,-12.19541,-0.89811
HS,1002,1739356114980,-0.61695,-1.101,8.466,3.82879,-11.28154,-1.45746
HS,1003,1739356114997,0.10995,-1.53405,9.73995,1.72532,-4.07301,-1.38656
HS,1004,1739356115013,0.26595,-1.55595,9.79005,0.60662,-1.6229,-1.03992
HS,1005,1739356115031,0.65805,-2.226,9.31095,0.11817,0.05515,-0.82721
HS,1006,1739356115048,0.65805,-2.226,9.31095,0.18908,-0.22059,0.08666
HS,1007,1739356115063,0.95295,-1.27995,10.18995,-0.16544,2.08771,0.01576
HS,1008,1739356115080,0.20595,-2.08005,9.999,-0.37027,2.9937,0.14969
HS,1009,1739356115096,-0.21405,-2.17305,10.197,0.53572,1.52837,0.57511
HS,1010,1739356115113,0.117,-1.311,10.30695,1.51261,-0.4333,0.08666
HS,1011,1739356115130,-1.191,-2.72895,10.58505,3.05673,-1.90652,-0.12605
HS,1012,1739356115147,-0.633,-1.881,10.26705,3.26944,-3.23005,0.14969
HS,1013,1739356115163,-0.47505,-1.644,10.01805,1.30778,-5.75106,0.22059
HS,1014,1739356115181,-0.47505,-1.644,10.01805,-0.58298,-4.14392,1.20536
HS,1015,1739356115204,0.438,-1.78095,9.96495,0.2521,-10.50948,0.29149
HS,1016,1739356115220,-0.159,-1.72605,9.69,1.44958,-12.1245,0.57511
HS,1017,1739356115229,0.13395,-1.98705,9.54105,1.86713,-10.65129,1.34717
HS,1018,1739356115246,-1.146,-0.801,9.37095,-0.23635,-5.26262,1.97742
HS,1019,1739356115263,-1.359,-2.796,9.23505,-1.49685,-3.15915,2.04045
HS,1020,1739356115279,-0.47295,-2.44605,9.29205,-1.28414,-4.70327,2.46587
HS,1021,1739356115296,-0.47295,-2.44605,9.29205,-2.0562,-1.33929,3.44276
HS,1022,1739356115313,0.891,-1.87905,9.129,-1.35505,0.26786,3.51366
HS,1023,1739356115329,0.36195,-1.47195,9.33495,-1.21324,0.40966,3.72637
HS,1024,1739356115346,-0.40095,-1.395,10.032,-1.9144,0.96901,3.72637
HS,1025,1739356115363,-0.528,-0.80595,9.75705,-3.87606,1.31565,3.16702
HS,1026,1739356115379,-1.36605,-3.591,9.963,-4.64024,0.54359,3.72637
HS,1027,1739356115397,0.132,-2.14005,9.01905,-1.14233,-4.28572,3.44276
HS,1028,1739356115411,0.132,-2.14005,9.01905,0.2521,-1.90652,4.21482
HS,1029,1739356115428,0.20595,-2.06805,9.57,1.44958,-4.56146,3.8603
HS,1030,1739356115446,-0.36795,-0.708,10.59195,-0.51208,-1.90652,3.79728
HS,1031,1739356115462,-0.79095,-1.85505,9.56295,-1.49685,-4.28572,4.00211
HS,1032,1739356115477,-0.47505,-1.18695,9.141,-1.35505,-3.44276,4.00211
HS,1033,1739356115495,-0.38895,-1.66605,9.168,-1.42595,-5.33352,4.00211
HS,1034,1739356115511,0.888,-1.38795,9.453,-1.84349,-4.77417,4.00211
HS,1035,1739356115528,-0.40395,-1.90995,9.15795,-1.42595,-3.8603,4.63236
HS,1036,1739356115545,-0.40395,-1.90995,9.15795,-1.35505,-2.7416,4.63236
HS,1037,1739356115562,-0.40395,-2.12805,9.59205,-0.9375,1.24475,4.98688
HS,1038,1739356115578,-0.39405,-2.97495,9.46005,0.46481,0.54359,5.26262
HS,1039,1739356115594,0.41895,-2.013,8.79705,1.44958,1.11082,5.19171
HS,1040,1739356115611,-0.03,-1.58895,9.903,0.67752,1.38656,5.19171
HS,1041,1739356115629,-0.82695,-2.202,10.01805,0.88235,-0.64601,5.12081
HS,1042,1739356115643,-0.07605,-0.51405,10.27395,0.95326,4.32512,5.33352
HS,1043,1739356115662,-0.07605,-0.51405,10.27395,0.04727,-1.33929,4.98688
HS,1044,1739356115677,-1.21995,-2.33895,8.89695,-0.09454,-2.6707,5.26262
HS,1045,1739356115695,0.189,-1.956,9.64395,0.323,-1.6229,5.19171
HS,1046,1739356115710,0.27105,-1.953,9.879,1.02416,1.52837,5.33352
HS,1047,1739356115727,-0.471,-1.91505,9.59895,1.93803,-0.99265,5.40442
HS,1048,1739356115744,-0.978,-2.046,9.79695,1.86713,2.71797,5.68016
HS,1049,1739356115760,0.144,-2.14695,8.43705,3.05673,-4.00211,5.04991
HS,1050,1739356115776,-0.48495,-0.33195,9.58395,1.72532,2.01681,5.54623
HS,1051,1739356115793,-0.48495,-0.33195,9.58395,1.65442,-3.8603,4.49056
HS,1052,1739356115809,-1.476,-1.893,10.209,-0.30725,0.82721,5.04991
HS,1053,1739356115826,-0.621,-2.853,8.57895,1.72532,-0.29149,4.56146
HS,1054,1739356115843,-0.06105,-2.16105,10.992,-0.44118,6.70432,4.84507
HS,1055,1739356115861,0.465,-2.28105,9.29505,2.42648,1.38656,3.8603
HS,1056,1739356115876,-0.123,-1.40205,10.425,0.60662,1.94591,3.72637
HS,1057,1739356115893,-0.01305,-0.876,9.44505,-0.09454,-3.93121,3.79728
HS,1058,1739356115910,-0.01305,-0.876,9.44505,-0.30725,-1.83561,3.58457
HS,1059,1739356115926,1.68795,-1.41405,8.916,-0.30725,-3.15915,2.88341
HS,1060,1739356115943,-0.87,-0.924,10.008,-1.70168,-2.7416,3.02522
HS,1061,1739356115959,-1.04505,-2.427,10.33905,-3.0331,-1.06355,2.60767
HS,1062,1739356115976,-2.33595,-2.81295,10.65195,-2.47375,-0.14969,2.7416
HS,1063,1739356115992,1.671,-2.724,9.144,-0.8666,-4.28572,1.90652
HS,1064,1739356116009,-0.86295,-0.78495,9.64905,-0.72479,-2.46587,2.60767
HS,1065,1739356116027,0.02595,-1.68495,9.59595,-1.84349,-4.91598,2.60767
HS,1066,1739356116043,0.02595,-1.68495,9.59595,-1.14233,-0.92175,2.32406
HS,1067,1739356116059,-0.41805,-1.22295,9.105,-1.00053,-4.41965,2.60767
HS,1068,1739356116076,0.63495,-2.829,8.94705,-0.44118,-1.41019,2.60767
HS,1069,1739356116092,-1.074,0.19095,10.39605,-0.37027,3.97848,2.95431
HS,1070,1739356116108,-1.347,-2.82,10.16595,-1.42595,1.31565,2.81251
HS,1071,1739356116126,-0.09705,-1.40505,8.634,-0.7957,-2.04045,2.95431
HS,1072,1739356116143,-0.906,-2.319,9.86895,-0.72479,-2.25316,2.39496
HS,1073,1739356116159,-0.906,-2.319,9.86895,0.46481,-1.83561,2.52889
HS,1074,1739356116175,-1.58595,-1.14405,10.695,0.18908,2.36345,3.37186
HS,1075,1739356116192,-0.198,-3.26805,9.261,1.79622,-1.20536,3.09612
HS,1076,1739356116209,-0.078,-1.36905,10.056,0.74843,0.6854,3.51366
HS,1077,1739356116225,0.012,-2.26905,9.28695,1.23687,-2.25316,3.02522
HS,1078,1739356116242,-2.022,-0.94005,10.29795,1.72532,2.43435,3.8603
HS,1079,1739356116258,0.72105,-1.86,8.93295,2.84402,-1.69381,3.23005
HS,1080,1739356116284,-1.38495,-0.70305,8.502,1.79622,0.54359,3.44276
HS,1081,1739356116300,-1.57005,-2.25,10.12995,0.18908,-3.58457,2.52889
HS,1082,1739356116315,-1.57005,-2.25,10.12995,1.23687,3.48215,3.30095
HS,1083,1739356116331,-0.42,-1.57695,9.30405,1.65442,-0.4333,2.88341
HS,1084,1739356116349,1.14195,-2.53995,10.06305,2.21377,5.65653,3.44276
HS,1085,1739356116366,-0.46605,-0.85695,9.34005,2.00893,0.6145,3.23005
HS,1086,1739356116383,-1.005,-1.25895,10.542,1.09507,2.8519,3.09612
HS,1087,1739356116398,0.34995,-1.575,9.714,0.39391,-1.97742,2.39496
HS,1088,1739356116415,0.71595,-1.51305,9.726,-0.72479,-0.64601,2.32406
HS,1089,1739356116432,0.71595,-1.51305,9.726,0.46481,-1.83561,2.39496
HS,1090,1739356116447,-0.83205,-2.202,10.35495,0.81933,1.45746,2.52889
HS,1091,1739356116467,-0.741,-2.394,9.96705,0.67752,-0.22847,2.6707
HS,1092,1739356116482,-0.04005,-1.35,10.374,-0.8666,0.6854,2.88341
HS,1093,1739356116498,0.41205,-1.82595,9.34305,-1.35505,-2.39496,2.04045
HS,1094,1739356116517,-0.243,-1.074,9.63,-2.68646,-1.06355,2.88341
HS,1095,1739356116532,0.888,-2.676,8.574,-1.63078,-2.88341,2.46587
HS,1096,1739356116549,0.18195,-0.86595,10.01505,-2.47375,-1.20536,2.7416
HS,1097,1739356116565,0.18195,-0.86595,10.01505,-0.7957,-2.11135,3.44276
HS,1098,1739356116581,0.69,-2.13,9.45,-2.12711,6.28678,3.23005
HS,1099,1739356116596,-0.102,-2.29605,9.003,-2.68646,0.12605,3.23005
HS,1100,1739356116617,-0.24105,-1.77795,9.61995,-2.47375,2.43435,3.37186
HS,1101,1739356116631,-0.27405,-2.26695,8.706,-0.44118,-0.64601,3.44276
HS,1102,1739356116649,0.19395,-2.31705,9.86895,0.04727,3.41913,3.51366
HS,1103,1739356116665,0.072,-1.08195,9.83595,0.67752,4.39602,3.51366
HS,1104,1739356116683,0.072,-1.08195,9.83595,1.09507,5.23898,3.58457
HS,1105,1739356116698,-0.33705,-2.19495,9.81195,1.23687,2.9937,2.95431
HS,1106,1739356116715,0.23895,-2.43705,10.41,0.95326,3.48215,3.02522
HS,1107,1739356116731,-0.645,-1.76595,9.843,1.86713,-2.32406,2.5998
HS,1108,1739356116748,0.18195,-1.87695,9.903,1.16597,-3.02522,2.32406
HS,1109,1739356116763,0.37095,-1.27605,9.23205,0.11817,-1.97742,2.39496
HS,1110,1739356116781,-0.588,-1.87905,9.75705,0.323,-3.65547,1.90652
HS,1111,1739356116800,-0.61905,-2.058,9.498,-0.16544,-1.6229,2.04045
HS,1112,1739356116814,0.579,-2.082,9.57495,0.323,-0.99265,2.18225
HS,1113,1739356116825,0.579,-2.082,9.57495,1.93803,0.7563,2.39496
HS,1114,1739356116847,-0.21,-2.48505,8.83305,2.28467,-1.97742,2.04045
HS,1115,1739356116863,0.78495,-1.137,9.57495,1.44958,0.7563,2.46587
HS,1116,1739356116881,-0.36795,-1.563,9.73995,1.79622,0.82721,2.25316
HS,1117,1739356116897,-0.18795,-1.66305,8.58105,2.35557,0.26786,2.81251
