ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,7251,1739356452086,-1.629,-3.246,7.87995,-0.08666,9.37502,-13.71589
HS,7252,1739356452099,-1.629,-3.246,7.87995,5.50684,2.44223,-13.43228
HS,7253,1739356452110,0.486,-2.85795,7.128,11.10822,-2.45799,-13.64499
HS,7254,1739356452133,-0.83895,-0.414,10.767,8.31147,2.02469,-16.15812
HS,7255,1739356452151,-2.18295,0.10695,11.68695,2.49738,9.79257,-16.93019
HS,7256,1739356452164,-0.42495,-0.14805,10.00605,0.54359,11.61242,-17.48954
HS,7257,1739356452179,-0.59295,-3.16905,10.887,-1.07143,8.9496,-16.72535
HS,7258,1739356452198,-2.21805,-2.85795,11.07105,1.16597,8.80779,-16.93019
HS,7259,1739356452214,-2.21805,-2.85795,11.07105,4.45904,-0.92175,-17.2138
HS,7260,1739356452229,-1.30605,-2.35995,10.78395,8.5163,-2.31618,-17.91496
HS,7261,1739356452248,-0.435,-1.12905,11.406,8.45328,-3.23005,-17.63134
HS,7262,1739356452264,-0.10395,0.36405,10.00095,3.34034,-6.58615,-17.07199
HS,7263,1739356452279,0.76605,-0.03105,9.84495,0.47269,-3.01734,-16.15812
HS,7264,1739356452295,-1.75605,-1.611,9.79005,-2.33194,-1.68593,-15.53575
HS,7265,1739356452315,-0.447,-1.29705,9.144,-0.71691,4.53783,-14.55098
HS,7266,1739356452331,-1.167,-1.46895,9.85995,-0.37027,-0.29149,-14.62188
HS,7267,1739356452341,-1.167,-1.46895,9.85995,-1.07143,1.11082,-15.11033
HS,7268,1739356452358,-0.08805,0.32805,9.23505,-2.40284,-3.15915,-15.25214
HS,7269,1739356452378,-0.34605,-2.43195,9.15795,-1.14233,-0.42542,-14.96852
HS,7270,1739356452391,-1.632,-1.39995,8.62905,-0.29937,-1.41019,-14.96852
HS,7271,1739356452411,0.759,-2.27205,9.33105,1.79622,1.39444,-14.13344
HS,7272,1739356452428,-1.65795,-1.20405,9.639,2.42648,9.65076,-13.71589
HS,7273,1739356452441,-1.65795,-1.20405,9.639,3.68698,5.03415,-13.43228
HS,7274,1739356452461,-0.85095,-1.053,8.33895,4.1124,3.91545,-13.08564
HS,7275,1739356452480,0.53895,-1.16295,10.113,1.7332,3.49003,-12.87293
HS,7276,1739356452498,-1.28205,-1.527,9.357,2.56828,2.44223,-12.24267
HS,7277,1739356452511,-1.55805,-3.34395,10.413,5.93226,5.94014,-12.10087
HS,7278,1739356452527,-1.005,-1.63005,9.32805,9.91862,-0.35452,-12.02997
HS,7279,1739356452539,-1.13595,0.9,10.44405,9.14655,-0.49632,-12.17177
HS,7280,1739356452564,0.59895,-0.94305,9.37395,5.50684,-1.552,-11.32881
HS,7281,1739356452583,-2.05995,-1.15605,9.924,3.05673,0.83509,-10.76946
HS,7282,1739356452599,-0.78195,-2.29305,8.373,4.81356,0.33876,-10.28101
HS,7283,1739356452613,-0.78195,-2.29305,8.373,4.38814,-4.06514,-10.35192
HS,7284,1739356452629,-1.49805,-1.75695,10.08,6.42071,2.37133,-11.05307
HS,7285,1739356452645,-0.83205,-0.38205,9.615,4.94749,0.33876,-11.75423
HS,7286,1739356452661,0.06705,-0.82095,10.509,3.61608,3.21429,-11.89604
HS,7287,1739356452684,-1.254,-1.74495,9.03105,3.05673,3.41913,-11.32881
HS,7288,1739356452690,-1.254,-1.74495,9.03105,2.63919,3.34822,-11.47061
HS,7289,1739356452706,-0.99,-1.78095,9.831,3.61608,3.00158,-11.39971
HS,7290,1739356452727,-1.548,-2.274,10.71405,4.87659,6.98794,-12.17177
