ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
RV,2251,1739352208486,0.30897,-4.41895,9.9344,-0.17166,-4.39059,-6.73656
RV,2252,1739352208501,0.67029,-1.34656,11.11646,-1.97977,-6.99213,-9.61657
RV,2253,1739352208515,0.67029,-1.34656,11.11646,0.08774,-12.90856,-12.09986
RV,2254,1739352208528,0.11276,-1.11446,10.45364,0.11444,-13.90798,-12.53473
RV,2255,1739352208540,-0.19352,-3.25364,10.74796,-0.46919,-15.01421,-12.64153
RV,2256,1739352208562,-0.19352,-3.25364,10.74796,0.21362,-13.14506,-10.86394
RV,2257,1739352208578,1.29721,-2.00937,8.35514,-0.11062,-14.59079,-11.29117
RV,2258,1739352208589,-0.71037,-0.39661,10.34118,-1.76234,-12.90856,-10.35278
RV,2259,1739352208607,-0.98076,-2.88993,9.23809,-2.09802,-10.91353,-8.75829
RV,2260,1739352208624,-0.84915,-2.67697,8.71406,-2.88764,-7.89238,-6.68315
RV,2261,1739352208641,0.21565,-0.95414,9.92483,-9.84163,1.63646,-4.58513
RV,2262,1739352208658,-0.51416,-0.28175,10.00379,-9.57461,3.74211,-3.16611
RV,2263,1739352208675,-0.51416,-0.28175,10.00379,-4.34481,8.86891,2.57866
RV,2264,1739352208701,-0.07866,-3.07657,8.47717,3.63148,13.66766,9.11304
RV,2265,1739352208721,0.29222,-1.27717,9.65205,3.72685,14.12159,8.18991
RV,2266,1739352208734,0.99332,-1.49252,10.60439,2.09039,10.24979,5.03907
RV,2267,1739352208745,0.06969,-1.66959,9.30748,7.24771,8.31579,7.20957
RV,2268,1739352208755,0.06969,-1.66959,9.30748,11.6116,6.61068,9.4411
RV,2269,1739352208779,-0.45912,-2.27498,10.46321,8.71251,1.63264,6.88533
RV,2270,1739352208796,-0.43998,-3.11246,9.56591,3.49416,-7.16379,0.14877
RV,2271,1739352208805,1.00528,-2.21994,9.81237,-6.37036,-9.1016,-6.02323
RV,2272,1739352208820,0.52193,-0.93978,10.2335,-7.1409,-12.31348,-7.41555
RV,2273,1739352208839,-0.12173,-1.57149,9.92483,-7.95341,-12.43173,-6.62975
RV,2274,1739352208853,-0.12173,-1.57149,9.92483,-8.66674,-10.55877,-5.26413
RV,2275,1739352208872,-0.34187,-3.73221,10.08994,-9.36481,-9.06345,-3.8451
RV,2276,1739352208889,0.93111,-0.31765,9.28116,-7.95341,-7.06461,-1.65553
RV,2277,1739352208907,-0.38734,-1.5667,8.81695,-6.24066,-5.32135,-0.00763
RV,2278,1739352208929,-0.15523,-1.08814,9.69033,-2.68928,-1.72038,3.34158
RV,2279,1739352208947,-0.67687,-3.78485,8.17089,8.63622,1.76615,10.74187
RV,2280,1739352208964,0.00987,-1.26042,9.64487,6.88533,5.33279,11.18818
RV,2281,1739352208973,0.00987,-1.26042,9.64487,-1.44954,5.67229,5.596
RV,2282,1739352208996,-0.50937,-3.31346,8.78585,-3.84129,9.16645,4.48595
RV,2283,1739352209010,-0.19352,-1.00678,10.47757,-2.30401,10.5397,3.73829
RV,2284,1739352209024,0.11515,-1.43031,8.67338,-1.91111,9.54028,2.51
RV,2285,1739352209044,0.74925,-2.88275,10.64986,-0.28228,7.59484,1.31985
RV,2286,1739352209056,-0.71037,-3.95952,8.59681,-0.33568,6.38561,0.53786
RV,2287,1739352209076,-0.71037,-3.95952,8.59681,-5.39764,2.34978,-3.56282
RV,2288,1739352209092,0.27787,-1.34895,11.97548,-0.12588,-0.73621,-1.47624
RV,2289,1739352209109,1.09621,0.26381,9.67119,2.41845,-8.08692,-3.16611
RV,2290,1739352209127,0.02423,-2.08355,9.69512,3.16992,-10.39093,-3.10126
RV,2291,1739352209141,0.76361,-1.50449,9.78844,2.03699,-14.29325,-3.69633
RV,2292,1739352209163,-0.12173,-1.5332,10.82692,1.6746,-16.85665,-4.48977
RV,2293,1739352209179,-0.12173,-1.5332,10.82692,2.19339,-14.43057,-2.57103
RV,2294,1739352209195,-0.48544,-1.72463,10.00379,16.82995,-9.8607,8.04496
RV,2295,1739352209212,0.19651,-1.81077,10.55175,14.3581,-8.06785,7.57577
RV,2296,1739352209228,0.54108,-2.2989,9.79323,16.3455,-7.59865,8.99479
RV,2297,1739352209247,1.41685,-2.55733,8.9677,11.20725,-4.41347,7.72835
RV,2298,1739352209256,1.41685,-2.55733,8.9677,8.91468,-4.5241,6.0423
RV,2299,1739352209275,0.22283,-2.17687,11.32702,1.72419,-3.19662,1.86915
RV,2300,1739352209293,-0.27727,-2.3324,9.58744,-10.03236,-0.93457,-4.0015
RV,2301,1739352209308,0.41665,-0.29611,10.85325,-13.77065,-0.43868,-6.03467
RV,2302,1739352209325,-0.06431,-2.03809,8.48674,-10.27268,-1.05283,-4.95515
RV,2303,1739352209343,-0.92572,-2.07398,9.91526,-11.02034,-1.73945,-5.96983
RV,2304,1739352209359,-0.49023,-1.90409,8.87199,-7.73598,-1.78141,-3.70015
RV,2305,1739352209385,0.24676,-2.37308,9.86979,-1.86915,-0.14495,1.56017
RV,2306,1739352209400,0.24676,-2.37308,9.86979,0.3662,-0.3128,3.04022
RV,2307,1739352209415,-0.17677,-1.98544,9.7693,8.68581,0.3128,8.78499
RV,2308,1739352209429,-0.35384,-1.95673,8.31446,5.44723,3.06693,8.95283
RV,2309,1739352209445,0.6679,-0.72203,11.61177,-1.86533,8.27765,8.21662
RV,2310,1739352209463,-0.91615,-1.63609,7.95554,1.61357,10.02092,10.63888
RV,2311,1739352209476,-0.91615,-1.63609,7.95554,2.49855,11.31787,11.35983
RV,2312,1739352209490,-0.3682,-1.84188,11.52084,2.16668,10.33752,9.18171
RV,2313,1739352209506,0.0984,-1.8993,9.15195,2.79228,9.23511,7.9763
RV,2314,1739352209522,0.23001,-1.56909,10.31486,4.3944,7.9763,6.42758
RV,2315,1739352209539,-0.31795,-1.94477,9.31705,6.46954,5.71043,5.81724
RV,2316,1739352209556,-0.31795,-1.94477,9.31705,7.52236,4.917,5.97745
RV,2317,1739352209574,-0.9329,-2.65304,10.04926,5.05433,3.70778,4.02439
RV,2318,1739352209594,-0.16241,-2.22712,9.66641,2.78846,1.73564,2.78465
RV,2319,1739352209614,-0.74865,-2.09551,10.52304,-3.04404,1.49913,1.24737
RV,2320,1739352209629,-0.69362,-1.71027,10.47757,-6.4085,2.08658,0.66755
RV,2321,1739352209643,-0.03081,-2.02373,10.03729,-5.39382,1.87296,2.77702
RV,2322,1739352209655,-0.03081,-2.02373,10.03729,-4.85597,2.20483,3.8184
RV,2323,1739352209676,-0.26291,-1.58584,10.28375,-1.42665,4.10449,7.34308
RV,2324,1739352209691,0.35683,-1.88016,9.97269,-1.11004,4.89793,8.35775
RV,2325,1739352209706,0.24197,-1.57627,10.78146,0.4196,3.18518,8.4226
RV,2326,1739352209719,-0.25095,-2.15055,9.58984,3.44838,1.23974,8.81551
RV,2327,1739352209736,-0.25095,-2.15055,9.58984,3.73448,0.57219,8.39209
RV,2328,1739352209752,-0.02124,-1.35613,10.4345,5.08484,-6.22922,5.56166
RV,2329,1739352209770,0.45972,-3.04546,9.90329,3.10507,-9.98658,2.50618
RV,2330,1739352209787,1.05314,-0.54018,9.89612,1.40377,-14.41913,-1.0452
RV,2331,1739352209804,-0.05234,-2.40897,9.86022,1.31222,-15.25834,-1.73945
RV,2332,1739352209823,-0.01406,-0.47557,9.78126,-1.86152,-11.82903,-1.92637
RV,2333,1739352209845,-0.14566,-1.59063,10.01336,-1.06427,-9.55172,-0.53404
RV,2334,1739352209858,-0.14566,-1.59063,10.01336,-0.51497,-8.84984,-0.07629
RV,2335,1739352209875,0.35922,-0.89671,10.01097,2.82661,-7.59865,2.02173
RV,2336,1739352209898,-0.12413,-2.33958,9.79083,12.9734,-7.1409,7.47659
RV,2337,1739352209907,0.96221,-2.54297,9.58266,15.29267,-6.67552,8.56374
RV,2338,1739352209927,0.74925,-2.31565,10.19522,4.26471,-4.45925,2.33834
