ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,251,1739355070513,0.93888,-1.17488,9.07777,2.48711,0.79343,1.66316
Abj,252,1739355070529,1.17847,-1.07916,9.71755,2.85331,6.7747,2.27349
Abj,253,1739355070544,1.17847,-1.07916,9.71755,-0.93076,0.97653,2.63969
Abj,254,1739355070556,1.02293,-1.43839,10.55354,0.10681,-1.34273,2.76176
Abj,255,1739355070576,0.64187,-1.79761,8.9677,1.99884,5.61507,0.74766
Abj,256,1739355070594,0.8001,-0.4992,9.70559,-3.98243,-2.13617,1.35799
Abj,257,1739355070611,1.07557,-3.07926,10.09113,0.83921,8.48364,0.62559
Abj,258,1739355070620,1.07557,-3.07926,10.09113,0.28991,-1.89203,1.96833
Abj,259,1739355070636,1.15454,-1.95823,9.8348,3.89088,4.88267,1.66316
Abj,260,1739355070656,0.90538,0.21685,10.65404,-1.72419,4.0282,-0.35094
Abj,261,1739355070677,0.6682,-0.25992,10.67079,-10.20783,-1.2817,1.41903
Abj,262,1739355070688,0.69452,-2.51396,9.41576,-5.69136,5.24887,0.99179
Abj,263,1739355070703,0.69452,-2.51396,9.41576,0.22888,9.64327,-0.04578
Abj,264,1739355070719,1.12822,-2.94287,10.1342,-0.01526,-1.03757,0.86973
Abj,265,1739355070739,0.94846,-3.27099,10.56312,5.59981,3.4789,-1.44954
Abj,266,1739355070755,0.6012,0.14985,10.47458,-3.92139,-6.89677,-0.16784
Abj,267,1739355070772,1.0325,-0.79651,9.65534,-1.41903,1.70893,-0.65611
Abj,268,1739355070793,0.62752,-0.97119,8.55314,-2.39556,0.97653,-0.65611
Abj,269,1739355070814,1.07318,-2.05394,10.12463,0.59508,1.52583,-2.05988
Abj,270,1739355070829,0.42861,-1.08156,9.2001,-3.61623,-2.9296,-0.22888
Abj,271,1739355070845,0.42861,-1.08156,9.2001,4.25708,5.3099,-1.93781
Abj,272,1739355070855,1.24068,-3.23988,8.58216,2.67021,-1.0986,-1.57161
Abj,273,1739355070878,1.49222,0.20967,10.17727,-4.65379,-6.4085,-1.26644
Abj,274,1739355070896,0.41665,0.00598,8.97727,-5.81343,-0.3662,-1.32748
Abj,275,1739355070905,0.41665,0.00598,8.97727,-2.70073,7.26297,-1.51058
Abj,276,1739355070919,0.82403,-2.10658,8.42632,-2.45659,-1.70893,-1.57161
Abj,277,1739355070938,1.13779,-4.18355,9.79891,5.96601,0.1831,-1.44954
Abj,278,1739355070955,1.08036,-2.89232,9.49233,6.63738,2.31927,-1.81574
Abj,279,1739355070978,1.24546,0.36072,10.97259,-0.56456,-2.07513,-2.12091
Abj,280,1739355070993,0.87188,0.50189,10.17727,-3.25003,-4.08923,-0.77818
