ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,1001,1739354770233,0.17856,3.45075,15.79173,22.15129,11.55438,-17.36399
Ak,1002,1739354770249,-2.25015,-1.01426,5.9692,35.11707,6.63356,-24.12343
Ak,1003,1739354770267,-0.99153,-4.94806,8.97697,18.92797,6.72511,-16.5553
Ak,1004,1739354770279,0.66431,2.18255,12.03979,16.91006,7.38504,-16.46375
Ak,1005,1739354770298,0.66431,2.18255,12.03979,12.54617,6.25973,-15.14772
Ak,1006,1739354770315,-0.98674,-6.19233,9.14208,-19.34376,5.51207,3.99768
Ak,1007,1739354770333,0.53031,1.7997,10.97737,-15.31556,5.01999,2.12854
Ak,1008,1739354770349,-1.02742,0.07208,9.27608,6.70604,-2.46804,-7.94197
Ak,1009,1739354770371,1.22184,-2.95484,9.80728,-21.87283,4.24563,7.86567
Ak,1010,1739354770388,0.19771,-1.45693,9.13729,-16.53241,-5.76765,9.41058
Ak,1011,1739354770396,0.19771,-1.45693,9.13729,-13.38538,-5.31372,9.20841
Ak,1012,1739354770411,1.50419,-1.97139,11.65693,-10.31845,-4.83689,8.75447
Ak,1013,1739354770431,0.64995,-2.88545,8.08924,-9.95607,-4.25708,9.834
Ak,1014,1739354770449,0.5327,-1.36122,8.99851,-9.00623,-4.24945,9.18552
Ak,1015,1739354770465,1.9995,3.0679,9.87189,-13.68673,-5.19165,11.71078
Ak,1016,1739354770483,-0.3335,-3.05055,7.32832,-10.41763,-9.34573,9.94462
Ak,1017,1739354770500,1.18834,-6.86471,9.69003,-7.93434,-11.15766,7.54525
Ak,1018,1739354770521,-1.25474,-3.57936,9.85993,-37.83305,-20.09905,26.2329
Ak,1019,1739354770533,-1.25474,-3.57936,9.85993,-20.0876,-21.61344,14.16737
Ak,1020,1739354770548,0.3652,-0.09781,11.47508,-30.7837,-20.03039,20.05709
Ak,1021,1739354770569,0.73131,-3.28983,6.71815,-23.2766,-15.63217,14.35428
Ak,1022,1739354770582,0.05414,1.96481,13.04477,-20.80475,-13.95375,12.49277
Ak,1023,1739354770596,-1.15902,-3.43579,4.22722,-7.91526,-5.90879,3.46746
Ak,1024,1739354770617,-1.15902,-3.43579,4.22722,-13.87364,-1.7013,7.77412
Ak,1025,1739354770631,0.58534,0.22762,14.51396,-4.51647,-0.84302,2.71598
Ak,1026,1739354770650,-0.21864,-6.38614,6.94068,37.53933,8.60189,-22.53275
Ak,1027,1739354770665,-1.53709,1.02682,11.14248,19.8511,6.03086,-10.98219
Ak,1028,1739354770683,0.13789,-0.63619,8.35245,18.10402,9.29996,-10.47104
Ak,1029,1739354770705,-0.82642,0.50758,8.97219,15.82671,15.67031,-10.59692
Ak,1030,1739354770720,-0.0009,-0.82283,11.56361,13.1832,24.6117,-11.37128
Ak,1031,1739354770727,-0.0009,-0.82283,11.56361,12.02739,26.45796,-12.3974
Ak,1032,1739354770745,-1.22602,-2.20588,8.13231,33.93454,17.20759,-28.31185
Ak,1033,1739354770766,0.42742,-3.66551,11.20948,-13.43115,22.94091,-3.91758
Ak,1034,1739354770782,0.18574,1.10818,9.66132,-7.61391,20.18297,-7.74361
Ak,1035,1739354770800,0.10199,-1.3349,9.79293,21.59436,6.16818,-21.3693
Ak,1036,1739354770815,0.10199,-1.3349,9.79293,17.93618,5.33279,-17.39832
Ak,1037,1739354770837,-0.00808,-2.17478,10.00589,9.82256,2.86857,-10.6961
Ak,1038,1739354770849,-1.00828,-2.1987,9.85753,-19.41624,-2.77702,8.72396
Ak,1039,1739354770868,-0.66849,-2.97877,11.78615,-23.05916,-0.37764,13.16413
Ak,1040,1739354770882,0.03021,-2.93569,10.29542,-23.44062,-0.62559,14.95699
Ak,1041,1739354770897,-0.48664,-3.09123,10.06571,-8.22043,-2.39174,7.32019
Ak,1042,1739354770918,-0.48664,-3.09123,10.06571,-15.16297,-3.73066,11.3255
Ak,1043,1739354770932,0.98016,0.59372,9.45554,-29.78428,-9.95607,21.53333
Ak,1044,1739354770948,-0.45314,-0.20788,7.65374,-24.34468,-11.01271,18.23753
Ak,1045,1739354770966,0.38913,0.56501,13.27927,3.42931,-17.23048,1.59068
Ak,1046,1739354770981,0.0996,-2.65095,6.8689,15.09813,-19.50397,-5.25268
Ak,1047,1739354770999,0.4657,-1.10997,10.76202,15.60928,-19.79388,-5.40145
Ak,1048,1739354771014,0.4657,-1.10997,10.76202,9.20459,-16.61633,-2.00266
Ak,1049,1739354771030,-0.77617,-2.51216,4.969,21.07558,-12.42792,-10.80672
Ak,1050,1739354771044,-0.40768,-1.46411,12.86052,19.96172,-11.9778,-11.49716
Ak,1051,1739354771064,-1.13031,-2.7347,8.46491,13.19846,-9.834,-8.53704
Ak,1052,1739354771083,-0.3,2.08205,10.25953,9.03294,-8.90705,-6.61449
Ak,1053,1739354771099,0.01107,1.50538,9.02244,1.89966,-5.70662,-3.89469
Ak,1054,1739354771113,0.01107,1.50538,9.02244,7.56051,-0.77055,-8.24713
Ak,1055,1739354771132,0.75523,-1.88285,10.68784,52.95025,16.76129,-38.19544
Ak,1056,1739354771147,-0.21386,-7.21406,8.98894,23.24989,7.90382,-16.9749
Ak,1057,1739354771168,-1.52273,-3.64876,11.14009,-12.98866,7.18286,7.83516
Ak,1058,1739354771181,-0.30718,0.33529,10.9367,-13.53415,7.98011,8.85365
Ak,1059,1739354771197,-0.30718,0.33529,10.9367,-10.58547,9.90648,6.37417
Ak,1060,1739354771220,-1.91755,-3.06012,11.15205,-19.32087,11.56201,10.97837
Ak,1061,1739354771232,-0.32871,-3.78515,9.41247,-45.34779,10.06669,28.23937
Ak,1062,1739354771249,-0.49382,0.49083,10.72373,-63.60057,3.086,39.37415
Ak,1063,1739354771266,-0.45314,-0.18873,10.47727,-26.12609,11.93202,7.99918
Ak,1064,1739354771280,-0.21625,-2.52891,10.16381,17.69205,18.2833,-23.05535
Ak,1065,1739354771296,-0.21625,-2.52891,10.16381,30.7837,11.74511,-30.6807
Ak,1066,1739354771313,-0.38853,-5.27109,8.57976,-25.93155,2.23153,8.19373
Ak,1067,1739354771332,0.62602,-1.32532,8.42662,-35.05603,3.10507,15.01039
Ak,1068,1739354771351,-0.6661,-2.76102,7.00529,-26.92715,-3.56664,12.6072
Ak,1069,1739354771361,1.58554,2.58694,14.94467,-21.75458,-6.31695,11.19581
Ak,1070,1739354771379,-0.33111,-0.02602,7.38575,11.40561,-21.66684,-3.60097
Ak,1071,1739354771399,-0.33111,-0.02602,7.38575,10.07432,-20.89248,-1.01086
Ak,1072,1739354771416,1.37258,-5.18734,9.3335,-3.20425,-16.87572,7.36215
Ak,1073,1739354771432,0.14267,0.52433,8.6348,-5.8325,-16.78036,8.76973
Ak,1074,1739354771447,0.92513,-0.31795,11.14487,38.15729,-15.33844,-21.14806
Ak,1075,1739354771463,-0.47228,-1.13151,9.35983,40.54141,-14.44202,-22.9638
Ak,1076,1739354771485,-1.64477,-4.72792,7.34746,22.84936,-8.36157,-17.50131
Ak,1077,1739354771501,0.92752,2.7688,12.04696,-28.12875,5.16876,11.64211
Ak,1078,1739354771513,0.92752,2.7688,12.04696,-38.47772,-1.33892,18.99663
Ak,1079,1739354771533,1.07827,-0.98794,10.3337,14.30851,-8.86128,-16.66592
Ak,1080,1739354771550,-0.22343,-1.64118,10.38635,45.95049,1.42284,-37.72243
Ak,1081,1739354771566,0.4011,-0.77019,9.98196,-0.47301,10.32608,-8.21662
Ak,1082,1739354771584,0.91077,-1.14108,11.47987,-2.47948,10.74187,-5.18402
Ak,1083,1739354771596,0.91077,-1.14108,11.47987,8.19373,7.20194,-4.82926
Ak,1084,1739354771616,-1.36481,-4.55803,8.48644,8.54848,7.26297,0.98798
