ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,751,1739358359785,-1.10595,-6.50205,9.204,-3.66335,-4.78993,-3.00158
HS,752,1739358359801,-0.081,0.924,9.45,5.92438,-10.95066,-1.52837
HS,753,1739358359818,-0.081,0.924,9.45,-0.7957,-16.96958,-2.37133
HS,754,1739358359834,0.13995,-0.597,13.224,-1.70168,4.86871,-1.31565
HS,755,1739358359851,-2.31795,-5.24895,10.08705,-2.68646,-1.35505,-0.89811
HS,756,1739358359867,-0.74205,-0.16605,11.58405,-0.44118,7.53153,-0.7563
HS,757,1739358359884,-0.31605,-1.062,8.54505,-0.09454,-4.78993,-2.08771
HS,758,1739358359900,-2.30805,-0.255,9.225,-2.61555,-1.63866,-2.08771
HS,759,1739358359917,-0.24705,-0.76005,11.35605,-5.4123,-7.58668,-1.18173
HS,760,1739358359934,-0.24705,-0.76005,11.35605,-11.15549,7.38972,-1.24475
HS,761,1739358359950,-0.711,-3.43005,8.99505,-1.55988,-6.12134,-2.30043
HS,762,1739358359967,-0.94995,-2.91705,7.48905,6.2789,-6.25527,-0.62238
HS,763,1739358359983,1.005,-1.94805,10.248,2.00893,-1.9853,-1.59927
HS,764,1739358360001,-1.872,-0.729,9.78105,-2.40284,1.72532,-1.52837
HS,765,1739358360017,1.27995,-1.92105,8.30595,5.36503,-1.49685,-1.38656
HS,766,1739358360034,0.231,-0.798,10.81005,7.18489,-4.99476,-0.40966
HS,767,1739358360050,-1.22295,0.264,8.121,10.61977,1.58351,-0.26786
HS,768,1739358360068,-1.22295,0.264,8.121,4.59297,-4.37238,-2.08771
HS,769,1739358360083,-2.559,-3.38895,11.52105,6.13709,2.63131,-0.26786
HS,770,1739358360099,0.41295,-1.87095,8.86395,6.90915,-1.22112,-0.26786
HS,771,1739358360116,-2.052,-0.59295,9.462,10.61977,-1.9853,0.85084
HS,772,1739358360133,0.954,-0.61905,10.22595,13.76316,-9.05989,0.00788
HS,773,1739358360148,-0.48405,0.3,9.79005,10.26525,-0.10242,0.29149
HS,774,1739358360165,-0.48405,0.3,9.79005,7.25579,-12.69961,-1.24475
HS,775,1739358360183,1.75395,1.37505,9.49305,-1.42595,4.93961,-1.875
HS,776,1739358360199,-1.99905,-3.01995,9.77805,-3.45064,5.64077,0.22059
HS,777,1739358360215,-1.93695,-1.64595,8.715,2.21377,-7.38184,-0.33876
HS,778,1739358360231,-0.91695,1.34295,11.529,0.11817,-1.56776,-0.19695
HS,779,1739358360248,0.26205,-2.84805,12.20595,-7.16126,3.75001,-1.18173
HS,780,1739358360265,-0.603,-2.142,9.237,-4.08089,-3.24581,0.3624
HS,781,1739358360281,-0.855,0.15795,9.53595,2.00893,-7.02733,-0.26786
HS,782,1739358360298,-0.855,0.15795,9.53595,-5.55411,-3.24581,0.57511
HS,783,1739358360315,-0.723,-2.604,10.66695,-8.00422,-6.05043,0.3624
