ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Gar,3501,1742632736813,1.35553,-5.55554,0.64128,26.61672,-21.20938,-18.75945
Gar,3502,1742632736822,1.35553,-5.55554,0.64128,40.96629,35.27896,-12.59963
Gar,3503,1742632736831,-2.97906,-1.34178,14.00818,-9.99221,-19.24943,-7.97977
Gar,3504,1742632736838,-2.97906,-1.34178,14.00818,-22.59184,-40.10882,-9.30973
Gar,3505,1742632736846,0.6,4.1001,24.02932,40.26632,25.05926,-6.22982
Gar,3506,1742632736855,0.6,4.1001,24.02932,18.28696,-10.70968,-6.99979
Gar,3507,1742632736864,0.6,4.1001,24.02932,11.91715,2.02994,-7.97977
Gar,3508,1742632736870,2.08893,-2.69312,11.59323,11.56716,7.55978,-4.47987
Gar,3509,1742632736880,2.08893,-2.69312,11.59323,8.55725,5.87983,-1.46996
Gar,3510,1742632736889,1.27657,-1.77667,3.2686,5.47734,1.53995,-0.34999
Gar,3511,1742632736896,1.27657,-1.77667,3.2686,-9.85221,-9.58972,-2.37993
Gar,3512,1742632736904,1.27657,-1.77667,3.2686,-17.062,-10.63969,-3.14991
Gar,3513,1742632736913,-0.70768,-4.11565,6.15195,-10.2722,-0.27999,-3.2899
Gar,3514,1742632736923,-0.70768,-4.11565,6.15195,0.57748,16.51951,-7.62978
Gar,3515,1742632736930,-3.24945,-3.17049,20.2044,5.68733,2.44993,-7.34978
Gar,3516,1742632736938,-3.24945,-3.17049,20.2044,-0.0525,-3.4999,-7.62978
Gar,3517,1742632736947,3.12921,1.81974,12.18964,-7.54228,-1.81995,-11.96965
Gar,3518,1742632736955,3.12921,1.81974,12.18964,-12.16214,4.54987,-7.69977
Gar,3519,1742632736963,3.12921,1.81974,12.18964,-1.73245,-15.04956,-3.63989
Gar,3520,1742632736971,-0.16869,-2.93898,0.96491,-10.1322,4.61986,-7.76977
Gar,3521,1742632736981,-0.16869,-2.93898,0.96491,-19.30193,-6.9298,-5.52984
Gar,3522,1742632736988,-1.77428,0.38644,13.43032,-1.38246,-8.60975,0.83998
Gar,3523,1742632736997,-1.77428,0.38644,13.43032,-6.8423,-5.87983,-2.23993
Gar,3524,1742632737005,1.00678,-6.02214,11.99582,-9.99221,-4.26987,-6.50981
Gar,3525,1742632737015,1.00678,-6.02214,11.99582,-3.90238,0.48999,-6.15982
Gar,3526,1742632737022,-0.98046,-0.98704,11.31446,-8.03226,-11.12967,-1.32996
Gar,3527,1742632737030,-0.98046,-0.98704,11.31446,-11.18217,-5.24985,-2.79992
Gar,3528,1742632737039,-0.98046,-0.98704,11.31446,-23.9218,-4.33987,-0.48999
Gar,3529,1742632737047,-0.49831,-1.71027,15.37867,-15.59204,5.10985,-2.09994
Gar,3530,1742632737055,-0.49831,-1.71027,15.37867,-14.96206,2.16994,-0.07
Gar,3531,1742632737063,1.47518,-4.91306,5.82114,-18.95194,-12.80962,-0.97997
Gar,3532,1742632737072,1.47518,-4.91306,5.82114,0.50749,-18.82944,-2.86992
Gar,3533,1742632737081,1.04387,-8.42513,-4.01695,34.45649,-35.69895,-6.29981
Gar,3534,1742632737089,1.04387,-8.42513,-4.01695,45.09617,0.27999,-4.19988
Gar,3535,1742632737098,1.04387,-8.42513,-4.01695,14.01709,85.25748,2.37993
Gar,3536,1742632737106,-1.67139,6.39302,19.23411,-51.081,-86.51746,5.03985
Gar,3537,1742632737115,-1.67139,6.39302,19.23411,-1.94244,-2.51993,7.48978
Gar,3538,1742632737124,1.41296,-2.2672,15.05803,7.08729,18.54945,3.77989
Gar,3539,1742632737131,1.41296,-2.2672,15.05803,-22.80183,1.67995,-0.76998
Gar,3540,1742632737140,1.41296,-2.2672,15.05803,-7.19229,12.10964,-1.95994
Gar,3541,1742632737147,-3.37388,-1.57089,11.42094,9.95721,-2.23993,0.69998
Gar,3542,1742632737156,-3.37388,-1.57089,11.42094,-16.08203,-7.55978,-4.40987
Gar,3543,1742632737164,0.58804,-1.51286,-2.14098,-20.5619,-28.20917,-5.38984
Gar,3544,1742632737174,0.58804,-1.51286,-2.14098,5.68733,-5.59984,-3.00991
Gar,3545,1742632737181,0.79322,-5.12842,5.95992,9.81721,2.58992,-2.23993
Gar,3546,1742632737191,0.79322,-5.12842,5.95992,3.79739,-2.09994,-2.86992
Gar,3547,1742632737198,0.79322,-5.12842,5.95992,-5.09235,5.59984,-3.56989
Gar,3548,1742632737207,0.36191,-0.25723,13.08336,-3.76239,-4.19988,1.32996
Gar,3549,1742632737214,0.36191,-0.25723,13.08336,-0.54248,5.31984,0.34999
Gar,3550,1742632737223,-0.29073,-1.59841,13.6008,7.15729,9.72971,-1.60995
Gar,3551,1742632737232,-0.29073,-1.59841,13.6008,3.79739,3.77989,-3.3599
Gar,3552,1742632737240,-1.55593,-2.93001,10.1683,-2.01244,1.32996,-1.74995
Gar,3553,1742632737248,-1.55593,-2.93001,10.1683,5.40734,1.81995,-1.67995
Gar,3554,1742632737258,1.72582,-3.62931,4.58644,-1.87244,-6.57981,-0.41999
Gar,3555,1742632737265,1.72582,-3.62931,4.58644,-2.15244,-5.80983,-3.4999
Gar,3556,1742632737275,1.72582,-3.62931,4.58644,-1.03247,5.45984,-2.16994
Gar,3557,1742632737282,-1.49372,2.6997,11.8349,0.0175,-10.84968,0.48999
Gar,3558,1742632737289,-1.49372,2.6997,11.8349,-0.0525,-3.91988,-0.76998
Gar,3559,1742632737299,1.01934,-7.669,8.84686,-6.63231,1.88994,-4.12988
Gar,3560,1742632737307,1.01934,-7.669,8.84686,-8.03226,9.44972,-2.44993
Gar,3561,1742632737315,1.01934,-7.669,8.84686,-4.60236,7.34978,-1.81995
Gar,3562,1742632737324,-0.35474,3.7675,14.97787,-6.7723,0.97997,-1.04997
Gar,3563,1742632737334,-0.35474,3.7675,14.97787,4.70736,3.3599,-1.39996
Gar,3564,1742632737344,0.14955,-7.04028,-1.68395,15.06706,11.82965,-15.04956
Gar,3565,1742632737349,0.14955,-7.04028,-1.68395,20.2469,10.98968,-16.37952
Gar,3566,1742632737357,-3.28714,1.934,8.82114,9.25723,-14.62957,-15.88953
Gar,3567,1742632737365,-3.28714,1.934,8.82114,-30.4316,-26.52922,-0.62998
