ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
RV,751,1739352590344,-1.6005,0.51506,7.46979,5.81724,-1.90348,14.05293
RV,752,1739352590360,-0.27009,-2.80618,11.55913,5.80961,14.42676,32.59563
RV,753,1739352590378,-4.02204,-0.52104,9.99422,4.2113,13.41971,29.29219
RV,754,1739352590400,-2.49781,-0.61436,11.10688,-4.82164,14.31232,23.13927
RV,755,1739352590414,-1.768,-5.71346,9.4678,-6.98832,10.9059,16.006
RV,756,1739352590428,-1.768,-5.71346,9.4678,-14.5679,10.31464,10.61599
RV,757,1739352590448,0.39511,-3.05743,9.61376,-16.2158,8.05259,5.9889
RV,758,1739352590460,-2.85673,-1.59781,9.94158,-16.23487,6.89677,3.77644
RV,759,1739352590475,0.52433,-1.61456,10.67618,-27.45357,9.67379,0.56456
RV,760,1739352590499,-2.25135,1.46501,10.50389,-23.71909,7.85804,1.53728
RV,761,1739352590513,-1.59332,-6.34517,8.8672,-15.86867,5.24124,3.95572
RV,762,1739352590528,-1.59332,-6.34517,8.8672,-15.55206,4.72246,3.78788
RV,763,1739352590545,-1.51675,-0.64546,8.65185,-6.95017,5.00855,8.33868
RV,764,1739352590562,-1.93549,-3.20339,11.54956,3.74974,2.22772,9.90266
RV,765,1739352590576,-2.46909,0.0341,9.2668,11.665,1.78523,10.92879
RV,766,1739352590592,-1.8326,-2.05723,10.07079,14.05293,-1.37325,3.63148
RV,767,1739352590610,-1.8326,-2.05723,10.07079,10.94404,-1.34655,-0.7324
RV,768,1739352590631,-1.38275,-3.47139,9.29073,6.80522,-1.52202,-7.03791
RV,769,1739352590644,-1.38275,-3.47139,9.29073,6.18344,-1.65553,-7.15616
RV,770,1739352590657,-1.68186,-1.00199,10.46082,12.95051,-8.58282,-11.46283
RV,771,1739352590675,-3.92632,-3.11246,8.75953,11.47046,-11.71078,-14.48779
RV,772,1739352590694,1.21346,-4.21077,10.81735,7.43463,-5.97364,-5.73714
RV,773,1739352590710,-2.8687,-2.7655,11.35813,1.27789,-9.61657,-6.46954
RV,774,1739352590742,-4.91695,-0.4995,12.98764,-35.66637,-6.83955,-18.87075
RV,775,1739352590752,-3.79472,0.85962,10.58286,-31.9357,-3.39117,-13.81261
