ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,2601,1739356141517,-1.82295,-2.47995,9.46905,2.07984,-1.20536,1.20536
HS,2602,1739356141534,1.86495,-1.25205,9.31605,2.77312,-0.29149,0.4333
HS,2603,1739356141550,-1.45695,-0.93795,9.45495,0.67752,1.67017,0.22847
HS,2604,1739356141567,0.97005,-1.23495,9.42195,0.60662,1.31565,0.78782
HS,2605,1739356141584,-1.78995,-0.85395,9.35205,-0.51208,-3.8603,-0.40179
HS,2606,1739356141603,0.60105,-2.025,9.53205,-2.12711,-3.44276,0.71691
HS,2607,1739356141622,-0.87,-2.24505,9.78795,-1.84349,-1.96954,1.06355
HS,2608,1739356141640,0.13395,-2.856,10.51605,0.88235,1.31565,0.5042
HS,2609,1739356141655,0.13395,-2.856,10.51605,2.84402,1.38656,0.85084
HS,2610,1739356141666,-0.15,-1.01505,10.02,3.12763,3.00158,1.6229
HS,2611,1739356141683,0.86895,0.138,10.73595,0.18908,3.69486,1.13446
HS,2612,1739356141699,0.012,-2.06295,8.76495,-0.09454,-2.88341,0.22847
HS,2613,1739356141716,-1.017,-1.02705,10.305,2.56828,-2.95431,1.20536
HS,2614,1739356141733,0.66105,-0.303,9.55305,1.23687,-3.02522,1.4811
HS,2615,1739356141750,0.66105,-0.303,9.55305,-0.16544,-4.70327,1.6229
HS,2616,1739356141767,-1.548,-1.48905,9.05505,-3.94696,-7.85453,1.69381
HS,2617,1739356141784,0.11505,-1.89105,10.38405,-2.75736,-3.30095,2.6707
HS,2618,1739356141800,-1.17195,-2.85105,8.25105,-0.02363,-9.80832,2.18225
HS,2619,1739356141818,0.76095,-1.26105,10.33095,0.67752,-0.07878,3.09612
HS,2620,1739356141833,-1.72305,-1.40205,9.546,1.44958,-2.18225,3.86818
HS,2621,1739356141850,1.45605,-0.552,9.33495,1.44958,-6.79886,3.30095
HS,2622,1739356141866,-0.495,-0.82995,9.06705,-0.30725,-2.52889,2.81251
HS,2623,1739356141883,-0.495,-0.82995,9.06705,-0.30725,-7.01157,2.39496
HS,2624,1739356141899,0.41895,-1.93605,8.38695,0.81933,-6.16861,3.23793
HS,2625,1739356141916,-0.83505,-0.99795,11.42295,-3.66335,5.79833,2.46587
HS,2626,1739356141931,0.87405,-1.85505,9.52005,-1.9853,4.60873,2.11135
HS,2627,1739356141951,-2.14395,-2.26005,10.22805,-1.84349,-2.39496,3.65547
HS,2628,1739356141965,1.293,-1.88805,9.642,-0.37027,-4.979,2.39496
HS,2629,1739356141982,-2.32905,-1.54395,10.758,-2.26103,1.45746,2.81251
HS,2630,1739356141999,-2.32905,-1.54395,10.758,-1.49685,-2.11135,3.02522
HS,2631,1739356142015,1.16595,-0.447,10.25205,-0.30725,-6.38132,3.86818
