ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
RV,3401,1739352445839,-1.232,-0.9996,9.29791,-1.34655,-1.08334,-1.99503
RV,3402,1739352445858,-0.69601,-0.10708,10.00619,-1.50676,-0.09918,-5.32135
RV,3403,1739352445876,-0.14327,0.20638,9.49891,0.61415,0.1297,-6.37417
RV,3404,1739352445894,0.11515,-1.51884,10.20479,8.38827,0.49971,-8.62096
RV,3405,1739352445909,-1.87089,-2.05723,10.83889,7.10657,-1.62883,-8.68581
RV,3406,1739352445927,0.32812,-0.69811,9.82194,5.3366,-2.92579,-8.14032
RV,3407,1739352445948,-0.16241,-1.25803,9.86501,1.91874,-6.31314,-6.41613
RV,3408,1739352445964,-0.16241,-1.25803,9.86501,0.65611,-11.38272,-3.99006
RV,3409,1739352445977,-0.92094,1.77129,9.7693,2.28875,-9.07108,-4.74534
RV,3410,1739352445997,0.1319,-3.36371,9.64966,4.57369,-7.31637,-4.54317
RV,3411,1739352446012,-0.41605,-0.98285,10.27418,-1.75089,-7.86949,-2.33453
RV,3412,1739352446022,-1.53829,-0.44925,10.1019,-3.25003,-7.14853,-1.72801
RV,3413,1739352446041,-1.53829,-0.44925,10.1019,-2.89146,-5.1535,-1.23593
RV,3414,1739352446058,-0.27488,-1.4016,9.97029,-1.34655,-4.11212,-1.44954
RV,3415,1739352446074,-0.18873,-1.27956,10.31486,0.19454,-0.0267,-1.5945
RV,3416,1739352446094,0.11994,-1.3657,10.04926,5.91261,3.5819,-1.32366
RV,3417,1739352446109,-1.8996,-0.78664,11.02074,1.98358,2.46422,0.09536
RV,3418,1739352446126,-0.74387,-1.81077,10.11386,-0.27846,7.78938,-2.48329
RV,3419,1739352446150,0.92632,-1.68873,9.2022,1.96451,8.84984,-4.14264
RV,3420,1739352446167,-0.32752,-0.60957,11.38924,-7.1676,3.09744,-1.28933
RV,3421,1739352446182,-0.32752,-0.60957,11.38924,-13.36249,1.82337,-4.05872
RV,3422,1739352446194,-1.00469,-0.60718,9.83151,-11.72603,1.20541,-5.73332
RV,3423,1739352446210,1.16082,-1.12881,9.10409,-9.79204,1.23211,-6.9845
RV,3424,1739352446223,-0.35623,-1.72223,8.87438,-10.13535,-0.83539,-6.37799
RV,3425,1739352446244,-0.35623,-1.72223,8.87438,-5.2298,-4.83308,-5.3099
RV,3426,1739352446260,-0.00209,-2.15773,9.45105,-6.12241,-5.30609,-4.78349
RV,3427,1739352446275,-0.88265,-0.54257,10.52064,-3.38354,-5.37094,-4.78349
RV,3428,1739352446291,-0.34427,-1.13839,9.20938,4.40585,-1.9607,-5.93931
RV,3429,1739352446312,-0.97837,0.27817,9.89612,3.02497,-0.78962,-5.13062
RV,3430,1739352446336,-0.25813,-1.10967,9.68316,3.70778,2.21246,-5.44341
RV,3431,1739352446352,-0.34905,-0.85364,9.74058,3.40642,7.26297,-5.75621
RV,3432,1739352446374,-0.3682,-1.63609,9.58266,3.15085,7.25534,-4.57369
RV,3433,1739352446392,0.61286,-0.17408,9.20459,3.31487,8.82695,-3.50942
RV,3434,1739352446399,0.61286,-0.17408,9.20459,2.89527,6.11859,-1.99503
RV,3435,1739352446405,-1.50718,-1.84427,9.58266,2.89527,6.11859,-1.99503
RV,3436,1739352446423,0.52193,0.1681,10.52064,3.06693,4.69194,-0.94983
RV,3437,1739352446442,0.52193,0.1681,10.52064,3.38354,3.85654,-0.67518
RV,3438,1739352446460,-0.46391,-3.82074,9.85065,2.09802,0.576,0.2098
RV,3439,1739352446476,0.02662,0.21835,10.60439,1.73564,0.77055,-0.48064
RV,3440,1739352446492,-0.70798,-1.47099,9.8028,2.12472,0.17547,-1.21685
RV,3441,1739352446516,-0.9018,-2.83968,10.56611,2.02554,0.25176,-1.50295
RV,3442,1739352446527,-0.9329,-0.77468,10.6355,-0.10681,-0.21362,-1.68605
RV,3443,1739352446541,-0.9329,-0.77468,10.6355,-2.79228,-0.40816,-2.02554
RV,3444,1739352446555,0.68943,-1.57388,10.334,-0.69044,-0.96128,-2.23916
RV,3445,1739352446575,0.48365,-0.35833,9.3003,-3.84892,-1.10242,-2.02554
RV,3446,1739352446592,0.29222,-2.84686,10.19522,-1.53728,-2.67021,-0.82776
RV,3447,1739352446610,-0.91137,0.88355,9.04666,-1.84244,-5.34423,0.94983
