ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,201,1739354367579,2.976,0.49005,8.64105,3.68698,-16.33145,9.59561
HS,202,1739354367596,2.976,0.49005,8.64105,-15.07094,24.19386,7.77575
HS,203,1739354367611,-4.692,-0.009,13.731,5.0893,-1.07143,8.89445
HS,204,1739354367627,-0.957,-1.63905,7.72605,-2.89129,5.99529,8.1933
HS,205,1739354367646,-0.22605,-2.28405,9.78495,1.65442,-5.97165,7.84666
HS,206,1739354367662,-0.186,0.996,11.23395,0.95326,3.40337,9.10716
HS,207,1739354367679,-1.527,-2.106,8.799,-2.89129,2.07984,7.98846
HS,208,1739354367695,-1.16295,-0.82095,8.964,2.07196,1.79622,9.17807
HS,209,1739354367712,-1.16295,-0.82095,8.964,1.09507,-1.55988,9.312
HS,210,1739354367728,0.891,-2.013,10.509,1.37868,5.29413,8.89445
HS,211,1739354367746,-0.87495,0.39195,10.75005,1.23687,1.02416,9.17807
HS,212,1739354367762,-2.29305,-0.50895,8.34405,1.16597,-3.30883,10.15496
HS,213,1739354367778,-1.335,0.66495,9.79005,-1.42595,-5.82985,7.98846
HS,214,1739354367795,1.14195,-1.15305,10.413,-1.9853,-2.61555,8.54781
HS,215,1739354367811,0.084,-2.23605,13.23105,-5.55411,-2.74948,9.10716
HS,216,1739354367824,0.084,-2.23605,13.23105,-1.21324,11.10822,10.78521
HS,217,1739354367844,0.01005,-2.25705,9.12195,3.05673,-1.07143,12.18753
HS,218,1739354367861,-2.10405,-2.796,9.22005,8.65811,2.15074,10.85612
HS,219,1739354367877,-2.30205,0.97905,6.69,8.23269,-14.09405,13.02261
HS,220,1739354367895,-2.247,-0.64095,11.16495,-2.26103,-0.44118,10.43857
HS,221,1739354367911,-2.25,-0.054,10.53195,-1.77259,11.17912,11.90391
HS,222,1739354367927,-1.062,-2.559,10.67895,-5.2705,12.64446,11.76211
HS,223,1739354367944,0.67995,-3.75105,8.715,-0.02363,10.19435,12.04572
HS,224,1739354367961,-1.25805,1.51305,10.31205,0.53572,-1.55988,11.48637
HS,225,1739354367977,-1.25805,1.51305,10.31205,-1.84349,5.50684,10.08406
HS,226,1739354367994,-2.88195,-0.83295,10.44405,0.95326,2.28467,10.99792
HS,227,1739354368011,0.62505,-0.102,8.70795,-3.104,-0.65389,10.29677
HS,228,1739354368027,-1.395,1.09095,8.81595,-3.66335,-2.19013,9.10716
HS,229,1739354368044,-2.35695,-1.07895,10.09395,-10.03679,-4.71115,9.17807
HS,230,1739354368060,-1.749,-4.8,9.16305,1.09507,0.33088,9.10716
HS,231,1739354368077,-0.492,-3.07395,8.00205,3.40337,-4.1518,8.12239
HS,232,1739354368094,-0.492,-3.07395,8.00205,-1.77259,21.95646,11.55727
HS,233,1739354368110,-2.13195,2.202,11.46105,0.323,12.78627,8.89445
HS,234,1739354368127,-2.439,1.137,9.35895,-2.89129,6.69644,7.70485
HS,235,1739354368143,-1.61295,-3.23595,9.60795,-7.86241,12.01421,7.77575
HS,236,1739354368160,0.903,-1.07205,10.84605,-6.18436,8.37449,4.13604
HS,237,1739354368176,0.43095,-3.37095,8.847,-3.59245,12.22692,7.84666
HS,238,1739354368193,3.00495,-1.407,9.76605,0.18908,-11.01368,5.9559
HS,239,1739354368209,3.00495,-1.407,9.76605,2.14286,9.91862,5.25474
HS,240,1739354368226,-1.752,1.76895,10.56105,-0.23635,7.3267,3.8603
HS,241,1739354368242,-0.21405,-1.33095,9.62505,-2.54465,5.57774,2.17437
HS,242,1739354368259,0.61305,-0.06405,10.69305,-7.30306,6.90915,0.49632
HS,243,1739354368275,-2.75505,-1.92705,8.98305,-6.39707,0.67752,1.05567
HS,244,1739354368294,0.83295,-2.68305,8.24805,-1.70168,-8.49267,-0.13393
HS,245,1739354368309,-0.81495,-0.98295,10.75995,4.03362,6.98006,1.54412
HS,246,1739354368326,-0.01095,-3.22395,9.28995,8.16178,5.99529,2.31618
HS,247,1739354368343,-0.01095,-3.22395,9.28995,10.61189,4.17543,5.25474
HS,248,1739354368359,-0.06795,1.836,8.799,6.90915,6.83825,2.04045
HS,249,1739354368375,-0.07605,1.08705,9.0,-0.02363,3.41125,0.49632
HS,250,1739354368393,0.47895,3.72,13.10205,-9.33563,10.76158,-1.11082
HS,251,1739354368408,-1.869,-1.82895,9.297,-6.74371,2.42648,0.63813
HS,252,1739354368426,-0.55905,-1.49805,10.15695,-5.4123,-4.56934,-0.90599
HS,253,1739354368442,3.12705,-2.64495,7.04595,3.61608,-2.89129,3.23005
