ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,401,1739351950744,-1.64895,-2.01105,7.27095,8.5163,1.58351,-3.63184
HS,402,1739351950761,-2.96505,-8.379,11.22,-2.89129,-0.03151,-2.85978
HS,403,1739351950778,-1.11705,-8.952,7.55895,14.11768,1.65442,-4.19119
HS,404,1739351950794,2.78505,-3.55005,10.188,17.33985,2.97795,-4.39602
HS,405,1739351950812,0.11505,-2.39595,11.91405,0.39391,-7.09823,-5.79833
HS,406,1739351950828,0.11505,-2.39595,11.91405,0.67752,-8.28783,-5.38079
HS,407,1739351950842,3.92895,0.61995,10.602,-6.74371,-1.29202,-5.38079
HS,408,1739351950860,0.39495,1.185,10.28805,-4.99476,3.6082,-4.82144
HS,409,1739351950875,-0.387,-1.27605,8.73195,-4.50631,-4.01787,-5.86924
HS,410,1739351950894,1.482,-3.543,9.89805,3.47427,4.45117,-5.94014
HS,411,1739351950911,-1.479,0.57195,9.71805,2.71009,2.07196,-6.08195
HS,412,1739351950928,-1.479,0.57195,9.71805,-2.47375,3.5373,-6.6413
HS,413,1739351950944,0.55305,-3.94995,9.405,4.17543,2.4895,-4.67963
HS,414,1739351950961,5.53995,-1.242,11.92395,1.44958,-5.27837,-6.15285
HS,415,1739351950978,3.57495,1.88895,10.03905,-4.00999,-0.66177,-7.47638
HS,416,1739351950993,1.602,0.615,8.607,-6.74371,-4.86083,-4.39602
HS,417,1739351951010,-1.69605,-8.22105,8.73,-8.21693,-8.50055,-7.76
HS,418,1739351951026,0.77805,-5.937,7.35495,8.09876,-7.02733,-6.35768
HS,419,1739351951043,1.01295,-1.00005,13.77,0.60662,-1.42595,-6.84613
HS,420,1739351951068,1.01295,-1.00005,13.77,-7.79151,-24.53262,-7.27155
HS,421,1739351951076,-1.05,-1.33095,9.55605,-1.42595,-5.00264,-7.27155
HS,422,1739351951086,-0.66,-1.728,10.113,-5.90075,-10.2495,-5.09718
HS,423,1739351951108,1.96095,-1.821,9.486,-2.75736,-2.61555,-4.95537
HS,424,1739351951126,0.41895,-2.47695,9.12195,-4.1518,-2.82826,-3.97848
HS,425,1739351951142,0.05505,-0.054,8.50005,6.41283,2.4895,-3.56093
HS,426,1739351951157,-0.35595,-2.784,9.46005,1.23687,-3.94696,-2.51314
HS,427,1739351951173,-0.35595,-2.784,9.46005,-1.42595,-7.31094,-2.37133
HS,428,1739351951189,2.631,-0.14805,10.05795,7.95695,-29.49587,-5.45169
HS,429,1739351951208,5.09505,-3.222,9.70395,11.38396,1.02416,-5.65653
HS,430,1739351951225,1.17105,3.90195,13.422,-6.18436,-16.19752,-2.51314
HS,431,1739351951241,1.14705,-0.588,6.89295,-3.80516,-15.14972,-2.44223
HS,432,1739351951257,0.82395,3.39705,7.71195,14.46432,4.38026,-6.6413
HS,433,1739351951274,-0.95895,-6.04305,10.65705,5.78258,7.53153,-1.38656
HS,434,1739351951291,-1.66095,-3.84495,11.469,-5.3414,-9.05989,-3.13551
HS,435,1739351951308,-1.66095,-3.84495,11.469,-6.67281,-8.0121,-1.45746
HS,436,1739351951324,-0.77205,0.699,8.514,-3.31671,5.01052,-1.59927
HS,437,1739351951341,2.17395,-3.53805,8.08305,-1.9853,-1.15021,0.07878
HS,438,1739351951357,12.711,6.12405,11.811,-18.29311,6.12922,-7.54729
HS,439,1739351951373,2.50905,-0.33705,7.61595,16.14237,-3.24581,5.19171
HS,440,1739351951390,-3.861,-2.01495,8.40405,-0.9375,4.79781,4.63236
HS,441,1739351951406,-0.59805,-4.87395,9.65595,5.57774,-8.35874,4.14392
HS,442,1739351951422,-0.59805,-4.87395,9.65595,6.76735,0.81145,2.32406
HS,443,1739351951439,1.824,1.977,10.473,4.03362,-14.10192,0.99265
HS,444,1739351951455,0.40905,-5.394,12.56805,2.00893,-15.36243,0.3624
HS,445,1739351951473,1.02,1.34805,9.56805,-2.96219,-20.12085,1.89864
HS,446,1739351951489,3.69,1.16805,8.59305,-3.31671,-8.14603,0.85084
HS,447,1739351951504,2.916,2.11605,8.634,1.02416,-2.89917,0.56723
HS,448,1739351951523,0.73695,1.61595,8.77995,4.10453,-8.70538,0.56723
HS,449,1739351951540,5.44905,0.32505,12.59205,-0.51208,-1.22112,3.08824
HS,450,1739351951555,5.44905,0.32505,12.59205,-7.44487,-7.09823,3.51366
HS,451,1739351951572,-0.01605,-3.186,7.27095,6.98006,-1.78047,3.30095
HS,452,1739351951589,4.42695,-1.90995,9.51495,6.41283,-1.70956,4.27785
HS,453,1739351951604,3.936,4.968,12.06495,0.95326,5.15232,2.25316
HS,454,1739351951624,3.678,3.01905,8.85405,-4.08089,-6.82249,6.03468
HS,455,1739351951640,0.30405,-4.134,8.71005,4.73478,0.03939,2.6707
HS,456,1739351951657,0.16005,0.51705,8.79195,4.52995,-7.09823,2.38709
HS,457,1739351951674,0.16005,0.51705,8.79195,0.60662,-2.61555,3.08824
HS,458,1739351951689,0.56505,0.33,10.161,-5.69592,-7.16913,5.19171
HS,459,1739351951707,2.08095,-3.19605,11.71995,-4.92386,-7.31094,4.14392
HS,460,1739351951722,0.75195,3.40395,8.86095,-2.75736,-11.78574,5.75106
HS,461,1739351951740,-0.27405,-1.03395,7.54695,10.47797,-5.97953,4.70327
HS,462,1739351951757,0.32595,1.767,11.37795,9.84771,11.10034,2.81251
HS,463,1739351951774,1.59195,-0.70995,11.514,-11.15549,-6.32617,2.95431
HS,464,1739351951791,0.30195,-6.186,6.24195,11.31305,1.78834,8.34298
HS,465,1739351951807,0.30195,-6.186,6.24195,5.71955,17.74952,2.38709
HS,466,1739351951821,-2.733,-5.595,11.49495,0.04727,-10.87975,9.24897
HS,467,1739351951839,3.65895,-0.96195,12.49305,3.40337,-3.31671,8.83143
HS,468,1739351951855,3.81705,-0.90705,7.45605,15.09457,12.77839,6.79886
HS,469,1739351951870,2.83005,3.48795,11.78895,-3.0331,9.49319,9.17807
HS,470,1739351951889,1.19505,-1.00005,9.012,11.25003,-11.22639,9.95013
HS,471,1739351951904,-0.68595,-0.117,7.398,13.41652,4.52207,9.95013
HS,472,1739351951921,-0.68595,-0.117,7.398,13.83407,3.04885,12.04572
HS,473,1739351951937,1.10895,-1.51005,10.91595,1.44958,0.95326,10.58038
HS,474,1739351951955,-0.27405,0.672,9.97905,0.67752,2.4186,10.85612
HS,475,1739351951972,-0.61905,-3.366,8.50695,5.85348,4.16755,9.46168
HS,476,1739351951989,4.95105,5.286,10.248,-2.75736,11.51788,6.94067
HS,477,1739351952005,-0.744,2.80605,9.29895,0.89023,9.49319,9.39078
HS,478,1739351952021,5.514,-2.853,7.68105,11.73847,2.4186,7.77575
HS,479,1739351952039,-2.13195,3.17895,11.45205,9.49319,24.68231,13.2432
HS,480,1739351952054,-2.13195,3.17895,11.45205,-11.57303,-23.20121,7.35821
HS,481,1739351952071,2.715,-2.49705,11.88495,-4.57722,-4.15967,4.70327
HS,482,1739351952089,-4.03605,-7.35195,12.77805,-2.26103,-1.49685,5.9559
HS,483,1739351952107,-1.15995,2.01105,6.00195,-15.98481,-0.24422,6.72796
