ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
RV,201,1739352581129,-2.98355,-3.31825,9.33141,-30.57008,14.70141,-17.11223
RV,202,1739352581141,-0.31795,-0.94935,12.19562,-26.82035,12.72546,-14.93028
RV,203,1739352581162,0.62483,-3.38525,8.38146,-10.2536,8.35394,-10.31464
RV,204,1739352581176,0.5004,-3.16271,7.01276,-9.25418,6.60305,-9.38388
RV,205,1739352581192,-3.54826,1.68515,15.18665,-38.19925,-12.31729,-34.80809
RV,206,1739352581209,-3.54826,1.68515,15.18665,-3.09363,-2.09039,-8.49889
RV,207,1739352581229,-4.51735,-1.58824,6.71605,0.04578,-8.2128,-13.86602
RV,208,1739352581247,0.40229,-1.1336,11.19542,-0.86591,-4.57369,-8.00681
RV,209,1739352581258,-2.0671,-1.05942,11.03271,3.9481,-7.33926,-8.7888
RV,210,1739352581280,-2.7658,-2.10269,7.7689,6.9578,-6.85099,-6.47335
RV,211,1739352581296,1.0986,-4.31366,10.17847,22.16655,-23.99755,-19.092
RV,212,1739352581312,1.0986,-4.31366,10.17847,18.08495,-16.36457,-2.06369
RV,213,1739352581327,0.766,-3.06939,7.88854,0.68663,-2.37267,13.87746
RV,214,1739352581347,-2.44277,0.21835,11.44427,-25.8133,-8.69344,0.69044
RV,215,1739352581362,-1.92353,3.31226,9.55873,-4.86741,-8.41879,6.99976
RV,216,1739352581379,-1.14108,-2.3683,5.19183,28.70094,3.17755,32.47356
RV,217,1739352581396,-1.16501,-4.54576,10.71685,15.34989,12.27915,39.24826
RV,218,1739352581411,-1.16501,-4.54576,10.71685,-6.37799,12.08079,27.39253
RV,219,1739352581424,-1.66989,-1.14796,11.02314,-8.18228,5.13825,16.22343
RV,220,1739352581440,2.11795,1.17787,9.05624,30.14666,22.26955,51.71432
RV,221,1739352581458,0.88564,-1.76291,9.42952,48.60925,13.40827,48.38038
RV,222,1739352581474,-1.92353,-3.95713,11.2002,47.98366,16.04796,53.67884
RV,223,1739352581492,-1.92353,-3.95713,11.2002,-27.03778,8.32724,12.20667
RV,224,1739352581513,1.91216,-2.22712,10.00858,-17.94381,-33.79722,-32.37056
RV,225,1739352581528,-3.84497,0.1322,8.11825,-15.96404,-29.1892,-25.92392
RV,226,1739352581551,0.78993,-2.44726,15.97149,4.81782,-11.79088,2.57866
RV,227,1739352581566,-6.95564,0.84766,9.98226,-16.76892,-51.56556,-56.48637
RV,228,1739352581580,-0.7319,1.14676,9.54916,-32.99616,-12.56524,-16.25395
RV,229,1739352581594,1.99352,-2.20558,7.83829,-29.28075,-11.01271,-14.12541
RV,230,1739352581610,1.99352,-2.20558,7.83829,0.00381,-3.39498,2.9296
RV,231,1739352581628,-5.1682,0.01256,15.30629,-0.11444,-2.96012,2.71217
RV,232,1739352581644,-3.47647,1.97228,11.44427,1.91492,21.72787,33.82774
RV,233,1739352581659,1.48146,-2.64826,8.28814,4.36388,16.46375,29.02899
RV,234,1739352581676,0.02423,-3.98584,6.05564,-8.48364,3.5056,8.96046
RV,235,1739352581693,-4.19193,0.43609,12.31765,-19.57645,-0.72096,2.28875
RV,236,1739352581708,-4.19193,0.43609,12.31765,-14.08726,-1.12912,5.86683
RV,237,1739352581733,0.71815,-0.2339,12.95893,-15.21256,-1.51058,9.17026
RV,238,1739352581748,-1.02383,-1.02353,9.90329,27.62904,-1.93399,27.75492
RV,239,1739352581762,-0.67926,-4.73719,7.46262,-3.18899,-5.53115,8.27002
RV,240,1739352581781,-5.91715,-0.55693,9.89372,-36.6963,-13.53033,-16.04033
RV,241,1739352581794,-5.91715,-0.55693,9.89372,-14.91121,26.43507,36.24237
RV,242,1739352581814,0.36401,0.74955,10.57568,7.15616,3.06311,14.86162
RV,243,1739352581827,-5.18016,-1.29392,11.19303,8.80788,2.34216,13.31672
RV,244,1739352581842,1.95524,0.88116,7.67558,4.5508,9.30377,14.87307
RV,245,1739352581859,-2.07189,-2.11226,10.03011,-6.62975,15.77331,10.50155
RV,246,1739352581876,-3.13908,-2.98804,11.58066,-8.67055,17.3144,7.51855
RV,247,1739352581897,-3.01944,-1.22453,8.66142,12.01213,16.98253,14.59842
RV,248,1739352581907,-3.01944,-1.22453,8.66142,11.665,13.20991,9.82256
RV,249,1739352581927,0.82582,0.81416,9.4008,11.29117,15.47196,13.03444
RV,250,1739352581942,-2.22981,-2.35155,7.67797,12.22193,12.02357,11.83284
RV,251,1739352581957,-2.22981,-1.03789,11.69791,13.93086,8.55611,9.83018
RV,252,1739352581978,-2.27049,-2.84686,9.2022,11.33695,3.48272,4.88267
RV,253,1739352581995,-1.67707,-0.93978,9.69033,8.51034,2.5901,4.11212
RV,254,1739352582009,-1.67707,-0.93978,9.69033,7.41555,3.52086,5.53115
RV,255,1739352582025,0.31854,-2.25344,11.06381,22.90658,10.06669,22.85699
RV,256,1739352582046,1.20867,-1.00678,8.83849,20.51102,-7.64824,0.55693
RV,257,1739352582072,-1.7991,-0.87278,12.29373,-27.29335,-9.40295,-25.78278
RV,258,1739352582089,-2.07667,-2.49751,9.31945,5.13825,-20.54917,-25.61112
RV,259,1739352582104,-0.81087,-2.69372,8.91506,-2.51,-11.45901,-21.37693
RV,260,1739352582118,0.19412,1.87418,11.7362,-4.05872,-9.42202,-21.96056
RV,261,1739352582131,0.19412,1.87418,11.7362,4.16553,-10.37949,-22.79214
RV,262,1739352582147,3.39332,-4.34477,9.16391,6.90821,-8.44931,-19.63367
RV,263,1739352582160,0.65354,-5.02433,8.93899,4.05872,-6.82048,-17.61575
RV,264,1739352582182,-3.11516,-0.15972,12.71486,-12.41266,-1.61738,-17.1313
RV,265,1739352582195,-5.9004,-0.64307,13.62892,-9.75771,-1.70893,-14.2551
RV,266,1739352582212,-5.9004,-0.64307,13.62892,-9.65853,2.48329,-7.58339
RV,267,1739352582228,-5.59651,-2.56211,11.2002,-11.41705,2.79609,-7.56432
RV,268,1739352582245,-2.1006,0.10349,10.36989,-18.06969,11.20725,-1.21304
RV,269,1739352582261,-1.97139,-2.72004,8.19482,-52.35899,4.68431,-22.21614
RV,270,1739352582279,-0.11456,-1.3011,11.81755,-44.4628,18.19938,-4.71864
RV,271,1739352582297,-2.8352,-2.37547,7.82393,5.84013,16.45993,15.34226
RV,272,1739352582312,-2.8352,-2.37547,7.82393,10.5931,10.95549,12.56906
RV,273,1739352582326,0.88325,-2.07876,7.68515,8.32724,17.51276,20.12956
RV,274,1739352582342,-1.90199,-0.73639,10.96571,14.62893,2.41082,4.87504
RV,275,1739352582360,-0.36341,-0.85843,9.57548,17.58524,-0.98035,2.20102
RV,276,1739352582378,-1.18654,-3.16511,8.75235,15.04472,-1.14438,0.98416
RV,277,1739352582405,-1.18654,-3.16511,8.75235,12.78649,-0.97653,0.17166
