ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,3401,1739352228425,-1.26251,-1.99651,9.83959,4.37914,3.78407,2.51763
Abj,3402,1739352228434,-1.26251,-1.99651,9.83959,6.33221,1.0986,3.12796
Abj,3403,1739352228454,-1.0995,-1.64925,10.03849,-0.74766,7.07987,2.39556
Abj,3404,1739352228468,-1.65284,-0.4322,10.50329,-3.61623,-3.60097,1.41903
Abj,3405,1739352228485,-1.48056,-1.73779,9.84916,-2.82279,-4.7606,2.39556
Abj,3406,1739352228504,-0.95593,-2.61924,9.81566,-1.84626,-3.78407,1.90729
Abj,3407,1739352228520,-0.91047,-1.78564,10.79552,-1.35799,-9.21604,2.27349
Abj,3408,1739352228542,-1.13539,-1.90798,9.97628,3.70778,0.5493,2.21246
Abj,3409,1739352228559,-1.13539,-1.90798,9.97628,3.58571,0.30517,1.84626
Abj,3410,1739352228569,-0.88893,-1.09113,9.4349,1.57161,-2.07513,1.54109
Abj,3411,1739352228584,-0.89372,-1.56521,9.05624,1.32748,-6.34747,0.93076
Abj,3412,1739352228603,-0.79771,-1.27537,9.82762,-3.98243,-5.79817,1.48006
Abj,3413,1739352228619,-0.79771,-1.27537,9.82762,-3.18899,-4.7606,1.72419
Abj,3414,1739352228636,-0.86231,-1.84337,9.42294,-1.60213,-1.34273,2.02936
Abj,3415,1739352228655,-0.74507,-1.72104,9.74148,-3.98243,-0.7324,1.23593
Abj,3416,1739352228669,-1.28166,-2.24088,10.05045,0.10681,-6.83574,1.48006
Abj,3417,1739352228694,-0.88893,-2.17149,10.10788,5.59981,-5.98127,2.88383
Abj,3418,1739352228711,-1.0014,-2.58574,9.61436,5.41671,8.54467,2.88383
Abj,3419,1739352228718,-1.0014,-2.58574,9.61436,1.38851,-6.10334,1.78523
Abj,3420,1739352228734,-1.12582,-1.2682,10.49372,2.42608,-3.8451,2.15143
Abj,3421,1739352228752,-1.35344,-1.43839,9.76541,-1.41903,1.58687,2.02936
Abj,3422,1739352228768,-1.4327,-1.74975,9.6697,0.28991,-7.56814,1.66316
Abj,3423,1739352228786,-0.9679,-1.27777,9.83241,-3.18899,-2.62443,3.55519
Abj,3424,1739352228805,-0.85513,-2.23849,9.34367,-0.93076,-2.31927,1.96833
Abj,3425,1739352228822,-0.932,-1.55324,9.76541,-1.54109,-6.2254,2.09039
Abj,3426,1739352228845,-0.81446,-1.90319,10.41207,-1.90729,-3.60097,3.18899
Abj,3427,1739352228866,-0.81446,-1.90319,10.41207,0.71714,0.42723,2.70073
Abj,3428,1739352228883,-0.99661,-2.05155,9.41097,1.38851,-9.76534,1.78523
Abj,3429,1739352228893,-0.88415,-1.91037,9.79652,1.63264,-3.1127,2.82279
Abj,3430,1739352228899,-0.88415,-1.91037,9.79652,-0.80869,-3.8451,2.63969
Abj,3431,1739352228918,-0.60628,-1.09591,9.94278,-0.38146,-2.44133,3.43313
Abj,3432,1739352228936,-0.87697,-1.92951,9.66491,-0.25939,-4.51647,4.77586
Abj,3433,1739352228954,-0.77617,-1.5006,9.77737,0.96128,-1.70893,4.22656
Abj,3434,1739352228971,-1.25773,-2.95962,9.78216,4.25708,-3.96717,5.01999
Abj,3435,1739352228987,-1.32473,-2.0013,10.44078,1.44954,3.90613,5.08103
Abj,3436,1739352229011,-1.34148,-1.85055,10.17967,2.79228,-1.34273,5.01999
Abj,3437,1739352229018,-1.34148,-1.85055,10.17967,2.12091,1.6479,5.01999
Abj,3438,1739352229036,-1.22662,-1.40489,9.65773,2.30401,-0.85447,4.16553
Abj,3439,1739352229053,-1.24337,-1.83111,9.41815,0.04578,-5.06577,4.28759
