ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
RV,5201,1739352257858,-0.17438,-1.29153,11.93959,4.54317,0.23269,-14.20551
RV,5202,1739352257875,-0.40409,-2.92343,9.71905,5.67229,1.7776,-11.25684
RV,5203,1739352257892,0.48365,-1.81555,11.36531,4.68431,1.95688,-11.10426
RV,5204,1739352257914,0.48365,-1.81555,11.36531,0.81251,2.24679,-17.35255
RV,5205,1739352257928,-0.21745,-2.02134,10.46561,-1.31603,2.11709,-15.95259
RV,5206,1739352257943,-0.23659,-1.66241,9.57308,-2.75794,1.43428,-8.92994
RV,5207,1739352257954,0.12712,-2.27976,10.84846,-0.96509,-0.09536,-0.28228
RV,5208,1739352257976,-1.03579,-1.69352,9.25484,-0.51497,-2.03699,10.28412
RV,5209,1739352257993,-0.04995,-2.21276,9.82433,-2.61681,-2.11709,12.28296
RV,5210,1739352258008,-0.04995,-2.21276,9.82433,-2.92579,-2.06369,12.00831
RV,5211,1739352258025,0.36162,-0.46122,9.64248,-2.49474,-1.61357,11.84047
RV,5212,1739352258042,0.24437,-1.64806,9.2668,-2.89527,-1.23593,10.53207
RV,5213,1739352258061,0.22522,-1.71027,9.11366,-2.31164,-1.05664,8.90705
RV,5214,1739352258081,-0.28205,-1.75573,10.05404,1.3084,-1.56017,8.24713
RV,5215,1739352258098,0.50279,-2.28455,8.81935,4.51265,-2.17431,7.56814
RV,5216,1739352258107,0.50279,-2.28455,8.81935,3.57045,-3.00971,1.38088
RV,5217,1739352258123,-0.31555,-2.1673,10.54936,4.10068,-7.28586,-9.58605
RV,5218,1739352258142,-0.21027,-0.79621,9.98465,2.38412,-5.23742,-13.74395
RV,5219,1739352258157,-0.09781,-2.13859,10.27418,1.98358,-3.78407,-12.80938
RV,5220,1739352258175,0.05294,-1.84666,10.07558,1.19015,-1.17871,-12.14945
RV,5221,1739352258192,-0.42084,-1.2987,10.01815,1.97595,-1.68986,-8.64385
RV,5222,1739352258210,-0.42084,-1.2987,10.01815,-0.15258,-0.97272,-10.94404
RV,5223,1739352258229,0.50997,-1.47577,9.86022,1.02994,-0.78962,-5.26031
RV,5224,1739352258243,0.03619,-0.31765,10.01576,1.92255,-0.78962,4.02439
RV,5225,1739352258255,0.1989,-2.69611,10.00619,1.67079,-1.12149,8.48745
RV,5226,1739352258275,-0.41844,-1.99262,9.47976,1.9607,-1.54109,15.05998
RV,5227,1739352258292,0.39751,-2.24387,9.93201,0.7057,-0.03815,18.00865
RV,5228,1739352258308,0.39751,-2.24387,9.93201,-0.25939,0.77436,16.5553
