ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,401,1739354076134,0.36162,0.38943,9.09931,3.15848,-5.00474,-28.41866
Abj,402,1739354076148,0.36162,0.38943,9.09931,-4.77586,-2.80753,-26.09939
Abj,403,1739354076165,1.3008,-0.22134,10.07677,-4.34863,1.6479,-24.63459
Abj,404,1739354076181,0.78096,-3.84347,10.32114,-4.89793,1.4648,-24.63459
Abj,405,1739354076199,0.67537,-2.7009,10.55594,0.47301,2.5634,-22.68152
Abj,406,1739354076223,0.35922,-1.56521,10.09113,2.79228,0.12207,-20.78949
Abj,407,1739354076239,0.85753,-1.09352,9.01077,2.24298,-2.50237,-20.54535
Abj,408,1739354076253,0.21326,-0.99272,8.85045,0.41198,-3.05167,-19.01952
Abj,409,1739354076272,0.21326,-0.99272,8.85045,-2.15143,-1.15963,-19.38572
Abj,410,1739354076289,0.01914,-1.34985,9.236,-0.93076,-0.79343,-18.77538
Abj,411,1739354076299,0.34726,-2.9668,10.50329,-4.83689,-0.79343,-19.87399
Abj,412,1739354076322,0.00718,-2.29831,10.63729,0.41198,2.25823,-20.11812
Abj,413,1739354076338,0.51027,-2.57857,10.29961,3.15848,-1.58687,-18.04299
Abj,414,1739354076347,0.51027,-2.57857,10.29961,11.51242,-1.40377,-18.22609
Abj,415,1739354076365,0.98913,-3.03141,8.61566,7.54525,0.42723,-18.95849
Abj,416,1739354076390,0.88624,-0.62154,10.04567,6.99595,-1.89203,-20.17915
Abj,417,1739354076402,-0.2324,-1.5341,9.95953,1.08334,-3.17373,-19.32469
Abj,418,1739354076413,1.01097,-0.23838,9.95953,-1.35799,-2.86857,-19.01952
Abj,419,1739354076430,1.01097,-0.23838,9.95953,-4.89793,1.58687,-18.34815
Abj,420,1739354076448,1.09711,-0.57607,9.41336,-11.00126,3.662,-16.33405
Abj,421,1739354076465,0.79531,-0.85155,8.94617,-8.98716,4.7606,-17.31059
Abj,422,1739354076484,0.12443,-3.08884,9.11875,-5.44723,6.10334,-15.66269
Abj,423,1739354076499,0.33051,-2.36291,9.83719,-4.40966,0.67137,-16.45612
Abj,424,1739354076517,0.42622,-1.09113,10.57508,-7.46133,1.34273,-18.59229
Abj,425,1739354076542,0.2683,-1.48146,10.65644,-4.47069,1.89203,-17.43265
Abj,426,1739354076560,0.54138,-2.19302,10.38814,-7.27823,-0.97653,-17.49368
Abj,427,1739354076573,0.54138,-2.19302,10.38814,4.07398,1.15963,-17.79885
Abj,428,1739354076588,0.77139,-2.67218,8.88156,5.05051,3.96717,-18.47022
Abj,429,1739354076600,0.69452,-1.08395,9.59522,1.20541,-1.40377,-16.76129
Abj,430,1739354076621,-0.27787,-1.45035,9.62872,-2.57866,-1.22067,-21.58292
Abj,431,1739354076637,0.20847,-2.38714,10.52962,0.83921,-3.4789,-19.08055
Abj,432,1739354076648,0.20847,-2.38714,10.52962,8.09455,1.831,-19.20262
Abj,433,1739354076665,2.51037,-5.03151,10.49372,6.27118,-2.0141,-16.88335
Abj,434,1739354076681,0.72084,-1.1988,10.04806,7.72835,1.0986,-17.49368
Abj,435,1739354076699,-0.38106,-0.03709,9.82044,2.97538,-6.28644,-17.55472
Abj,436,1739354076715,0.35683,-2.54746,9.53061,7.30112,-2.3803,-20.36225
Abj,437,1739354076733,0.35683,-2.54746,9.53061,2.48711,-4.0282,-18.89745
Abj,438,1739354076750,0.4334,-1.21555,10.17009,-0.25939,-0.5493,-17.85989
Abj,439,1739354076768,1.10429,-0.63829,9.79412,-2.15143,0.7324,-18.28712
Abj,440,1739354076784,0.17468,-1.08634,8.95574,-1.66316,-0.12207,-18.59229
Abj,441,1739354076808,-0.15344,-0.47049,8.82623,-6.24066,0.0,-15.54062
Abj,442,1739354076823,1.84935,-2.87797,9.59283,-1.60213,2.50237,-16.57819
Abj,443,1739354076839,0.04546,-2.48764,9.99542,-1.78523,1.2817,-17.00542
Abj,444,1739354076851,0.04546,-2.48764,9.99542,0.83921,-1.76997,-17.67679
Abj,445,1739354076867,-0.0984,-1.93669,10.04806,5.72188,0.7324,-19.44675
Abj,446,1739354076891,0.52941,-1.76889,9.75823,10.47485,-3.17373,-17.55472
Abj,447,1739354076901,1.01815,-1.74497,9.03231,9.92555,-0.24413,-17.06645
Abj,448,1739354076916,0.6993,-0.57846,8.81665,9.86452,-1.15963,-16.88335
Abj,449,1739354076934,0.6993,-0.57846,8.81665,-0.38146,-1.15963,-15.41855
Abj,450,1739354076956,0.51745,0.07807,10.10788,-3.00589,-1.0986,-15.41855
Abj,451,1739354076974,0.36162,-1.52453,9.9332,-4.89793,-0.5493,-15.17442
Abj,452,1739354076986,0.22522,-1.87926,9.46601,0.77818,-0.7324,-13.89272
Abj,453,1739354077001,1.16411,-2.00848,9.11396,0.22888,2.0141,-14.56408
Abj,454,1739354077013,0.15553,-0.17827,9.75584,-2.15143,0.24413,-14.31995
Abj,455,1739354077034,0.15553,-0.17827,9.75584,-10.08576,-0.06103,-12.85515
Abj,456,1739354077050,0.57248,-1.54846,11.20738,-1.96833,0.85447,-11.87862
Abj,457,1739354077066,0.31376,-2.73679,10.44796,-5.08103,-0.61033,-13.22135
Abj,458,1739354077083,0.72802,-2.82054,10.0337,10.23072,-2.25823,-11.51242
Abj,459,1739354077100,0.09093,-4.20269,7.17578,20.66742,-1.95307,-11.63448
Abj,460,1739354077127,1.58106,1.42911,12.07478,-2.27349,-11.10807,-10.71898
Abj,461,1739354077149,0.53898,-0.21176,12.62094,-4.83689,-2.86857,-10.41382
Abj,462,1739354077167,0.08375,-2.53071,9.41336,2.54814,2.9296,-11.63448
Abj,463,1739354077183,0.77856,-1.9343,10.29482,-2.45659,5.493,-12.12275
Abj,464,1739354077195,0.77856,-1.9343,10.29482,-6.05756,3.662,-11.63448
Abj,465,1739354077203,0.65145,-1.54128,10.82662,-1.41903,5.493,-9.92555
Abj,466,1739354077219,1.47308,-2.07787,9.71037,-2.45659,4.15027,-9.13212
Abj,467,1739354077242,0.04068,-1.11506,9.50908,-0.13733,1.4648,-8.64385
Abj,468,1739354077254,0.04068,-1.11506,9.50908,1.02231,-0.85447,-9.62038
Abj,469,1739354077266,-0.47198,-0.81565,8.39283,-2.02936,-0.9155,-10.10865
