ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,401,1739354761081,-1.725,1.52505,11.121,3.82879,6.19224,-1.60715
HS,402,1739354761104,-1.45905,-2.73795,7.10595,6.90915,-0.17332,-1.11082
HS,403,1739354761121,3.132,-2.487,7.84395,-7.93332,-20.96381,-5.03415
HS,404,1739354761138,-2.67795,-0.16005,12.498,-2.40284,26.14764,-3.427
HS,405,1739354761155,-1.17705,-6.46395,9.89595,-1.70168,9.90286,-3.70274
HS,406,1739354761164,2.23395,-3.126,8.145,5.15232,13.19593,-1.74108
HS,407,1739354761181,2.23395,-3.126,8.145,11.94331,9.2017,-3.56093
HS,408,1739354761197,-0.13995,-1.60605,7.68795,10.40706,13.40077,-3.07249
HS,409,1739354761214,0.18195,1.386,8.823,-0.72479,4.37238,-5.94802
HS,410,1739354761231,-2.75205,1.305,10.731,-1.70168,14.73218,-5.10505
HS,411,1739354761247,-3.303,-2.106,7.36995,-2.89129,8.22481,-5.94802
HS,412,1739354761264,-2.238,-1.728,10.401,-10.66704,8.29571,-7.55517
HS,413,1739354761280,0.201,-5.20005,9.738,-8.49267,16.62294,-6.08195
HS,414,1739354761297,0.201,-5.20005,9.738,-0.16544,8.85506,-8.46115
HS,415,1739354761313,-2.496,-4.51695,10.03905,18.03313,2.69433,-7.41336
HS,416,1739354761332,-0.15495,-3.31995,7.75305,19.0888,0.87448,-10.42282
HS,417,1739354761347,1.386,1.683,10.26195,8.16966,9.2017,-12.03784
HS,418,1739354761363,-0.96105,0.94305,11.019,3.96272,24.74533,-11.54152
HS,419,1739354761379,1.31895,0.411,8.42295,0.18908,13.05413,-12.10875
HS,420,1739354761396,0.01395,-3.04005,7.791,-0.51208,8.71325,-9.30412
HS,421,1739354761413,-2.84295,-3.23895,11.478,-1.07143,5.14444,-10.84824
HS,422,1739354761429,-2.84295,-3.23895,11.478,3.12763,8.42964,-11.54152
HS,423,1739354761447,-2.50095,-6.37995,11.46405,7.53941,19.56149,-12.24267
HS,424,1739354761463,-1.52895,-1.86,10.12305,9.7059,15.71695,-14.9764
HS,425,1739354761479,-1.03605,0.81795,9.012,9.35927,7.24004,-11.54152
HS,426,1739354761497,-1.56705,0.46395,11.66505,0.81933,8.92597,-16.23691
HS,427,1739354761513,1.50405,-1.37805,9.012,-3.38761,5.97953,-14.69279
HS,428,1739354761529,-3.258,-1.04295,9.699,-7.23216,11.37608,-15.81149
HS,429,1739354761546,-3.258,-1.04295,9.699,-4.2936,-11.93543,-21.55467
HS,430,1739354761562,-4.15995,0.13095,10.81005,-6.88552,7.73636,-16.166
HS,431,1739354761579,0.05295,-5.21205,7.66905,11.59667,-3.5373,-19.03366
HS,432,1739354761596,1.839,-1.25895,6.85005,9.49319,-19.6324,-21.34196
HS,433,1739354761613,-4.77105,2.04195,11.205,5.0893,1.22112,-17.77315
HS,434,1739354761628,-1.752,-1.77105,11.31105,-6.67281,19.14395,-21.55467
HS,435,1739354761646,-0.16905,-2.23995,9.42405,-4.78205,12.69961,-18.89185
HS,436,1739354761662,-0.16905,-2.23995,9.42405,-5.82985,28.03053,-19.87662
HS,437,1739354761679,-1.81605,-2.57805,11.79705,4.80568,21.73587,-17.00109
HS,438,1739354761694,-1.50495,-5.43405,8.68905,11.10822,6.33405,-17.56832
HS,439,1739354761711,0.03405,-4.55595,10.185,17.47378,9.2017,-17.91496
HS,440,1739354761729,-1.90005,-0.129,5.16195,14.25949,-13.75528,-17.35561
HS,441,1739354761745,-1.407,-0.411,13.413,9.91862,-7.94907,-18.75792
HS,442,1739354761762,-1.87605,-0.699,8.32995,4.17543,15.14972,-17.70225
