ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1401,1739352600496,-1.37976,-0.31017,9.12832,7.17905,1.22067,-6.51531
Abj,1402,1739352600515,-0.66371,-1.05284,11.30818,-0.13733,-4.7606,-4.13501
Abj,1403,1739352600529,0.05503,-2.74875,10.52004,-7.88856,24.52778,-5.35568
Abj,1404,1739352600537,0.05503,-2.74875,10.52004,-0.86973,16.53241,-6.45428
Abj,1405,1739352600547,-1.45663,-2.19781,9.88744,3.76881,29.34941,-3.89088
Abj,1406,1739352600564,-1.45663,-2.19781,9.88744,10.23072,7.20194,-5.05051
Abj,1407,1739352600583,-0.38824,-3.13669,5.28335,-0.86973,1.03757,-4.37914
Abj,1408,1739352600599,-1.05165,-2.20499,15.7684,9.07108,9.21604,-5.11154
Abj,1409,1739352600616,-2.03151,-4.79462,8.17957,15.60165,8.84984,-4.98948
Abj,1410,1739352600632,-0.18455,-3.89133,11.4015,5.78291,15.98311,-4.62328
Abj,1411,1739352600656,-0.73549,2.14995,10.86491,-3.92139,17.75308,-10.29175
Abj,1412,1739352600674,-1.51884,-2.17388,6.82852,4.01294,4.9437,-7.36215
Abj,1413,1739352600688,-0.88654,-2.13081,11.40629,-3.18899,9.21604,-2.60918
Abj,1414,1739352600700,-0.88654,-2.13081,11.40629,16.76129,-36.36825,-4.31811
Abj,1415,1739352600721,-1.04686,-3.3021,5.31685,13.77065,4.7606,1.23593
Abj,1416,1739352600731,-0.81685,-3.24227,4.7683,29.39519,26.11465,-3.34158
Abj,1417,1739352600748,-1.90678,0.98345,12.23032,4.01294,3.53993,-6.82048
Abj,1418,1739352600766,-0.80489,-1.90558,11.45654,6.33221,-31.54662,-9.74245
Abj,1419,1739352600782,-0.80489,-1.90558,11.45654,4.50121,31.30248,-12.42792
Abj,1420,1739352600799,-1.58824,-1.82154,10.98485,2.73124,-33.37762,-13.22135
Abj,1421,1739352600817,-0.52223,-0.67896,10.57987,-12.28296,9.155,-11.51242
Abj,1422,1739352600833,-1.35583,-2.25763,7.98784,25.24492,14.88451,-12.18378
Abj,1423,1739352600858,-0.86949,-1.75693,9.51386,-29.73088,-17.88277,-13.77065
Abj,1424,1739352600875,-0.9679,-0.54975,12.78366,-8.37683,8.4226,-12.85515
Abj,1425,1739352600891,-1.57388,-3.00748,7.9998,1.02231,0.24413,-13.28238
Abj,1426,1739352600908,-1.57388,-3.00748,7.9998,-11.0623,8.11744,-17.24955
Abj,1427,1739352600923,0.2659,-2.84686,15.21985,7.97248,-1.831,-14.86925
Abj,1428,1739352600932,-2.56331,-3.30688,9.6673,9.25418,5.06577,-16.27302
Abj,1429,1739352600949,-0.05264,-0.98076,11.63869,2.54814,1.58687,-16.21198
Abj,1430,1739352600964,-0.05264,-0.98076,11.63869,-2.39556,3.2958,-15.90682
Abj,1431,1739352600985,-0.80728,-2.55942,10.65165,7.60628,-5.3099,-14.68615
Abj,1432,1739352601002,0.2683,-1.11266,6.83809,-7.58339,-0.67137,-12.30585
Abj,1433,1739352601017,-0.67328,-1.31874,13.40908,-3.61623,2.9296,-15.47959
Abj,1434,1739352601033,-1.4997,-2.38235,7.37229,-0.56456,-11.3522,-11.14622
Abj,1435,1739352601053,-0.48156,-2.46371,9.04666,-0.93076,-5.1268,-13.95375
Abj,1436,1739352601075,-1.55474,-2.28873,11.5693,-4.47069,-11.7184,-14.56408
Abj,1437,1739352601091,-0.45284,-2.99312,9.44926,3.95191,-23.85641,-13.95375
Abj,1438,1739352601106,-0.45284,-2.99312,9.44926,-5.69136,4.7606,-10.29175
Abj,1439,1739352601120,-1.17159,-1.56042,10.64926,14.99132,-8.91087,-7.85042
Abj,1440,1739352601130,-1.00379,-1.53888,5.62822,3.03641,0.24413,-12.91618
Abj,1441,1739352601149,-0.15823,-0.87069,12.98974,-3.12796,-17.39451,-12.73308
Abj,1442,1739352601165,-0.15823,-0.87069,12.98974,2.30401,2.25823,-10.47485
Abj,1443,1739352601184,-2.25434,-3.49621,5.27857,-15.57876,-11.10807,-12.73308
Abj,1444,1739352601201,-0.38824,0.88774,9.86591,-5.38619,-6.53057,-10.59692
Abj,1445,1739352601218,0.11246,-3.75972,9.34128,6.63738,-3.23477,-9.74245
Abj,1446,1739352601233,-1.03968,-3.8004,10.4025,4.98948,-12.57287,-7.36215
Abj,1447,1739352601261,-0.27787,-0.89222,11.90459,-2.27349,7.07987,-4.74534
Abj,1448,1739352601279,-0.43609,-1.94148,8.74965,8.52178,3.60097,-5.90498
Abj,1449,1739352601297,-0.22762,-1.20838,7.26222,6.45428,-12.32874,-3.58571
Abj,1450,1739352601315,-0.55095,-0.70289,10.85773,-9.65853,-3.05167,-2.48711
Abj,1451,1739352601328,-2.07218,-2.1332,8.4,-3.31106,-7.1409,0.74766
