ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,5501,1739352478046,0.072,-0.588,11.052,3.82879,4.30936,-0.20483
HS,5502,1739352478063,0.072,-0.588,11.052,-1.55988,1.64654,0.42542
HS,5503,1739352478078,0.70905,-1.03605,9.81195,1.37868,2.83614,0.98477
HS,5504,1739352478095,1.95105,-1.89795,10.31895,6.41283,2.4895,0.77994
HS,5505,1739352478112,-0.56595,-2.15895,10.02705,0.04727,0.11029,2.24528
HS,5506,1739352478127,0.675,-1.491,9.936,5.57774,2.4186,1.68593
HS,5507,1739352478142,-1.43805,-1.15605,9.60105,1.86713,1.22899,2.24528
HS,5508,1739352478158,-1.43805,-1.15605,9.60105,2.49738,2.4895,2.6707
HS,5509,1739352478174,0.78105,-1.362,9.37095,3.96272,0.45693,2.87553
HS,5510,1739352478189,-0.80595,-2.133,10.18095,-2.12711,3.25368,2.6707
HS,5511,1739352478205,-0.30495,-3.27705,10.41,-3.94696,2.69433,2.80463
HS,5512,1739352478222,0.699,-0.78495,10.03005,-2.40284,5.07354,2.38709
HS,5513,1739352478237,0.54105,-0.71505,10.02495,-2.54465,0.38603,2.52889
HS,5514,1739352478255,0.54105,-0.71505,10.02495,-3.0331,4.44329,2.04045
HS,5515,1739352478273,0.79995,-1.716,10.52805,-3.59245,2.13498,2.31618
HS,5516,1739352478293,-0.27195,-2.07495,9.68295,1.93803,0.94538,2.11135
HS,5517,1739352478306,0.534,-1.24905,10.128,4.24633,3.5373,1.75683
HS,5518,1739352478319,-0.37005,-2.106,10.17795,3.47427,0.17332,2.45799
HS,5519,1739352478339,-0.91395,-0.80895,9.45705,3.19854,3.67911,1.68593
HS,5520,1739352478357,-0.507,-2.214,9.22005,2.98583,0.74055,1.75683
HS,5521,1739352478374,0.99105,-1.60095,9.97695,0.18908,1.99318,1.89864
HS,5522,1739352478391,0.99105,-1.60095,9.97695,-2.96219,1.01628,1.89864
HS,5523,1739352478408,0.31095,-1.845,8.93295,0.18908,2.4895,1.54412
HS,5524,1739352478426,0.82605,-1.51695,9.77295,0.04727,2.4186,1.54412
HS,5525,1739352478443,-0.19005,-2.56095,9.615,2.71009,2.27679,1.05567
HS,5526,1739352478460,-0.777,-0.354,9.38805,3.40337,1.43383,0.42542
