ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,751,1739358795639,1.38105,-3.01095,6.606,-6.31829,-12.88081,-3.49003
HS,752,1739358795655,1.30905,-0.18795,7.56405,-6.60191,-0.70116,-2.78887
HS,753,1739358795674,0.76305,-0.339,9.936,7.68122,12.59719,-3.00158
HS,754,1739358795688,0.069,-2.73495,4.33395,3.12763,7.69697,-5.86924
HS,755,1739358795704,-0.95295,-1.18905,8.16195,10.61977,-11.41547,-4.39602
HS,756,1739358795724,-0.72495,0.60795,13.176,0.04727,10.70643,-3.27732
HS,757,1739358795738,1.54305,-1.05,9.27495,-11.91967,9.79257,-4.33299
HS,758,1739358795750,1.54305,-1.05,9.27495,-10.65916,25.478,-3.83667
HS,759,1739358795769,-2.61705,-3.897,7.53,11.80938,5.73531,0.07878
HS,760,1739358795795,3.045,3.50805,5.11905,-10.24162,-46.4812,-5.72743
HS,761,1739358795801,0.55005,-0.43005,11.088,2.00893,-5.11293,-3.13551
HS,762,1739358795815,-0.165,2.184,11.19795,-9.25685,12.6681,-4.82144
HS,763,1739358795838,-3.558,-6.52095,6.52695,-7.01945,-1.33141,-1.59927
HS,764,1739358795855,-3.37605,-2.01,11.47095,-1.41807,-6.79098,-5.30989
HS,765,1739358795870,-3.37605,-2.01,11.47095,-1.07143,0.34664,-5.38079
HS,766,1739358795888,-1.245,-1.074,9.61095,2.78099,-2.94644,-4.53783
HS,767,1739358795904,1.15995,-2.18205,11.63595,5.79045,-4.55358,-3.41913
HS,768,1739358795920,-2.253,-5.12505,9.762,9.08353,-2.38709,-2.64706
HS,769,1739358795937,1.22295,1.97295,12.80895,5.64865,-3.43488,-3.41913
HS,770,1739358795954,-3.64605,-1.311,7.06305,7.26367,0.90599,-2.15862
HS,771,1739358795971,-1.14,-3.58995,13.45395,-4.49843,-10.71431,-2.85978
HS,772,1739358795988,-1.14,-3.58995,13.45395,0.81933,9.44593,-1.59927
HS,773,1739358796005,0.52305,2.64795,10.35795,-8.98111,-2.24528,-2.30043
HS,774,1739358796021,-0.16305,-3.52095,10.83195,0.25998,5.45169,-1.11082
HS,775,1739358796037,-1.338,-2.994,8.742,8.09876,-9.10716,-1.45746
HS,776,1739358796053,-1.377,-1.059,9.10995,11.53364,-4.69539,-1.38656
HS,777,1739358796070,-0.08895,-3.61905,8.397,2.07984,-4.20694,-1.81198
HS,778,1739358796086,2.47005,2.18895,10.84905,9.84771,-2.52889,0.22059
HS,779,1739358796103,-2.93505,-0.114,10.75995,3.05673,2.3083,-0.62238
HS,780,1739358796121,-2.93505,-0.114,10.75995,-3.0331,-3.29307,-0.82721
HS,781,1739358796136,-1.45095,-5.54895,8.71305,8.79992,-1.40231,-1.03992
HS,782,1739358796153,-2.74095,0.204,13.23795,-1.55988,-9.87135,-0.69328
HS,783,1739358796171,-0.45,-2.53905,10.26195,5.79045,8.25632,-0.33876
HS,784,1739358796186,0.07995,0.11805,7.779,1.17385,-19.53786,0.49632
HS,785,1739358796204,1.60095,1.32195,12.82605,-5.97165,-12.81778,-1.88288
HS,786,1739358796221,-0.27495,0.82395,7.12305,-5.19959,-1.96166,0.3624
HS,787,1739358796237,-0.27495,0.82395,7.12305,-4.56934,-3.7185,-0.96901
HS,788,1739358796251,-0.95505,-4.00005,8.469,-10.65916,-5.9559,-1.32353
HS,789,1739358796269,-2.13105,2.34405,12.35505,-4.78205,6.92491,0.56723
HS,790,1739358796284,1.66995,-2.35005,11.59605,-4.85295,5.45169,-1.74108
HS,791,1739358796302,1.66095,-1.086,8.169,2.78099,-1.75683,-2.51314
HS,792,1739358796319,-2.94705,-1.692,13.53,2.78099,-3.43488,0.56723
HS,793,1739358796336,-0.498,-2.53395,9.57,2.71009,-1.12658,-0.55147
HS,794,1739358796353,0.006,0.13905,9.26595,7.88605,-3.22217,0.99265
HS,795,1739358796370,0.006,0.13905,9.26595,-2.26103,-2.66282,-0.62238
HS,796,1739358796385,-0.16305,2.48505,12.807,-6.94855,0.34664,-0.33876
