ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,751,1739352589632,0.1675,-0.02034,10.34268,1.26644,-2.86857,5.14206
Abj,752,1739352589652,-0.81924,-2.14995,7.99502,-8.682,14.39624,4.59276
Abj,753,1739352589667,-1.45185,-2.04676,11.74158,-3.31106,-3.96717,4.28759
Abj,754,1739352589683,-0.55334,-2.82772,10.52722,-1.11386,4.15027,4.28759
Abj,755,1739352589695,-0.55334,-2.82772,10.52722,1.51058,1.58687,5.50826
Abj,756,1739352589705,-1.10668,-1.40967,9.62633,2.60918,5.3099,3.61623
Abj,757,1739352589726,-0.49113,-1.42164,9.03231,5.35568,-3.4789,7.27823
Abj,758,1739352589742,-1.08275,-1.87687,9.07538,-4.83689,21.10991,3.79933
Abj,759,1739352589752,-1.08275,-1.87687,9.07538,1.99884,-9.155,2.51763
Abj,760,1739352589771,-0.8985,-2.43978,10.62772,-4.77586,0.61033,2.88383
Abj,761,1739352589787,-0.66371,-0.4992,10.55833,-2.21246,2.99063,2.09039
Abj,762,1739352589806,-1.25533,-0.99512,6.89312,1.51058,1.95307,2.09039
Abj,763,1739352589823,-0.91047,-2.82293,10.74527,2.36504,-3.53993,1.90729
Abj,764,1739352589841,-0.45284,-2.62881,10.11506,-3.92139,12.20667,-0.59508
Abj,765,1739352589860,-0.45284,-2.62881,10.11506,6.93492,-1.4648,1.72419
Abj,766,1739352589884,-0.999,-1.44078,10.20389,2.79228,9.03294,-0.47301
Abj,767,1739352589898,-0.999,-1.44078,10.20389,-1.96833,2.1972,-2.79228
Abj,768,1739352589911,-1.19312,-1.25623,10.65644,-2.76176,4.3944,-2.12091
Abj,769,1739352589922,-0.17976,-0.49202,10.35225,-5.32516,1.15963,-3.21951
Abj,770,1739352589945,-0.74985,-3.45075,9.54976,3.40261,3.1127,-1.20541
Abj,771,1739352589962,-0.90808,-2.98834,8.98206,5.72188,11.3522,-1.87678
Abj,772,1739352589980,-0.90808,-2.98834,8.98206,0.90024,1.22067,-4.98948
Abj,773,1739352589986,-0.74746,0.03978,10.23261,-0.86973,4.63854,-5.17258
Abj,774,1739352590005,-0.89372,-1.5341,10.83859,-1.78523,-4.3944,-4.01294
Abj,775,1739352590024,-0.54616,-3.00269,9.65295,-2.33453,6.83574,-2.60918
Abj,776,1739352590040,-0.84796,-1.61575,10.22304,-1.35799,5.55404,-3.95191
Abj,777,1739352590057,-0.84796,-1.61575,10.22304,4.62328,5.8592,-4.37914
Abj,778,1739352590074,-1.41595,-2.59532,8.36411,3.64674,2.7465,-6.88151
Abj,779,1739352590091,-0.74746,-0.52822,11.49961,-4.59276,-2.62443,-4.68431
Abj,780,1739352590114,-0.10798,-1.80239,9.28146,3.15848,9.94844,-3.76881
Abj,781,1739352590130,-1.26491,-2.42782,7.55923,4.80638,-1.2817,-7.54525
Abj,782,1739352590145,-1.5332,-2.0659,10.39771,3.21951,3.2958,-4.37914
Abj,783,1739352590162,-0.21087,-1.18923,9.72712,-2.76176,9.82637,-5.84394
Abj,784,1739352590179,-0.21087,-1.18923,9.72712,2.12091,-3.662,-5.72188
