ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,1,1739351944484,1.12852,-2.37817,9.6015,-9.80348,-4.89411,-4.96659
Ak,2,1739351944492,-0.20429,-1.45932,10.38635,-7.31637,-4.38296,-2.11709
Ak,3,1739351944509,0.48245,-1.23679,8.1347,-8.20899,-3.36446,-1.4114
Ak,4,1739351944528,-2.45593,0.07687,9.98196,-10.71517,-1.53728,-0.63704
Ak,5,1739351944545,-1.54427,-2.04078,8.03181,-5.99271,3.22714,-0.05722
Ak,6,1739351944562,-0.01286,-2.98116,11.52054,1.39232,10.1735,0.2365
Ak,7,1739351944579,-0.01286,-2.98116,11.52054,4.48214,8.59426,0.24413
Ak,8,1739351944595,1.09502,-2.74427,7.67049,5.29846,8.60952,-1.27407
Ak,9,1739351944612,0.05653,-0.35145,10.64716,7.11801,12.06553,-3.98243
Ak,10,1739351944630,-0.59192,-0.33948,9.51536,4.39059,9.47543,-5.03907
Ak,11,1739351944646,0.02782,-2.37577,9.91975,3.57427,8.38446,-5.6494
Ak,12,1739351944661,-0.31675,-1.1674,11.08984,2.93342,5.74476,-5.29083
Ak,13,1739351944680,-0.31675,-1.1674,11.08984,5.47774,1.44191,-5.02762
Ak,14,1739351944696,-1.15902,-2.14606,7.96959,4.8903,0.90787,-4.29904
Ak,15,1739351944714,0.4346,-1.81107,10.11596,5.6494,0.74003,-3.34539
Ak,16,1739351944732,0.05174,-1.81585,11.29083,11.03941,-2.09802,-1.7013
Ak,17,1739351944748,-1.02024,-2.18913,8.07488,8.20899,-2.1438,-1.25881
Ak,18,1739351944766,-0.12293,-0.7654,13.3678,4.62328,-2.34597,-0.82776
Ak,19,1739351944779,-0.12293,-0.7654,13.3678,4.98185,-2.62443,-0.46538
Ak,20,1739351944795,0.44417,-3.69661,9.33829,-0.83921,-2.27731,0.22888
Ak,21,1739351944814,1.52572,-3.91675,8.81426,-20.38133,-2.81898,-0.26321
Ak,22,1739351944830,0.48724,-1.73689,9.65654,-27.14459,-3.21569,-1.19778
Ak,23,1739351944847,0.9993,1.04836,10.20928,-17.84463,-2.61299,-2.44896
Ak,24,1739351944863,1.3343,1.8332,8.38355,15.27741,0.1831,-1.97595
Ak,25,1739351944880,1.3343,1.8332,8.38355,35.07892,-7.44226,-1.8844
Ak,26,1739351944897,-0.40289,0.65354,9.65654,25.38606,-4.85215,-2.04462
Ak,27,1739351944914,-0.95563,-2.67727,8.00788,-15.28123,8.64766,-3.04785
Ak,28,1739351944930,-2.42961,-3.27069,10.55384,-12.24482,7.20957,-3.06311
Ak,29,1739351944947,-0.12054,2.63958,10.6017,4.9704,9.05201,-2.50618
Ak,30,1739351944963,2.9662,-1.09322,11.88665,30.66926,11.84047,-1.91111
Ak,31,1739351944980,2.9662,-1.09322,11.88665,22.5709,8.99479,-2.43752
Ak,32,1739351944996,0.52792,-5.61566,7.91456,-49.34547,6.8014,-6.51913
Ak,33,1739351945020,0.44895,-0.16002,11.90818,-38.88969,2.83424,-6.30169
Ak,34,1739351945032,-0.9341,0.6679,10.98216,30.84473,-4.61946,-3.08218
Ak,35,1739351945048,0.89641,-3.75883,6.84736,12.21049,6.47716,-3.51323
Ak,36,1739351945061,-0.96042,-2.39013,11.81486,4.48595,1.09097,-4.45925
Ak,37,1739351945088,1.66211,4.29542,10.12074,-4.51265,-0.91931,-5.39001
Ak,38,1739351945102,1.66211,4.29542,10.12074,-3.92521,-1.04901,-5.58837
Ak,39,1739351945110,2.32493,-0.77258,9.91496,48.54822,-3.33395,-3.90232
Ak,40,1739351945130,-1.73809,-3.22044,7.28046,43.15821,-2.88764,-3.8184
Ak,41,1739351945144,-1.78355,-2.70838,10.59691,-24.42097,-17.77596,-5.47011
Ak,42,1739351945162,0.60927,1.88345,9.55843,11.63448,-16.98253,-3.02115
Ak,43,1739351945180,0.60927,1.88345,9.55843,39.45044,-13.43497,-2.14761
Ak,44,1739351945196,1.51376,-2.00489,9.35025,26.35115,-10.33371,-1.27407
Ak,45,1739351945215,-1.16381,-2.73948,12.00629,-13.04588,18.18031,-0.56074
Ak,46,1739351945237,-2.27408,-5.32852,5.0336,-9.2847,-27.20943,-0.75529
Ak,47,1739351945250,0.99691,2.29262,10.69023,-29.24261,5.8859,-1.00324
Ak,48,1739351945264,2.16939,2.13709,11.70001,6.20633,22.13222,1.08334
Ak,49,1739351945278,2.16939,2.13709,11.70001,28.94125,1.12149,0.8888
Ak,50,1739351945298,-1.09442,-3.89282,7.51974,-23.23845,20.50339,0.16403
Ak,51,1739351945314,0.17617,-5.31416,11.36501,-26.46559,-3.81077,-1.25118
Ak,52,1739351945329,1.26012,-3.94307,13.92533,-26.37022,-3.27291,-1.53728
Ak,53,1739351945347,0.87727,-0.68405,9.05833,-26.54188,9.87215,-1.20541
Ak,54,1739351945362,1.85354,-2.70838,10.55624,17.27625,19.42005,2.37649
Ak,55,1739351945379,1.85354,-2.70838,10.55624,9.86833,16.47901,2.5634
Ak,56,1739351945396,-0.11575,-4.28764,7.4336,-59.49227,9.22748,-1.66697
Ak,57,1739351945415,-0.71635,0.25155,12.55664,-43.25358,-3.54756,0.70951
Ak,58,1739351945429,0.19531,-1.12672,10.0681,5.43197,8.36538,5.24124
Ak,59,1739351945446,2.08564,-1.11476,5.25613,13.82406,4.88267,5.89353
Ak,60,1739351945463,0.75523,-5.17777,11.75983,-17.09315,-8.61333,2.8762
Ak,61,1739351945491,-4.02802,-1.64118,10.49402,-21.57911,-12.83226,1.61738
Ak,62,1739351945504,-2.24776,-1.80628,8.91955,14.43057,-8.81169,3.18899
Ak,63,1739351945513,-2.24776,-1.80628,8.91955,29.2655,2.59392,4.00531
Ak,64,1739351945533,0.42981,-3.7014,10.97019,54.83847,-0.60652,4.23419
Ak,65,1739351945545,-0.48185,-2.54327,8.4697,-12.89711,-3.11652,1.21304
Ak,66,1739351945564,-0.00808,-4.01246,10.77398,-13.66766,-10.48248,0.63322
Ak,67,1739351945579,-0.00808,-4.01246,10.77398,-16.9749,-2.88001,0.74384
Ak,68,1739351945592,-1.09202,-3.26351,10.5012,14.75863,-4.97422,2.52526
Ak,69,1739351945615,1.57597,-2.91894,11.42004,0.21743,-1.36181,3.68489
Ak,70,1739351945630,2.02822,-0.85155,7.20628,-17.837,-0.66374,4.25708
Ak,71,1739351945644,0.96341,-0.85872,11.20469,-23.71527,-1.80811,4.34481
Ak,72,1739351945670,-1.20688,-1.81825,10.75484,-17.36018,-2.2506,5.43578
Ak,73,1739351945683,-1.20688,-1.81825,10.75484,-4.53173,1.12149,6.21777
Ak,74,1739351945695,-1.05374,-7.13988,8.21366,1.69368,2.15524,6.52675
Ak,75,1739351945718,3.32991,2.02463,10.87448,-32.07684,16.89861,4.7072
Ak,76,1739351945729,1.25773,-0.25334,7.57717,-11.25684,0.17929,5.69899
Ak,77,1739351945751,-3.03739,-3.52433,12.59492,-9.10541,0.72859,5.50826
Ak,78,1739351945765,-0.33829,-7.08006,9.87189,-5.57692,2.81898,5.2298
Ak,79,1739351945779,-0.33829,-7.08006,9.87189,9.70812,-0.679,5.79817
Ak,80,1739351945794,-1.10399,0.53629,7.92892,-39.29022,8.9185,2.30019
Ak,81,1739351945814,3.71755,1.01725,9.7666,-26.18331,7.56432,3.48272
Ak,82,1739351945830,0.31496,-0.48305,10.27388,16.9215,-12.87041,5.45104
Ak,83,1739351945847,1.98993,-6.64935,10.37438,14.14067,-5.22598,5.22217
Ak,84,1739351945868,1.4348,2.91236,12.36042,-22.30388,-10.55496,2.46804
Ak,85,1739351945881,1.4348,2.91236,12.36042,12.40121,-12.85896,4.13882
Ak,86,1739351945895,-0.94128,-2.9333,6.53869,3.01734,3.33013,4.35244
Ak,87,1739351945917,-1.41984,-3.61286,11.834,42.93315,0.84684,5.40527
Ak,88,1739351945929,1.98036,-3.38315,7.86192,31.81364,1.52583,4.80638
Ak,89,1739351945947,0.8988,0.54826,11.51097,-10.21164,0.576,2.65114
Ak,90,1739351945964,-1.16859,-2.57677,7.27568,-14.85399,3.38735,2.54814
Ak,91,1739351945981,-1.16859,-2.57677,7.27568,12.98103,21.06414,5.39001
Ak,92,1739351945996,1.00648,-2.19392,11.56122,10.35278,11.55819,4.62709
Ak,93,1739351946009,1.85593,-3.01466,6.83061,-12.91618,-7.40029,2.83424
Ak,94,1739351946027,2.43739,-0.84437,8.39312,-12.69875,-11.41324,2.98682
Ak,95,1739351946044,-0.5321,-2.41645,12.75524,-28.48732,-17.19233,1.59068
Ak,96,1739351946064,-0.5321,-2.41645,12.75524,10.06669,-2.83042,3.52849
Ak,97,1739351946080,0.75045,-3.80668,6.90718,8.83458,-4.7339,2.97156
Ak,98,1739351946093,-2.49422,-1.9331,7.99831,-19.54212,-19.30943,0.09155
Ak,99,1739351946113,-1.73809,-2.61027,13.76501,-13.37393,-14.70141,-1.04138
Ak,100,1739351946132,1.96361,-2.04556,8.81426,-4.89411,-5.75239,-1.75089
Ak,101,1739351946151,1.48983,-0.25334,9.52972,-1.55635,-4.85215,-1.94544
Ak,102,1739351946165,-0.11575,-4.90259,9.28565,21.38838,11.21488,-0.30898
