ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,751,1739358408923,0.45015,-1.51735,10.7668,2.12091,-7.5071,-1.93781
Abj,752,1739358408944,0.27787,-0.30299,10.94866,-5.93549,-1.95307,-2.36504
Abj,753,1739358408958,0.42861,-0.68375,11.73201,-0.44249,-9.155,-1.75471
Abj,754,1739358408971,-0.80489,-3.25185,5.20439,-0.13733,4.45543,-0.28991
Abj,755,1739358408981,-0.80489,-3.25185,5.20439,-0.19836,47.35426,-4.80638
Abj,756,1739358408998,0.74507,-0.34367,9.81805,2.73124,-28.18978,-2.30401
Abj,757,1739358409017,-0.1678,-0.09691,12.08914,-6.11859,14.51831,-0.77818
Abj,758,1739358409035,0.37358,-3.44327,7.8012,-1.11386,2.5634,-2.97538
Abj,759,1739358409050,-0.1319,-2.37518,9.99542,4.31811,-13.1832,-2.18194
Abj,760,1739358409069,-0.23719,-2.60489,8.93899,5.59981,-1.52583,-3.21951
Abj,761,1739358409084,-0.23719,-2.60489,8.93899,4.13501,3.662,-3.95191
Abj,762,1739358409110,0.78096,0.25274,11.36322,-2.45659,-14.52594,-2.85331
Abj,763,1739358409127,-0.18694,-0.03948,10.26371,-1.84626,10.6198,-3.09744
Abj,764,1739358409143,0.82642,-2.44696,9.99063,4.62328,-6.34747,-2.73124
Abj,765,1739358409157,-0.28744,-2.45175,10.25893,-0.13733,5.55404,-4.62328
Abj,766,1739358409168,-0.2013,-1.0672,10.95823,-0.86973,-2.0141,-3.34158
Abj,767,1739358409189,-0.2013,-1.0672,10.95823,-4.53173,6.9578,-5.23361
Abj,768,1739358409206,0.40469,-1.86012,10.75963,-3.12796,0.48827,-4.98948
Abj,769,1739358409223,0.12921,-1.37378,10.21346,-3.86036,1.4648,-2.97538
Abj,770,1739358409239,0.35922,-0.55454,9.63111,-1.90729,5.1268,-3.15848
Abj,771,1739358409250,0.23719,-1.51974,9.27667,-5.20309,7.1409,-1.93781
Abj,772,1739358409265,0.23719,-1.51974,9.27667,-4.77586,4.2113,0.01526
Abj,773,1739358409281,-0.43848,-3.03141,7.81556,-1.78523,1.03757,-4.80638
Abj,774,1739358409303,0.1651,-1.97976,10.28286,4.92844,5.3099,-3.15848
Abj,775,1739358409318,-0.00718,-0.54497,9.38465,-3.55519,-0.61033,-4.25708
Abj,776,1739358409335,0.17468,-1.22513,10.15574,-3.37209,-15.50247,-2.79228
Abj,777,1739358409354,0.18185,-3.21595,9.51626,1.02231,5.18784,-3.89088
Abj,778,1739358409370,-0.04546,-2.55224,8.79512,5.29464,7.75124,-4.13501
Abj,779,1739358409395,0.03829,0.88056,9.52343,1.93781,-1.03757,-4.07398
Abj,780,1739358409410,0.03829,0.88056,9.52343,-1.66316,-6.7747,-2.79228
Abj,781,1739358409423,0.11007,-0.95444,10.23739,-2.33453,1.58687,-2.67021
Abj,782,1739358409436,0.14118,-2.07308,9.40379,-2.21246,-2.62443,-4.07398
Abj,783,1739358409459,0.10528,-2.73679,9.50908,-0.07629,-1.58687,-3.64674
Abj,784,1739358409475,-0.05982,-1.29452,10.50808,-2.27349,-4.88267,-4.13501
Abj,785,1739358409494,0.09571,-0.42024,9.52583,-4.10449,0.06103,-2.54814
Abj,786,1739358409509,0.09571,-0.42024,9.52583,-5.08103,3.17373,-3.46364
Abj,787,1739358409516,0.14596,-1.33549,8.57468,-3.79933,2.25823,-3.09744
Abj,788,1739358409534,0.47438,-3.06969,10.52722,1.44954,-2.25823,-2.30401
Abj,789,1739358409556,0.00479,-2.95962,10.14617,2.12091,-3.17373,-2.79228
Abj,790,1739358409570,0.00479,-2.95962,10.14617,7.36215,-11.65737,-3.82984
Abj,791,1739358409586,-0.02393,0.11874,10.19671,-0.44249,-2.13617,-1.32748
Abj,792,1739358409603,0.08375,-0.38674,8.8358,-3.67726,-0.9155,-1.32748
Abj,793,1739358409620,0.88146,-2.78225,9.74148,-2.27349,-1.831,-1.08334
Abj,794,1739358409645,0.04546,-0.79412,10.95344,-3.43313,2.1972,-1.75471
Abj,795,1739358409663,-0.4672,-2.25045,9.34128,-1.11386,1.58687,-0.47301
Abj,796,1739358409679,0.42144,-1.12941,9.39422,-1.78523,-2.3803,1.11386
Abj,797,1739358409694,0.21565,-2.08265,9.04427,-3.92139,4.15027,0.44249
Abj,798,1739358409706,0.21565,-2.08265,9.04427,-3.55519,-4.27234,1.29696
Abj,799,1739358409718,0.32094,-1.17966,10.41446,-1.96833,-0.24413,0.93076
Abj,800,1739358409736,-0.00479,-1.19163,10.26132,-6.42376,1.76997,1.11386
Abj,801,1739358409754,-0.22762,-1.91755,9.04666,1.02231,-3.90613,2.76176
Abj,802,1739358409783,0.23958,-1.86969,8.59651,2.73124,-4.3944,2.51763
Abj,803,1739358409794,-0.1343,-1.02383,9.80609,-4.10449,3.23477,1.17489
Abj,804,1739358409800,-0.1343,-1.02383,9.80609,-4.77586,-0.48827,0.68663
Abj,805,1739358409819,0.34965,-2.48046,11.15713,-2.94486,-11.04704,1.48006
Abj,806,1739358409835,0.47677,-2.49003,11.00639,0.22888,-4.0282,1.54109
Abj,807,1739358409854,-0.70439,-3.92483,7.55923,4.86741,0.85447,-0.47301
Abj,808,1739358409868,-0.70439,-3.92483,7.55923,6.21014,6.4085,0.25939
Abj,809,1739358409886,0.34726,0.03739,11.50679,-1.23593,-7.81227,-0.59508
Abj,810,1739358409902,-0.35234,0.73669,10.62533,-3.55519,5.61507,1.60213
Abj,811,1739358409926,0.6658,-2.17866,9.11635,-0.68663,11.7184,0.01526
Abj,812,1739358409945,-0.05025,-1.47189,9.24317,-1.41903,-3.05167,2.39556
Abj,813,1739358409961,0.35683,-1.53171,8.77837,0.04578,12.57287,0.93076
Abj,814,1739358409976,-0.2994,-1.09113,9.64547,-5.87446,-2.0141,0.56456
Abj,815,1739358409992,-0.2994,-1.09113,9.64547,1.02231,-2.68547,0.93076
Abj,816,1739358410005,0.30658,-1.93908,9.87787,0.71714,8.2395,0.56456
Abj,817,1739358410021,-0.067,-3.64457,8.67069,5.47774,-1.4648,1.78523
Abj,818,1739358410041,0.38794,-0.75075,10.48894,6.51531,-7.6902,0.74766
Abj,819,1739358410051,0.38794,-0.75075,10.48894,2.54814,-9.09397,1.05283
Abj,820,1739358410069,-0.1654,-0.72443,8.88874,-1.17489,2.25823,0.50353
Abj,821,1739358410086,0.09332,0.43968,9.9356,-5.63033,-5.493,-0.28991
Abj,822,1739358410105,0.47677,-1.71147,9.94038,-0.99179,-4.5775,1.78523
Abj,823,1739358410121,-0.01914,-3.74776,10.80748,1.08334,5.3099,-2.36504
Abj,824,1739358410138,0.25872,-0.89222,10.95823,-1.23593,-0.48827,-0.65611
Abj,825,1739358410157,-0.28265,-2.0994,9.01795,2.60918,4.7606,0.99179
Abj,826,1739358410181,0.34247,-2.09701,10.95823,3.70778,3.53993,-1.57161
Abj,827,1739358410196,-0.2994,-0.31735,10.62054,0.65611,-2.68547,-0.65611
Abj,828,1739358410210,-0.2994,-0.31735,10.62054,-1.54109,5.43197,-0.28991
Abj,829,1739358410224,0.52223,-0.97597,8.85524,-2.33453,-0.06103,-0.96128
Abj,830,1739358410237,-0.11755,-0.36042,8.99881,-7.88856,1.58687,-0.71714
Abj,831,1739358410262,-0.12233,-3.89372,8.96531,2.91434,0.1831,-1.51058
Abj,832,1739358410279,-0.03829,-2.38953,10.50329,3.46364,-2.31927,-3.28054
Abj,833,1739358410293,0.28026,-0.07059,10.84816,1.87678,-10.31464,-2.60918
Abj,834,1739358410302,0.28026,-0.07059,10.84816,-0.25939,-12.14564,-2.54814
Abj,835,1739358410322,0.58923,-1.47667,9.58804,-0.13733,-1.52583,-2.18194
Abj,836,1739358410334,0.19382,-2.41585,8.56989,4.01294,-9.27707,-3.40261
Abj,837,1739358410356,0.19382,-2.41585,8.56989,-0.86973,16.10518,-3.21951
Abj,838,1739358410371,0.10768,-1.37378,8.77358,1.99884,-12.14564,-4.01294
Abj,839,1739358410387,0.09093,-1.57268,11.52623,2.60918,-7.26297,-2.60918
