ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,1001,1739358065126,0.89205,0.97005,8.04705,3.47427,-13.31411,-7.47638
HS,1002,1739358065143,0.03705,0.34995,13.82895,1.65442,21.47589,-7.68909
HS,1003,1739358065159,-1.84395,-2.32095,7.64295,-2.96219,6.21588,-6.21588
HS,1004,1739358065176,-1.84395,-2.32095,7.64295,-2.54465,5.09718,-7.19277
HS,1005,1739358065193,-1.245,0.31395,11.33895,1.23687,1.52837,-4.0415
HS,1006,1739358065206,-1.99905,-3.60195,6.33795,-2.54465,-6.03468,-6.42859
HS,1007,1739358065225,0.16395,-2.58,12.86505,4.17543,4.25421,-4.39602
HS,1008,1739358065244,-1.03395,-0.55395,9.29205,3.26944,-1.96954,-4.25421
HS,1009,1739358065259,-1.05795,-0.83895,7.353,2.35557,-12.1245,-4.32512
HS,1010,1739358065276,-1.13505,-0.411,11.193,-1.28414,-5.68016,-4.95537
HS,1011,1739358065293,-3.04305,-3.52095,7.96605,3.40337,0.96901,-4.95537
HS,1012,1739358065306,-3.04305,-3.52095,7.96605,1.93803,-7.57092,-4.74266
HS,1013,1739358065325,0.47595,1.116,11.30595,0.04727,2.71797,-3.90757
HS,1014,1739358065342,-0.426,-1.75605,9.81195,1.86713,-2.52889,-4.88447
HS,1015,1739358065359,-0.31605,-2.26905,7.848,-0.8666,-9.67439,-4.46692
HS,1016,1739358065378,-2.15505,1.791,10.36695,-0.58298,-1.89864,-3.69486
HS,1017,1739358065386,-2.15505,1.791,10.36695,-6.74371,-8.76052,-5.09718
HS,1018,1739358065408,1.51695,-3.97605,10.76205,-2.47375,-18.34826,-3.83667
HS,1019,1739358065425,1.51695,-3.97605,10.76205,1.86713,-1.69381,-4.81356
HS,1020,1739358065441,-1.17795,-4.39005,9.79305,-2.12711,7.54729,-4.60873
HS,1021,1739358065458,2.853,2.97405,14.196,-3.45064,15.66968,-4.67175
HS,1022,1739358065475,-1.28805,-1.059,7.30305,3.47427,-9.24897,-0.54359
HS,1023,1739358065491,0.033,-1.74405,7.647,5.01839,-4.84507,-2.08771
HS,1024,1739358065508,3.693,2.076,15.29505,1.30778,19.72694,-1.66229
HS,1025,1739358065525,-1.29495,0.38805,5.50005,9.00475,8.46115,1.83561
HS,1026,1739358065541,-1.29495,0.38805,5.50005,3.19854,-24.93441,0.01576
HS,1027,1739358065558,3.63405,0.85695,13.17795,-5.97165,9.15443,-2.57616
HS,1028,1739358065574,-1.95105,0.417,9.30405,-1.56776,5.58562,-6.35768
HS,1029,1739358065592,-2.96595,-4.57695,5.34405,-0.30725,-35.64084,-8.10664
HS,1030,1739358065608,-0.98595,0.42405,10.87995,-1.9853,-7.78363,-3.06461
HS,1031,1739358065624,-1.04895,-3.78405,10.092,-4.99476,-8.48479,-1.7332
HS,1032,1739358065641,2.14905,-1.002,8.88795,-1.9144,-3.51366,1.90652
HS,1033,1739358065658,-1.08195,0.0,10.482,-3.80516,6.28678,0.57511
HS,1034,1739358065674,-1.08195,0.0,10.482,-7.16126,-3.02522,0.5042
HS,1035,1739358065690,-1.64505,-2.87895,8.49,-5.2705,-3.7894,0.29149
HS,1036,1739358065707,-1.00605,-4.82295,9.97695,-0.9375,-2.52889,1.34717
HS,1037,1739358065724,0.72495,-1.51395,11.823,3.89969,7.61819,0.08666
HS,1038,1739358065741,0.48495,-2.565,9.13395,0.39391,-2.88341,1.90652
HS,1039,1739358065757,-0.43995,-0.40305,10.10895,2.98583,2.93068,0.22059
HS,1040,1739358065775,-1.96305,-2.661,10.96305,-3.1749,0.19695,0.01576
HS,1041,1739358065791,0.95895,-2.11995,6.972,6.2789,0.54359,2.32406
HS,1042,1739358065807,0.95895,-2.11995,6.972,1.02416,-9.95013,-0.7563
HS,1043,1739358065823,-3.132,-1.62405,11.42805,3.89969,1.67017,1.41807
HS,1044,1739358065840,0.31005,-1.05495,8.38995,2.00893,-7.92544,0.78782
HS,1045,1739358065857,1.20795,-1.014,9.80895,-4.2227,2.71797,-1.24475
HS,1046,1739358065873,0.49905,-2.04795,8.22195,-0.72479,3.56093,1.69381
HS,1047,1739358065888,-1.152,-3.348,5.12595,8.02785,-0.92175,-0.12605
HS,1048,1739358065907,0.588,4.97805,13.81995,-0.65389,10.1392,-1.10294
HS,1049,1739358065923,0.588,4.97805,13.81995,-1.84349,-4.41965,1.97742
HS,1050,1739358065940,-0.67995,-4.16205,6.783,-8.14603,10.84036,-2.22164
HS,1051,1739358065956,-1.45095,-3.42495,12.43605,5.78258,23.09091,3.02522
HS,1052,1739358065973,-2.181,-3.861,7.18005,3.82879,-28.84986,0.08666
HS,1053,1739358065990,1.644,-0.231,16.236,-1.07143,10.21011,-1.03204
HS,1054,1739358066006,-1.28295,-2.46705,5.469,3.12763,-1.19748,-0.47269
HS,1055,1739358066023,-0.96495,-0.77895,11.83305,-0.65389,-7.57092,-2.71009
HS,1056,1739358066039,-0.96495,-0.77895,11.83305,3.26944,2.37133,0.15756
HS,1057,1739358066055,-0.58905,-0.70305,6.17205,-3.31671,-8.13027,-2.64706
HS,1058,1739358066072,-0.42105,-2.51505,10.971,-3.80516,1.03992,-0.33088
HS,1059,1739358066089,-0.084,1.104,9.03795,-2.89129,-8.97324,-0.47269
HS,1060,1739358066102,-3.759,-6.348,9.606,-2.33194,-5.19171,-0.54359
HS,1061,1739358066122,-0.50505,-2.814,10.647,6.2789,-5.60926,0.64601
HS,1062,1739358066139,-1.233,-1.488,8.15295,5.22323,-2.04045,1.06355
HS,1063,1739358066155,-0.07695,3.27105,13.35495,0.60662,1.67017,1.13446
HS,1064,1739358066171,-0.07695,3.27105,13.35495,-10.45433,3.56093,0.64601
HS,1065,1739358066188,-2.394,-2.52495,10.542,-1.63078,0.06303,1.6229
HS,1066,1739358066205,-0.47895,-2.84295,9.57,1.72532,-5.12081,0.64601
HS,1067,1739358066222,-1.29495,-1.62405,12.95805,1.93803,3.27732,1.27626
HS,1068,1739358066238,-0.48405,-1.32495,10.04595,3.68698,-0.56723,0.85872
HS,1069,1739358066255,0.73905,-1.11,8.373,5.29413,-8.05937,3.23793
HS,1070,1739358066271,-0.249,-1.54305,10.52295,0.81933,-0.85084,1.41807
HS,1071,1739358066289,-0.249,-1.54305,10.52295,-2.68646,-5.82197,1.41807
HS,1072,1739358066306,-2.703,-1.455,9.618,-4.50631,-2.18225,1.83561
HS,1073,1739358066321,2.592,-2.27805,9.53205,-6.531,-1.41019,0.3624
HS,1074,1739358066338,-1.40805,-0.516,10.03005,-7.02733,-7.71273,1.83561
HS,1075,1739358066355,-4.041,-5.937,11.38695,-1.35505,-4.56146,4.00211
HS,1076,1739358066371,-0.78495,0.513,8.739,3.89969,-1.75683,2.95431
HS,1077,1739358066388,-1.089,0.83805,9.70395,-3.59245,-2.04045,3.44276
HS,1078,1739358066404,-0.34695,-1.134,11.979,-12.20328,-11.21064,0.64601
HS,1079,1739358066421,-0.34695,-1.134,11.979,-5.76682,-0.92175,3.58457
HS,1080,1739358066438,-1.65705,-6.51105,7.88895,-7.02733,-1.26839,1.4811
HS,1081,1739358066454,-4.00605,-0.894,11.667,-8.35086,-0.85084,2.67858
HS,1082,1739358066471,0.504,-3.99705,9.31095,-7.09035,-2.32406,1.97742
HS,1083,1739358066487,0.29805,-2.66595,9.97905,-0.9375,-2.11135,3.37186
HS,1084,1739358066503,-0.543,1.32195,9.297,3.12763,1.24475,2.95431
HS,1085,1739358066520,-1.42905,-2.74005,10.07505,0.2521,2.08771,2.53677
HS,1086,1739358066538,-1.42905,-2.74005,10.07505,4.66388,9.09141,6.87764
HS,1087,1739358066553,0.708,-4.878,8.57205,6.55464,-3.58457,5.40442
HS,1088,1739358066570,0.25305,2.38305,11.34405,-3.104,-2.5998,2.46587
HS,1089,1739358066587,1.17,0.48405,10.54395,0.04727,23.22484,12.40812
HS,1090,1739358066603,-0.40905,-3.94905,3.879,10.12345,16.37084,15.34667
HS,1091,1739358066620,-0.67005,-0.777,9.27105,5.15232,-32.41867,3.86818
HS,1092,1739358066637,-4.425,0.83805,10.32195,9.7059,3.76576,2.95431
HS,1093,1739358066653,-4.425,0.83805,10.32195,4.38814,-9.39078,3.65547
HS,1094,1739358066670,0.91605,-3.447,9.97005,5.78258,-3.30095,4.42753
HS,1095,1739358066687,-0.75705,-1.57905,8.29095,-0.65389,-7.35821,1.27626
HS,1096,1739358066700,-1.10805,-1.26495,13.767,-3.94696,8.73689,3.23793
HS,1097,1739358066719,-1.71705,-2.829,8.06895,-2.96219,-0.3624,3.30095
HS,1098,1739358066736,-0.21495,-4.00695,11.469,-2.89129,-8.41389,3.72637
HS,1099,1739358066752,-0.93105,-1.881,11.56905,-2.33194,-0.77994,3.51366
HS,1100,1739358066769,-2.37705,-1.311,10.05105,-2.61555,-7.50002,3.23793
HS,1101,1739358066786,-2.37705,-1.311,10.05105,2.63919,-19.33303,4.77417
HS,1102,1739358066802,0.018,-4.05705,9.06705,0.95326,-18.63187,2.39496
HS,1103,1739358066819,0.07605,0.939,12.20805,-1.9144,-14.01526,3.86818
HS,1104,1739358066836,-2.10495,-3.31995,10.734,-0.02363,-3.15915,5.26262
HS,1105,1739358066852,-1.69695,-3.729,10.50405,4.66388,-0.70904,5.96377
HS,1106,1739358066869,1.51005,-1.51695,9.16995,7.3267,-4.63236,7.15338
HS,1107,1739358066886,-2.50395,0.74205,12.59895,-0.51208,-0.4333,6.38132
HS,1108,1739358066901,-2.50395,0.74205,12.59895,-2.40284,-1.96954,7.01157
HS,1109,1739358066918,-0.474,-2.508,8.979,-4.71115,-14.99216,7.64182
HS,1110,1739358066934,-1.19505,-0.67395,9.91005,-0.51208,-7.50002,6.73584
HS,1111,1739358066952,-1.848,-4.43505,7.83705,-2.89129,-18.84458,4.28572
HS,1112,1739358066969,0.39405,-1.73505,10.30995,-5.13657,-6.10558,6.31829
HS,1113,1739358066985,-2.67,-2.77095,9.465,-0.16544,-1.4811,7.22428
HS,1114,1739358067001,-0.30405,-4.28205,6.56505,4.59297,-11.49425,7.15338
HS,1115,1739358067018,-0.90705,-1.80405,12.762,3.05673,26.51792,7.92544
HS,1116,1739358067033,-0.90705,-1.80405,12.762,3.61608,11.88816,8.83143
HS,1117,1739358067050,-0.519,-2.66595,5.77305,-1.00053,-3.58457,6.73584
HS,1118,1739358067067,-0.024,1.07295,13.659,-2.0562,9.0205,6.66493
HS,1119,1739358067085,-0.06495,-5.39805,8.31105,-4.43541,-3.51366,6.87764
