ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,601,1739357995952,0.09811,-1.65404,9.99303,-0.32043,-14.83111,-0.47301
Abj,602,1739357995972,0.75942,-0.94965,10.23979,0.71714,-16.66211,-0.90024
Abj,603,1739357995984,0.75942,-0.94965,10.23979,1.57161,-8.66674,0.62559
Abj,604,1739357996004,-0.47677,-0.57846,7.18295,-9.2313,4.63854,-0.28991
Abj,605,1739357996017,0.88863,2.05424,10.22304,-12.28296,2.99063,1.48006
Abj,606,1739357996036,-0.40259,-3.81954,9.38226,-4.34863,-6.4085,0.07629
Abj,607,1739357996050,0.36401,-4.49013,7.93998,8.58282,-32.64522,7.40029
Abj,608,1739357996071,0.34965,-2.79422,6.65354,1.69368,48.51389,-2.67021
Abj,609,1739357996087,0.61555,-0.3987,14.00549,13.40445,-54.86135,0.68663
Abj,610,1739357996103,0.61555,-0.3987,14.00549,-0.56456,-7.26297,1.17489
Abj,611,1739357996123,0.07896,-1.72822,9.13789,-2.45659,-1.2817,2.39556
Abj,612,1739357996143,0.70887,-0.43938,11.89023,-2.57866,-1.34273,1.35799
Abj,613,1739357996158,-0.30658,-1.1988,9.83241,-0.56456,4.45543,1.29696
Abj,614,1739357996168,0.51506,-2.64826,9.32453,-0.99179,1.6479,2.27349
Abj,615,1739357996189,1.03968,-0.00359,10.27328,-4.89793,-5.92024,3.86036
Abj,616,1739357996211,0.04546,-3.75015,6.05474,9.37625,10.19257,4.40966
Abj,617,1739357996226,0.04546,-3.75015,6.05474,3.64674,19.33994,2.63969
Abj,618,1739357996242,0.24437,-2.19302,9.39661,8.52178,-15.62454,2.45659
Abj,619,1739357996256,-0.28026,-1.1677,10.78595,0.41198,-1.0986,4.16553
Abj,620,1739357996268,0.47916,-0.533,11.15474,-0.13733,-5.8592,2.63969
Abj,621,1739357996283,0.47916,-0.533,11.15474,-1.90729,-17.27244,3.25003
Abj,622,1739357996301,0.05982,-1.39053,11.6698,3.52468,2.44133,2.70073
Abj,623,1739357996319,-0.22762,-3.43131,9.92842,8.33868,3.1127,1.48006
Abj,624,1739357996336,0.54138,-3.13908,10.75963,7.66732,1.40377,1.78523
Abj,625,1739357996354,0.45972,-0.04187,10.56072,5.41671,-1.58687,3.00589
Abj,626,1739357996370,0.17707,-1.11506,8.69223,2.48711,11.96254,1.23593
Abj,627,1739357996386,0.17707,-1.11506,8.69223,4.07398,-5.73714,3.18899
Abj,628,1739357996403,0.33769,-1.37139,8.84567,2.97538,-1.15963,2.63969
Abj,629,1739357996428,0.05503,-0.9329,8.81187,1.51058,6.0423,2.09039
Abj,630,1739357996445,0.43819,-0.72682,11.25315,-3.61623,-3.72303,2.88383
Abj,631,1739357996461,0.0335,-1.23709,10.34507,-4.16553,5.6761,2.94486
Abj,632,1739357996476,-0.00239,-1.85294,9.45165,-3.18899,0.0,2.27349
Abj,633,1739357996486,-0.00239,-1.85294,9.45165,-2.15143,0.9155,2.27349
Abj,634,1739357996506,0.06939,-1.79522,9.9667,-3.25003,0.3662,1.66316
Abj,635,1739357996526,0.20608,-1.37856,10.46022,-7.94959,-0.3662,1.84626
Abj,636,1739357996539,0.39511,-1.74736,11.17388,-4.53173,1.34273,1.78523
Abj,637,1739357996552,-0.10798,-3.07926,9.39183,1.63264,6.4085,2.09039
Abj,638,1739357996577,0.26351,-2.55703,9.28625,-6.30169,13.12217,-0.71714
Abj,639,1739357996588,0.39751,0.78455,12.34547,-4.59276,-8.84984,1.90729
Abj,640,1739357996601,0.39751,0.78455,12.34547,-2.51763,5.1268,2.09039
Abj,641,1739357996620,-0.15344,-3.81236,7.17338,-0.44249,-3.35683,0.38146
Abj,642,1739357996637,0.64187,-1.68754,10.88645,1.63264,-6.16437,1.48006
Abj,643,1739357996653,0.21326,-1.44796,9.12832,-3.92139,-2.7465,1.60213
Abj,644,1739357996671,0.17707,-0.81565,9.64307,-0.32043,-10.55877,2.02936
Abj,645,1739357996685,0.17707,-0.81565,9.64307,-5.14206,13.91561,1.60213
Abj,646,1739357996702,0.06939,-1.05284,8.7688,-2.63969,-7.5071,0.99179
Abj,647,1739357996728,0.17468,-2.0994,9.7678,0.90024,2.07513,1.54109
Abj,648,1739357996744,-0.37627,-2.81575,6.93859,-0.74766,3.23477,1.41903
Abj,649,1739357996759,0.68495,-0.10648,10.5679,-4.47069,-5.1268,1.05283
Abj,650,1739357996771,-0.05982,-2.21934,10.31875,-1.66316,-7.44607,1.41903
Abj,651,1739357996789,-0.05982,-2.21934,10.31875,2.24298,2.3803,2.57866
Abj,652,1739357996804,-0.07926,-3.84826,7.19492,0.83921,1.831,0.19836
Abj,653,1739357996821,0.41426,-0.09212,10.95105,2.05988,-14.15974,1.78523
Abj,654,1739357996843,-0.08644,-2.06351,10.31396,5.53878,3.60097,1.23593
Abj,655,1739357996853,0.62273,-2.48046,9.95474,6.51531,-8.0564,2.09039
Abj,656,1739357996871,0.16271,-0.07298,9.62633,4.74534,1.15963,1.72419
Abj,657,1739357996888,0.16271,-0.07298,9.62633,0.41198,-7.20194,1.78523
Abj,658,1739357996903,-0.08883,-0.70528,9.90419,4.13501,4.15027,1.78523
Abj,659,1739357996920,0.33769,-3.50339,9.49472,3.89088,-4.82164,1.48006
Abj,660,1739357996937,0.38794,-2.1018,11.26272,7.97248,-4.69957,1.90729
Abj,661,1739357996955,-0.15344,-2.12363,9.3676,8.88798,0.30517,0.80869
Abj,662,1739357996978,0.44058,0.94516,10.86252,0.71714,-4.15027,0.44249
Abj,663,1739357996994,0.23958,0.21924,10.89123,-4.95896,0.9155,0.25939
Abj,664,1739357997009,0.23958,0.21924,10.89123,-3.43313,3.2958,1.17489
Abj,665,1739357997027,0.22283,-1.97976,8.6013,-2.51763,12.75597,0.50353
Abj,666,1739357997042,0.23001,-1.78804,9.55933,-4.40966,2.50237,0.19836
Abj,667,1739357997055,0.37597,-1.64925,11.1691,-3.06693,0.42723,0.80869
Abj,668,1739357997072,0.17228,-4.24098,8.9007,2.18194,-0.61033,0.50353
Abj,669,1739357997091,0.17228,-4.24098,8.9007,1.87678,4.9437,1.17489
Abj,670,1739357997108,0.59402,-1.71864,9.88266,2.18194,-7.07987,0.25939
