ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Gar,11101,1742632383192,-0.42592,-2.20319,10.25325,2.62492,3.63989,18.44446
Gar,11102,1742632383200,-0.44566,-1.89153,10.54397,3.18491,5.03985,18.79445
Gar,11103,1742632383210,-0.44566,-1.89153,10.54397,4.09488,1.11997,19.35443
Gar,11104,1742632383218,-0.10349,-2.37009,9.45105,3.04491,4.47987,18.58445
Gar,11105,1742632383227,-0.10349,-2.37009,9.45105,-4.09488,-0.27999,19.77442
Gar,11106,1742632383234,-0.19561,-2.03809,8.98684,-2.62492,3.84989,19.35443
Gar,11107,1742632383243,-0.19561,-2.03809,8.98684,0.59498,1.67995,19.77442
Gar,11108,1742632383252,-0.19561,-2.03809,8.98684,5.98482,0.48999,20.3344
Gar,11109,1742632383261,-0.3338,-1.9675,9.75853,3.04491,4.75986,19.63442
Gar,11110,1742632383269,-0.3338,-1.9675,9.75853,4.23488,3.77989,19.77442
Gar,11111,1742632383280,-0.67717,-1.4327,10.32802,4.58487,6.22982,19.42443
Gar,11112,1742632383288,-0.67717,-1.4327,10.32802,3.2549,3.4999,19.63442
Gar,11113,1742632383293,-0.53061,-0.98285,10.67199,4.23488,6.7198,19.14444
Gar,11114,1742632383301,-0.53061,-0.98285,10.67199,3.3949,6.8598,19.35443
Gar,11115,1742632383311,-0.53061,-0.98285,10.67199,-0.035,3.56989,18.51446
Gar,11116,1742632383319,-0.62512,-1.85743,8.94018,-1.50496,4.19988,18.72445
Gar,11117,1742632383327,-0.62512,-1.85743,8.94018,-3.11491,8.46975,17.74448
Gar,11118,1742632383337,-0.34576,-2.49392,8.40658,1.71495,6.01982,18.23446
Gar,11119,1742632383343,-0.34576,-2.49392,8.40658,5.00485,6.29981,17.74448
Gar,11120,1742632383352,-0.34576,-2.49392,8.40658,6.40481,11.33967,17.39449
Gar,11121,1742632383361,-0.69452,-1.76231,10.79223,9.69471,7.34978,17.39449
Gar,11122,1742632383370,-0.69452,-1.76231,10.79223,8.85474,13.92959,17.39449
Gar,11123,1742632383378,0.58445,-1.5667,10.92443,4.37487,11.68966,17.0445
Gar,11124,1742632383389,0.58445,-1.5667,10.92443,-2.34493,9.58972,17.0445
Gar,11125,1742632383400,-0.64128,-0.7992,10.42613,-0.45499,6.99979,17.46449
Gar,11126,1742632383405,-0.64128,-0.7992,10.42613,0.45499,10.2197,17.18449
Gar,11127,1742632383411,-0.09033,-1.85563,8.99941,-1.50496,10.77968,16.69451
Gar,11128,1742632383419,-0.09033,-1.85563,8.99941,-6.05482,13.01962,17.25449
Gar,11129,1742632383427,-0.09033,-1.85563,8.99941,-7.59478,12.10964,15.92453
Gar,11130,1742632383436,-0.6682,-2.92403,10.64328,-5.49484,9.72971,17.0445
Gar,11131,1742632383444,-0.6682,-2.92403,10.64328,3.04491,16.65951,18.09447
Gar,11132,1742632383453,0.68195,-1.5326,11.61835,5.63483,14.62957,18.30446
Gar,11133,1742632383465,0.68195,-1.5326,11.61835,-0.66498,20.93814,17.74448
Gar,11134,1742632383472,-0.41097,-3.35892,7.49133,-6.12482,15.25955,16.9045
Gar,11135,1742632383479,-0.41097,-3.35892,7.49133,-11.23467,8.39975,17.18449
Gar,11136,1742632383485,-0.41097,-3.35892,7.49133,-7.52478,9.58972,16.62451
Gar,11137,1742632383494,-0.97149,-2.74038,8.86122,-2.76492,6.8598,17.0445
Gar,11138,1742632383503,-0.97149,-2.74038,8.86122,-4.02488,9.65972,15.64454
Gar,11139,1742632383510,0.05563,-2.31865,9.81656,-2.55492,13.22961,14.80456
Gar,11140,1742632383520,0.05563,-2.31865,9.81656,0.66498,13.22961,15.36455
Gar,11141,1742632383527,0.05563,-2.31865,9.81656,1.50496,15.46955,14.45457
Gar,11142,1742632383536,-0.76271,-1.90648,10.14856,-2.34493,12.03965,14.59457
Gar,11143,1742632383546,-0.76271,-1.90648,10.14856,-3.60489,19.03944,13.40461
Gar,11144,1742632383553,-0.72981,-2.1996,9.67478,-4.65486,10.84968,12.56463
Gar,11145,1742632383561,-0.72981,-2.1996,9.67478,-3.5349,14.83956,12.56463
Gar,11146,1742632383572,-0.2997,-2.09372,9.91167,0.94497,13.01962,12.84462
Gar,11147,1742632383579,-0.2997,-2.09372,9.91167,-0.105,20.93814,11.09467
Gar,11148,1742632383586,-0.2997,-2.09372,9.91167,0.24499,19.25818,10.81468
Gar,11149,1742632383596,-0.72562,-2.7332,8.56571,3.5349,15.04956,10.3247
Gar,11150,1742632383603,-0.72562,-2.7332,8.56571,6.61481,20.37815,9.90471
Gar,11151,1742632383612,-0.77886,-0.99362,10.29572,13.6846,11.26967,8.50475
Gar,11152,1742632383621,-0.77886,-0.99362,10.29572,15.99453,15.04956,8.71474
Gar,11153,1742632383629,-0.14297,-0.45344,11.72005,15.36455,14.55957,8.15476
Gar,11154,1742632383637,-0.14297,-0.45344,11.72005,9.06473,22.2681,5.98482
Gar,11155,1742632383648,-0.14297,-0.45344,11.72005,9.27473,12.38964,5.77483
Gar,11156,1742632383658,-0.36969,-1.08036,9.30868,5.14485,21.77811,3.18491
Gar,11157,1742632383663,-0.36969,-1.08036,9.30868,0.87497,12.94962,3.4649
Gar,11158,1742632383670,-0.37388,-2.12662,7.74377,-0.66498,11.54966,2.83492
Gar,11159,1742632383679,-0.37388,-2.12662,7.74377,3.2549,14.62957,2.76492
Gar,11160,1742632383688,0.15613,-1.86461,10.37707,9.62472,16.58951,2.34493
Gar,11161,1742632383695,0.15613,-1.86461,10.37707,10.53469,21.21813,3.04491
Gar,11162,1742632383703,0.15613,-1.86461,10.37707,10.2547,15.74954,3.2549
Gar,11163,1742632383712,-0.0341,-1.79222,9.03889,6.26482,23.73805,0.66498
Gar,11164,1742632383721,-0.0341,-1.79222,9.03889,-1.29496,13.22961,1.71495
Gar,11165,1742632383729,-0.73041,-1.22333,11.03809,-1.78495,13.08961,1.08497
Gar,11166,1742632383737,-0.73041,-1.22333,11.03809,-2.76492,17.0795,0.31499
Gar,11167,1742632383747,-0.20818,-1.23171,9.80698,-4.30487,11.96965,0.105
Gar,11168,1742632383753,-0.20818,-1.23171,9.80698,-6.33481,18.12947,-1.22496
Gar,11169,1742632383765,-0.52463,-3.2686,7.71685,-16.13453,13.4396,-1.50496
Gar,11170,1742632383771,-0.52463,-3.2686,7.71685,-19.07444,15.81953,-2.06494
Gar,11171,1742632383778,-0.52463,-3.2686,7.71685,-16.9045,7.83977,-2.48493
Gar,11172,1742632383786,-0.42353,-2.07936,12.16152,-13.5446,14.06959,-2.69492
Gar,11173,1742632383795,-0.42353,-2.07936,12.16152,-7.73477,13.78959,-2.06494
Gar,11174,1742632383805,0.46421,-2.42453,10.36092,-9.34472,18.19946,-3.2549
Gar,11175,1742632383813,0.46421,-2.42453,10.36092,-12.77462,16.23952,-2.69492
Gar,11176,1742632383820,0.46421,-2.42453,10.36092,-7.38478,10.56969,-2.83492
Gar,11177,1742632383828,-1.066,-2.73021,7.78325,-10.74468,10.00971,-4.09488
Gar,11178,1742632383837,-1.066,-2.73021,7.78325,-21.87436,-0.27999,-5.84483
Gar,11179,1742632383846,0.05922,-3.52642,7.05284,-18.58445,7.97977,-6.7548
Gar,11180,1742632383853,0.05922,-3.52642,7.05284,-11.16467,7.06979,-5.00485
Gar,11181,1742632383862,-0.48156,-0.00598,15.35056,5.49484,5.10985,-4.37487
Gar,11182,1742632383870,-0.48156,-0.00598,15.35056,10.3247,10.56969,-4.72486
Gar,11183,1742632383879,-0.48156,-0.00598,15.35056,4.02488,13.78959,-6.26482
Gar,11184,1742632383888,-0.33021,-3.86381,7.50688,-6.8948,17.42949,-7.31479
Gar,11185,1742632383895,-0.33021,-3.86381,7.50688,-19.49442,3.70989,-8.36475
Gar,11186,1742632383904,-0.36849,-2.84088,6.89372,-23.13432,10.0797,-8.22476
Gar,11187,1742632383912,-0.36849,-2.84088,6.89372,-1.43496,2.23993,-6.05482
Gar,11188,1742632383921,-0.03529,-0.63529,11.7338,17.25449,4.89986,-5.49484
Gar,11189,1742632383929,-0.03529,-0.63529,11.7338,13.96459,12.66963,-6.40481
Gar,11190,1742632383938,-0.03529,-0.63529,11.7338,0.80498,7.13979,-7.94477
Gar,11191,1742632383946,-0.76869,-3.23809,6.57428,2.97491,9.65972,-6.47481
Gar,11192,1742632383956,-0.76869,-3.23809,6.57428,17.39449,7.76977,-7.24479
Gar,11193,1742632383965,0.11186,-1.40818,10.401,14.31458,9.65972,-7.80477
Gar,11194,1742632383971,0.11186,-1.40818,10.401,9.90471,2.79992,-7.38478
Gar,11195,1742632383980,-0.38524,-3.15793,9.17408,2.97491,6.8598,-7.80477
Gar,11196,1742632383989,-0.38524,-3.15793,9.17408,6.40481,-0.20999,-8.85474
Gar,11197,1742632383999,-0.38524,-3.15793,9.17408,10.88468,4.89986,-7.94477
Gar,11198,1742632384004,-0.01795,-1.4351,9.71606,13.33461,5.31984,-8.29476
Gar,11199,1742632384013,-0.01795,-1.4351,9.71606,13.05462,6.99979,-8.43475
Gar,11200,1742632384021,-0.71845,0.58804,11.28934,13.19461,6.99979,-8.01476
Gar,11201,1742632384031,-0.71845,0.58804,11.28934,19.77442,-3.21991,-6.40481
Gar,11202,1742632384038,1.25743,-2.15474,9.6,10.74468,9.79971,-5.98482
Gar,11203,1742632384047,1.25743,-2.15474,9.6,6.7548,9.02973,-7.87477
Gar,11204,1742632384056,1.25743,-2.15474,9.6,-2.69492,5.52984,-10.1847
Gar,11205,1742632384064,-1.91067,-4.36212,7.23231,0.035,-7.20979,-8.78474
Gar,11206,1742632384074,-1.91067,-4.36212,7.23231,-1.08497,3.70989,-9.62472
Gar,11207,1742632384080,0.47916,0.75314,14.08176,10.60469,-0.07,-10.0447
Gar,11208,1742632384089,0.47916,0.75314,14.08176,20.61439,5.87983,-9.97471
Gar,11209,1742632384097,-0.57308,-3.9009,8.82533,5.84483,6.01982,-12.42463
Gar,11210,1742632384109,-0.57308,-3.9009,8.82533,-13.5446,-1.18996,-14.31458
Gar,11211,1742632384117,-0.57308,-3.9009,8.82533,-15.57454,-0.07,-13.40461
Gar,11212,1742632384123,0.39721,-1.63729,10.84726,2.83492,-3.98988,-9.90471
