ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,601,1739356109411,0.40469,-2.08265,9.19053,-2.70073,4.69957,0.62559
Abj,602,1739356109424,0.41186,-2.03958,9.36999,-3.18899,4.33337,1.17489
Abj,603,1739356109437,0.51027,-3.32842,8.8023,-1.17489,5.79817,1.11386
Abj,604,1739356109455,0.51506,-2.77268,8.5675,-2.57866,5.1268,1.48006
Abj,605,1739356109473,0.51506,-2.77268,8.5675,1.44954,5.6761,1.35799
Abj,606,1739356109490,0.40708,-2.66501,9.7678,1.75471,4.69957,1.72419
Abj,607,1739356109507,0.11486,-2.98834,8.80708,4.68431,6.16437,1.78523
Abj,608,1739356109525,0.40229,-2.74397,9.15703,2.12091,6.5916,1.96833
Abj,609,1739356109541,0.42383,-2.32941,9.66012,1.51058,3.23477,2.09039
Abj,610,1739356109558,0.35444,-2.68893,9.65295,3.52468,5.37094,2.02936
Abj,611,1739356109576,0.2659,-2.25524,10.24457,3.40261,3.96717,1.78523
Abj,612,1739356109592,0.2659,-2.25524,10.24457,4.07398,4.33337,1.60213
Abj,613,1739356109607,0.27787,-2.1667,10.42882,1.51058,5.1268,1.54109
Abj,614,1739356109626,-0.04307,-2.26002,9.47318,1.38851,8.4226,0.50353
Abj,615,1739356109647,0.28026,-2.4015,10.15813,-0.56456,5.98127,0.80869
Abj,616,1739356109668,0.28265,-2.71286,10.35464,1.26644,8.0564,0.19836
Abj,617,1739356109680,0.33769,-2.41107,10.28286,0.53404,9.7043,-0.16784
Abj,618,1739356109690,0.33769,-2.41107,10.28286,1.08334,9.3381,-0.28991
Abj,619,1739356109708,0.13878,-2.29352,10.1031,-0.56456,8.84984,-0.47301
Abj,620,1739356109727,0.34247,-2.02283,9.49472,-1.72419,7.324,-0.83921
Abj,621,1739356109739,0.54855,-2.06351,9.54258,-0.99179,10.49774,-0.96128
Abj,622,1739356109756,0.59641,-2.54507,9.75105,-1.84626,10.2536,-1.26644
Abj,623,1739356109776,0.59641,-2.54507,9.75105,-0.86973,11.10807,-1.02231
Abj,624,1739356109798,0.40229,-2.46132,9.24796,-0.74766,9.82637,-1.57161
Abj,625,1739356109816,0.69452,-2.19302,9.57368,-2.51763,8.2395,-1.32748
Abj,626,1739356109831,0.14836,-2.15234,9.01316,-1.72419,6.4085,-2.30401
Abj,627,1739356109851,0.21565,-2.3342,9.303,-2.88383,7.56814,-2.24298
Abj,628,1739356109864,0.22522,-1.91037,9.29103,-3.79933,5.493,-1.99884
Abj,629,1739356109875,0.22522,-1.91037,9.29103,-4.34863,5.92024,-2.54814
Abj,630,1739356109892,0.10768,-1.87208,9.57608,-4.71483,7.26297,-2.42608
Abj,631,1739356109908,0.26351,-2.82054,9.28385,-3.79933,10.86394,-3.15848
Abj,632,1739356109928,0.21565,-2.69851,9.54497,-0.80869,7.6902,-3.34158
Abj,633,1739356109939,0.23001,-2.80858,9.9667,0.10681,8.91087,-3.82984
Abj,634,1739356109959,0.3664,-2.34377,10.2015,0.65611,7.01884,-4.50121
Abj,635,1739356109977,0.3664,-2.34377,10.2015,1.81574,7.81227,-5.17258
Abj,636,1739356109993,0.28983,-2.19781,10.62294,0.77818,7.6902,-6.69841
Abj,637,1739356110009,0.32094,-2.06351,10.63251,-0.13733,9.58224,-7.12564
Abj,638,1739356110025,0.5318,-1.9343,10.28764,0.65611,12.4508,-6.88151
Abj,639,1739356110043,0.30419,-1.67079,10.04088,-0.32043,11.41324,-7.60628
Abj,640,1739356110070,0.2348,-1.54367,9.71037,-1.78523,13.48837,-8.88798
Abj,641,1739356110085,0.06939,-1.51735,9.80369,-3.31106,10.92497,-9.07108
Abj,642,1739356110100,0.11725,-1.94387,9.85155,-0.80869,9.58224,-9.49832
Abj,643,1739356110114,0.11725,-1.94387,9.85155,-1.23593,11.3522,-10.41382
Abj,644,1739356110132,0.11246,-1.68036,9.50908,-0.25939,6.9578,-10.71898
Abj,645,1739356110148,0.1005,-0.76032,9.89223,-1.60213,9.46017,-11.45138
Abj,646,1739356110162,0.17468,-1.45274,9.31735,-1.17489,8.36157,-12.12275
Abj,647,1739356110173,0.17468,-1.45274,9.31735,-1.17489,8.9719,-13.03825
Abj,648,1739356110192,0.05025,-1.74736,9.04666,0.90024,6.2254,-13.40445
