ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,901,1739352400626,1.8344,-0.99272,9.80489,1.75089,0.00763,4.51647
Ak,902,1739352400644,0.84616,-1.53829,9.23779,-0.09918,-3.10507,4.02057
Ak,903,1739352400661,1.84636,-1.03101,9.74986,0.17929,-0.96509,4.51647
Ak,904,1739352400678,2.033,-2.0001,10.08724,-0.0534,-1.97977,4.65379
Ak,905,1739352400694,0.84855,-1.17936,9.59193,-3.05548,-3.03259,3.49416
Ak,906,1739352400711,1.08066,-1.69621,9.51057,-1.05283,-2.15143,4.83689
Ak,907,1739352400726,1.08066,-1.69621,9.51057,-0.73621,-1.45336,5.16113
Ak,908,1739352400743,1.75065,-2.39013,10.3361,-0.41579,-1.93018,5.51207
Ak,909,1739352400762,0.87966,-0.94726,10.55384,0.38146,-1.45717,5.80961
Ak,910,1739352400777,3.01645,0.69182,10.57059,1.33892,-0.57219,5.63033
Ak,911,1739352400795,0.98016,-0.72951,8.81905,1.60213,-3.12033,4.85978
Ak,912,1739352400811,0.98016,-0.72951,8.81905,2.26205,-3.30343,4.27234
Ak,913,1739352400824,1.52572,-2.46909,9.50818,5.71806,-3.09744,4.03965
Ak,914,1739352400844,3.13609,-2.02881,10.31935,2.66258,-8.90705,1.61738
Ak,915,1739352400860,1.55922,-0.41366,10.18056,3.2424,-6.12622,1.32366
Ak,916,1739352400874,1.10219,-0.19113,9.32633,2.9029,-5.68755,1.05283
Ak,917,1739352400895,2.32014,-1.90439,9.96999,4.5241,-5.44723,2.0141
Ak,918,1739352400913,0.49202,-1.55982,8.83819,2.77702,-2.81898,0.78962
Ak,919,1739352400929,0.49202,-1.55982,8.83819,1.57161,0.3929,-0.33568
Ak,920,1739352400945,0.75045,-0.74626,9.46511,1.02231,2.39556,-1.09097
Ak,921,1739352400960,1.86072,-1.98574,9.54407,2.48711,3.69633,-0.75147
Ak,922,1739352400975,1.69561,-1.3014,10.06331,4.18078,6.92729,-1.20541
Ak,923,1739352400991,1.28644,-0.7678,10.05614,2.74269,6.01179,-2.02554
Ak,924,1739352401011,1.28644,-0.7678,10.05614,1.82337,5.35949,-2.09802
Ak,925,1739352401026,2.06172,-2.71077,10.18056,-0.67137,4.50884,-2.44515
Ak,926,1739352401044,1.07348,-0.38734,10.27628,-3.62004,4.22656,-2.17431
Ak,927,1739352401060,0.55184,-0.25573,9.62543,-3.07837,4.40203,-0.76673
Ak,928,1739352401075,2.36321,-0.77258,10.2691,1.17108,3.765,3.95191
Ak,929,1739352401095,1.89422,-0.2677,10.23081,3.76118,2.76557,7.18668
Ak,930,1739352401112,1.89422,-0.2677,10.23081,8.30435,2.02936,10.08576
Ak,931,1739352401129,2.35125,0.20847,10.67588,15.3537,-0.80106,14.07963
