ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,3601,1739356158133,0.156,-0.46095,9.414,-0.02363,0.12605,0.22059
HS,3602,1739356158152,-1.04295,-1.85295,9.51495,1.65442,-0.4333,0.64601
HS,3603,1739356158170,-0.93795,-3.18105,10.887,2.14286,4.25421,-0.19695
HS,3604,1739356158185,0.69195,-0.78,9.94095,2.00893,-3.23005,-0.54359
HS,3605,1739356158204,0.69195,-0.78,9.94095,1.37868,1.03992,0.29149
HS,3606,1739356158220,0.93105,0.09105,9.762,0.95326,-2.46587,-1.17385
HS,3607,1739356158237,-0.471,-0.576,10.12995,-1.42595,0.05515,-0.26786
HS,3608,1739356158252,-0.21195,-0.627,9.78795,-0.72479,-1.33929,-0.6854
HS,3609,1739356158270,-0.303,-1.33995,10.10595,-2.0562,1.38656,-0.82721
HS,3610,1739356158285,-0.885,-1.24695,9.80505,-0.09454,1.17385,-0.54359
HS,3611,1739356158302,0.951,-2.54895,9.366,1.23687,0.89811,0.01576
HS,3612,1739356158319,0.951,-2.54895,9.366,2.14286,1.03992,-0.12605
HS,3613,1739356158335,-0.71205,0.13395,9.852,0.39391,1.03992,0.3624
HS,3614,1739356158350,0.477,-1.599,9.735,1.09507,3.83667,0.5042
HS,3615,1739356158367,-0.10695,0.52605,9.55095,-1.77259,1.31565,-0.05515
HS,3616,1739356158385,0.60795,-1.56495,9.01005,-2.33194,-0.01576,0.71691
HS,3617,1739356158401,-1.44705,-1.467,9.30195,-2.47375,-1.13446,0.85084
HS,3618,1739356158417,-2.08905,-2.86305,10.74105,-2.12711,4.75054,0.3624
HS,3619,1739356158434,-1.14105,-1.572,9.735,0.11817,2.78887,0.3624
HS,3620,1739356158452,-1.14105,-1.572,9.735,-0.37027,-0.5042,0.3624
HS,3621,1739356158467,-0.31305,-0.897,10.65705,-2.26103,1.52837,-0.05515
HS,3622,1739356158485,-0.72405,-1.173,9.82605,-3.38761,2.15862,-0.6145
HS,3623,1739356158501,0.73305,-2.13705,9.366,-1.14233,1.8041,-0.40966
HS,3624,1739356158516,-1.27005,-0.61695,10.257,0.60662,1.17385,0.01576
HS,3625,1739356158534,0.69195,-0.066,10.26405,-1.07143,2.57616,-0.6145
HS,3626,1739356158555,-0.006,-1.43595,9.09405,0.18908,3.97848,-0.7563
HS,3627,1739356158579,-0.53805,-0.52605,9.88095,0.11817,-0.01576,-0.54359
HS,3628,1739356158594,1.61595,-2.04405,9.30195,-1.07143,-0.85084,-0.7563
HS,3629,1739356158610,0.759,1.73805,8.95695,2.07984,-3.65547,-0.40966
HS,3630,1739356158626,0.03105,-1.34505,8.892,2.42648,2.57616,-0.47269
HS,3631,1739356158643,0.03105,-1.34505,8.892,2.84402,1.52837,-0.96901
HS,3632,1739356158657,-1.11705,-0.114,9.83805,3.33247,1.38656,-0.33876
HS,3633,1739356158674,-0.44895,-1.73295,10.01805,2.63919,4.60873,-0.6145
HS,3634,1739356158690,0.68505,-1.55805,9.129,-1.00053,0.54359,-1.24475
HS,3635,1739356158705,-1.66305,-1.76205,9.77805,-1.35505,1.11082,-1.45746
HS,3636,1739356158721,0.77295,-0.699,8.715,1.58351,-2.39496,-1.10294
HS,3637,1739356158735,0.77295,-0.699,8.715,-0.09454,3.13551,-1.24475
HS,3638,1739356158749,-0.61395,-1.82895,10.51605,-0.16544,2.50526,-1.45746
HS,3639,1739356158765,-0.01305,-1.02705,9.687,2.70221,4.39602,-1.45746
HS,3640,1739356158784,-0.72195,-1.69905,10.008,2.21377,-0.22059,-2.01681
HS,3641,1739356158801,0.16005,-1.21995,11.229,-0.37027,2.71797,-2.36345
HS,3642,1739356158817,-0.13995,-1.77405,9.82905,-0.23635,-2.39496,-2.57616
HS,3643,1739356158831,-0.13995,-1.77405,9.82905,1.93803,0.05515,-1.66229
HS,3644,1739356158850,0.771,-1.68,9.12,0.81933,1.24475,-2.01681
HS,3645,1739356158866,-1.062,-1.12695,9.49095,-0.02363,-2.32406,-2.01681
HS,3646,1739356158882,0.07695,0.04005,11.51895,-1.70168,3.13551,-2.71797
HS,3647,1739356158898,-0.14505,-0.60495,9.45495,-1.56776,-0.5042,-3.13551
HS,3648,1739356158913,2.004,-1.36395,8.607,0.67752,-2.04045,-2.29255
HS,3649,1739356158932,-0.30495,-0.26295,9.939,-2.26103,-0.3624,-2.78099
HS,3650,1739356158949,-0.30495,-0.26295,9.939,-2.0562,-2.6707,-3.41125
HS,3651,1739356158965,-0.85395,-1.515,9.309,-0.72479,-1.4811,-2.71797
HS,3652,1739356158982,-0.258,-1.37595,9.642,-1.14233,0.62238,-3.34822
HS,3653,1739356158998,0.594,0.29895,9.79005,-3.59245,1.67017,-2.57616
HS,3654,1739356159015,-1.167,-1.02705,10.46805,-3.59245,2.71797,-2.9228
HS,3655,1739356159031,-0.89205,-3.069,8.109,-2.54465,-2.7416,-3.06461
HS,3656,1739356159050,-1.10805,-2.70705,11.14095,-0.02363,0.6854,-2.36345
HS,3657,1739356159067,-0.29295,-2.65905,10.49205,8.16966,5.65653,-2.43435
HS,3658,1739356159084,-0.29295,-2.65905,10.49205,9.42229,0.82721,-1.45746
HS,3659,1739356159100,0.73005,1.68,10.60005,4.45904,3.83667,-1.24475
HS,3660,1739356159116,1.02195,0.09105,8.23605,-3.45064,-1.06355,-2.57616
HS,3661,1739356159132,-1.53105,1.398,9.31605,-5.69592,-5.89287,-2.36345
HS,3662,1739356159147,-0.09495,-3.91395,8.11905,-4.99476,-9.67439,-1.94591
HS,3663,1739356159168,-0.23595,-1.90305,10.008,-1.56776,-7.35821,-2.01681
HS,3664,1739356159191,-0.88695,-2.17605,10.20405,2.56828,0.33876,-1.8041
HS,3665,1739356159204,-0.91395,-1.398,10.00605,2.70221,4.12028,-1.94591
HS,3666,1739356159218,-0.91395,-1.398,10.00605,2.00893,1.45746,-1.875
HS,3667,1739356159233,-0.77505,-1.089,9.74205,0.67752,0.62238,-2.36345
HS,3668,1739356159248,0.01695,-2.13495,8.718,0.88235,-2.04045,-2.36345
HS,3669,1739356159263,0.60105,-1.053,9.62295,0.95326,-3.23005,-2.22164
HS,3670,1739356159281,0.204,-0.648,10.24995,1.16597,-0.29149,-2.22164
HS,3671,1739356159298,-0.79605,-2.31705,11.72505,-1.9144,5.58562,-2.43435
HS,3672,1739356159315,-0.79605,-2.31705,11.72505,-0.30725,8.53206,-3.34822
HS,3673,1739356159332,-0.648,-1.8,9.20595,1.37868,-9.17807,-1.52837
HS,3674,1739356159349,0.68505,-2.97495,8.931,4.52207,-7.50002,-3.48215
HS,3675,1739356159365,0.783,1.563,10.99005,2.14286,-2.45799,-1.7332
HS,3676,1739356159382,-2.68995,-1.94595,9.60795,2.28467,-1.06355,-1.66229
HS,3677,1739356159396,-0.09195,-0.78,9.972,1.23687,0.05515,-1.17385
HS,3678,1739356159413,0.426,-0.744,9.75705,0.04727,1.11082,-1.31565
HS,3679,1739356159431,-0.633,-0.91605,9.95805,-0.7957,-0.85084,-1.8041
HS,3680,1739356159447,-0.633,-0.91605,9.95805,-2.68646,-4.21482,-1.52837
HS,3681,1739356159463,-0.954,-2.21895,8.48295,-3.52154,-8.05937,-1.10294
HS,3682,1739356159480,-0.81795,-1.956,10.58505,-1.9144,-3.37186,-1.66229
HS,3683,1739356159496,-0.91395,-3.63405,9.91995,0.53572,-2.81251,-1.10294
HS,3684,1739356159508,-0.16905,-1.95795,9.96705,2.56828,1.74108,-0.7563
HS,3685,1739356159530,-0.33195,-0.57405,10.614,3.26944,2.85978,-0.89811
HS,3686,1739356159546,-0.447,-0.49005,9.95805,2.00893,4.04938,-1.10294
HS,3687,1739356159564,-0.447,-0.49005,9.95805,-0.9375,-3.01734,-0.54359
HS,3688,1739356159581,-1.27695,-2.346,9.16095,-1.42595,-5.96377,-1.03204
HS,3689,1739356159598,-0.10695,-1.48605,10.79595,-0.16544,-1.96954,-0.33088
HS,3690,1739356159614,0.603,-2.094,8.16705,4.38814,-5.19171,0.08666
HS,3691,1739356159631,0.01905,-0.98295,11.02305,2.98583,3.83667,0.85872
HS,3692,1739356159646,-0.31305,0.273,9.192,0.25998,-5.40442,-0.47269
HS,3693,1739356159662,-0.39195,-1.41705,9.27105,-3.31671,-0.3624,-0.54359
HS,3694,1739356159680,-0.39195,-1.41705,9.27105,-0.9375,-12.1245,-0.12605
HS,3695,1739356159693,0.37605,-3.77295,7.173,0.11817,-2.88341,0.08666
HS,3696,1739356159712,-0.02505,0.34395,10.566,-4.71115,-1.76471,-0.33088
HS,3697,1739356159730,-0.28605,-1.16505,10.74795,-2.54465,-0.77994,0.01576
HS,3698,1739356159746,0.38595,-0.27705,8.928,-1.35505,-1.26839,0.01576
HS,3699,1739356159762,-1.64895,-1.69005,10.51305,-0.65389,-0.07878,-0.26786
HS,3700,1739356159779,-0.70305,-1.68705,10.31505,0.04727,-1.552,-0.47269
HS,3701,1739356159792,0.82095,-2.48205,8.51595,0.67752,-7.35821,-0.12605
