ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,301,1739356336183,0.318,-1.55595,8.58405,-1.55988,-1.41019,-1.03992
HS,302,1739356336198,0.22005,-1.14105,9.783,-2.74948,1.59927,-0.55147
HS,303,1739356336216,-1.227,-2.181,9.15795,-0.44118,-0.91387,-0.83509
HS,304,1739356336232,0.228,-0.69105,10.48695,0.11817,-0.00788,-1.32353
HS,305,1739356336249,0.096,-1.38105,9.75,-1.00053,-1.26839,-0.76418
HS,306,1739356336265,-0.46305,-0.885,9.73005,-0.15756,-1.12658,-1.59927
HS,307,1739356336278,-0.46305,-0.885,9.73005,-0.02363,-3.23005,-0.33876
HS,308,1739356336300,-0.29595,-4.03095,9.213,1.79622,-3.57669,-1.18173
HS,309,1739356336315,0.69,0.39,11.39205,1.93803,2.85978,0.07878
HS,310,1739356336330,-1.998,-2.03895,8.83305,1.16597,-2.87553,0.14969
HS,311,1739356336348,-0.159,-0.31995,10.746,-1.27626,-0.07878,0.22059
HS,312,1739356336361,-0.53295,-1.218,8.43,-0.71691,0.69328,0.14969
HS,313,1739356336381,-0.624,-1.077,10.269,-0.29937,-0.28361,1.05567
HS,314,1739356336399,-0.77505,-1.98705,9.06705,-0.08666,1.03992,0.49632
HS,315,1739356336415,0.75705,-0.114,9.94605,-0.37027,-3.8603,0.49632
HS,316,1739356336431,0.75705,-0.114,9.94605,1.59139,-0.28361,1.12658
HS,317,1739356336447,-0.64995,-2.28405,8.29605,-0.65389,-2.24528,0.29149
HS,318,1739356336465,-1.07595,-1.47705,10.76505,-0.78782,4.82144,0.70904
HS,319,1739356336480,-0.339,-3.38295,8.74395,-0.08666,0.55147,0.22059
HS,320,1739356336496,-2.14905,-0.315,9.594,2.29255,1.67017,0.42542
HS,321,1739356336514,0.46695,-2.17305,9.999,2.36345,-0.07878,0.3624
HS,322,1739356336530,0.201,0.59805,10.59,1.59139,3.00158,0.63813
HS,323,1739356336546,0.201,0.59805,10.59,-0.71691,0.83509,0.63813
HS,324,1739356336563,-0.73395,-0.80595,9.51,-1.70168,0.40966,0.77994
HS,325,1739356336580,-0.31995,-1.584,10.34805,-0.65389,2.37133,0.85084
HS,326,1739356336597,0.02595,-1.82595,9.735,1.30778,0.13393,0.98477
HS,327,1739356336613,-1.05495,-0.636,10.31895,1.16597,0.06303,1.05567
HS,328,1739356336630,-0.41595,-1.68,9.024,1.52049,-0.98477,0.49632
HS,329,1739356336647,0.486,-1.23,8.892,0.04727,-2.10347,0.56723
HS,330,1739356336663,-0.60195,-1.386,9.072,1.37868,-1.41019,0.77994
HS,331,1739356336679,-0.60195,-1.386,9.072,2.49738,2.58404,0.85084
HS,332,1739356336697,-0.66195,-2.829,9.05505,1.37868,0.83509,0.70904
HS,333,1739356336712,-0.77205,-0.48105,9.534,0.81933,-1.33929,0.07878
HS,334,1739356336729,-0.861,-0.95205,10.20195,0.60662,5.03415,-0.06303
HS,335,1739356336745,-0.85395,-1.29,9.72795,-1.07143,0.40966,0.00788
HS,336,1739356336762,0.216,-2.106,10.06305,-1.63078,-0.14969,-0.40966
HS,337,1739356336780,-0.267,0.08595,9.51705,-1.00053,-2.24528,-0.40966
HS,338,1739356336795,-0.267,0.08595,9.51705,0.74843,0.90599,0.22059
HS,339,1739356336809,1.14195,-2.32905,8.124,-0.15756,-0.42542,-0.26786
HS,340,1739356336827,-0.01995,-1.17,9.59595,1.66229,-0.28361,0.07878
HS,341,1739356336845,-1.191,-1.06005,10.96605,1.16597,5.03415,0.42542
