ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,2101,1739355201667,0.05414,-4.92174,4.56939,-5.14969,0.02289,-3.19281
Ak,2102,1739355201680,0.05414,-4.92174,4.56939,-21.57911,2.40319,0.21362
Ak,2103,1739355201699,0.1331,4.22363,17.99313,-26.29775,-0.72859,2.30019
Ak,2104,1739355201716,-1.52991,-1.12911,7.06511,-14.51831,5.37475,-3.89088
Ak,2105,1739355201735,1.26251,-0.69123,10.8697,-12.15327,5.13062,-4.47069
Ak,2106,1739355201749,-2.59232,2.04377,7.8332,24.86346,-0.98416,-12.93144
Ak,2107,1739355201766,-2.34586,-8.6689,11.54686,28.4568,14.56027,-18.91653
Ak,2108,1739355201787,-1.61845,-4.78295,10.9343,11.16148,11.81758,-11.92058
Ak,2109,1739355201800,-1.61845,-4.78295,10.9343,25.90866,6.58397,-12.67587
Ak,2110,1739355201812,0.87727,-1.14108,9.42443,11.10426,14.072,-10.50537
Ak,2111,1739355201827,-0.36939,0.22283,9.85275,-38.59597,7.31256,8.75447
Ak,2112,1739355201847,-0.28564,-1.19611,9.13969,-22.9905,6.45046,5.10773
Ak,2113,1739355201866,-2.33151,-0.83719,10.12314,-20.69031,5.81343,4.58513
Ak,2114,1739355201883,-1.3337,-2.35424,8.76162,-24.74903,4.341,6.41613
Ak,2115,1739355201898,-1.3337,-2.35424,8.76162,6.83574,6.77089,-3.87943
Ak,2116,1739355201916,-0.22822,-2.41884,9.64218,16.50189,8.99479,-7.25534
Ak,2117,1739355201937,1.48265,-2.62463,11.01566,15.75805,6.9845,-5.41671
Ak,2118,1739355201950,-1.4653,0.70618,9.37657,15.46051,5.63414,-3.57045
Ak,2119,1739355201967,-0.72353,-2.32074,9.01047,12.81319,0.53023,1.62501
Ak,2120,1739355201982,-0.0344,0.74686,9.91496,9.21222,-3.30725,5.00855
Ak,2121,1739355202001,-0.0344,0.74686,9.91496,6.92347,-7.19812,7.46133
Ak,2122,1739355202016,0.27188,-3.22762,8.17538,5.23361,-13.86602,9.16645
Ak,2123,1739355202032,-1.65194,-0.44716,10.21406,2.23153,-12.79793,8.83076
Ak,2124,1739355202043,0.4992,-3.09123,10.41506,2.13617,-10.35278,6.82811
Ak,2125,1739355202062,0.64995,1.11535,9.1014,1.51058,-9.21985,5.76765
Ak,2126,1739355202078,0.64995,1.11535,9.1014,5.94694,-11.49716,3.21951
Ak,2127,1739355202097,0.47049,-0.60987,10.12314,15.37659,-7.06461,-2.2239
Ak,2128,1739355202116,-0.19232,-2.79212,10.18535,21.21672,-4.76442,-5.41671
Ak,2129,1739355202133,-0.18993,-3.59372,9.41007,-9.39914,4.36007,-0.49971
Ak,2130,1739355202148,1.08784,-2.12213,10.10878,-9.37625,5.00474,-1.4114
Ak,2131,1739355202171,0.14746,0.13908,10.49642,-8.39972,2.96393,-1.7776
Ak,2132,1739355202185,0.17617,-0.64816,9.1349,-0.55311,3.04022,-4.75679
Ak,2133,1739355202198,0.17617,-0.64816,9.1349,-0.11062,3.086,-4.69957
Ak,2134,1739355202219,-1.3337,-2.40927,10.14467,-1.04138,1.81193,-2.24298
Ak,2135,1739355202232,-0.37657,-1.70578,7.2015,-1.44954,1.58305,-1.05283
Ak,2136,1739355202248,0.44417,-0.91854,10.75005,-6.29788,0.17929,2.51763
Ak,2137,1739355202262,1.34387,-3.97179,10.52991,14.83492,-3.37209,-1.38851
Ak,2138,1739355202279,1.34387,-3.97179,10.52991,13.61425,-3.6353,-1.02994
Ak,2139,1739355202301,-1.15424,0.57458,10.84098,-6.069,-2.71217,3.81077
Ak,2140,1739355202317,-1.15424,0.57458,10.84098,-7.85042,-4.34863,4.14645
Ak,2141,1739355202329,0.98495,-1.37797,6.69422,-6.36654,-3.59715,2.32308
Ak,2142,1739355202348,-0.0655,-5.72333,9.19951,-6.31314,-5.22598,0.88117
Ak,2143,1739355202365,1.29362,-2.46431,11.39851,-18.39011,-8.06022,5.81343
Ak,2144,1739355202385,0.07807,3.18993,9.84317,-24.4286,-10.49011,9.98658
Ak,2145,1739355202400,0.07807,3.18993,9.84317,-18.91271,-8.60189,8.2128
Ak,2146,1739355202414,0.55902,-0.04516,8.80469,49.13567,-7.98011,-11.51242
Ak,2147,1739355202432,1.00409,-1.41625,6.87607,35.59389,0.06485,-10.37949
Ak,2148,1739355202449,1.98036,-3.29222,11.18316,2.07895,-9.29233,4.44781
Ak,2149,1739355202465,2.51874,-1.87807,8.30938,-7.96485,-11.23777,9.46399
Ak,2150,1739355202476,2.51874,-1.87807,8.30938,-6.36654,-10.13535,8.19373
Ak,2151,1739355202495,-0.7666,-2.24178,8.8693,-3.87943,-6.56872,4.13501
Ak,2152,1739355202514,-0.27129,2.24955,12.17857,0.4959,-0.03815,-0.47301
Ak,2153,1739355202531,0.02542,-0.74148,9.57996,-3.12033,1.20159,0.27846
Ak,2154,1739355202549,-0.27129,-2.03839,9.21626,-4.88648,0.70188,0.90787
Ak,2155,1739355202566,0.18814,-2.11017,8.06291,-3.67726,2.81135,-0.71333
Ak,2156,1739355202582,0.13549,-2.25135,11.92254,-2.22772,6.77089,-2.36504
Ak,2157,1739355202602,0.13549,-2.25135,11.92254,-1.36944,7.17142,-2.05606
Ak,2158,1739355202617,-0.98913,-2.14606,11.32194,15.94115,8.92994,-7.80083
Ak,2159,1739355202631,-1.58495,-1.18176,9.76421,13.51507,7.19812,-6.54964
Ak,2160,1739355202651,1.68604,0.83779,8.47448,-2.53288,5.59218,-1.20159
Ak,2161,1739355202668,-0.55603,-2.2657,10.56102,-13.99571,6.91203,1.75471
Ak,2162,1739355202681,-0.55603,-2.2657,10.56102,-17.40214,6.99976,2.41845
Ak,2163,1739355202697,0.69063,0.51715,7.98395,-11.37891,6.14148,0.10299
Ak,2164,1739355202712,0.03739,2.28784,11.49662,33.02286,6.71748,-13.22898
Ak,2165,1739355202730,-0.19711,-1.49043,8.08924,54.43031,5.84013,-18.23372
Ak,2166,1739355202749,-0.70199,-4.75903,9.14686,35.87617,3.66582,-12.11512
Ak,2167,1739355202767,0.16421,0.2324,9.68286,7.86567,1.61357,-3.4522
Ak,2168,1739355202782,-0.30479,-0.93051,10.17338,7.86949,1.75852,-3.36065
Ak,2169,1739355202799,-0.30479,-0.93051,10.17338,12.37451,1.62883,-4.17697
Ak,2170,1739355202819,-0.65414,-5.11556,8.37638,-4.60802,4.19604,-0.22125
Ak,2171,1739355202833,-0.39093,1.13928,12.46092,-33.5569,1.42284,9.8874
Ak,2172,1739355202847,-0.19472,-0.7343,9.22822,-34.56777,1.71275,10.38711
Ak,2173,1739355202867,-1.03699,0.75643,8.10359,-13.23661,1.00324,3.9481
Ak,2174,1739355202882,-1.03699,0.75643,8.10359,26.27486,3.52849,-8.60952
Ak,2175,1739355202903,-1.04178,-4.09143,8.57259,17.49368,3.38354,-6.47335
Ak,2176,1739355202910,-1.04178,-4.09143,8.57259,14.68234,3.63911,-5.89353
Ak,2177,1739355202927,-0.29761,-3.99093,10.68784,-2.62825,-0.4959,0.34713
Ak,2178,1739355202946,-0.18993,-1.8685,10.77877,-5.34805,-1.47624,0.04196
Ak,2179,1739355202966,-0.12772,0.31854,7.35464,-25.37843,-1.0986,4.48977
Ak,2180,1739355202982,-1.18056,-0.2342,12.30778,-25.46617,-0.80488,4.03202
Ak,2181,1739355203000,-1.18056,-0.2342,12.30778,-16.49808,-0.6027,1.52583
Ak,2182,1739355203016,0.15224,0.967,8.75683,-10.80672,-0.72859,0.90787
Ak,2183,1739355203037,0.04457,-2.55524,5.14846,10.37949,-3.31487,-3.33013
Ak,2184,1739355203050,-1.40309,-2.93091,12.21207,11.69552,-2.62062,-3.71922
Ak,2185,1739355203066,-1.61605,-5.3357,10.13749,26.61054,-1.08334,-7.06461
Ak,2186,1739355203079,-1.61605,-5.3357,10.13749,22.69678,0.15258,-5.65703
Ak,2187,1739355203101,0.35085,1.67767,9.92692,23.22701,-3.08981,-3.62004
Ak,2188,1739355203121,0.15224,-1.93789,9.32872,7.53762,-2.81516,1.05283
