ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,301,1739352580851,-2.00505,0.27705,8.847,-10.09981,8.85506,-0.40966
HS,302,1739352580864,-3.59295,-5.181,7.248,-0.72479,-21.23955,0.92175
HS,303,1739352580881,-2.54895,-2.12595,15.10095,-4.00999,8.99687,-2.93068
HS,304,1739352580902,-1.66095,-1.40505,5.34195,-0.30725,-9.2017,-4.33299
HS,305,1739352580919,1.86,-5.45805,13.01295,-12.4869,-20.26265,-3.84455
HS,306,1739352580935,1.176,-1.953,5.71005,0.88235,26.707,-0.06303
HS,307,1739352580953,1.176,-1.953,5.71005,6.83825,4.93961,-3.14339
HS,308,1739352580966,-1.97895,-5.11605,6.44805,8.30359,1.71744,-3.49003
HS,309,1739352580985,-1.39995,2.39595,12.59205,-1.9144,-45.1104,-4.4748
HS,310,1739352581001,-2.13195,-0.81105,6.89805,1.23687,-16.83565,-0.76418
HS,311,1739352581017,2.71995,0.72705,13.011,-12.20328,3.82091,-3.49003
HS,312,1739352581031,2.61495,-2.99895,6.165,1.79622,-5.7747,-0.96901
HS,313,1739352581051,-1.85205,-5.667,3.47205,12.71537,27.62086,-9.30412
HS,314,1739352581067,-1.85205,-5.667,3.47205,1.30778,-25.09197,3.57669
HS,315,1739352581085,4.494,6.828,18.58905,-8.00422,28.38505,7.1455
HS,316,1739352581100,0.43305,-3.27,1.36005,-4.08089,24.25688,2.6707
HS,317,1739352581117,0.96705,-4.25895,5.74605,11.24215,-13.68438,7.28731
HS,318,1739352581133,-0.696,0.75405,13.60695,0.18908,12.28994,6.72796
HS,319,1739352581152,-2.90295,-0.49995,7.79805,-7.23216,1.64654,6.72796
HS,320,1739352581166,0.891,-3.51195,11.646,-3.31671,1.22899,9.39078
HS,321,1739352581183,0.891,-3.51195,11.646,0.60662,8.65023,9.03626
HS,322,1739352581199,-1.05495,-2.38905,9.738,0.46481,3.67911,9.46168
HS,323,1739352581216,0.38295,2.22405,11.169,-4.08089,5.14444,11.41547
HS,324,1739352581230,2.67705,-1.407,11.65305,-5.82985,8.22481,9.80832
HS,325,1739352581252,-1.79505,-1.35195,8.358,3.40337,-3.88394,11.48637
HS,326,1739352581268,-1.52895,-0.33,9.795,8.5872,-2.76524,8.20117
HS,327,1739352581285,-3.20295,-1.06695,13.56105,-1.9853,5.14444,7.0746
HS,328,1739352581300,2.42505,-3.57405,10.95105,4.24633,-2.76524,9.17807
HS,329,1739352581316,2.42505,-3.57405,10.95105,2.21377,10.54099,7.28731
HS,330,1739352581332,-1.77795,1.57005,8.59995,7.81514,-3.88394,5.82197
HS,331,1739352581349,2.75295,-0.423,9.852,2.14286,1.3708,7.91756
HS,332,1739352581366,5.22,1.15095,7.2,9.14655,0.38603,6.51525
