Directory Name,Number of CSV Files
Harshit_Preprocessed_Data-CS300\Kanker\001_Abj_Kanker_1_12-2,4
Harshit_Preprocessed_Data-CS300\Kanker\002_Abj_Kanker_2_12-2,6
Harshit_Preprocessed_Data-CS300\Kanker\003_Ak_Kanker_1_12-2,6
Harshit_Preprocessed_Data-CS300\Kanker\004_Ak_Kanker_2_12-2,6
Harshit_Preprocessed_Data-CS300\Kanker\005_Gar_Kankar1,24
Harshit_Preprocessed_Data-CS300\Kanker\006_Gar_Kankar2,40
Harshit_Preprocessed_Data-CS300\Kanker\007_Gar_Kankar3,18
Harshit_Preprocessed_Data-CS300\Kanker\008_Gar_Kankar4,19
Harshit_Preprocessed_Data-CS300\Kanker\009_Gar_Kankar5,18
Harshit_Preprocessed_Data-CS300\Kanker\010_HS_Kanker_1_12-2,6
Harshit_Preprocessed_Data-CS300\Kanker\011_HS_Kanker_2_12-2,6
Harshit_Preprocessed_Data-CS300\Kanker\012_RV_Kanker_1_12-2,6
Harshit_Preprocessed_Data-CS300\Kanker\013_RV_Kanker_2_12-2,6
