ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,5601,1739356605951,0.22522,-0.72203,9.96431,-1.48006,-5.73714,1.84626
Abj,5602,1739356605963,0.22522,-0.72203,9.96431,-1.29696,3.2958,2.09039
Abj,5603,1739356605979,-0.27547,-0.92812,9.303,-2.76176,7.324,1.78523
Abj,5604,1739356605997,0.38554,-1.61575,9.25753,-1.66316,4.3944,2.39556
Abj,5605,1739356606017,-0.21087,-2.57378,9.28625,-0.80869,3.90613,1.96833
Abj,5606,1739356606031,0.03111,-2.78465,9.66491,0.04578,-0.42723,1.84626
Abj,5607,1739356606052,0.09093,-1.57508,10.61337,-1.29696,-3.72303,0.86973
Abj,5608,1739356606064,0.09093,-1.57508,10.61337,0.83921,-3.35683,1.90729
Abj,5609,1739356606081,-0.22283,-1.30917,9.81087,1.63264,0.67137,0.50353
Abj,5610,1739356606099,-0.18694,-1.46231,10.23021,1.63264,0.06103,0.56456
Abj,5611,1739356606118,0.04786,-1.51735,10.13181,0.10681,5.73714,1.17489
Abj,5612,1739356606131,0.17707,-1.54367,10.38814,-0.32043,-3.60097,1.05283
Abj,5613,1739356606152,-0.11037,-1.48863,10.14856,-0.93076,4.33337,0.56456
Abj,5614,1739356606164,-0.11037,-1.48863,10.14856,-0.74766,-0.1831,0.50353
Abj,5615,1739356606180,-0.02871,-1.94148,9.98585,-1.60213,5.92024,0.44249
Abj,5616,1739356606198,0.0335,-1.93191,10.3355,0.35094,-2.1972,0.56456
Abj,5617,1739356606218,0.05982,-1.94626,9.52583,2.97538,0.24413,1.35799
Abj,5618,1739356606233,0.00957,-1.60379,8.79033,1.57161,3.05167,0.25939
Abj,5619,1739356606254,0.16032,-0.85155,8.68266,1.69368,-1.70893,1.17489
Abj,5620,1739356606264,0.16032,-0.85155,8.68266,-1.66316,0.42723,0.13733
Abj,5621,1739356606280,-0.07687,-1.43121,9.38465,-3.73829,-10.49774,0.44249
Abj,5622,1739356606299,0.10289,-1.13181,9.54976,-1.23593,0.30517,0.13733
Abj,5623,1739356606318,-0.19172,-2.71286,9.38465,-2.09039,-0.67137,-0.16784
Abj,5624,1739356606333,0.1675,-2.0683,10.26611,4.13501,-4.51647,0.74766
Abj,5625,1739356606356,-0.12233,-2.27199,10.14377,5.53878,0.06103,-0.65611
Abj,5626,1739356606369,-0.12233,-2.27199,10.14377,4.92844,-2.86857,0.01526
Abj,5627,1739356606380,0.02393,-1.1677,10.11506,3.40261,0.1831,-0.47301
Abj,5628,1739356606400,0.24437,-0.78455,10.15095,-0.99179,2.3803,-0.16784
Abj,5629,1739356606419,0.00479,-0.73161,9.89701,-1.23593,2.0141,0.01526
Abj,5630,1739356606432,0.00718,-1.24427,10.0672,-2.70073,0.24413,-0.16784
Abj,5631,1739356606448,0.00718,-1.24427,10.0672,-0.62559,6.5916,-0.22888
Abj,5632,1739356606469,-0.03589,-1.67318,10.7692,-1.66316,-5.61507,-0.16784
Abj,5633,1739356606482,-0.03589,-1.67318,10.7692,-1.54109,0.9155,-0.22888
Abj,5634,1739356606498,-0.03829,-2.10658,9.5665,1.38851,0.3662,0.38146
Abj,5635,1739356606519,0.4669,-0.90419,9.61436,-2.21246,-4.5775,-0.53404
Abj,5636,1739356606533,-0.27308,-1.33789,9.45404,-2.33453,-1.34273,-0.77818
Abj,5637,1739356606550,-0.27308,-1.33789,9.45404,-1.29696,2.99063,0.19836
Abj,5638,1739356606577,0.02871,-1.46949,9.71037,-0.80869,-0.30517,-0.53404
Abj,5639,1739356606597,0.00718,-1.76889,9.66252,-0.32043,-2.31927,-0.83921
Abj,5640,1739356606604,0.00718,-1.76889,9.66252,-2.02936,-0.42723,-0.28991
Abj,5641,1739356606614,0.11007,-1.46231,10.33789,-1.41903,-7.324,-0.35094
Abj,5642,1739356606630,0.09811,-1.82871,10.18954,-1.05283,0.79343,-0.77818
Abj,5643,1739356606647,0.09811,-1.82871,10.18954,-1.72419,-1.0986,-0.47301
Abj,5644,1739356606666,-0.09123,-1.67318,9.83001,1.57161,-5.1268,-0.53404
Abj,5645,1739356606690,-0.05264,-2.34377,9.47079,1.02231,3.05167,-1.08334
Abj,5646,1739356606698,0.27547,-0.80608,9.97628,-1.11386,-7.93434,-0.10681
Abj,5647,1739356606719,-0.00479,-1.08873,9.61675,-2.57866,3.1127,-0.83921
Abj,5648,1739356606733,-0.05264,-1.97737,9.75105,-3.18899,-6.46954,-0.22888
Abj,5649,1739356606750,-0.05264,-1.97737,9.75105,0.41198,4.7606,-0.65611
Abj,5650,1739356606767,0.34965,-2.34138,9.58325,1.02231,-7.93434,0.19836
Abj,5651,1739356606791,0.00957,-1.58225,9.77019,0.28991,1.58687,0.25939
Abj,5652,1739356606804,-0.01436,-1.37856,9.2695,-0.38146,-8.30054,0.07629
Abj,5653,1739356606815,0.1651,-1.55803,9.49951,1.75471,-0.97653,0.25939
Abj,5654,1739356606833,-0.00957,-1.2347,9.65534,0.41198,-4.51647,0.25939
Abj,5655,1739356606850,-0.00957,-1.2347,9.65534,0.22888,-3.90613,0.68663
Abj,5656,1739356606868,0.18185,-1.3666,9.84676,0.47301,-1.831,1.17489
Abj,5657,1739356606884,0.03829,-1.83829,9.40858,1.63264,-0.67137,1.05283
Abj,5658,1739356606905,0.16032,-1.84576,9.9691,0.59508,-2.44133,1.11386
Abj,5659,1739356606915,-0.11037,-1.34746,9.86591,1.38851,-3.1127,1.96833
Abj,5660,1739356606933,0.10528,-1.06002,10.23739,-1.84626,-1.76997,1.05283
Abj,5661,1739356606951,0.10528,-1.06002,10.23739,-3.92139,0.79343,1.17489
Abj,5662,1739356606968,0.21087,-1.13181,10.4025,-3.06693,3.2958,1.41903
Abj,5663,1739356606984,-0.01675,-2.13559,9.5665,-1.05283,6.34747,1.23593
Abj,5664,1739356607011,0.09332,-1.44796,10.21825,-2.21246,-1.89203,0.80869
Abj,5665,1739356607025,-0.05264,-1.79522,10.23021,-2.57866,-1.58687,1.84626
Abj,5666,1739356607032,0.06221,-1.9989,9.9332,-0.01526,-2.62443,1.72419
Abj,5667,1739356607049,0.06221,-1.9989,9.9332,0.16784,-1.2817,1.35799
Abj,5668,1739356607066,-0.10798,-1.70429,9.54736,0.96128,-6.28644,1.66316
Abj,5669,1739356607084,0.09571,-1.43121,10.16292,-0.25939,-4.27234,1.90729
Abj,5670,1739356607104,-0.05503,-1.13659,9.5019,-3.06693,-0.48827,1.72419
Abj,5671,1739356607126,0.067,-0.56889,9.09452,-5.56929,0.61033,1.84626
Abj,5672,1739356607134,-0.08405,-1.45992,9.39901,-3.61623,1.70893,2.15143
Abj,5673,1739356607150,-0.08405,-1.45992,9.39901,-2.94486,0.7324,2.88383
Abj,5674,1739356607166,0.01914,-2.72483,8.87438,-2.57866,-1.89203,2.88383
Abj,5675,1739356607184,0.08136,-2.29113,9.83241,-0.38146,-4.33337,2.33453
Abj,5676,1739356607206,-0.31615,-2.3342,9.05384,1.63264,-14.46491,2.94486
Abj,5677,1739356607223,0.05743,-1.08156,9.61915,-0.01526,-3.41787,2.33453
Abj,5678,1739356607234,0.04786,-0.51864,9.94038,-2.94486,-12.0846,2.70073
Abj,5679,1739356607251,0.04786,-0.51864,9.94038,-1.29696,-7.324,3.31106
Abj,5680,1739356607268,0.10289,-1.2682,10.15574,-1.41903,-1.22067,3.00589
Abj,5681,1739356607285,0.03829,-1.90558,10.11985,0.28991,-1.34273,3.43313
Abj,5682,1739356607302,0.1005,-2.68654,9.9018,2.54814,1.40377,3.25003
Abj,5683,1739356607316,-0.01675,-1.9989,10.42882,2.97538,-4.88267,3.12796
Abj,5684,1739356607333,-0.01914,-1.57508,10.10788,2.30401,-5.06577,3.25003
Abj,5685,1739356607351,-0.01914,-1.57508,10.10788,1.26644,-5.6761,3.73829
Abj,5686,1739356607367,0.17468,-0.44656,9.82762,1.44954,1.52583,3.67726
Abj,5687,1739356607385,-0.04786,-1.22513,9.18575,0.77818,6.5916,3.31106
Abj,5688,1739356607405,0.11486,-1.49103,9.49233,-0.99179,-1.22067,4.16553
Abj,5689,1739356607425,0.02393,-2.37248,9.68405,2.12091,-0.1831,3.92139
Abj,5690,1739356607433,-0.00239,-1.54128,9.18575,0.28991,-1.03757,4.40966
Abj,5691,1739356607451,-0.00239,-1.54128,9.18575,-0.80869,-9.27707,4.34863
Abj,5692,1739356607466,0.11486,-0.79173,10.33311,-2.09039,-2.13617,4.16553
Abj,5693,1739356607485,-0.26112,-2.18824,9.98345,1.20541,-1.52583,4.04346
Abj,5694,1739356607509,0.067,-2.42542,9.5019,3.03641,-0.48827,4.77586
