ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
RV,4601,1739352247843,0.06251,-1.32742,11.0686,-4.08542,8.26239,-20.5301
RV,4602,1739352247858,0.38315,-1.62891,9.76451,-5.55785,5.9622,-21.06414
RV,4603,1739352247875,0.38315,-1.62891,9.76451,-5.48537,0.30135,-13.57611
RV,4604,1739352247892,-0.21266,-2.08594,9.63769,-5.4396,-6.50387,-7.01884
RV,4605,1739352247914,0.25872,-1.29631,10.31007,-4.81019,-10.05143,0.63322
RV,4606,1739352247929,0.0003,-3.19143,9.21895,-4.22275,-15.3537,15.03709
RV,4607,1739352247939,-0.33948,-0.47557,10.48714,-11.38654,-12.2677,-2.83042
RV,4608,1739352247957,0.08405,-1.91127,10.12583,-7.72835,-8.13651,2.18957
RV,4609,1739352247975,0.08405,-1.91127,10.12583,-6.43139,-6.88914,1.83863
RV,4610,1739352247993,0.17019,-0.86321,10.01815,-4.82926,-3.23858,-3.96717
RV,4611,1739352248010,0.22762,-1.7653,10.25265,3.54756,-0.17166,9.19696
RV,4612,1739352248024,-0.08106,-1.08335,9.99183,9.00242,3.25003,13.82024
RV,4613,1739352248048,0.00508,-1.46142,10.40579,11.76036,12.22574,0.24032
RV,4614,1739352248056,-0.38016,-2.38744,9.68794,15.31174,12.99629,3.04785
RV,4615,1739352248071,-0.38016,-2.38744,9.68794,11.48571,16.62015,-8.54848
RV,4616,1739352248091,-0.04995,-3.21057,10.5685,7.55288,16.70788,-12.74071
RV,4617,1739352248107,-0.10259,-1.84905,9.53959,3.09363,16.77654,-19.98461
RV,4618,1739352248126,-0.14566,-1.15274,9.97987,-9.50595,19.76336,-48.97546
RV,4619,1739352248142,-0.15763,-0.76271,9.65923,-6.88533,14.62893,-32.84357
RV,4620,1739352248160,-0.35623,-2.85165,9.41277,-4.08923,8.81551,-11.40942
RV,4621,1739352248176,-0.35623,-2.85165,9.41277,-5.45486,7.81227,-10.05525
RV,4622,1739352248194,-0.07627,-1.45663,9.2333,-5.27557,4.20367,-5.57311
RV,4623,1739352248218,0.2683,-2.22712,9.87697,0.22125,-4.24182,15.13627
RV,4624,1739352248232,-0.09302,-2.28694,9.21655,4.0549,-10.16968,29.60118
RV,4625,1739352248241,0.51954,-1.64088,9.52762,1.96451,-11.56964,24.00518
RV,4626,1739352248256,0.51954,-1.64088,9.52762,-0.11062,-13.37775,18.72198
RV,4627,1739352248274,-1.97139,-3.16511,7.82872,-11.29117,-12.65298,-16.18528
RV,4628,1739352248292,0.58654,-0.47318,15.96192,-7.61391,-9.92555,-4.12738
RV,4629,1739352248308,-1.26072,-2.71047,6.39302,-0.83539,-14.11778,21.37693
RV,4630,1739352248330,0.91914,1.1013,10.66421,-6.99976,-8.62096,6.21396
RV,4631,1739352248344,-0.08345,-1.69831,10.37707,-2.81898,-8.81932,21.28157
RV,4632,1739352248359,-0.08345,-1.69831,10.37707,0.14877,-9.19696,30.6006
RV,4633,1739352248373,-0.45912,-1.14317,9.15434,5.4129,-1.41903,40.75884
RV,4634,1739352248393,0.06491,-1.6002,10.22872,13.66003,0.62941,60.56798
RV,4635,1739352248406,-0.42084,-0.62871,9.72862,15.71227,-2.44133,67.81569
RV,4636,1739352248424,-0.01406,-2.99282,8.88874,8.87654,1.27407,46.00008
RV,4637,1739352248444,0.3664,-0.31047,10.98007,7.65969,-0.40816,41.41876
RV,4638,1739352248460,-0.71515,-2.53819,9.75015,6.25592,-0.90024,36.63146
RV,4639,1739352248484,-0.71515,-2.53819,9.75015,3.7917,-0.29754,30.19625
RV,4640,1739352248501,-0.18395,-2.1003,10.59243,-1.84626,-2.86475,19.82058
RV,4641,1739352248517,-0.18395,-2.1003,10.59243,-3.35302,-2.78465,14.48398
RV,4642,1739352248524,0.33769,-2.38265,9.4678,-3.54756,-4.27615,13.64858
RV,4643,1739352248542,0.27069,-1.88495,10.05644,-9.13593,-4.96659,-3.82984
RV,4644,1739352248560,-0.32991,-2.28455,9.3362,-5.1001,-8.24332,7.41555
